Date,Open,High,Low,Close,Volume
1/28/2013,1460.3,1476.26,1459.67,1473.01,8336920
1/29/2013,1473.01,1500.77,1473.01,1495.67,13268000
1/30/2013,1495.67,1506.46,1485.94,1486.56,10549000
1/31/2013,1486.56,1495.53,1483.61,1488.56,9254940
2/3/2013,1488.56,1499.44,1481.38,1494.15,10811300
2/4/2013,1494.15,1513.3,1494.15,1503.97,13301700
2/5/2013,1503.97,1521.76,1498.16,1518.4,10157900
2/6/2013,1518.4,1532.97,1518.4,1523.36,10689200
2/7/2013,1523.36,1530.08,1520.78,1524.54,12538400
2/10/2013,1524.54,1544.99,1524.54,1540.93,16258900
2/11/2013,1540.93,1551.09,1540.93,1541.28,15179400
2/12/2013,1541.28,1548.72,1529.68,1529.68,14572900
2/13/2013,1529.68,1538.68,1528.45,1535.27,16783000
2/14/2013,1535.27,1555.91,1535.27,1551.97,20508100
2/17/2013,1551.97,1564.23,1545.4,1545.4,15860800
2/18/2013,1545.4,1554.79,1540.01,1540.98,19986300
2/19/2013,1540.98,1545.14,1523.4,1523.4,17461200
2/20/2013,1523.4,1526.24,1502.37,1502.86,14056600
2/24/2013,1502.86,1502.86,1463.87,1464.59,10474500
2/25/2013,1464.59,1483.28,1445.95,1446.54,10321500
2/26/2013,1446.54,1470.84,1446.54,1465.47,8794170
2/27/2013,1465.47,1469.53,1423.32,1425.6,9637210
2/28/2013,1425.6,1437.14,1415.16,1431.9,5849460
3/3/2013,1431.9,1431.9,1359.54,1364.71,26289100
3/4/2013,1364.71,1420.15,1364.71,1410.08,27315500
3/5/2013,1410.08,1429.87,1405.42,1409.67,20289500
3/6/2013,1409.67,1415.59,1397.8,1399.94,27841200
3/7/2013,1399.94,1399.94,1380.64,1392.35,17894400
3/10/2013,1392.35,1406.82,1382.63,1382.65,17724200
3/11/2013,1382.65,1382.7,1358.58,1375.57,19239800
3/12/2013,1375.57,1395.78,1361.01,1387.85,16491600
3/13/2013,1387.85,1413.76,1387.85,1405.32,19786900
3/14/2013,1405.32,1414.78,1402.9,1411.89,17208000
3/18/2013,1411.89,1420.84,1397.54,1418.27,13888100
3/19/2013,1418.27,1433.35,1418.27,1428.21,16263900
3/20/2013,1428.21,1428.61,1414.0,1416.0,18021100
3/24/2013,1416.0,1423.25,1389.01,1390.05,17089200
3/25/2013,1390.05,1390.27,1373.59,1376.64,15149100
3/27/2013,1376.64,1376.64,1348.18,1352.68,14182200
3/28/2013,1352.68,1370.15,1352.68,1365.78,11604500
3/31/2013,1365.78,1365.78,1336.79,1340.15,16778500
4/1/2013,1340.15,1340.15,1293.24,1293.24,13841000
4/2/2013,1293.24,1319.53,1292.03,1313.02,13050100
4/3/2013,1313.02,1329.61,1313.02,1319.77,14595400
4/4/2013,1319.77,1319.77,1305.48,1310.96,14540600
4/7/2013,1310.96,1310.96,1299.57,1300.7,11434500
4/8/2013,1300.7,1309.86,1292.6,1306.44,14752500
4/9/2013,1306.44,1332.68,1306.42,1329.11,18726800
4/10/2013,1329.11,1351.86,1329.11,1330.54,20980000
4/11/2013,1330.54,1330.54,1320.5,1322.06,14810000
4/15/2013,1322.06,1342.27,1322.06,1338.45,20698100
4/16/2013,1338.45,1340.02,1318.51,1318.51,21978800
4/17/2013,1318.51,1325.42,1314.39,1321.18,17043800
4/18/2013,1321.18,1327.29,1320.13,1322.0,20285400
4/21/2013,1322.0,1327.91,1306.58,1306.58,17778400
4/22/2013,1306.58,1310.09,1301.92,1305.59,13344600
4/23/2013,1305.59,1312.18,1304.54,1307.46,12142800
4/24/2013,1307.46,1315.36,1301.13,1307.35,13022200
4/25/2013,1307.35,1319.18,1305.59,1308.37,11284300
4/28/2013,1308.37,1308.37,1285.44,1288.02,11234900
4/29/2013,1288.02,1288.99,1277.68,1282.42,13454700
4/30/2013,1282.42,1286.94,1275.79,1282.59,13643300
5/2/2013,1282.59,1287.27,1261.31,1284.38,17112100
5/5/2013,1284.38,1288.49,1276.06,1282.76,14056400
5/6/2013,1282.76,1290.18,1277.59,1287.81,10791300
5/7/2013,1287.81,1310.55,1287.81,1307.86,18855000
5/8/2013,1307.86,1324.48,1307.47,1308.43,20978900
5/9/2013,1308.43,1327.86,1304.0,1322.32,16819100
5/12/2013,1322.32,1348.22,1322.32,1343.23,26114200
5/13/2013,1343.23,1366.5,1342.07,1360.62,29540400
5/14/2013,1360.62,1382.63,1360.62,1380.07,42377100
5/15/2013,1380.07,1384.89,1358.95,1361.93,40910200
5/16/2013,1361.93,1387.92,1360.05,1383.08,39618800
5/19/2013,1383.08,1415.24,1383.08,1410.77,53857900
5/20/2013,1410.77,1429.99,1407.12,1420.36,47045100
5/21/2013,1420.36,1430.04,1401.38,1407.62,41798200
5/22/2013,1407.62,1415.28,1385.01,1387.52,31302600
5/26/2013,1387.52,1395.57,1358.58,1358.58,16558300
5/27/2013,1358.58,1387.29,1358.39,1378.59,18742700
5/28/2013,1378.59,1394.05,1378.59,1381.97,23700900
5/29/2013,1381.97,1424.93,1381.97,1421.39,43303400
5/30/2013,1421.39,1441.56,1421.39,1426.75,46676200
6/2/2013,1426.75,1450.24,1426.75,1445.79,47617200
6/3/2013,1445.79,1468.23,1445.79,1462.29,54699300
6/4/2013,1462.29,1476.28,1462.29,1465.11,61176000
6/5/2013,1465.11,1506.76,1459.43,1498.9,66085800
6/6/2013,1498.9,1520.13,1495.03,1500.73,63163700
6/9/2013,1500.73,1500.73,1443.91,1443.91,43174300
6/10/2013,1443.91,1501.34,1443.91,1496.89,47344400
6/11/2013,1496.89,1526.71,1496.89,1513.97,64517500
6/12/2013,1513.97,1531.56,1509.77,1512.38,75230200
6/13/2013,1512.38,1521.02,1504.42,1505.59,59349600
6/16/2013,1505.59,1542.03,1505.59,1536.28,81497200
6/17/2013,1536.28,1559.82,1526.27,1526.27,82169200
6/18/2013,1526.27,1538.91,1520.44,1535.96,84739200
6/19/2013,1535.96,1578.55,1535.96,1570.35,107226000
6/20/2013,1570.35,1585.33,1552.26,1553.0,68557696
6/23/2013,1553.0,1582.65,1550.2,1550.22,66009400
6/24/2013,1550.22,1565.96,1533.56,1546.74,51186400
6/26/2013,1546.74,1584.05,1546.74,1567.57,78681400
6/27/2013,1567.57,1579.39,1547.55,1547.55,64415300
6/30/2013,1547.55,1551.26,1514.84,1532.55,56822000
7/2/2013,1532.55,1583.45,1532.55,1578.39,76253296
7/3/2013,1578.39,1599.7,1578.39,1584.97,80519800
7/4/2013,1584.97,1600.43,1584.97,1594.77,91319504
7/7/2013,1594.77,1617.68,1594.77,1599.15,85825400
7/8/2013,1599.15,1607.6,1594.98,1600.32,99186400
7/9/2013,1600.32,1643.25,1600.32,1634.15,129462000
7/10/2013,1634.15,1666.55,1634.15,1643.47,104011000
7/11/2013,1643.47,1665.03,1619.11,1620.18,73042496
7/14/2013,1620.18,1638.06,1594.73,1605.89,58161700
7/15/2013,1605.89,1662.53,1605.89,1650.74,83246704
7/16/2013,1650.74,1686.61,1647.91,1654.22,102415000
7/17/2013,1654.22,1667.33,1638.7,1640.7,98678096
7/18/2013,1640.7,1640.7,1593.85,1598.68,85201696
7/21/2013,1598.68,1626.91,1513.58,1519.35,60691200
7/22/2013,1519.35,1540.19,1489.9,1495.8,43278300
7/23/2013,1495.8,1507.13,1433.72,1435.07,43890200
7/24/2013,1435.07,1515.82,1432.71,1511.27,46407500
7/25/2013,1511.27,1539.6,1472.82,1478.27,40380800
7/28/2013,1478.27,1478.27,1433.04,1448.46,22024400
7/29/2013,1448.46,1497.36,1448.46,1490.63,34637400
7/30/2013,1490.63,1513.44,1476.04,1481.15,34473700
7/31/2013,1481.15,1501.9,1478.05,1483.07,37358500
8/1/2013,1483.07,1485.64,1467.25,1477.12,30283600
8/4/2013,1477.12,1477.12,1433.55,1440.91,20381400
8/5/2013,1440.91,1471.22,1435.49,1468.06,21520000
8/12/2013,1468.06,1485.75,1456.34,1481.76,16229600
8/13/2013,1481.76,1509.77,1481.76,1507.64,32321300
8/14/2013,1507.64,1516.95,1497.53,1514.95,35124700
8/18/2013,1514.95,1546.24,1514.95,1538.31,44943400
8/19/2013,1538.31,1556.18,1523.47,1553.63,47568800
8/20/2013,1553.63,1588.18,1548.04,1549.98,70685200
8/21/2013,1549.98,1574.96,1535.28,1537.24,56515700
8/22/2013,1537.24,1564.19,1537.24,1561.09,73607696
8/25/2013,1561.09,1592.67,1561.09,1568.23,82030600
8/26/2013,1568.23,1577.45,1543.93,1544.9,60247200
8/27/2013,1544.9,1558.41,1528.42,1529.94,69021800
8/29/2013,1529.94,1551.77,1520.67,1540.02,54072700
9/1/2013,1540.02,1559.32,1540.02,1544.89,54123800
9/2/2013,1544.89,1553.98,1527.68,1527.82,47886500
9/3/2013,1527.82,1558.53,1523.29,1552.21,45672300
9/4/2013,1552.21,1571.05,1542.77,1546.54,53063700
9/5/2013,1546.54,1560.65,1544.95,1545.5,41263500
9/8/2013,1545.5,1550.12,1518.46,1519.99,34132800
9/9/2013,1519.99,1530.07,1506.04,1511.71,42769400
9/10/2013,1511.71,1532.31,1511.71,1517.89,51614400
9/11/2013,1517.89,1533.2,1514.35,1515.51,54653700
9/12/2013,1515.51,1521.59,1508.75,1509.43,56528400
9/15/2013,1509.43,1534.21,1509.43,1530.39,59052500
9/16/2013,1530.39,1542.35,1522.24,1523.28,52293500
9/17/2013,1523.28,1524.92,1508.16,1508.16,62943900
9/18/2013,1508.16,1531.47,1508.16,1519.12,65297700
9/19/2013,1519.12,1527.72,1508.58,1512.43,48519900
9/22/2013,1512.43,1513.87,1484.48,1484.48,41494000
9/23/2013,1484.48,1485.26,1467.56,1467.56,52133900
9/24/2013,1467.56,1485.46,1467.56,1471.92,46842700
9/25/2013,1471.92,1477.66,1459.13,1462.54,32432200
9/26/2013,1462.54,1471.37,1460.87,1464.31,30307700
9/29/2013,1464.31,1478.25,1447.05,1448.79,33216700
9/30/2013,1448.79,1448.79,1431.36,1440.53,27199500
10/1/2013,1440.53,1453.53,1434.27,1435.03,24051900
10/2/2013,1435.03,1444.45,1432.82,1441.68,28663300
10/3/2013,1441.68,1455.48,1441.39,1441.93,26465800
10/6/2013,1441.93,1446.59,1418.01,1418.01,24659500
10/7/2013,1418.01,1420.57,1403.34,1403.59,23326700
10/8/2013,1403.59,1405.77,1372.39,1372.61,26512300
10/9/2013,1372.61,1394.45,1365.6,1384.22,22584100
10/10/2013,1384.22,1391.78,1383.11,1387.95,21949300
10/20/2013,1387.95,1387.95,1357.16,1359.03,11043900
10/21/2013,1359.03,1363.82,1325.95,1358.81,16711600
10/22/2013,1358.81,1380.22,1358.81,1375.25,18882800
10/23/2013,1375.25,1402.95,1375.25,1393.25,29643600
10/24/2013,1393.25,1393.25,1360.67,1361.04,23031400
10/27/2013,1361.04,1392.61,1361.04,1386.43,24990100
10/28/2013,1386.43,1412.15,1386.43,1390.85,36861700
10/29/2013,1390.85,1407.05,1383.74,1404.44,39157600
10/30/2013,1404.44,1422.95,1398.17,1402.25,38433600
10/31/2013,1402.25,1414.25,1399.92,1408.15,35183500
11/3/2013,1408.15,1439.46,1404.3,1433.85,31523200
11/4/2013,1433.85,1454.8,1433.85,1447.32,41205400
11/5/2013,1447.32,1459.74,1442.99,1443.22,38892200
11/6/2013,1443.22,1448.09,1433.45,1435.15,39019100
11/7/2013,1435.15,1457.63,1435.16,1453.33,47389800
11/10/2013,1453.33,1467.79,1436.11,1436.11,49842600
11/11/2013,1436.11,1449.72,1434.91,1436.17,50438500
11/12/2013,1436.17,1447.63,1435.55,1438.71,38103400
11/13/2013,1438.71,1448.44,1438.11,1443.45,47128600
11/14/2013,1443.45,1456.32,1443.45,1446.98,51650400
11/17/2013,1446.98,1465.61,1446.98,1461.68,49895100
11/18/2013,1461.68,1493.4,1461.68,1489.61,57996100
11/19/2013,1489.61,1532.57,1489.61,1530.77,78792304
11/20/2013,1530.77,1559.46,1530.77,1556.89,88900496
11/21/2013,1556.89,1560.48,1535.82,1543.99,72811800
11/24/2013,1543.99,1560.62,1531.61,1531.85,65904000
11/25/2013,1531.85,1559.49,1531.85,1535.27,75061800
11/26/2013,1535.27,1541.96,1507.63,1508.3,72620600
11/27/2013,1508.3,1522.98,1506.16,1516.02,58030100
11/28/2013,1516.02,1521.79,1494.72,1503.78,36651400
12/1/2013,1503.78,1503.78,1470.14,1470.82,34868800
12/2/2013,1470.82,1492.99,1467.97,1479.59,34785200
12/3/2013,1479.59,1507.88,1479.59,1505.47,54153000
12/4/2013,1505.47,1518.29,1505.47,1507.25,46370900
12/5/2013,1507.25,1507.25,1496.42,1497.92,44170400
12/8/2013,1497.92,1510.38,1497.92,1501.42,52659400
12/9/2013,1501.42,1516.76,1495.99,1495.99,64736900
12/10/2013,1495.99,1507.3,1495.99,1500.74,74605400
12/11/2013,1500.74,1513.93,1500.25,1500.86,71595400
12/12/2013,1500.86,1505.23,1488.03,1490.35,56365400
12/15/2013,1490.35,1495.3,1485.42,1485.46,49760100
12/17/2013,1485.46,1492.94,1478.12,1478.26,59372000
12/18/2013,1478.26,1485.87,1468.37,1468.46,48267200
12/19/2013,1468.46,1473.61,1460.9,1467.07,47511400
12/22/2013,1467.07,1483.97,1467.07,1480.87,71008600
12/23/2013,1480.87,1491.66,1471.73,1472.33,45644100
12/24/2013,1472.33,1478.72,1459.26,1459.26,37437700
12/26/2013,1459.26,1462.54,1444.11,1447.95,36756900
