Date,Open,High,Low,Close,Volume
1/28/2024,25.6,25.7,24.7,25.4,127214
1/29/2024,24.6,26.6,24.6,25.3,86485
1/30/2024,25.1,25.7,25.0,25.1,116902
1/31/2024,25.7,26.4,25.6,25.7,280861
2/1/2024,26.1,26.9,25.9,26.0,313575
2/4/2024,27.3,27.8,26.4,27.3,348747
2/5/2024,26.5,28.0,26.5,27.7,87439
2/6/2024,26.7,27.5,26.7,27.0,173385
2/7/2024,27.2,28.5,26.8,26.9,263135
2/8/2024,26.9,27.4,26.7,27.0,183289
2/11/2024,25.5,28.0,25.5,26.9,1079430
2/12/2024,27.0,29.0,27.0,27.7,530913
2/13/2024,27.5,28.9,27.2,27.5,271161
2/14/2024,27.5,29.4,27.1,28.1,7292
2/15/2024,28.1,28.4,26.9,27.6,36641
2/18/2024,27.2,28.0,27.2,27.5,76803
2/19/2024,28.1,28.1,27.0,27.0,87110
2/20/2024,27.0,27.5,27.0,27.0,132714
