Date,Open,High,Low,Close,Volume
10/1/2012,156.0,157.0,154.0,155.6,6750
10/2/2012,157.9,160.0,156.0,158.8,13800
10/3/2012,157.8,157.8,156.0,156.2,4700
10/4/2012,157.5,157.5,156.0,156.2,10750
10/7/2012,156.0,156.0,155.1,155.1,13800
10/8/2012,153.2,154.5,153.2,153.2,2700
10/9/2012,153.5,153.8,150.0,150.6,28950
10/10/2012,151.0,155.5,151.0,152.9,3900
10/11/2012,153.0,153.9,150.5,151.8,2800
10/14/2012,151.2,153.8,150.1,151.3,6050
10/15/2012,150.0,152.1,149.0,150.7,6650
10/16/2012,149.4,153.0,149.4,150.7,8050
10/17/2012,149.2,150.4,149.0,149.8,3750
10/18/2012,149.8,154.9,149.8,152.5,10250
10/21/2012,153.9,155.0,152.0,154.1,7800
10/22/2012,150.5,155.0,150.5,154.5,4450
10/23/2012,154.0,154.0,152.8,153.0,8800
10/30/2012,150.0,155.0,150.0,151.4,900
10/31/2012,152.0,156.0,147.3,148.4,29550
11/1/2012,150.0,150.0,148.5,149.8,1350
11/4/2012,149.0,149.0,148.5,148.7,550
11/5/2012,147.0,149.0,146.0,146.2,6350
11/6/2012,146.5,146.5,145.1,145.2,6200
11/7/2012,145.0,145.0,144.0,144.3,3000
11/8/2012,143.0,145.5,143.0,143.4,2650
11/11/2012,140.0,143.5,138.3,141.0,6200
11/12/2012,142.0,142.0,140.0,140.6,4850
11/13/2012,140.0,141.7,138.0,139.6,4000
11/14/2012,140.0,143.0,140.0,140.4,3450
11/15/2012,143.8,144.0,142.4,143.5,4450
11/18/2012,141.2,144.0,141.1,142.7,2650
11/19/2012,141.2,143.5,141.2,142.0,1600
11/20/2012,140.6,144.5,140.5,141.3,4450
11/21/2012,144.0,144.0,141.5,141.5,4200
11/22/2012,142.8,144.0,141.4,141.4,2450
11/26/2012,140.2,140.7,140.0,140.3,2950
11/27/2012,143.7,143.7,139.9,141.8,450
11/28/2012,136.0,140.0,136.0,139.2,1950
11/29/2012,140.0,143.0,139.9,141.9,4950
12/2/2012,142.0,142.0,139.5,140.3,4750
12/3/2012,140.0,140.0,138.0,138.9,3700
12/4/2012,139.3,139.3,136.0,138.1,1500
12/5/2012,138.1,140.0,138.1,138.9,450
12/6/2012,138.0,138.0,135.9,136.7,7400
12/9/2012,137.0,140.0,136.2,137.2,2150
12/10/2012,137.3,137.3,135.9,136.0,2150
12/11/2012,136.0,136.2,135.1,135.8,1350
12/12/2012,137.0,137.0,135.9,136.1,1400
12/13/2012,136.0,136.9,136.0,136.2,2250
12/17/2012,136.2,137.9,136.2,136.8,2900
12/18/2012,137.0,137.5,136.5,137.1,2350
12/19/2012,138.0,138.0,136.0,136.2,3250
12/20/2012,137.0,137.0,136.5,136.6,600
12/23/2012,137.0,139.1,137.0,138.6,2100
12/24/2012,136.0,140.0,136.0,139.6,4350
12/26/2012,137.6,140.7,137.6,140.2,7250
12/27/2012,137.1,141.0,136.7,140.7,14800
12/30/2012,142.0,142.0,140.5,141.2,9000
1/1/2013,143.0,143.0,140.6,141.7,2250
1/2/2013,141.8,141.8,138.5,140.6,1800
1/3/2013,137.0,138.1,137.0,137.9,650
1/6/2013,138.1,138.1,138.0,138.0,900
1/7/2013,138.0,140.9,137.9,138.8,1950
1/8/2013,138.5,140.0,138.5,139.1,800
1/9/2013,139.5,140.5,138.1,139.1,2000
1/10/2013,141.5,142.0,135.9,139.3,5450
1/13/2013,137.5,140.0,137.5,138.1,4150
1/14/2013,139.0,139.9,138.0,138.6,1650
1/15/2013,138.2,143.8,138.2,140.3,3150
1/16/2013,140.2,142.0,138.9,139.8,7350
1/17/2013,142.1,142.3,140.0,141.1,4250
1/20/2013,140.0,140.0,139.1,139.2,1050
1/21/2013,140.5,141.5,139.0,139.8,5950
1/22/2013,142.0,153.7,142.0,152.6,60500
1/23/2013,158.5,159.0,145.0,149.4,24500
1/24/2013,152.0,153.9,147.5,151.7,10450
1/27/2013,148.1,148.5,145.2,145.7,13800
1/28/2013,146.0,149.8,145.0,145.7,10500
1/29/2013,151.9,152.8,145.3,146.0,19050
1/30/2013,144.0,148.9,144.0,145.7,6850
1/31/2013,147.5,147.5,143.4,144.1,20850
2/3/2013,143.0,145.9,142.6,143.2,7900
2/4/2013,143.0,143.1,141.8,142.8,7350
2/5/2013,143.0,144.0,142.0,142.9,3500
2/6/2013,142.1,143.7,141.2,141.9,10100
2/7/2013,141.5,143.1,141.5,142.2,4100
2/10/2013,142.5,145.0,142.2,142.7,7700
2/11/2013,143.5,144.4,142.9,143.6,4250
2/12/2013,144.0,147.0,144.0,144.7,8750
2/13/2013,146.9,147.0,143.2,143.5,7800
2/14/2013,143.1,145.9,143.1,144.4,5950
2/17/2013,146.8,146.9,143.5,144.1,5200
2/18/2013,146.5,146.5,144.2,145.5,3900
2/19/2013,144.1,145.0,142.1,143.0,6050
2/20/2013,142.0,144.5,141.6,142.3,3750
2/24/2013,142.0,142.0,136.1,136.7,4850
2/25/2013,141.0,141.8,138.0,138.1,5200
2/26/2013,138.0,139.9,137.5,139.0,750
2/27/2013,135.5,139.9,135.3,136.1,6150
2/28/2013,137.0,138.6,137.0,137.1,700
3/3/2013,132.0,132.0,130.0,130.9,4600
3/4/2013,134.0,136.5,133.0,134.3,1250
3/5/2013,134.1,136.5,133.6,136.2,2850
3/6/2013,135.9,136.1,133.9,135.0,1700
3/7/2013,134.8,135.0,132.4,133.9,1350
3/10/2013,134.0,134.0,132.0,132.8,2100
3/11/2013,132.0,132.8,131.5,132.1,2600
3/12/2013,132.3,134.5,130.1,133.0,1950
3/13/2013,135.5,135.9,134.0,134.3,3400
3/14/2013,134.0,134.0,131.4,132.7,21800
3/18/2013,136.0,136.0,131.0,132.6,4100
3/19/2013,135.7,135.7,131.5,132.5,5050
3/20/2013,131.8,131.8,131.6,131.6,1600
3/24/2013,131.6,131.6,130.1,130.4,3400
3/25/2013,132.7,132.7,129.3,130.1,1850
3/27/2013,130.0,130.1,129.3,129.7,5200
3/28/2013,130.9,131.9,130.5,131.2,2300
3/31/2013,130.5,131.5,129.5,130.0,2900
4/1/2013,130.0,130.2,129.9,129.9,7150
4/2/2013,130.3,130.3,129.4,129.8,2150
4/3/2013,130.6,130.6,128.0,129.1,2500
4/4/2013,128.9,128.9,128.0,128.3,2050
4/7/2013,130.4,130.4,129.2,129.8,3050
4/8/2013,129.9,130.5,129.0,129.9,4650
4/9/2013,130.0,132.9,130.0,131.2,2050
4/10/2013,133.0,133.9,131.1,132.4,4100
4/11/2013,130.0,131.2,130.0,130.6,1400
4/15/2013,131.0,134.9,130.6,134.3,7550
4/16/2013,134.9,135.8,131.4,134.2,5950
4/17/2013,133.8,133.8,131.5,131.6,3350
4/18/2013,131.4,134.5,131.4,133.3,3400
4/21/2013,132.4,134.0,131.5,132.8,2550
4/22/2013,133.4,142.0,133.4,137.6,20900
4/23/2013,136.5,136.6,132.5,133.9,6200
4/24/2013,132.5,133.8,131.6,133.0,5250
4/25/2013,133.4,136.4,133.4,135.3,9600
4/28/2013,134.1,136.6,134.1,136.2,6350
4/29/2013,135.3,137.9,133.1,135.4,6200
4/30/2013,136.2,137.1,135.2,136.5,6350
5/2/2013,146.0,146.0,141.0,142.1,139600
5/5/2013,144.0,155.8,144.0,154.9,175550
5/6/2013,159.8,159.8,153.0,154.8,21700
5/7/2013,153.0,153.7,149.1,152.7,53150
5/8/2013,151.9,152.3,150.0,151.0,58850
5/9/2013,150.0,157.9,150.0,153.9,57300
5/13/2013,128.2,129.8,123.0,125.5,57950
5/14/2013,125.0,128.0,124.3,125.4,32900
5/15/2013,124.4,127.3,124.2,124.7,12650
5/16/2013,126.6,126.6,124.5,124.9,11600
5/19/2013,128.8,128.9,125.1,125.9,25800
5/20/2013,124.8,126.5,124.5,125.5,13650
5/21/2013,125.5,126.3,124.0,125.2,14150
5/22/2013,125.1,125.1,123.9,123.9,10100
5/26/2013,125.4,125.4,122.3,123.0,10250
5/27/2013,124.5,125.1,123.4,124.5,15550
5/28/2013,125.0,133.9,124.4,129.8,55850
5/29/2013,130.1,132.0,128.0,130.1,105300
5/30/2013,130.0,131.4,129.7,130.2,19750
6/2/2013,131.8,131.9,129.9,130.1,38700
6/3/2013,129.0,130.5,129.0,130.2,23100
6/4/2013,130.1,135.0,130.1,132.7,76750
6/5/2013,133.2,134.8,132.1,133.6,20750
6/6/2013,135.0,137.0,134.3,134.5,25250
6/9/2013,131.3,134.0,131.3,132.7,23600
6/10/2013,131.5,135.9,131.5,134.7,16000
6/11/2013,135.0,137.9,135.0,136.2,29850
6/12/2013,134.1,136.8,134.1,135.9,17550
6/13/2013,136.0,140.0,136.0,138.3,36150
6/16/2013,139.9,147.0,139.9,145.7,38250
6/17/2013,146.0,149.5,146.0,146.9,52400
6/18/2013,146.4,147.2,144.2,145.3,30250
6/19/2013,147.5,157.0,146.0,156.0,79300
6/20/2013,154.0,157.9,152.0,152.3,66800
6/23/2013,156.9,157.0,152.5,152.7,30200
6/24/2013,151.1,152.0,149.0,149.5,56550
6/26/2013,152.0,155.0,150.0,150.8,22500
6/27/2013,150.7,152.0,149.3,150.1,29600
6/30/2013,147.0,151.0,146.2,149.1,36650
7/2/2013,150.2,152.4,150.2,152.0,18650
7/3/2013,153.0,155.0,152.3,153.6,24650
7/4/2013,151.0,155.0,151.0,154.6,23200
7/7/2013,157.7,157.8,154.6,156.3,19350
7/8/2013,156.7,171.9,155.1,171.6,118550
7/9/2013,172.2,180.0,172.2,179.6,70900
7/10/2013,184.0,184.0,167.2,171.8,23550
7/11/2013,170.1,173.0,163.5,164.0,26800
7/14/2013,179.0,180.0,160.0,163.5,21850
7/15/2013,164.8,167.5,164.0,166.7,12250
7/16/2013,176.0,176.0,162.3,164.3,24200
7/17/2013,162.0,165.0,162.0,163.8,18150
7/18/2013,160.1,163.0,159.0,160.2,16500
7/21/2013,160.0,160.0,150.0,151.2,10750
7/22/2013,147.2,152.9,147.2,149.6,5000
7/23/2013,150.0,150.0,146.3,146.6,16100
7/24/2013,146.7,157.0,146.6,154.0,11650
7/25/2013,150.0,153.0,148.0,149.5,6150
7/28/2013,146.4,146.4,142.0,145.1,8100
7/29/2013,147.5,150.0,147.3,148.7,1550
7/30/2013,160.0,160.0,146.1,146.4,7750
7/31/2013,146.0,150.0,145.8,146.4,12200
8/1/2013,142.0,146.6,142.0,142.3,3950
8/4/2013,145.0,145.0,142.0,142.3,5000
8/5/2013,143.0,145.9,142.0,144.9,6900
8/12/2013,145.9,146.9,143.2,143.3,4550
8/13/2013,146.3,147.9,146.0,147.2,6150
8/14/2013,146.0,147.5,146.0,146.3,4800
8/18/2013,145.5,147.5,145.5,146.1,7400
8/19/2013,145.8,154.9,145.8,151.6,11500
8/20/2013,153.5,155.3,150.5,151.5,10300
8/21/2013,150.3,153.5,150.3,150.9,6600
8/22/2013,149.1,163.8,149.1,159.2,25000
8/25/2013,159.3,172.0,159.3,167.1,51100
8/26/2013,172.0,172.8,167.5,170.3,28600
8/27/2013,171.0,187.3,171.0,187.1,165800
8/29/2013,192.0,195.0,181.0,181.7,56700
9/1/2013,181.7,190.0,181.7,184.0,62100
9/2/2013,188.7,188.7,178.5,179.8,65650
9/3/2013,179.9,185.0,177.5,178.2,179650
9/4/2013,182.0,191.0,182.0,183.8,76950
9/5/2013,184.5,184.7,178.5,179.5,21750
9/8/2013,181.8,182.0,178.1,179.1,36800
9/9/2013,180.0,182.0,178.5,179.5,56100
9/10/2013,181.1,184.0,176.1,177.3,35450
9/11/2013,177.0,184.0,176.0,179.9,40350
9/12/2013,182.0,193.0,181.0,188.1,122050
9/15/2013,194.5,195.0,185.0,186.9,56500
9/16/2013,182.0,186.5,178.0,181.4,47600
9/17/2013,183.4,183.4,179.0,180.5,49450
9/18/2013,182.8,186.0,173.0,178.0,31950
9/19/2013,176.2,179.5,176.1,177.0,21950
9/22/2013,176.0,180.0,171.6,171.7,20350
9/23/2013,170.0,173.8,170.0,171.4,25250
9/24/2013,171.8,178.6,171.0,171.7,26500
9/25/2013,174.9,174.9,170.0,170.9,11950
9/26/2013,170.0,172.1,168.1,168.2,10450
9/29/2013,167.0,167.3,162.1,163.4,11000
9/30/2013,161.5,163.3,160.0,161.4,15600
10/1/2013,160.4,164.0,159.0,161.5,6350
10/2/2013,160.2,163.0,160.0,161.0,10900
10/3/2013,167.8,167.8,161.0,161.3,8950
10/6/2013,161.1,161.1,158.0,158.5,19050
10/7/2013,158.0,161.0,158.0,159.6,12150
10/8/2013,158.7,159.0,156.5,157.4,13550
10/9/2013,155.2,160.0,152.1,158.6,7300
10/10/2013,165.9,165.9,157.5,157.8,9100
10/20/2013,154.2,156.5,153.4,153.9,2600
10/21/2013,150.8,157.9,150.0,150.7,15050
10/22/2013,154.8,159.0,154.8,157.1,5450
10/23/2013,159.0,163.5,159.0,159.5,9650
10/24/2013,156.2,156.7,155.2,155.6,2950
10/27/2013,155.0,159.9,155.0,157.4,2100
10/28/2013,159.5,159.6,157.7,158.3,22350
10/29/2013,157.0,157.0,155.3,155.9,7600
10/30/2013,161.0,164.0,158.9,159.0,15550
10/31/2013,159.5,159.5,158.1,158.4,4900
11/3/2013,156.7,165.5,156.7,163.7,10300
11/4/2013,167.0,167.0,163.3,165.1,8900
11/5/2013,169.6,170.0,166.9,167.2,11750
11/6/2013,166.0,166.5,165.0,165.1,5900
11/7/2013,161.0,165.4,161.0,163.3,3450
11/10/2013,165.5,166.0,161.7,163.3,9700
11/11/2013,161.0,164.5,161.0,163.2,9800
11/12/2013,164.0,164.0,162.0,162.8,6000
11/13/2013,164.8,164.8,161.0,161.8,11300
11/14/2013,163.0,163.5,161.4,161.7,16050
11/17/2013,164.9,165.0,161.9,164.2,14550
11/18/2013,165.6,170.0,165.6,167.6,64850
11/19/2013,170.0,180.0,169.6,177.9,37150
11/20/2013,171.5,182.0,171.5,174.9,42400
11/21/2013,175.0,177.0,171.2,172.2,15750
11/24/2013,172.0,179.0,171.0,172.5,103050
11/25/2013,176.0,181.9,175.2,176.1,88750
11/26/2013,173.2,177.0,173.1,174.3,13500
11/27/2013,172.0,175.2,172.0,174.8,7550
11/28/2013,172.3,173.8,172.1,172.5,5650
12/1/2013,168.9,170.9,168.1,169.3,3800
12/2/2013,171.0,171.6,169.2,170.0,5550
12/3/2013,171.0,174.0,170.4,173.2,3450
12/4/2013,178.0,183.0,173.0,174.3,18800
12/5/2013,170.0,175.7,170.0,174.1,5800
12/8/2013,175.8,178.5,175.5,176.7,14050
12/9/2013,178.8,178.8,175.0,177.1,9350
12/10/2013,177.0,177.5,173.1,174.4,16700
12/11/2013,175.0,175.0,172.5,172.6,8450
12/12/2013,177.0,183.0,172.1,172.5,26600
12/15/2013,172.0,173.0,171.0,171.6,19100
12/17/2013,171.2,173.3,170.6,171.2,6200
12/18/2013,170.4,170.5,169.0,169.9,5350
12/19/2013,171.0,173.0,169.1,171.9,10350
12/22/2013,173.0,173.0,171.0,171.7,5650
12/23/2013,172.0,172.0,169.0,170.5,3050
12/24/2013,170.0,171.6,168.4,170.1,2700
12/26/2013,167.5,167.5,166.0,166.6,1200
12/29/2013,169.1,170.0,161.0,163.2,1600
12/30/2013,165.0,178.0,165.0,171.5,15200
