Date,Open,High,Low,Close,Volume
10/1/2012,74.7,75.4,72.5,73.9,1027000
10/2/2012,75.9,77.9,74.5,75.0,621500
10/3/2012,75.5,76.0,74.2,74.8,722000
10/4/2012,75.0,75.8,72.2,72.4,412500
10/7/2012,72.1,74.2,68.6,68.9,397000
10/8/2012,70.5,72.9,68.1,69.0,272500
10/9/2012,70.0,72.5,69.7,70.0,259000
10/10/2012,72.4,72.4,69.8,70.7,295000
10/11/2012,70.1,72.8,70.0,71.8,244000
10/14/2012,72.0,77.5,72.0,76.6,875500
10/15/2012,77.5,77.8,74.5,75.2,360500
10/16/2012,75.9,76.2,73.9,74.3,297500
10/17/2012,74.4,76.8,74.4,75.1,448000
10/18/2012,76.1,76.5,73.9,74.2,206000
10/21/2012,74.0,74.1,71.4,72.0,173000
10/22/2012,71.8,73.0,71.5,72.1,194500
10/23/2012,72.2,73.6,72.2,72.8,159000
10/30/2012,73.0,73.4,72.6,72.9,129500
10/31/2012,75.0,75.6,73.6,74.0,262000
11/1/2012,74.9,75.6,74.4,74.5,184000
11/4/2012,74.3,74.8,72.5,73.5,185000
11/5/2012,73.1,74.0,71.7,72.9,114500
11/6/2012,73.8,73.9,71.3,71.8,193500
11/7/2012,73.1,73.1,70.8,71.1,132000
11/8/2012,69.7,71.0,67.7,68.4,232000
11/11/2012,69.6,69.7,66.1,66.9,128500
11/12/2012,68.0,68.8,65.9,67.8,109000
11/13/2012,69.8,70.0,67.2,69.5,111500
11/14/2012,70.0,70.1,68.7,69.7,113500
11/15/2012,70.7,73.3,70.6,71.8,296000
11/18/2012,72.5,72.5,70.5,71.3,185000
11/19/2012,71.0,71.0,67.6,68.0,166000
11/20/2012,68.7,69.6,66.4,66.6,112500
11/21/2012,67.2,68.9,66.8,67.1,128500
11/22/2012,68.3,69.3,68.0,68.7,109500
11/26/2012,68.0,68.0,66.8,67.0,56500
11/27/2012,67.0,67.9,65.0,65.4,131000
11/28/2012,68.0,68.0,65.1,65.9,113000
11/29/2012,67.0,69.0,67.0,68.5,166000
12/2/2012,69.0,69.3,66.9,68.1,166000
12/3/2012,66.4,67.1,65.5,66.1,73500
12/4/2012,65.0,67.0,65.0,66.5,77000
12/5/2012,67.0,67.5,65.5,67.1,123000
12/6/2012,67.0,67.3,66.1,67.1,189500
12/9/2012,67.2,67.4,66.4,66.9,138000
12/10/2012,66.3,67.2,65.2,66.1,171000
12/11/2012,66.5,66.8,65.7,66.2,42500
12/12/2012,67.4,67.4,66.0,66.0,63500
12/13/2012,67.4,67.4,66.1,66.3,54000
12/17/2012,68.6,69.0,67.0,67.5,186500
12/18/2012,68.3,68.3,66.3,66.6,80000
12/19/2012,66.3,69.0,66.3,67.8,155000
12/20/2012,68.1,68.4,67.0,67.4,306500
12/23/2012,67.5,67.5,65.3,67.0,459500
12/24/2012,67.1,68.4,66.5,68.1,103000
12/26/2012,68.5,70.8,67.6,70.2,165500
12/27/2012,70.1,72.1,70.1,71.8,294500
12/30/2012,73.1,73.1,71.5,72.7,295000
1/1/2013,72.7,72.7,69.2,69.8,56000
1/2/2013,69.3,69.7,68.5,69.3,51500
1/3/2013,69.0,69.9,68.0,68.9,64500
1/6/2013,69.8,69.8,68.5,68.9,35500
1/7/2013,68.3,69.6,68.2,68.9,29000
1/8/2013,68.5,69.8,68.5,69.2,88500
1/9/2013,69.1,69.1,68.3,68.5,32000
1/10/2013,68.5,69.0,68.3,68.4,41000
1/13/2013,68.2,68.6,67.6,67.8,55500
1/14/2013,67.5,67.9,67.1,67.3,44500
1/15/2013,67.1,67.5,67.0,67.2,80500
1/16/2013,67.7,68.5,67.7,68.3,97000
1/17/2013,69.2,71.2,68.9,70.6,220000
1/20/2013,71.3,72.9,70.3,70.6,100000
1/21/2013,70.0,70.4,69.5,69.7,46500
1/22/2013,70.8,72.7,70.7,72.2,325500
1/23/2013,73.0,73.1,72.0,72.5,161000
1/24/2013,73.0,73.8,72.7,73.3,251000
1/27/2013,73.6,75.0,73.3,74.0,372500
1/28/2013,74.1,76.5,73.6,75.9,457500
1/29/2013,76.5,77.0,75.7,76.6,588000
1/30/2013,76.5,77.0,75.3,75.6,285000
1/31/2013,75.5,76.5,74.1,75.1,315500
2/3/2013,76.8,76.9,75.6,75.8,177500
2/4/2013,76.0,76.3,74.6,74.8,187500
2/5/2013,74.1,76.4,74.1,74.8,165000
2/6/2013,75.0,76.0,74.1,74.6,139500
2/7/2013,74.5,75.3,74.0,74.3,168500
2/10/2013,75.0,75.9,74.5,75.5,292000
2/11/2013,75.8,76.2,74.7,75.5,309000
2/12/2013,75.9,77.0,75.1,75.3,390500
2/13/2013,76.4,76.5,74.6,75.2,370000
2/14/2013,76.0,76.4,75.5,75.7,314000
2/17/2013,76.9,78.5,75.7,78.1,915000
