Date,Open,High,Low,Close,Volume
10/1/2012,35.0,39.0,35.0,38.9,3892000
10/2/2012,40.0,42.6,40.0,41.7,2865500
10/3/2012,42.0,42.0,37.8,38.1,1988500
10/4/2012,39.0,39.4,35.9,36.4,1337000
10/7/2012,36.8,38.2,35.0,35.2,1335000
10/8/2012,36.1,37.1,33.8,35.4,1086500
10/9/2012,36.0,38.9,36.0,38.8,1916000
10/10/2012,39.9,40.9,37.2,37.5,1725500
10/11/2012,37.5,38.4,36.6,37.5,1261000
10/14/2012,38.0,41.2,38.0,39.3,2929000
10/15/2012,40.5,40.8,38.1,38.5,1053500
10/16/2012,38.1,39.0,37.4,37.6,619000
10/17/2012,38.0,38.4,35.7,36.5,1043500
10/18/2012,37.7,38.7,36.6,37.1,1623000
10/21/2012,38.6,38.6,36.0,36.4,969500
10/22/2012,36.4,37.4,36.4,37.0,551500
10/23/2012,38.0,38.3,37.0,37.3,883000
10/30/2012,37.5,37.5,34.9,35.5,785000
10/31/2012,36.0,36.3,33.1,33.7,748500
11/1/2012,33.0,34.5,32.3,33.7,871500
11/4/2012,34.6,34.6,32.0,32.5,489500
11/5/2012,33.0,33.9,32.4,33.5,570500
11/6/2012,33.9,34.7,32.8,33.1,620000
11/7/2012,34.0,34.0,32.0,32.2,428000
11/8/2012,32.5,32.8,30.5,30.7,398000
11/11/2012,29.0,31.0,29.0,29.9,786000
11/12/2012,29.7,30.5,28.3,28.9,242500
11/13/2012,29.3,30.8,28.6,30.5,387500
11/14/2012,30.5,31.1,29.9,30.2,326500
11/15/2012,30.0,30.3,29.7,29.8,284500
11/18/2012,29.8,29.9,28.0,28.5,461000
11/19/2012,28.0,28.3,26.3,26.7,303000
11/20/2012,27.0,27.1,25.6,25.8,351500
11/21/2012,26.7,26.7,25.3,26.1,455000
11/26/2012,24.2,25.3,24.0,24.4,703500
11/27/2012,24.3,24.5,23.5,23.7,239000
11/28/2012,24.0,24.4,23.2,23.4,251500
11/29/2012,24.8,25.7,24.0,25.5,783000
12/2/2012,26.0,26.1,24.3,24.6,688000
12/3/2012,24.3,25.2,23.8,24.0,257500
12/4/2012,24.0,24.8,23.7,24.5,270000
12/5/2012,24.1,24.9,24.1,24.5,259000
12/6/2012,24.2,24.8,24.1,24.6,468500
12/9/2012,24.4,24.7,23.7,24.3,406500
12/10/2012,24.6,24.6,23.6,23.8,280500
12/11/2012,23.9,24.1,23.7,23.9,142000
12/12/2012,24.4,24.6,23.5,23.6,148000
12/13/2012,23.7,23.9,23.5,23.6,310000
12/17/2012,24.2,24.3,23.6,23.8,161500
12/18/2012,24.2,24.2,23.2,23.3,148000
12/19/2012,23.8,23.9,23.3,23.4,289500
12/20/2012,23.8,24.2,23.4,23.5,174500
12/23/2012,23.7,23.7,23.0,23.3,141500
12/24/2012,23.3,23.6,23.0,23.2,119500
12/26/2012,23.6,23.6,23.0,23.2,267000
12/27/2012,23.5,24.0,23.0,23.7,283500
12/30/2012,23.8,24.2,23.5,23.9,276000
1/1/2013,23.9,23.9,23.5,23.5,66000
1/2/2013,23.7,23.8,23.2,23.2,66500
1/3/2013,23.6,23.6,23.0,23.2,188000
1/6/2013,23.1,23.7,23.1,23.5,146000
1/7/2013,23.3,23.6,23.2,23.3,133500
1/8/2013,23.4,23.4,23.0,23.1,101500
1/9/2013,23.1,23.3,23.0,23.1,63500
1/10/2013,23.1,23.2,22.8,22.9,95000
1/13/2013,22.9,23.2,22.7,22.7,191500
1/14/2013,22.6,22.9,22.5,22.5,119000
1/15/2013,22.5,22.8,22.4,22.6,53000
1/16/2013,22.8,22.8,22.5,22.6,64000
1/17/2013,22.5,22.9,22.5,22.6,97000
1/20/2013,22.4,22.7,22.0,22.0,129500
1/21/2013,22.3,22.3,21.7,21.7,137500
1/22/2013,22.1,23.8,22.1,23.6,706000
1/23/2013,23.9,23.9,23.0,23.2,170000
1/24/2013,23.0,24.5,23.0,24.2,413000
1/27/2013,24.6,24.7,23.8,23.9,366000
1/28/2013,23.7,24.0,23.2,23.6,207500
1/29/2013,23.9,24.7,23.8,24.0,306500
1/30/2013,24.2,24.9,23.8,24.6,490500
1/31/2013,25.0,26.2,24.6,25.6,669000
2/3/2013,25.7,26.3,25.3,25.6,337000
2/4/2013,25.7,25.7,24.8,24.9,223500
2/5/2013,24.5,25.2,24.4,24.9,294000
2/6/2013,24.8,25.6,24.7,24.9,232500
2/7/2013,25.2,25.2,24.7,24.8,230500
2/10/2013,24.9,25.7,24.9,25.1,571000
2/11/2013,25.5,26.0,25.2,25.2,311000
2/12/2013,25.3,25.6,24.7,24.7,389500
2/13/2013,24.8,25.3,24.5,24.6,369000
2/14/2013,24.6,25.6,24.6,25.4,675000
2/17/2013,25.5,25.9,25.0,25.1,355500
2/18/2013,25.4,25.9,25.1,25.3,491500
2/19/2013,25.5,25.9,25.1,25.2,427500
2/20/2013,25.4,25.6,24.7,25.0,653500
2/24/2013,25.0,25.0,23.8,24.1,203000
2/25/2013,24.6,24.8,23.9,23.9,250000
2/26/2013,24.2,24.7,24.0,24.3,180000
2/27/2013,24.4,24.7,23.1,23.6,276500
2/28/2013,23.8,23.9,23.3,23.7,149000
3/3/2013,23.1,23.3,21.4,21.4,206000
3/4/2013,22.2,23.0,22.2,22.8,142500
3/5/2013,22.9,23.3,22.1,22.3,157500
3/6/2013,22.3,22.5,21.9,22.2,131500
3/7/2013,22.1,22.3,21.8,22.1,138500
3/10/2013,22.3,22.4,21.5,21.7,122500
3/11/2013,21.4,21.9,21.3,21.8,109000
3/12/2013,21.2,22.0,21.2,21.8,81500
3/13/2013,22.0,22.5,22.0,22.2,142000
3/14/2013,22.2,22.4,22.0,22.2,140500
3/18/2013,21.7,22.5,21.7,22.1,148500
3/19/2013,22.6,22.6,22.1,22.1,27500
3/20/2013,22.0,22.2,21.7,21.8,69000
3/24/2013,21.9,21.9,21.2,21.2,93000
3/25/2013,21.0,21.3,20.9,21.0,80000
3/27/2013,20.5,21.2,20.2,20.4,96000
3/28/2013,20.6,21.3,20.6,21.0,86000
3/31/2013,20.5,21.1,20.3,21.0,114500
4/1/2013,20.3,20.6,19.6,19.8,132500
4/2/2013,20.0,20.2,19.8,19.9,82500
4/3/2013,20.2,20.6,20.0,20.3,77000
4/4/2013,20.0,20.5,19.8,20.4,126000
4/7/2013,20.0,20.7,20.0,20.5,135500
4/8/2013,20.4,21.0,20.4,20.8,142500
4/9/2013,21.3,21.9,21.3,21.6,87000
4/10/2013,22.2,22.2,20.6,21.1,129500
4/11/2013,20.0,22.1,19.7,21.8,287500
4/15/2013,22.4,23.0,22.2,22.8,172500
4/16/2013,22.5,22.5,21.3,21.7,159000
4/17/2013,21.2,22.9,21.2,22.3,187000
4/18/2013,22.8,23.0,21.9,22.1,246500
4/21/2013,22.1,22.3,21.3,21.4,104000
4/22/2013,20.5,21.8,20.5,21.1,53500
4/23/2013,22.0,22.0,21.2,21.5,59500
4/24/2013,21.0,21.8,21.0,21.4,48500
4/25/2013,21.4,21.5,21.1,21.1,43500
