Date,Open,High,Low,Close,Volume
10/1/2012,8.2,8.8,8.2,8.7,345000
10/2/2012,9.1,9.5,9.0,9.3,5115000
10/3/2012,10.2,10.2,8.7,8.8,1711000
10/4/2012,9.0,9.4,8.5,9.0,556000
10/7/2012,9.7,9.7,8.1,8.1,762500
10/8/2012,8.0,8.4,7.7,7.8,636000
10/9/2012,8.2,8.4,8.0,8.2,780000
10/10/2012,8.1,8.2,7.9,7.9,203500
10/11/2012,8.0,8.1,7.7,7.9,330000
10/14/2012,8.1,8.1,7.6,7.6,448000
10/15/2012,7.6,8.3,7.3,8.2,626000
10/16/2012,8.1,8.5,7.9,7.9,894000
10/17/2012,7.8,8.2,7.8,8.0,329000
10/18/2012,8.2,8.4,8.1,8.1,250000
10/21/2012,8.2,8.3,7.9,7.9,209500
10/22/2012,8.0,8.1,7.8,7.9,383000
10/23/2012,8.0,8.2,8.0,8.0,380500
10/30/2012,7.9,8.0,7.9,7.9,112000
10/31/2012,8.0,8.2,7.9,7.9,442500
11/1/2012,8.1,8.1,7.8,7.8,245500
11/4/2012,7.8,7.9,7.8,7.8,103500
11/5/2012,8.0,8.0,7.6,7.7,51000
11/6/2012,7.9,8.0,7.8,7.9,167500
11/7/2012,8.2,8.2,7.8,7.8,277000
11/8/2012,7.8,7.9,7.7,7.8,88500
11/11/2012,7.8,7.8,7.4,7.4,160500
11/12/2012,7.7,7.7,7.1,7.3,343000
11/13/2012,6.9,7.4,6.9,7.1,43000
11/14/2012,7.2,7.2,7.0,7.0,89500
11/15/2012,7.1,7.4,7.0,7.2,424500
11/18/2012,7.6,7.7,7.3,7.4,235000
11/19/2012,7.6,7.6,7.1,7.4,313000
11/20/2012,7.2,7.4,7.2,7.2,61000
11/21/2012,7.3,7.3,7.1,7.1,51500
11/22/2012,7.2,7.5,7.1,7.2,553000
11/26/2012,7.1,7.1,6.9,6.9,351500
11/27/2012,6.9,7.2,6.9,7.0,20500
11/28/2012,7.0,7.0,6.9,6.9,8500
11/29/2012,7.2,7.4,7.1,7.2,53000
12/2/2012,7.4,7.4,6.9,7.1,525000
12/3/2012,7.1,7.1,7.0,7.0,250500
12/4/2012,7.0,7.1,7.0,7.0,267000
12/5/2012,7.0,7.0,6.8,6.8,109000
12/6/2012,6.9,7.0,6.9,6.9,67500
12/9/2012,7.0,7.1,6.9,6.9,139000
12/10/2012,6.9,6.9,6.8,6.8,101500
12/11/2012,6.7,7.2,6.7,7.0,237000
12/12/2012,7.0,7.2,6.9,7.0,128500
12/13/2012,7.0,7.0,7.0,7.0,42500
12/17/2012,7.0,7.1,7.0,7.0,174000
12/18/2012,7.0,7.0,7.0,7.0,97000
12/19/2012,7.1,7.1,7.0,7.0,68500
12/20/2012,7.0,7.1,6.9,6.9,307000
12/23/2012,6.9,6.9,6.8,6.8,244000
12/24/2012,7.0,7.1,6.9,7.1,167000
12/26/2012,7.1,7.1,6.9,6.9,164000
12/27/2012,7.0,7.5,6.9,7.3,344500
12/30/2012,7.3,8.0,7.1,7.4,606000
1/1/2013,7.3,7.3,7.1,7.1,148500
1/2/2013,7.1,7.1,7.0,7.0,14500
1/3/2013,7.7,7.7,7.3,7.4,554500
1/6/2013,7.7,7.7,7.4,7.4,153000
1/7/2013,7.1,7.2,7.1,7.1,53000
1/8/2013,7.1,7.3,7.1,7.2,142500
1/9/2013,7.8,7.8,7.2,7.2,475500
1/10/2013,7.1,7.2,7.1,7.1,152500
1/13/2013,7.1,7.1,6.9,6.9,63500
1/14/2013,7.0,7.1,6.9,6.9,39000
1/15/2013,7.2,7.3,6.9,6.9,85000
1/16/2013,7.0,7.0,6.9,6.9,165500
1/17/2013,7.0,7.0,6.9,6.9,85000
1/20/2013,6.9,7.0,6.8,6.9,86000
1/21/2013,6.9,6.9,6.8,6.8,72000
1/22/2013,6.8,6.9,6.6,6.6,100000
1/23/2013,6.7,6.8,6.5,6.6,88500
