Date,Open,High,Low,Close,Volume
10/1/2012,26.0,26.6,25.7,26.0,349000
10/2/2012,26.7,27.4,26.4,26.8,487500
10/3/2012,27.0,27.0,26.4,26.8,428000
10/4/2012,26.7,26.8,26.1,26.2,293000
10/7/2012,26.0,26.4,25.7,25.8,426250
10/8/2012,25.2,26.5,25.2,25.6,236250
10/9/2012,25.7,26.6,25.6,25.7,281750
10/10/2012,25.6,26.4,25.6,25.9,499500
10/11/2012,26.0,26.0,25.5,25.5,287000
10/14/2012,25.8,25.8,25.0,25.1,411000
10/15/2012,25.4,25.4,24.9,25.1,325750
10/16/2012,25.5,25.6,25.0,25.0,441250
10/17/2012,25.5,25.5,24.5,24.6,511500
10/18/2012,24.6,25.0,24.5,24.7,456750
10/21/2012,25.0,25.1,24.5,24.9,454250
10/22/2012,25.4,25.8,24.7,25.5,627500
10/23/2012,25.6,26.2,25.5,25.7,537750
10/30/2012,25.6,25.7,25.0,25.3,421250
10/31/2012,25.7,25.8,24.5,24.5,590000
11/1/2012,24.9,24.9,24.5,24.6,621250
11/4/2012,25.2,25.2,24.4,24.5,387750
11/5/2012,24.5,24.6,24.1,24.2,372250
11/6/2012,24.3,24.4,23.9,24.0,495250
11/7/2012,24.0,24.3,23.9,23.9,610000
11/8/2012,24.3,24.3,23.9,24.0,478000
11/11/2012,24.0,24.0,23.2,23.3,593000
11/12/2012,23.5,23.7,23.3,23.4,647750
11/13/2012,23.5,23.7,23.2,23.4,385250
11/14/2012,23.4,23.8,23.4,23.4,510000
11/15/2012,23.5,23.6,23.3,23.4,496750
11/18/2012,23.6,23.8,23.4,23.4,468000
11/19/2012,23.3,23.4,22.6,22.8,517250
11/20/2012,23.0,23.0,22.5,22.6,260250
11/21/2012,23.0,23.1,22.5,22.6,375000
11/22/2012,23.0,23.1,22.5,22.6,280000
11/26/2012,22.6,22.7,22.0,22.1,323500
11/27/2012,22.0,22.0,21.6,21.7,427250
11/28/2012,22.0,22.0,21.4,21.4,440250
11/29/2012,22.0,23.5,21.7,23.4,1128000
12/2/2012,23.7,24.0,23.2,23.3,568750
12/3/2012,23.6,23.6,22.6,22.9,399250
12/4/2012,22.9,23.3,22.5,22.9,653000
12/5/2012,24.7,25.0,23.0,23.7,539500
12/6/2012,23.0,24.0,23.0,23.8,422750
12/9/2012,23.6,23.6,23.3,23.3,221000
12/10/2012,23.2,24.0,23.1,23.6,302000
12/11/2012,23.4,24.3,23.3,24.0,390750
12/12/2012,24.0,24.9,24.0,24.5,894750
12/13/2012,24.4,25.3,24.4,25.0,679250
12/17/2012,25.0,26.0,25.0,25.3,1466250
12/18/2012,25.3,25.3,24.7,25.1,589750
12/19/2012,25.1,25.7,25.0,25.2,734000
12/20/2012,25.2,25.5,24.8,24.9,397250
12/23/2012,24.6,24.9,24.5,24.5,235750
12/24/2012,24.5,25.0,24.5,24.8,478250
12/26/2012,25.0,25.1,24.8,24.9,442500
12/27/2012,25.0,25.3,24.8,25.0,711000
12/30/2012,25.9,25.9,25.1,25.1,1013750
1/1/2013,25.4,25.7,25.0,25.1,586250
1/2/2013,25.0,25.2,24.7,24.7,185250
1/3/2013,24.7,25.0,24.4,24.6,413000
1/6/2013,24.8,24.8,24.2,24.3,323750
1/7/2013,24.2,24.2,24.0,24.0,370000
1/8/2013,24.0,24.2,24.0,24.0,313750
1/9/2013,23.9,24.5,23.9,24.2,525000
1/10/2013,24.1,24.6,24.1,24.4,210500
1/13/2013,24.4,24.6,24.4,24.4,335250
1/14/2013,24.5,24.5,24.3,24.3,214750
1/15/2013,24.3,24.6,24.2,24.4,230250
1/16/2013,24.5,24.5,24.4,24.4,133000
1/17/2013,24.5,24.7,24.5,24.6,232500
1/20/2013,24.5,24.8,24.4,24.5,306000
1/21/2013,24.5,24.8,24.5,24.7,228500
1/22/2013,24.8,25.0,24.7,24.8,316000
1/23/2013,24.4,25.0,24.2,24.9,337500
1/24/2013,24.8,25.2,24.8,24.9,276500
1/27/2013,25.1,25.1,25.0,25.0,274000
1/28/2013,25.0,25.1,24.9,25.0,411500
1/29/2013,25.0,25.7,25.0,25.5,507750
1/30/2013,25.7,26.1,25.4,25.4,594250
1/31/2013,25.3,25.7,25.2,25.4,281500
2/3/2013,25.4,26.0,25.3,25.7,559000
2/4/2013,25.5,26.0,25.5,25.7,280500
2/5/2013,25.2,25.8,25.2,25.5,216750
2/6/2013,25.6,25.7,25.4,25.5,305000
2/7/2013,25.4,25.7,25.3,25.4,292000
2/10/2013,25.4,25.8,25.4,25.6,226000
2/11/2013,25.8,25.9,25.6,25.7,534750
2/12/2013,25.6,25.9,25.3,25.4,352000
2/13/2013,25.3,25.6,25.2,25.4,195500
2/14/2013,25.5,25.8,25.4,25.5,393000
2/17/2013,25.6,25.8,25.5,25.5,343750
2/18/2013,25.6,25.6,25.2,25.2,473500
2/19/2013,25.2,25.3,24.8,24.9,614250
2/20/2013,25.0,25.0,24.6,24.8,178500
2/24/2013,24.6,25.0,24.3,24.3,337250
2/25/2013,23.8,24.9,23.8,24.2,116500
2/26/2013,24.5,24.5,24.0,24.3,195000
2/27/2013,24.1,24.4,23.6,23.7,303250
2/28/2013,23.5,24.0,23.3,23.7,286250
3/3/2013,23.1,23.9,22.6,22.6,262000
3/4/2013,22.4,23.3,22.4,23.1,152250
3/5/2013,23.7,24.0,23.1,23.2,177500
3/6/2013,23.4,23.4,22.8,23.0,193750
3/7/2013,22.7,23.1,22.7,22.9,251250
3/10/2013,23.2,23.2,22.5,22.9,270500
3/11/2013,22.4,23.3,22.4,23.0,160250
3/12/2013,22.5,23.3,22.5,23.0,141250
3/13/2013,23.1,23.6,23.1,23.1,102750
3/14/2013,23.1,23.4,23.0,23.2,173750
3/18/2013,23.2,23.5,23.1,23.3,93500
3/19/2013,23.5,24.0,23.5,23.9,138750
3/20/2013,24.0,24.3,23.7,23.9,259750
3/24/2013,23.0,24.0,23.0,23.3,200000
3/25/2013,23.5,23.5,22.8,22.9,167000
3/27/2013,22.7,22.7,22.2,22.5,201250
3/28/2013,22.6,23.0,22.5,22.9,220250
3/31/2013,22.6,22.6,22.2,22.2,153500
4/1/2013,22.1,22.1,21.1,21.4,273500
4/2/2013,22.0,22.0,21.2,21.6,182750
4/3/2013,21.8,22.1,21.6,21.9,128000
4/4/2013,21.8,22.1,21.6,22.0,658750
4/7/2013,22.8,23.0,21.6,22.1,621500
4/8/2013,22.0,22.4,22.0,22.1,424000
4/9/2013,22.3,22.6,22.2,22.5,573750
4/10/2013,22.6,22.8,22.3,22.4,323000
4/11/2013,22.4,22.4,22.0,22.1,526750
4/15/2013,22.4,22.5,22.0,22.1,415250
4/16/2013,22.4,22.4,21.8,21.9,494250
4/17/2013,22.0,22.1,21.2,21.6,676000
4/21/2013,17.9,17.9,17.3,17.4,812000
4/22/2013,17.3,17.4,17.0,17.1,281000
4/23/2013,17.1,17.3,17.0,17.1,154250
4/24/2013,17.1,17.1,16.6,16.6,142250
4/25/2013,16.6,16.8,16.6,16.6,113000
4/28/2013,16.5,16.7,16.4,16.5,356250
4/29/2013,16.5,16.7,16.2,16.5,299500
4/30/2013,16.4,16.7,16.4,16.6,210250
5/2/2013,16.5,17.2,16.5,17.0,345750
5/5/2013,16.8,17.1,16.7,16.9,203500
5/6/2013,17.4,17.4,16.7,16.8,212500
5/7/2013,17.0,17.2,17.0,17.0,155750
5/8/2013,17.3,17.3,16.9,16.9,124250
5/9/2013,16.9,17.2,16.9,17.1,146000
5/12/2013,17.3,17.7,17.0,17.5,288750
5/13/2013,17.4,17.7,17.4,17.5,240500
5/14/2013,17.4,18.0,17.3,17.9,359250
5/15/2013,18.0,18.0,17.2,17.3,310250
5/16/2013,17.3,17.4,17.1,17.2,253500
5/19/2013,17.2,18.0,17.1,17.6,275500
5/20/2013,17.5,18.4,17.5,17.9,683750
5/21/2013,17.8,18.0,17.4,17.4,389750
5/22/2013,17.3,17.4,17.1,17.1,251000
5/26/2013,17.1,17.2,16.6,16.7,327500
5/27/2013,16.7,17.0,16.7,16.8,166000
5/28/2013,16.9,17.1,16.8,16.9,292500
5/29/2013,16.9,17.2,16.8,17.0,333750
5/30/2013,17.4,17.5,17.1,17.3,303000
6/2/2013,17.4,17.6,17.2,17.4,491750
6/3/2013,17.6,17.7,17.2,17.3,343250
6/4/2013,17.4,17.5,17.2,17.3,611000
6/5/2013,17.2,17.6,17.2,17.5,547750
6/6/2013,17.5,17.5,17.3,17.3,375500
6/9/2013,17.1,17.4,16.9,16.9,330000
6/10/2013,16.8,17.2,16.8,16.9,283000
6/11/2013,17.4,17.4,16.9,17.1,335250
6/12/2013,17.2,17.5,17.0,17.3,470000
6/13/2013,17.0,17.5,17.0,17.1,314500
6/16/2013,16.9,17.4,16.9,17.2,297250
6/17/2013,17.5,17.5,17.2,17.2,358750
6/18/2013,17.1,17.4,17.0,17.1,376500
6/19/2013,17.0,17.4,17.0,17.1,776250
6/20/2013,17.2,17.5,17.1,17.1,560000
6/23/2013,17.1,17.5,16.6,16.7,748750
6/24/2013,16.9,16.9,16.4,16.5,337250
6/26/2013,16.6,16.6,16.2,16.3,575000
6/27/2013,16.3,16.3,15.9,16.0,453000
6/30/2013,16.0,16.1,15.7,15.9,414500
7/2/2013,15.9,16.5,15.7,15.8,514500
7/3/2013,15.8,15.8,15.2,15.3,503000
7/4/2013,15.7,16.0,15.3,15.8,891000
7/7/2013,15.6,15.8,15.3,15.3,537250
7/8/2013,15.3,15.4,14.8,15.0,751250
7/9/2013,15.0,15.1,14.7,14.8,785750
7/10/2013,15.0,15.8,14.7,15.2,542500
7/11/2013,15.1,15.2,14.8,14.8,369000
7/14/2013,14.8,14.9,14.5,14.5,224000
7/15/2013,14.7,14.7,14.0,14.2,414250
7/16/2013,14.1,14.4,13.8,13.8,438250
7/17/2013,13.8,14.2,13.8,13.9,371000
7/18/2013,14.1,14.3,13.9,14.0,528500
7/21/2013,14.2,15.3,14.0,14.8,828750
7/22/2013,14.8,15.2,14.6,14.8,383750
7/23/2013,15.0,15.0,14.4,14.4,274000
7/24/2013,15.0,15.1,14.3,14.4,272250
7/25/2013,14.4,14.8,14.4,14.4,299750
7/28/2013,14.1,14.9,14.0,14.8,541500
7/29/2013,14.8,14.8,14.5,14.6,375750
7/30/2013,14.8,15.1,14.7,15.0,500250
7/31/2013,15.2,15.3,15.0,15.1,762250
8/1/2013,15.0,15.0,14.5,14.7,245750
8/4/2013,14.4,14.8,14.2,14.6,200500
8/5/2013,14.7,15.0,14.6,14.8,591000
8/12/2013,14.9,15.1,14.7,14.8,91250
8/13/2013,14.8,15.1,14.8,15.0,450500
8/14/2013,15.0,15.1,14.9,14.9,421500
8/18/2013,15.0,15.1,14.8,15.0,505500
8/19/2013,15.0,15.3,14.9,15.1,430750
8/20/2013,15.1,15.2,14.9,15.0,1577000
8/21/2013,14.9,15.1,14.9,14.9,344250
8/22/2013,14.8,15.1,14.8,14.9,195250
8/25/2013,15.0,15.0,14.9,14.9,247500
8/26/2013,14.9,15.0,14.8,14.8,241500
8/27/2013,14.8,14.9,14.6,14.7,107500
8/29/2013,14.6,14.8,14.6,14.6,116750
9/1/2013,14.5,14.6,14.5,14.5,96000
9/2/2013,14.4,14.6,14.4,14.5,180250
9/3/2013,14.2,14.5,14.2,14.2,199250
9/4/2013,14.3,14.4,14.2,14.2,215250
9/5/2013,14.3,14.3,14.1,14.1,145500
9/8/2013,14.0,14.3,14.0,14.1,73500
9/9/2013,14.2,14.2,13.8,13.9,223000
9/10/2013,13.9,14.1,13.9,13.9,140000
9/11/2013,14.1,14.1,13.8,13.9,186250
9/12/2013,13.9,14.1,13.7,13.8,250750
9/15/2013,13.8,13.9,13.7,13.8,116500
9/16/2013,13.8,14.8,13.8,14.1,373000
9/17/2013,14.2,14.3,13.9,14.0,341500
9/18/2013,14.3,14.3,13.9,13.9,300000
9/19/2013,13.9,14.2,13.9,13.9,289500
9/22/2013,13.9,14.1,13.8,13.9,197000
9/23/2013,13.8,14.0,13.8,13.8,125250
9/24/2013,14.0,14.0,13.8,13.8,222500
9/25/2013,13.9,13.9,13.7,13.8,128500
9/26/2013,13.8,14.1,13.8,14.0,154500
9/29/2013,14.0,14.1,14.0,14.0,115000
9/30/2013,14.1,14.1,13.9,14.0,221500
10/1/2013,14.0,14.1,13.9,13.9,179750
10/2/2013,13.8,14.1,13.8,13.8,391500
10/3/2013,14.0,14.0,13.8,13.9,184000
10/6/2013,13.8,14.0,13.7,13.7,273000
10/7/2013,13.8,13.8,13.3,13.4,435500
10/8/2013,13.6,13.7,13.5,13.5,119500
10/9/2013,13.5,13.8,13.5,13.6,453750
10/10/2013,13.6,13.8,13.5,13.7,225500
10/20/2013,13.8,13.9,13.7,13.8,75250
10/21/2013,13.7,13.9,13.6,13.8,163000
10/22/2013,13.9,14.2,13.8,14.1,205250
10/23/2013,14.2,15.0,14.1,14.8,263500
10/24/2013,14.3,14.8,14.3,14.6,294500
10/27/2013,14.7,16.0,14.7,15.8,833500
10/28/2013,16.0,17.1,16.0,16.3,1665250
10/29/2013,16.7,16.7,15.6,16.2,680250
10/30/2013,16.4,16.4,15.4,15.5,505750
10/31/2013,15.4,15.9,15.2,15.4,996750
11/3/2013,15.2,15.7,15.2,15.4,284000
11/4/2013,15.5,16.6,15.4,16.1,884750
11/5/2013,15.9,16.6,15.9,16.1,1864250
11/6/2013,15.8,17.1,15.7,16.9,2268750
11/7/2013,17.1,17.5,16.9,17.4,2357000
11/10/2013,17.5,19.0,17.2,18.9,5643750
11/11/2013,19.4,19.9,17.8,18.1,4863750
11/12/2013,18.1,18.6,17.5,18.2,2353750
11/13/2013,18.5,19.1,18.2,18.4,3611500
11/14/2013,18.9,20.0,18.2,19.8,5937500
11/17/2013,19.9,20.8,19.9,20.4,6664250
11/18/2013,20.4,20.5,19.8,19.9,3497500
11/19/2013,20.0,21.3,19.6,20.8,5934750
11/20/2013,21.2,21.4,20.7,21.2,4812500
11/21/2013,21.5,21.5,20.4,20.5,3066750
11/24/2013,21.0,21.0,19.4,19.4,3686000
11/25/2013,19.6,20.9,19.6,20.0,3815750
11/26/2013,19.8,20.3,19.5,19.6,2353000
11/27/2013,19.8,19.9,18.9,18.9,2230250
11/28/2013,19.1,19.3,18.5,18.8,1524750
12/1/2013,19.1,19.1,18.3,18.3,1486250
12/2/2013,18.5,19.1,18.4,18.7,1656500
12/3/2013,19.0,20.3,19.0,20.0,2808500
12/4/2013,20.4,20.9,19.4,19.5,2600750
12/5/2013,19.6,19.8,19.2,19.6,2181500
12/8/2013,19.8,19.8,19.4,19.4,1918750
12/9/2013,19.4,19.9,19.4,19.6,1600500
12/10/2013,19.9,20.7,19.3,20.3,3475750
12/11/2013,20.2,21.1,20.1,20.1,3226750
12/12/2013,19.7,20.0,19.2,19.6,1465750
12/15/2013,19.5,19.6,19.3,19.3,1496250
12/17/2013,19.9,19.9,19.1,19.3,1259250
12/18/2013,19.4,19.7,19.2,19.2,1257500
12/19/2013,19.0,19.5,19.0,19.2,1759000
12/22/2013,19.3,19.8,19.2,19.6,1536750
12/23/2013,19.9,20.3,19.4,19.6,1852000
12/24/2013,19.5,19.7,19.0,19.2,1020000
12/26/2013,19.2,19.4,19.1,19.2,993750
12/29/2013,19.4,19.4,19.0,19.0,1232000
12/30/2013,19.2,19.5,19.1,19.1,1054750
1/1/2014,19.2,19.6,19.0,19.1,965000
1/2/2014,19.3,19.5,19.1,19.3,1560500
1/6/2014,19.2,19.4,18.9,18.9,805000
1/7/2014,19.2,19.2,18.6,18.8,973500
1/8/2014,18.7,19.3,18.7,19.1,1542250
1/9/2014,19.3,19.5,19.0,19.2,1574500
1/12/2014,19.4,19.4,19.1,19.1,597250
1/13/2014,19.4,19.9,19.1,19.5,2374250
1/15/2014,19.4,19.9,19.4,19.7,1452750
1/16/2014,19.9,20.0,19.6,19.9,1365000
1/19/2014,20.3,20.6,20.0,20.2,2388500
1/20/2014,20.2,20.4,19.8,19.9,1953750
1/21/2014,20.1,20.1,19.7,19.9,1311250
1/22/2014,20.2,20.2,19.8,19.8,1526500
1/23/2014,20.1,20.4,19.9,20.2,1619250
1/26/2014,20.5,21.2,20.4,21.0,3335000
1/27/2014,21.6,21.9,20.6,21.7,4717500
1/28/2014,22.1,22.1,21.1,21.3,2424500
1/29/2014,21.5,21.6,21.1,21.5,1562500
1/30/2014,21.5,22.0,21.5,21.8,2658250
2/2/2014,22.0,22.5,21.8,22.2,3319250
2/3/2014,22.4,22.5,21.9,22.0,3173500
2/4/2014,22.1,22.8,22.1,22.2,3737750
2/5/2014,22.3,22.3,21.8,22.0,2487250
2/6/2014,22.0,22.5,21.7,21.8,1757750
2/9/2014,21.5,21.8,21.2,21.2,1172250
2/10/2014,21.2,21.5,21.0,21.2,703750
2/11/2014,21.1,21.2,20.7,20.7,691750
2/12/2014,20.7,21.0,20.3,20.4,624500
2/13/2014,20.0,20.7,20.0,20.2,529250
2/16/2014,20.4,20.4,19.8,19.9,621000
2/17/2014,19.9,20.3,19.9,20.0,383250
2/18/2014,20.1,20.5,20.0,20.4,677000
2/19/2014,20.4,21.0,20.4,20.8,793500
2/20/2014,20.9,21.1,20.4,20.5,561000
2/23/2014,20.5,20.5,20.0,20.3,597250
2/24/2014,20.5,20.7,20.2,20.5,810750
2/25/2014,20.6,20.7,20.4,20.4,605000
2/26/2014,20.4,20.4,20.0,20.0,627750
2/27/2014,20.0,20.2,19.9,20.1,551000
3/2/2014,20.9,20.9,18.6,18.8,1301750
3/3/2014,18.9,19.3,18.6,19.1,681500
3/4/2014,19.1,19.4,19.1,19.2,373500
3/5/2014,19.3,19.3,19.1,19.1,280750
3/6/2014,19.3,19.3,18.7,18.8,519000
3/9/2014,19.0,19.0,18.7,18.8,787500
3/10/2014,18.8,18.8,17.9,18.0,607500
3/11/2014,18.0,18.6,17.9,18.2,500500
3/12/2014,18.2,18.4,17.4,17.6,1308500
3/16/2014,15.2,15.2,14.6,14.9,1064500
3/18/2014,14.9,15.3,14.8,15.1,466250
3/19/2014,14.8,15.3,14.8,15.2,386250
3/20/2014,15.1,15.7,15.1,15.6,549000
3/23/2014,15.5,15.5,15.2,15.2,334250
3/24/2014,15.1,15.3,15.0,15.1,516000
3/25/2014,15.0,15.4,15.0,15.1,376000
3/27/2014,15.3,15.4,15.1,15.1,407250
3/30/2014,15.2,15.2,15.0,15.0,586500
3/31/2014,15.0,15.2,15.0,15.1,690500
4/1/2014,15.1,15.2,15.1,15.1,273250
4/2/2014,15.1,15.5,15.1,15.4,450500
4/3/2014,15.2,15.7,15.2,15.4,427500
4/6/2014,15.2,15.4,15.1,15.2,356750
4/7/2014,15.1,15.2,15.0,15.0,573250
4/8/2014,15.0,15.1,14.9,15.0,527250
4/9/2014,15.0,15.5,14.9,15.3,880750
4/10/2014,15.3,15.6,15.1,15.1,592250
4/13/2014,15.0,15.2,15.0,15.0,150000
4/15/2014,15.0,15.5,15.0,15.3,1389750
4/16/2014,15.2,15.4,15.1,15.1,518000
4/17/2014,15.0,15.2,14.9,14.9,1020750
4/20/2014,15.0,15.3,15.0,15.1,544500
4/21/2014,15.2,16.1,15.1,15.6,1900750
4/22/2014,15.5,16.1,15.5,15.7,1414250
4/23/2014,15.7,16.3,15.3,16.0,1432250
4/24/2014,16.0,16.2,15.7,15.8,1414750
4/27/2014,15.8,16.0,15.6,15.6,773000
4/28/2014,15.9,15.9,15.2,15.3,788000
4/29/2014,15.9,15.9,15.1,15.3,639500
4/30/2014,15.0,15.4,15.0,15.2,420000
5/4/2014,15.2,15.2,14.7,14.9,523750
5/5/2014,15.1,15.1,14.7,14.9,571250
5/6/2014,15.0,15.1,14.8,14.8,660250
5/7/2014,14.9,15.0,14.8,14.8,471000
5/8/2014,14.8,15.0,14.7,14.7,319500
5/11/2014,14.7,14.8,14.4,14.4,497250
5/12/2014,14.2,14.7,14.2,14.6,763750
5/14/2014,14.8,14.8,14.6,14.6,820500
5/15/2014,14.5,14.8,14.4,14.7,891250
5/18/2014,14.8,15.0,14.6,14.9,835750
5/19/2014,14.8,14.9,14.6,14.6,169000
5/20/2014,14.6,14.7,14.5,14.5,184750
5/21/2014,14.7,14.9,14.6,14.8,1142250
5/22/2014,15.0,15.0,14.7,14.9,662750
5/25/2014,15.0,15.0,14.7,14.8,267500
5/26/2014,14.6,14.9,14.6,14.8,273500
5/27/2014,14.7,15.2,14.6,14.9,423750
5/28/2014,14.9,14.9,14.8,14.8,77250
5/29/2014,14.8,14.9,14.7,14.8,233000
6/1/2014,14.7,14.8,14.6,14.6,218500
6/2/2014,14.6,14.7,14.4,14.5,190000
6/3/2014,14.6,14.7,14.4,14.4,443000
6/4/2014,14.4,14.5,14.2,14.2,319000
6/5/2014,14.2,14.4,13.9,14.0,504000
6/8/2014,13.9,14.3,13.9,14.0,265750
6/9/2014,14.0,14.3,13.8,14.0,501250
6/10/2014,14.0,14.3,13.9,14.0,403000
6/11/2014,14.0,14.1,13.9,13.9,240750
6/12/2014,13.9,13.9,13.7,13.8,343250
6/15/2014,13.7,13.9,13.6,13.7,182250
6/16/2014,13.6,14.0,13.6,13.6,332250
6/17/2014,13.8,14.0,13.6,13.8,269500
6/18/2014,13.9,14.2,13.8,14.0,585750
6/19/2014,14.0,14.2,13.9,13.9,529750
6/22/2014,13.9,14.2,13.9,14.1,364500
6/23/2014,14.0,14.2,14.0,14.1,219250
6/24/2014,14.1,14.3,14.0,14.1,552750
6/25/2014,14.1,14.2,13.9,14.0,513250
6/26/2014,14.0,14.2,13.9,14.0,394500
6/29/2014,14.1,14.6,14.1,14.4,644250
6/30/2014,14.5,14.6,14.2,14.4,494750
7/2/2014,14.3,14.7,14.2,14.2,375500
7/3/2014,14.3,14.4,14.2,14.3,163500
7/6/2014,14.1,14.3,14.1,14.2,124750
7/7/2014,14.2,14.3,14.1,14.1,257250
7/8/2014,14.1,14.3,14.1,14.1,195000
7/9/2014,14.1,14.3,14.1,14.2,152250
7/10/2014,14.1,14.3,14.1,14.2,185750
7/13/2014,14.2,14.4,14.2,14.3,318500
7/14/2014,14.0,14.3,14.0,14.2,246500
7/15/2014,14.2,14.4,14.1,14.2,328750
7/16/2014,14.2,14.4,14.1,14.3,180500
7/17/2014,14.1,14.6,14.1,14.4,351250
7/20/2014,14.3,14.8,14.3,14.5,318500
7/21/2014,14.5,14.6,14.2,14.2,335750
7/22/2014,14.2,14.7,14.1,14.5,524500
7/23/2014,14.4,14.9,14.4,14.7,684000
7/24/2014,14.7,14.8,14.5,14.6,391000
8/3/2014,14.5,14.8,14.4,14.6,743500
8/4/2014,14.6,14.7,14.5,14.6,384000
8/5/2014,14.5,14.9,14.5,14.6,631750
8/6/2014,14.6,14.8,14.5,14.6,427250
8/7/2014,14.6,14.9,14.6,14.8,597250
8/10/2014,14.7,14.9,14.7,14.7,388000
8/11/2014,15.4,15.4,14.6,14.6,480000
8/12/2014,14.9,14.9,14.5,14.6,435250
8/13/2014,14.6,14.7,14.5,14.5,484500
8/14/2014,14.5,14.7,14.4,14.5,462000
8/18/2014,14.4,14.5,14.3,14.4,440250
8/19/2014,14.4,14.6,14.2,14.3,507000
8/20/2014,14.3,14.4,14.1,14.2,477250
8/21/2014,14.2,14.3,14.1,14.1,372250
8/24/2014,14.0,14.4,14.0,14.2,777500
8/25/2014,14.1,14.6,14.1,14.4,387500
8/26/2014,14.3,14.7,14.3,14.5,889250
8/27/2014,14.5,14.7,14.4,14.5,483250
8/28/2014,14.4,14.6,14.3,14.3,702500
8/31/2014,14.3,14.4,14.2,14.3,317250
9/1/2014,14.3,14.4,14.2,14.3,441250
9/2/2014,14.4,14.4,14.2,14.3,391000
9/3/2014,14.3,14.6,14.3,14.4,329500
9/4/2014,14.4,14.5,14.2,14.2,679000
9/7/2014,14.3,15.0,14.3,14.8,1142750
9/8/2014,14.9,15.2,14.7,14.7,925000
9/9/2014,15.0,15.0,14.6,14.9,749500
9/10/2014,14.9,15.0,14.7,14.7,421500
9/11/2014,14.7,15.0,14.7,14.7,657500
9/14/2014,14.8,14.9,14.7,14.7,565000
9/15/2014,14.7,14.8,14.5,14.5,881750
9/16/2014,14.5,14.7,14.4,14.5,664500
9/17/2014,14.6,15.0,14.5,14.6,1367000
9/18/2014,14.7,15.3,14.6,15.1,1528000
9/21/2014,15.1,16.3,15.1,15.9,2551500
9/22/2014,15.8,16.6,15.5,16.4,1787500
9/23/2014,16.4,17.5,16.3,16.9,2546000
