Date,Open,High,Low,Close,Volume
9/1/2015,54.9,103.0,54.9,98.2,11037200
9/2/2015,100.0,113.0,83.0,85.3,1820400
9/3/2015,84.0,90.0,76.8,79.5,7377320
9/6/2015,78.5,84.0,76.2,82.0,2614970
9/7/2015,82.1,82.9,73.9,75.1,3747220
9/8/2015,75.0,77.6,69.8,71.1,2760770
9/9/2015,71.3,74.7,69.1,72.6,2005700
9/10/2015,73.0,74.3,72.1,72.9,1634230
9/13/2015,73.0,74.0,65.8,66.3,2794740
9/14/2015,66.0,67.8,62.9,63.3,1969470
9/15/2015,64.8,69.0,63.2,68.4,2069910
9/16/2015,69.0,69.7,64.9,66.0,1326020
9/17/2015,66.8,71.8,66.3,71.3,2491750
9/20/2015,72.0,73.3,69.5,70.1,1610960
9/21/2015,70.9,71.3,66.2,66.8,1828120
9/22/2015,67.6,67.9,65.6,66.6,1041960
9/28/2015,67.6,68.5,65.7,65.9,872291
9/29/2015,66.1,66.2,63.5,63.9,1277330
9/30/2015,64.0,66.2,63.9,64.4,1209830
10/1/2015,65.0,65.4,62.5,62.9,1054500
10/4/2015,63.0,63.4,59.5,59.7,1256140
10/5/2015,60.2,63.1,59.7,62.8,976694
10/6/2015,63.0,63.6,60.2,60.7,794351
10/7/2015,60.7,61.7,57.2,58.3,1045210
10/8/2015,59.0,59.4,56.5,56.7,979115
10/11/2015,58.0,58.0,55.1,56.4,909656
10/12/2015,56.9,58.5,56.2,57.2,906936
10/13/2015,57.2,57.7,55.4,55.7,850031
10/14/2015,55.9,56.2,54.0,54.7,934432
10/15/2015,56.0,59.6,55.2,57.6,1722490
10/18/2015,58.3,58.3,55.5,55.9,898333
10/19/2015,55.9,58.0,55.9,57.0,820036
10/20/2015,57.0,62.3,57.0,61.9,1774520
10/21/2015,62.0,63.4,61.2,61.7,1420540
10/25/2015,65.0,67.0,61.3,62.3,2355770
10/26/2015,62.5,63.5,60.4,60.5,1256170
10/27/2015,60.1,61.1,58.1,58.6,1100130
10/28/2015,58.5,59.5,56.2,56.6,817516
10/29/2015,57.1,58.0,56.0,56.3,580302
11/1/2015,55.9,56.2,53.1,53.9,1078990
11/2/2015,54.0,54.7,51.9,53.1,856833
11/3/2015,53.5,56.3,53.5,56.0,997268
11/4/2015,56.3,56.9,55.3,55.4,679297
11/5/2015,55.6,55.8,53.6,54.0,653255
11/8/2015,54.4,56.0,53.2,53.6,725290
11/9/2015,54.2,55.0,51.3,51.5,531229
11/10/2015,52.0,52.5,47.2,48.1,954533
11/12/2015,40.2,42.9,40.2,42.1,1406340
11/15/2015,43.0,44.5,42.5,43.5,713856
11/16/2015,44.5,44.8,43.4,43.7,890551
11/17/2015,44.1,45.6,43.5,44.6,960486
11/18/2015,44.2,44.8,43.5,43.8,549559
11/19/2015,43.8,44.6,43.7,44.0,653048
11/22/2015,44.5,46.3,44.2,45.9,1052670
11/23/2015,46.6,48.1,45.1,45.4,1067630
11/24/2015,45.9,46.2,44.0,44.1,723727
11/25/2015,44.7,45.0,43.3,43.6,582227
11/26/2015,45.0,45.0,43.5,43.9,654740
11/29/2015,44.4,46.4,43.9,45.8,1154710
11/30/2015,46.1,47.8,46.1,47.3,1501990
12/1/2015,47.9,49.2,47.4,48.2,1603810
12/2/2015,48.3,52.9,48.3,52.7,3364570
12/3/2015,52.8,53.5,50.9,51.3,2079220
12/6/2015,52.1,53.9,51.2,52.8,2076770
12/7/2015,53.1,53.4,49.4,50.2,1303400
12/8/2015,50.9,51.5,49.5,49.9,1050970
12/9/2015,50.5,50.9,47.3,47.8,817516
12/10/2015,48.2,48.8,46.2,46.7,997876
12/13/2015,47.0,47.3,45.5,45.7,418920
12/14/2015,45.6,46.8,45.1,45.5,522424
12/15/2015,45.6,46.8,45.4,46.3,460849
12/17/2015,46.2,46.8,45.0,45.2,347126
12/20/2015,45.6,45.6,42.7,43.0,823897
12/21/2015,44.0,45.8,43.5,44.9,488738
12/22/2015,45.4,46.8,45.1,45.9,771798
12/23/2015,46.4,46.5,43.5,44.5,523137
12/24/2015,44.6,45.5,44.0,44.2,530547
12/27/2015,44.9,45.0,43.6,43.7,445485
12/28/2015,43.7,44.3,42.9,43.4,408429
12/29/2015,43.6,43.9,42.7,42.8,401842
12/30/2015,43.0,43.3,42.3,42.5,476224
12/31/2015,42.5,42.9,41.9,42.3,625286
1/3/2016,42.3,42.9,42.2,42.3,407997
1/4/2016,42.5,42.8,42.0,42.2,457701
1/5/2016,42.5,45.0,42.3,44.8,1253180
1/6/2016,45.0,46.3,45.0,45.5,1115790
1/7/2016,45.7,46.0,44.7,45.4,1342490
1/10/2016,45.2,46.0,44.9,45.1,676357
1/11/2016,45.6,45.8,43.3,43.6,556971
1/12/2016,44.7,45.8,44.1,44.5,1131010
1/13/2016,45.0,46.7,44.8,46.3,1577440
1/14/2016,46.4,47.8,46.4,47.4,2230510
1/17/2016,47.8,48.7,46.2,46.4,1056990
1/18/2016,46.1,47.2,45.3,46.0,844768
1/19/2016,46.2,46.4,44.4,44.6,1330380
1/20/2016,44.5,44.6,42.8,43.1,1371300
1/21/2016,43.4,43.5,42.5,43.1,476175
1/24/2016,43.5,44.5,43.3,44.2,640881
1/25/2016,44.5,45.5,44.3,45.1,866343
1/26/2016,44.7,45.9,44.2,44.7,532251
1/27/2016,44.4,45.1,44.1,44.4,259951
1/28/2016,44.5,44.8,43.5,43.7,169575
1/31/2016,44.0,45.8,43.8,44.1,570695
2/1/2016,44.8,45.2,44.4,44.7,377725
2/2/2016,44.8,45.4,44.2,44.5,520787
2/3/2016,44.5,44.7,43.3,43.6,229017
2/4/2016,43.7,44.1,43.1,43.9,253116
2/7/2016,43.6,44.5,43.6,44.4,258436
2/8/2016,44.6,44.6,43.9,44.1,230740
2/9/2016,43.7,44.2,43.6,43.9,310759
2/10/2016,44.1,44.8,44.0,44.6,464084
2/11/2016,44.7,46.6,44.6,46.3,1330580
2/14/2016,46.7,47.9,46.2,47.7,1853290
2/15/2016,47.7,49.5,47.5,49.3,2148340
2/16/2016,49.0,54.1,49.0,53.3,2884600
2/17/2016,53.8,54.9,52.1,52.9,2560120
2/18/2016,52.9,53.8,51.6,53.4,1635090
2/22/2016,54.5,57.2,53.7,56.8,2360420
2/23/2016,57.0,57.9,55.6,56.1,1344570
2/24/2016,56.5,56.7,53.3,54.0,1459350
2/25/2016,54.0,58.8,53.0,58.1,1473710
2/28/2016,58.2,59.5,56.6,56.9,1343060
2/29/2016,57.0,57.1,53.1,54.4,1260720
3/1/2016,53.5,56.8,52.6,55.7,740508
3/2/2016,56.6,58.4,55.7,56.8,1828130
3/3/2016,57.7,57.7,55.3,56.2,956100
3/6/2016,56.5,57.2,54.4,54.9,1353200
3/7/2016,55.8,56.4,54.5,54.6,645339
3/8/2016,56.0,56.4,54.2,55.1,1144790
3/9/2016,56.0,58.8,55.4,58.4,1706290
3/10/2016,59.5,62.8,58.7,60.9,3440740
3/13/2016,61.0,66.9,60.8,66.2,4001200
3/14/2016,66.5,71.0,64.2,69.8,2949270
3/15/2016,70.1,71.3,68.2,68.5,2120500
3/16/2016,69.0,72.0,67.5,71.1,1425410
3/20/2016,71.5,76.3,71.5,74.0,1385830
3/21/2016,74.5,74.7,72.0,72.6,1092040
3/22/2016,72.9,75.8,72.8,73.8,1071270
3/23/2016,74.4,77.8,74.4,77.2,1282930
3/24/2016,78.1,79.5,76.2,76.6,667088
3/27/2016,76.7,79.4,75.7,76.3,906047
3/28/2016,76.4,77.0,73.0,75.4,1145950
3/29/2016,75.6,79.0,74.5,77.2,1644060
3/30/2016,77.4,83.7,77.4,82.3,1873770
3/31/2016,83.0,85.8,81.0,81.9,2293590
4/3/2016,82.0,86.3,81.9,85.2,974606
4/4/2016,87.5,88.1,82.6,83.2,1729410
4/5/2016,83.0,83.9,80.7,81.5,849746
4/6/2016,82.0,84.0,80.0,81.7,1779560
4/7/2016,82.6,83.8,77.9,78.9,1519170
4/10/2016,78.7,85.9,77.5,84.3,1787220
4/11/2016,84.5,85.1,80.6,81.2,1461360
4/12/2016,82.5,84.9,81.4,84.0,1820580
4/13/2016,85.0,88.6,84.7,87.5,2423850
4/17/2016,88.4,91.0,86.7,89.3,1499330
4/18/2016,89.0,91.1,85.8,86.4,1063950
4/19/2016,86.8,87.9,83.7,84.1,905008
