Date,Open,High,Low,Close,Volume
10/1/2012,240.0,244.5,236.0,242.8,1900
10/2/2012,255.0,255.0,233.0,235.6,6100
10/3/2012,241.8,241.8,235.5,237.8,4900
10/4/2012,239.0,239.0,234.6,236.9,2350
10/7/2012,235.0,235.0,230.0,231.7,2750
10/8/2012,228.0,234.0,227.0,230.9,2100
10/9/2012,232.3,235.0,232.1,232.8,2400
10/10/2012,231.0,235.0,231.0,233.2,2300
10/11/2012,231.3,237.6,231.1,232.5,2100
10/14/2012,230.3,233.8,228.1,229.3,2350
10/15/2012,229.1,232.8,226.5,227.8,1850
10/16/2012,228.2,228.2,226.0,227.3,2250
10/17/2012,225.0,232.0,225.0,228.7,600
10/18/2012,227.0,228.0,225.1,226.7,1000
10/21/2012,226.2,228.9,225.0,226.1,850
10/22/2012,226.0,226.0,226.0,226.0,500
10/23/2012,228.1,233.0,227.1,231.4,1000
10/30/2012,226.0,234.0,226.0,231.3,150
10/31/2012,229.0,230.0,225.3,229.0,800
11/1/2012,225.6,236.9,225.5,229.8,1400
11/4/2012,244.0,248.7,242.0,244.6,13300
11/5/2012,263.9,264.0,255.0,262.8,20350
11/6/2012,266.4,277.8,262.5,266.0,8500
11/7/2012,255.0,260.0,245.6,250.5,7850
11/8/2012,250.0,259.5,246.1,253.6,5050
11/11/2012,247.5,247.5,234.9,240.0,3900
11/12/2012,245.0,245.5,231.4,233.1,2400
11/13/2012,247.0,247.0,235.0,240.2,2600
11/14/2012,238.5,238.5,230.0,232.4,5250
11/15/2012,240.0,242.5,234.0,236.0,3350
11/18/2012,240.0,240.0,236.0,236.5,2200
11/19/2012,232.6,237.0,231.3,233.5,1600
11/20/2012,226.5,235.0,226.5,232.9,1700
11/21/2012,234.0,234.0,229.7,230.6,1600
11/22/2012,241.0,241.0,230.0,230.4,3200
11/26/2012,225.6,231.6,225.6,228.2,3900
11/27/2012,232.9,232.9,228.8,231.2,500
11/28/2012,234.0,234.0,221.8,223.6,3250
11/29/2012,230.1,237.0,228.0,235.4,3100
12/2/2012,239.8,239.8,228.2,232.7,1500
12/3/2012,227.7,230.8,223.1,225.0,2500
12/4/2012,236.9,236.9,225.9,227.2,1350
12/5/2012,225.1,231.4,225.1,227.5,450
12/6/2012,226.4,228.0,225.0,226.0,2450
12/9/2012,223.5,224.0,223.2,223.6,1250
12/10/2012,223.3,224.0,220.1,221.1,1150
12/11/2012,222.0,222.0,222.0,222.0,50
12/12/2012,230.0,230.0,224.0,225.3,400
12/13/2012,224.0,225.0,220.0,221.3,2100
12/17/2012,230.0,230.0,230.0,230.0,50
12/18/2012,225.5,227.0,224.0,225.1,200
12/19/2012,228.9,229.0,226.1,227.2,650
12/20/2012,230.0,234.9,227.0,228.0,2250
12/23/2012,230.0,230.0,224.5,226.5,450
12/24/2012,225.0,225.3,225.0,225.0,850
12/26/2012,223.3,223.8,223.3,223.5,100
12/27/2012,223.0,227.2,223.0,225.4,850
12/30/2012,226.7,226.7,226.7,226.7,150
1/1/2013,228.0,230.5,228.0,229.4,450
1/3/2013,224.3,224.6,224.3,224.4,250
1/6/2013,224.5,224.5,224.5,224.5,200
1/7/2013,222.5,230.0,222.5,223.4,400
1/8/2013,224.6,224.6,224.6,224.6,50
1/9/2013,226.0,226.0,223.7,224.9,550
1/10/2013,225.0,225.0,223.0,224.2,250
1/13/2013,220.0,224.9,220.0,222.3,200
1/14/2013,226.5,226.9,225.8,226.1,550
1/15/2013,221.3,225.0,221.2,221.9,800
1/16/2013,226.0,227.0,226.0,226.2,250
1/20/2013,224.3,226.5,224.3,225.0,650
1/21/2013,225.0,228.0,222.4,225.5,850
1/22/2013,227.5,227.5,222.0,223.5,950
1/23/2013,224.0,226.0,222.0,223.3,1250
1/24/2013,226.0,227.0,224.8,225.9,1650
1/28/2013,229.0,234.9,227.9,230.5,1650
1/29/2013,233.1,236.0,231.1,233.5,1500
1/30/2013,233.5,233.5,228.0,231.0,250
1/31/2013,229.0,230.0,226.9,228.6,1050
2/3/2013,226.2,232.0,226.2,229.7,750
2/4/2013,226.7,230.0,226.7,227.4,1550
2/5/2013,222.5,230.0,222.5,226.8,700
2/6/2013,226.1,230.0,226.1,227.7,1050
2/7/2013,226.3,226.3,225.7,226.1,550
2/10/2013,226.2,233.4,226.1,227.7,1100
2/11/2013,229.2,232.0,228.4,230.5,2100
2/12/2013,227.2,228.1,227.1,227.3,1250
2/13/2013,228.0,228.1,228.0,228.0,200
2/14/2013,230.0,230.0,228.0,229.0,100
2/17/2013,229.0,232.0,229.0,230.0,900
2/18/2013,230.0,230.0,230.0,230.0,50
2/19/2013,225.0,225.0,221.0,221.8,700
2/20/2013,228.0,228.0,222.0,223.6,1400
2/24/2013,224.0,227.0,212.2,214.6,1750
2/25/2013,218.0,223.0,217.2,218.3,350
2/26/2013,224.0,224.0,218.5,223.1,600
2/27/2013,224.5,224.5,210.1,216.1,1350
2/28/2013,210.2,219.0,206.2,209.9,850
3/3/2013,200.6,200.6,198.0,199.8,950
3/4/2013,205.0,205.0,202.1,203.7,250
3/5/2013,202.5,202.7,201.0,202.0,550
3/6/2013,200.0,203.0,198.1,199.6,350
3/7/2013,196.0,201.0,195.0,197.9,850
3/10/2013,200.0,200.0,195.2,197.1,800
3/12/2013,195.0,195.0,195.0,195.0,50
3/13/2013,197.5,197.5,194.0,195.1,150
3/14/2013,197.0,204.5,191.1,194.6,1800
3/18/2013,193.6,196.7,190.0,192.7,1500
3/19/2013,193.3,193.3,193.2,193.2,100
3/20/2013,190.6,195.0,190.0,190.6,850
3/24/2013,188.0,188.0,181.0,185.5,1700
3/25/2013,178.4,178.4,178.4,178.4,50
3/27/2013,175.0,178.0,169.2,172.8,450
3/28/2013,171.1,179.9,170.5,172.0,950
3/31/2013,171.9,172.0,171.0,171.8,500
4/1/2013,172.0,172.2,172.0,172.0,1350
4/2/2013,171.0,173.0,171.0,171.8,250
4/3/2013,171.9,171.9,171.0,171.3,150
4/4/2013,171.0,175.5,171.0,173.2,200
4/7/2013,170.0,170.0,170.0,170.0,200
4/9/2013,161.1,178.0,161.1,175.7,1250
4/10/2013,180.0,181.0,179.0,179.5,650
4/11/2013,181.9,188.0,181.9,184.5,350
4/15/2013,188.1,191.0,188.1,189.7,500
4/16/2013,190.0,190.0,181.0,183.8,350
4/17/2013,184.9,192.0,184.9,187.5,1400
4/18/2013,193.0,204.9,190.1,203.6,4200
4/21/2013,210.0,221.4,210.0,220.6,4750
4/22/2013,224.0,225.0,215.0,218.2,3200
4/23/2013,216.5,218.5,212.9,216.4,3300
4/24/2013,215.1,216.0,210.0,212.9,2150
4/25/2013,207.5,207.5,203.0,205.5,4000
4/28/2013,176.0,200.0,176.0,186.9,1100
4/29/2013,187.3,204.3,187.3,203.6,2250
4/30/2013,212.0,215.0,202.3,204.6,1400
5/2/2013,205.0,206.0,198.1,198.8,1950
5/5/2013,206.4,206.5,198.1,200.4,1900
5/6/2013,200.0,201.9,197.7,199.5,700
5/7/2013,204.0,216.9,204.0,216.9,6000
5/8/2013,226.0,226.9,205.2,207.4,5400
5/9/2013,202.1,207.0,202.1,202.7,1750
5/12/2013,203.3,208.0,203.1,204.6,4600
5/13/2013,201.1,205.0,201.1,204.0,4500
5/15/2013,207.8,208.0,197.0,197.3,4700
5/16/2013,196.5,204.0,196.4,200.3,2800
5/19/2013,200.0,203.7,198.6,201.1,6300
5/20/2013,200.3,201.6,199.0,199.8,1800
5/21/2013,200.0,200.0,191.0,196.1,1650
5/22/2013,193.5,193.5,191.3,192.3,1100
5/26/2013,191.0,191.0,188.0,189.9,650
5/27/2013,192.0,196.5,190.0,193.4,1600
5/28/2013,194.1,204.9,193.3,204.5,8050
5/29/2013,207.0,214.3,207.0,213.5,8700
5/30/2013,218.0,232.0,213.1,232.0,17800
6/2/2013,240.0,252.0,240.0,252.0,13700
6/3/2013,269.9,274.0,268.0,273.8,19100
6/4/2013,280.0,297.7,277.0,296.5,19100
6/5/2013,310.0,313.0,290.0,294.9,13550
6/6/2013,281.0,297.0,273.0,276.9,9950
6/9/2013,274.0,290.0,268.0,270.0,10000
6/10/2013,275.0,280.0,274.6,277.5,9600
6/11/2013,281.9,284.8,272.2,274.0,7050
6/12/2013,278.0,278.0,255.0,258.0,11450
6/13/2013,253.1,265.0,250.1,252.9,6100
6/16/2013,253.1,268.8,253.1,263.8,4650
6/17/2013,271.0,271.0,250.1,254.0,6500
6/18/2013,269.5,269.5,250.5,257.1,4500
6/19/2013,266.0,266.0,255.0,258.6,6250
6/20/2013,255.2,255.9,237.1,241.3,9850
6/23/2013,254.0,254.0,237.0,239.7,5750
6/24/2013,240.5,240.5,227.1,228.4,5300
6/26/2013,244.0,244.0,218.1,223.6,17100
6/27/2013,226.0,237.5,226.0,233.4,2050
6/30/2013,233.0,239.8,231.2,234.2,5750
7/2/2013,242.9,243.0,233.0,237.0,5600
7/3/2013,236.1,256.0,236.1,250.3,13450
7/4/2013,254.9,272.1,252.0,271.9,16000
7/7/2013,280.0,290.0,275.0,276.8,8450
7/8/2013,282.0,300.0,269.0,291.6,17250
7/9/2013,303.0,317.1,300.0,316.0,22600
7/10/2013,315.0,318.0,295.0,295.6,12000
7/11/2013,302.0,302.0,275.0,275.9,8750
7/14/2013,285.0,285.0,255.0,266.2,8200
7/15/2013,269.0,275.0,256.5,261.0,4250
7/16/2013,268.8,279.0,252.3,255.6,12250
7/17/2013,256.0,262.0,241.0,244.1,11300
7/18/2013,244.2,255.0,241.2,244.9,3900
7/21/2013,250.0,259.0,235.0,238.6,2650
7/22/2013,228.1,240.0,228.1,229.5,4950
7/23/2013,226.0,242.0,225.3,230.6,8450
7/24/2013,231.0,245.0,228.0,241.0,5450
7/25/2013,240.0,240.0,227.1,233.1,7350
7/28/2013,237.0,238.5,220.0,222.3,4550
7/29/2013,223.2,234.9,222.0,233.7,5600
7/30/2013,230.8,231.0,223.7,225.7,3950
7/31/2013,232.0,245.0,227.0,244.7,9900
8/1/2013,245.0,266.0,245.0,261.8,15350
8/4/2013,266.5,267.0,250.0,258.3,10450
8/5/2013,262.9,262.9,245.1,249.0,7100
8/12/2013,249.4,249.4,243.0,245.9,950
8/13/2013,259.0,259.0,249.1,251.3,3700
8/14/2013,250.0,250.1,241.0,243.4,2850
8/18/2013,240.0,255.0,240.0,246.6,5450
8/19/2013,253.3,259.0,250.0,253.4,6600
8/20/2013,257.9,270.0,255.0,257.8,9050
8/21/2013,262.0,272.8,258.0,262.2,13450
8/22/2013,265.0,285.0,263.0,284.5,27700
8/25/2013,296.0,296.0,260.0,271.3,15800
8/26/2013,274.0,284.9,260.0,265.0,9450
8/27/2013,274.9,278.0,255.1,259.5,12950
8/29/2013,253.2,267.2,253.2,258.5,7850
9/1/2013,260.1,266.8,255.0,259.2,9850
9/2/2013,263.9,263.9,251.0,252.5,10500
9/3/2013,255.1,259.8,252.5,257.6,4750
9/4/2013,269.0,272.0,263.7,265.0,9600
9/5/2013,267.7,267.7,252.5,255.0,8900
9/8/2013,261.6,261.6,250.0,252.5,2450
9/9/2013,262.0,273.7,259.6,261.1,13850
9/10/2013,270.0,283.9,269.0,283.9,34100
9/11/2013,299.8,308.7,295.0,308.7,17100
9/12/2013,330.0,335.7,323.1,335.6,50400
9/15/2013,360.0,363.7,328.0,330.8,39200
9/16/2013,326.3,339.0,311.5,322.4,22950
