Date,Open,High,Low,Close,Volume
1/28/2024,41.8,43.0,40.0,42.7,86178
1/29/2024,43.0,45.0,38.6,39.9,149361
1/30/2024,41.9,41.9,39.9,40.1,20686
1/31/2024,41.8,41.8,39.9,40.3,27853
2/1/2024,40.2,41.7,40.2,40.8,84670
2/4/2024,41.1,42.5,40.1,40.6,113671
2/5/2024,40.8,42.2,40.8,42.0,91802
2/6/2024,42.2,42.6,40.8,42.1,52092
2/7/2024,40.3,42.6,40.2,40.4,79959
2/8/2024,43.0,43.0,39.8,40.1,47915
2/11/2024,40.2,42.0,39.0,39.3,57067
2/12/2024,40.0,40.5,39.1,39.2,161363
2/13/2024,39.6,42.0,39.0,39.9,61991
2/14/2024,40.1,41.4,40.0,40.2,62295
2/15/2024,42.6,42.6,39.9,40.2,60909
2/18/2024,42.0,42.0,39.0,39.3,35165
2/19/2024,42.0,42.0,39.9,40.1,21315
2/20/2024,42.0,42.0,39.7,40.8,77498
