Date,Open,High,Low,Close,Volume
10/1/2012,29.2,32.8,29.2,32.1,223000
10/2/2012,33.5,33.5,30.8,31.1,201000
10/3/2012,31.9,31.9,28.5,28.7,301000
10/4/2012,28.4,30.0,28.0,28.8,154000
10/7/2012,30.0,30.0,27.1,27.5,109000
10/8/2012,29.0,29.0,25.9,26.2,177000
10/9/2012,28.6,28.8,28.0,28.8,111500
10/10/2012,31.0,31.0,28.5,29.3,227500
10/11/2012,28.2,29.5,27.8,28.6,261500
10/14/2012,29.0,30.0,28.0,28.3,113000
10/15/2012,28.5,28.5,27.1,27.4,74500
10/16/2012,28.0,28.2,27.4,27.6,128500
10/17/2012,28.4,28.5,26.7,27.4,75000
10/18/2012,28.0,28.0,27.0,27.0,46000
10/21/2012,27.3,27.3,25.5,25.9,54000
10/22/2012,26.7,27.2,25.5,26.5,35500
10/23/2012,27.9,28.2,27.0,27.2,119500
10/30/2012,27.2,28.8,27.2,28.2,150500
10/31/2012,27.9,28.5,27.5,27.8,129500
11/1/2012,28.3,28.7,27.5,27.7,167500
11/4/2012,28.0,28.4,26.7,27.0,88000
11/5/2012,27.5,27.5,26.6,27.0,128500
11/6/2012,27.0,27.5,25.7,26.1,61000
11/7/2012,26.5,26.5,25.2,25.3,98500
11/8/2012,25.0,25.7,24.8,24.9,70000
11/12/2012,23.0,23.3,22.5,22.5,57000
11/13/2012,20.9,23.8,20.6,23.2,137000
11/14/2012,22.9,23.4,22.0,22.0,66000
11/15/2012,23.8,24.2,23.0,24.1,291500
11/18/2012,23.9,26.4,23.6,25.5,165000
11/19/2012,24.4,25.2,23.9,24.2,77500
11/20/2012,23.4,24.9,23.3,23.8,163500
11/21/2012,25.0,25.8,24.3,25.3,140500
11/22/2012,25.0,26.2,25.0,25.6,127000
11/26/2012,24.8,25.6,24.3,24.5,65500
11/27/2012,23.7,24.7,23.7,23.8,82500
11/28/2012,24.5,24.5,23.3,23.7,62000
11/29/2012,25.4,25.7,24.2,24.9,129500
12/2/2012,25.0,25.1,23.0,23.2,124500
12/3/2012,23.9,23.9,22.2,22.3,82500
12/4/2012,22.4,23.0,21.7,22.7,49500
12/5/2012,22.2,22.9,22.1,22.5,51500
12/6/2012,22.2,23.0,22.1,22.3,96000
12/9/2012,21.8,21.9,21.6,21.6,47500
12/10/2012,21.0,21.7,20.5,21.1,22000
12/11/2012,20.7,21.3,20.6,20.9,46500
12/12/2012,21.6,22.0,21.0,21.2,30000
12/13/2012,21.3,21.3,20.5,20.8,24000
12/17/2012,21.7,21.7,20.7,21.2,54000
12/18/2012,21.3,21.3,20.8,20.9,60000
12/19/2012,21.1,21.4,20.9,21.1,61500
12/20/2012,21.5,21.5,20.6,20.7,47500
12/23/2012,20.6,20.9,20.5,20.6,19000
12/24/2012,20.5,20.6,20.2,20.2,55500
12/26/2012,20.3,20.8,20.3,20.4,55000
12/27/2012,20.7,20.7,20.4,20.6,51500
12/30/2012,20.6,20.7,20.5,20.6,34500
1/1/2013,20.8,21.3,20.3,20.3,73500
1/2/2013,20.3,20.3,20.0,20.0,38500
1/3/2013,20.0,20.6,20.0,20.1,42500
1/6/2013,20.6,20.6,19.9,19.9,46000
1/7/2013,20.0,20.0,19.6,19.6,23000
1/8/2013,20.0,20.1,19.6,19.6,31500
1/9/2013,19.7,20.0,19.6,19.6,17000
1/10/2013,19.8,20.0,19.7,19.8,9000
1/13/2013,19.6,19.6,19.5,19.5,10500
1/14/2013,19.4,19.6,19.4,19.4,7500
1/15/2013,19.2,19.7,19.2,19.4,11000
1/16/2013,19.7,19.9,19.6,19.8,40000
1/17/2013,19.9,20.0,19.5,19.5,40500
1/20/2013,19.6,19.6,19.1,19.1,75000
1/21/2013,19.4,19.4,19.0,19.0,39000
1/22/2013,19.0,19.4,19.0,19.0,24500
1/23/2013,19.6,19.7,19.0,19.1,89500
1/24/2013,19.6,20.5,19.2,19.9,142000
1/27/2013,20.7,20.7,19.7,19.8,54000
1/28/2013,19.5,20.0,19.5,19.7,60000
1/29/2013,20.1,21.4,20.0,21.1,229000
1/30/2013,21.2,21.2,20.5,20.9,114500
1/31/2013,20.6,21.8,20.6,21.6,233000
2/3/2013,21.0,23.4,20.8,22.9,289000
2/4/2013,23.0,24.1,23.0,23.8,296500
2/5/2013,22.1,24.5,22.1,23.8,261000
2/6/2013,24.0,24.2,23.5,23.7,97000
2/7/2013,23.0,23.9,22.8,22.9,159000
2/10/2013,24.0,24.6,22.9,23.1,74500
2/11/2013,23.1,23.7,23.0,23.1,94000
2/12/2013,23.3,23.3,22.5,22.6,103500
2/13/2013,22.8,23.4,22.6,23.0,120000
2/14/2013,23.6,24.4,23.6,23.9,224500
2/17/2013,23.9,23.9,22.9,23.0,108500
2/18/2013,23.1,23.4,22.9,22.9,77500
2/19/2013,23.0,23.0,22.3,22.6,80000
2/20/2013,22.6,22.7,21.5,21.8,48500
2/24/2013,22.0,22.4,20.4,20.8,44500
2/25/2013,21.2,21.8,20.6,20.8,62500
2/26/2013,21.1,21.5,20.6,21.3,29000
2/27/2013,21.3,21.3,20.1,20.3,58500
2/28/2013,20.9,21.2,20.3,20.9,50000
