Date,Open,High,Low,Close,Volume
10/25/2020,15.0,15.0,15.0,15.0,22637
10/27/2020,22.5,22.5,22.5,22.5,26026
10/28/2020,24.7,24.7,24.7,24.7,75969
10/29/2020,27.1,27.1,27.1,27.1,80802
11/1/2020,29.8,29.8,29.8,29.8,127497
11/2/2020,32.7,32.7,32.7,32.7,121122
11/3/2020,35.9,35.9,35.9,35.9,146407
11/4/2020,39.4,39.4,38.9,39.4,5751541
11/5/2020,41.0,51.0,41.0,50.2,3265155
11/8/2020,49.9,55.2,48.7,55.2,5897822
11/9/2020,56.0,60.7,55.3,60.7,2466853
11/10/2020,58.0,62.0,54.7,55.0,4543604
11/11/2020,53.6,60.5,53.6,59.7,1746270
11/12/2020,60.9,65.6,60.9,65.6,2241870
11/15/2020,71.2,71.2,59.1,62.0,2478009
11/16/2020,61.0,63.5,55.8,56.6,2132590
11/17/2020,56.6,62.2,56.6,62.2,1819773
11/18/2020,63.5,64.6,60.0,60.8,1674500
11/19/2020,62.2,63.0,57.6,58.8,1362257
11/22/2020,59.9,60.0,55.6,56.2,1080481
11/23/2020,56.2,56.2,50.7,54.0,997463
11/24/2020,54.2,58.9,52.8,58.3,1219799
11/26/2020,55.6,57.4,53.9,55.3,2360356
11/29/2020,57.1,57.3,53.5,53.8,1430132
11/30/2020,54.2,57.5,52.6,56.6,2142017
12/1/2020,57.5,58.7,55.8,56.5,1484903
12/2/2020,56.7,59.8,55.8,58.8,2086055
12/3/2020,59.7,61.9,59.7,60.6,2024996
12/6/2020,61.2,64.7,61.1,63.4,2127458
12/7/2020,64.1,66.4,61.7,62.3,2323189
12/8/2020,63.0,63.0,59.7,60.8,1755772
12/9/2020,61.5,64.2,60.6,62.3,1252120
12/10/2020,63.0,63.2,60.1,60.5,1194559
12/13/2020,61.0,61.6,58.6,59.0,1037943
12/14/2020,59.1,59.7,57.5,57.7,919341
12/15/2020,59.0,59.0,57.2,57.5,656061
12/17/2020,57.7,58.0,56.0,56.3,748420
12/20/2020,56.7,58.8,55.8,56.2,664063
12/21/2020,57.0,61.0,56.6,60.5,1451056
12/22/2020,61.0,61.9,56.9,57.2,1136755
12/23/2020,57.9,57.9,54.9,57.0,1455329
12/24/2020,57.1,58.8,55.2,55.4,959457
12/27/2020,55.5,58.0,55.2,56.3,908826
12/28/2020,56.6,57.0,54.8,55.4,973715
12/29/2020,55.5,56.9,54.8,55.1,741857
12/30/2020,55.6,55.9,54.0,54.2,746851
1/3/2021,54.4,56.1,54.0,54.4,1053046
1/4/2021,55.4,55.7,52.1,52.5,843344
1/5/2021,53.0,53.0,49.5,50.1,844686
1/6/2021,50.1,50.5,48.0,49.1,601224
