Date,Open,High,Low,Close,Volume
10/1/2012,228.9,233.9,223.0,230.6,22000
10/2/2012,234.0,236.9,228.1,235.3,54400
10/3/2012,237.0,253.9,237.0,249.8,101200
10/4/2012,246.0,251.5,240.3,246.3,13200
10/7/2012,245.0,245.0,231.3,233.7,10000
10/8/2012,235.0,243.5,226.0,229.7,27400
10/9/2012,237.9,242.3,233.0,237.7,6200
10/10/2012,234.1,234.1,226.2,229.6,5400
10/11/2012,230.0,232.0,225.1,226.4,16400
10/14/2012,230.0,239.0,225.0,230.1,10400
10/15/2012,230.0,238.0,230.0,233.8,7200
10/16/2012,238.9,245.0,238.9,243.4,39400
10/17/2012,241.0,243.7,238.0,240.0,21800
10/18/2012,244.9,246.5,240.0,241.3,36400
10/21/2012,245.0,245.0,238.1,240.9,1000
10/22/2012,240.0,243.9,238.0,240.1,6200
10/23/2012,245.0,250.0,238.1,241.1,12600
10/30/2012,255.0,255.0,240.0,244.8,16200
10/31/2012,241.1,247.8,241.1,243.9,19400
11/1/2012,245.0,246.9,239.0,242.5,6400
11/4/2012,241.9,241.9,236.1,237.3,4800
11/5/2012,239.5,246.0,235.0,239.5,5000
11/6/2012,249.9,249.9,236.0,240.0,14400
11/7/2012,225.0,243.0,225.0,238.4,11800
11/8/2012,240.0,245.0,232.2,236.1,23200
11/11/2012,231.0,237.4,226.1,227.9,6200
11/12/2012,234.0,234.4,225.1,229.3,12000
11/13/2012,232.0,234.9,229.4,230.1,7000
11/14/2012,235.0,235.0,230.2,231.9,8400
11/15/2012,252.0,252.0,239.0,244.3,54200
11/18/2012,245.0,245.0,235.0,242.2,24400
11/19/2012,242.0,242.0,233.5,235.8,5400
11/20/2012,226.5,239.9,226.0,229.3,15600
11/21/2012,235.0,235.0,229.4,230.6,18400
11/22/2012,235.0,239.0,228.0,231.3,6600
11/26/2012,233.0,233.0,227.0,230.2,9200
11/27/2012,226.3,231.2,225.1,227.4,6600
11/28/2012,238.0,243.0,224.1,227.6,5200
11/29/2012,236.0,239.4,230.1,238.1,28400
12/2/2012,243.9,243.9,228.1,236.8,29000
12/3/2012,232.0,236.8,230.1,232.0,11400
12/4/2012,231.0,235.0,230.0,232.0,4600
12/5/2012,241.8,241.8,231.0,236.4,1400
12/6/2012,233.0,236.9,231.5,235.0,33000
12/9/2012,237.8,237.8,230.0,235.1,19600
12/10/2012,234.9,236.0,231.5,234.8,4800
12/11/2012,234.9,235.0,234.9,234.9,19200
12/12/2012,240.0,240.0,230.0,230.6,3000
12/13/2012,235.0,235.0,230.7,230.9,4800
12/17/2012,239.2,239.2,233.0,235.0,1800
12/18/2012,237.5,237.5,237.5,237.5,200
12/19/2012,238.4,238.4,232.2,235.3,2400
12/20/2012,239.5,242.0,235.1,240.8,31400
12/23/2012,241.0,241.0,234.6,235.8,3000
12/24/2012,232.0,237.5,232.0,233.6,2400
12/26/2012,234.9,234.9,225.0,230.6,6400
12/27/2012,233.9,235.0,230.2,230.5,14200
12/30/2012,230.6,235.4,230.6,231.1,5000
