Date,Open,High,Low,Close,Volume
10/1/2012,72.1,78.0,72.1,74.4,4800
10/2/2012,74.0,76.3,71.4,72.9,9400
10/3/2012,76.9,77.0,70.1,70.9,17800
10/4/2012,71.0,71.1,70.9,70.9,2800
10/7/2012,70.9,70.9,68.1,69.9,2400
10/8/2012,73.9,73.9,67.0,68.1,2400
10/9/2012,71.8,71.9,68.2,68.5,4400
10/10/2012,70.0,70.0,66.5,67.0,3000
10/11/2012,64.5,69.9,64.5,67.2,400
10/15/2012,68.0,68.0,66.0,66.4,2600
10/16/2012,65.2,65.2,64.7,65.0,2800
10/17/2012,64.3,64.5,64.3,64.4,600
10/18/2012,67.0,67.0,66.9,66.9,1600
10/21/2012,65.0,65.0,65.0,65.0,400
10/22/2012,62.6,66.8,62.6,65.4,2400
10/23/2012,67.9,69.0,67.6,68.5,4400
10/30/2012,69.5,69.5,69.5,69.5,200
10/31/2012,64.6,70.0,64.6,67.7,2000
11/1/2012,66.1,68.0,66.0,66.2,2400
11/4/2012,65.0,65.0,65.0,65.0,400
11/5/2012,67.8,71.5,67.8,69.2,8800
11/6/2012,74.5,75.0,71.5,73.6,10000
11/7/2012,76.0,80.9,76.0,80.8,47000
11/8/2012,81.3,81.5,76.0,78.8,10000
11/11/2012,75.0,75.0,72.0,73.3,5200
11/12/2012,72.1,74.0,67.0,71.4,1800
11/13/2012,71.0,77.8,71.0,75.8,17600
11/14/2012,75.0,78.0,72.8,74.7,4600
11/15/2012,77.0,78.7,75.0,77.0,8400
11/18/2012,75.5,77.4,73.3,75.4,3800
11/19/2012,76.0,77.0,74.0,75.9,15200
11/20/2012,76.0,76.0,73.1,74.0,600
11/21/2012,76.0,76.0,72.0,72.8,4000
11/22/2012,74.4,76.4,73.1,74.6,5200
11/27/2012,75.0,75.0,70.1,72.8,1800
11/28/2012,72.0,72.0,70.1,71.5,2200
11/29/2012,78.0,78.0,72.0,74.6,4400
12/2/2012,72.1,73.9,72.1,73.4,1000
12/3/2012,74.0,74.0,71.0,71.7,1200
12/4/2012,73.0,73.2,70.0,72.3,800
12/5/2012,69.2,71.9,68.1,69.7,3000
12/6/2012,68.7,73.0,68.6,69.9,2200
12/9/2012,69.0,70.9,69.0,69.5,4400
12/10/2012,71.0,71.0,69.1,69.5,1600
12/11/2012,67.0,74.0,67.0,71.0,1000
12/12/2012,73.0,73.0,67.2,70.9,800
12/13/2012,72.0,72.0,71.9,71.9,400
12/17/2012,74.9,74.9,70.1,71.3,800
12/18/2012,70.5,70.5,70.5,70.5,1600
12/19/2012,71.8,71.8,70.5,71.3,600
12/20/2012,70.1,72.0,67.5,69.4,2800
12/23/2012,70.0,70.0,69.0,69.4,2200
12/24/2012,69.9,69.9,68.2,69.7,1800
12/26/2012,69.0,70.1,69.0,69.1,1200
12/27/2012,69.8,69.8,67.6,68.9,1000
12/30/2012,68.3,68.3,68.3,68.3,200
1/1/2013,68.1,68.1,67.0,67.7,600
1/2/2013,67.0,67.0,66.5,66.7,600
1/3/2013,70.0,70.0,70.0,70.0,200
1/6/2013,66.2,66.2,66.0,66.1,600
1/7/2013,66.1,66.1,65.0,65.8,3400
1/8/2013,68.4,68.5,68.4,68.4,600
1/13/2013,68.4,68.4,65.3,66.7,800
1/14/2013,65.5,65.5,65.5,65.5,400
1/15/2013,64.7,64.7,63.7,64.2,1400
1/16/2013,64.0,64.5,64.0,64.3,800
1/17/2013,66.9,67.2,66.5,66.8,1400
1/20/2013,67.0,67.0,67.0,67.0,200
1/21/2013,67.0,67.0,67.0,67.0,400
1/22/2013,68.0,70.3,68.0,68.8,6000
1/23/2013,70.7,70.7,70.7,70.7,200
1/27/2013,66.2,66.2,66.1,66.1,400
1/28/2013,66.0,66.5,65.6,66.0,2200
1/29/2013,68.9,71.8,68.9,69.6,3600
1/31/2013,68.4,68.4,68.4,68.4,200
2/5/2013,66.6,67.0,66.5,66.7,1800
2/6/2013,66.7,66.7,66.1,66.3,1800
2/7/2013,68.8,68.8,66.3,67.0,1200
2/10/2013,64.8,69.7,64.6,67.2,1600
2/11/2013,68.0,69.9,68.0,68.9,400
2/12/2013,70.0,73.9,67.3,71.0,2400
2/13/2013,67.0,67.0,67.0,67.0,200
2/14/2013,69.9,70.0,66.8,68.7,3600
2/17/2013,69.8,69.8,68.0,68.3,1800
2/18/2013,68.0,68.9,66.5,66.8,7400
2/19/2013,66.5,66.5,66.5,66.5,1000
2/20/2013,69.9,69.9,66.4,68.1,2000
2/24/2013,64.6,65.0,64.6,64.8,800
2/25/2013,65.0,66.8,64.8,65.2,1200
2/26/2013,67.0,67.2,67.0,67.1,400
2/27/2013,67.0,67.0,65.0,66.0,2000
2/28/2013,64.7,64.8,64.7,64.7,1200
3/3/2013,64.6,64.6,64.5,64.5,400
3/4/2013,61.3,61.3,61.3,61.3,200
3/5/2013,61.6,62.1,61.6,61.8,400
3/6/2013,61.6,61.6,61.5,61.5,800
3/7/2013,60.6,60.6,60.6,60.6,200
3/10/2013,60.5,60.5,55.1,59.2,2200
3/11/2013,61.9,61.9,61.9,61.9,200
3/12/2013,60.8,60.8,60.8,60.8,4600
3/13/2013,64.0,64.0,59.5,61.8,1400
3/14/2013,60.5,60.5,60.5,60.5,600
3/18/2013,60.9,60.9,60.9,60.9,200
3/19/2013,60.0,61.7,59.6,59.8,6800
3/20/2013,59.0,61.0,59.0,59.6,600
3/24/2013,58.0,59.2,58.0,58.4,600
3/25/2013,59.7,59.7,59.7,59.7,200
3/27/2013,54.0,59.4,54.0,58.7,1600
3/28/2013,58.9,58.9,58.0,58.3,6400
3/31/2013,56.0,56.0,56.0,56.0,200
4/2/2013,60.9,60.9,60.9,60.9,1000
4/3/2013,58.0,58.0,56.0,56.7,2200
4/4/2013,57.0,57.0,57.0,57.0,400
4/8/2013,56.0,57.1,55.5,56.6,1400
4/9/2013,59.6,59.7,57.2,58.5,2600
4/10/2013,56.5,57.0,56.5,56.8,600
4/11/2013,59.7,60.7,59.7,60.1,3400
4/15/2013,61.1,61.1,60.8,60.8,1600
4/17/2013,61.0,61.0,60.5,60.6,3400
4/18/2013,62.0,64.8,60.0,63.7,12600
4/21/2013,64.5,67.9,64.2,66.1,5200
4/22/2013,65.8,65.9,62.4,63.2,10400
4/23/2013,64.0,65.2,63.8,64.2,4200
4/24/2013,62.4,62.8,60.0,60.7,10000
4/25/2013,61.1,61.4,57.0,57.8,23800
4/28/2013,56.3,58.5,56.2,56.9,1600
4/29/2013,58.0,60.0,55.4,59.3,4400
4/30/2013,58.0,58.4,57.3,57.8,3200
5/2/2013,60.4,60.9,57.1,60.5,15200
5/5/2013,62.0,65.0,61.4,63.2,9600
5/6/2013,63.7,65.0,62.4,64.2,12800
5/7/2013,65.6,70.5,65.6,70.1,37200
5/8/2013,68.4,70.6,66.5,67.2,11000
5/9/2013,65.3,67.0,65.2,65.7,10200
5/12/2013,66.0,66.2,65.2,65.8,12600
5/13/2013,66.0,67.0,65.7,65.9,4600
5/14/2013,65.9,67.2,64.3,66.1,15400
5/15/2013,65.0,67.5,65.0,65.7,7600
5/16/2013,65.2,68.9,65.2,67.7,6600
5/19/2013,69.5,69.5,67.3,68.1,3400
5/20/2013,66.6,68.0,66.3,66.6,7400
5/21/2013,65.5,65.5,65.1,65.3,4200
5/22/2013,64.5,64.5,63.2,63.6,4800
5/26/2013,66.9,66.9,66.9,66.9,200
5/28/2013,67.0,67.5,64.3,66.5,7800
5/29/2013,65.7,65.9,65.7,65.8,400
5/30/2013,68.0,68.0,66.5,66.8,4000
6/2/2013,67.0,68.4,66.2,67.3,7000
6/3/2013,68.0,74.0,67.3,73.9,31800
6/4/2013,75.0,77.8,70.0,71.8,10000
6/5/2013,73.0,73.0,69.8,71.4,4200
6/6/2013,70.0,70.8,68.8,69.3,9000
6/9/2013,67.0,67.1,65.0,66.3,11400
6/10/2013,70.0,70.0,67.0,68.2,2800
6/11/2013,68.2,69.5,67.5,68.3,3800
6/12/2013,69.5,69.9,67.5,68.8,7400
6/13/2013,71.9,71.9,68.1,69.3,1400
6/16/2013,69.8,71.3,69.2,70.0,8000
6/17/2013,71.5,71.5,69.4,69.9,3800
6/18/2013,68.5,70.0,68.4,69.3,4400
6/19/2013,70.0,70.0,67.4,67.5,22200
6/20/2013,68.0,68.0,65.2,66.1,15600
6/23/2013,66.5,66.5,65.0,65.0,5200
6/24/2013,63.0,65.0,63.0,63.4,1000
6/26/2013,63.9,66.0,63.8,64.0,2400
6/30/2013,64.0,64.0,61.1,61.7,7000
7/2/2013,62.3,67.5,62.3,66.7,2000
7/3/2013,66.7,66.7,64.2,65.3,1600
7/4/2013,66.7,67.8,66.7,67.2,400
7/7/2013,68.9,68.9,67.2,68.4,2400
7/8/2013,70.8,70.8,67.0,67.7,4000
7/9/2013,69.9,70.0,67.0,67.7,10800
7/10/2013,73.7,73.7,68.6,69.7,5000
7/11/2013,70.0,70.0,67.0,68.1,2800
7/14/2013,68.0,68.0,65.0,66.5,2000
7/15/2013,68.0,68.0,66.0,66.4,1000
7/16/2013,68.0,68.0,65.4,67.2,3800
7/17/2013,64.5,65.5,64.5,64.9,1400
7/18/2013,67.0,67.0,62.8,65.3,2400
7/21/2013,61.0,63.2,61.0,62.4,600
7/22/2013,63.5,63.5,63.3,63.4,1400
7/23/2013,65.0,65.0,58.1,60.9,2400
7/24/2013,64.9,66.7,64.9,66.0,1000
7/25/2013,66.6,66.6,62.1,64.2,1600
7/28/2013,62.0,62.0,61.9,61.9,600
7/29/2013,63.0,65.0,62.2,63.1,4000
7/30/2013,63.6,65.7,62.5,63.4,4600
8/1/2013,58.0,60.9,58.0,59.4,1800
8/5/2013,55.1,57.1,54.7,55.6,1000
8/12/2013,55.6,58.9,55.6,56.9,1800
8/13/2013,58.5,59.8,57.2,59.0,4000
8/14/2013,60.9,62.8,60.9,61.7,2000
8/18/2013,63.5,63.5,61.1,62.5,3600
8/19/2013,62.5,62.5,61.6,62.2,1600
8/20/2013,60.0,60.5,59.1,59.7,3000
8/21/2013,59.5,64.1,59.5,62.8,4800
8/22/2013,67.5,67.6,64.0,66.5,12600
8/25/2013,67.0,67.8,65.5,66.7,3400
8/26/2013,67.0,69.0,65.6,67.6,10200
8/27/2013,71.3,74.2,71.0,74.1,63200
8/29/2013,80.6,80.6,76.0,80.0,38400
