Date,Open,High,Low,Close,Volume
10/1/2012,88.5,93.5,88.0,91.5,69800
10/2/2012,93.0,100.6,92.9,100.2,258700
10/3/2012,108.0,108.0,96.3,97.2,148300
10/4/2012,102.0,102.4,94.5,95.5,60700
10/7/2012,97.9,97.9,90.0,90.9,80800
10/8/2012,92.0,94.0,89.4,90.1,55200
10/9/2012,92.1,96.0,92.0,92.5,60600
10/10/2012,93.7,93.7,88.5,89.5,64300
10/11/2012,90.0,91.0,88.7,89.2,59500
10/14/2012,90.0,90.9,86.6,87.0,36900
10/15/2012,87.2,88.9,86.6,87.4,28500
10/16/2012,88.0,89.8,87.5,88.4,43000
10/17/2012,90.0,91.3,89.6,90.4,42600
10/18/2012,90.4,90.9,89.0,89.2,14100
10/21/2012,88.7,89.0,85.2,87.0,19800
10/22/2012,88.9,88.9,86.0,87.2,21000
10/23/2012,88.8,88.8,86.0,86.7,63300
10/30/2012,91.8,91.8,85.6,85.9,12900
10/31/2012,86.9,86.9,83.1,83.4,44800
11/1/2012,87.8,87.8,83.3,83.5,16200
11/4/2012,83.3,84.4,82.1,82.5,27600
11/5/2012,82.5,83.7,81.8,82.9,49700
11/6/2012,83.1,85.5,83.1,84.4,32700
11/7/2012,85.4,91.6,85.4,89.0,135300
11/8/2012,90.0,90.0,84.3,85.2,42500
11/11/2012,83.5,84.0,82.5,82.6,37700
11/12/2012,85.0,85.0,82.1,83.0,23700
11/13/2012,83.1,84.9,81.6,83.5,30000
11/14/2012,83.1,83.3,81.7,82.1,45200
11/15/2012,84.1,85.0,82.8,83.2,26900
11/18/2012,84.3,84.3,82.0,82.2,48500
11/19/2012,83.5,83.5,80.5,80.6,41200
11/20/2012,79.0,80.8,78.7,78.8,22400
11/21/2012,79.7,81.0,78.5,79.9,19600
11/22/2012,80.0,81.5,78.5,79.0,27300
11/26/2012,78.6,78.8,76.2,76.3,13000
11/27/2012,76.5,79.2,76.5,77.3,8300
11/28/2012,77.4,77.4,75.2,75.6,19100
11/29/2012,79.1,80.8,78.0,79.7,20200
12/2/2012,80.6,80.8,75.5,76.7,22200
12/3/2012,76.0,77.7,75.8,76.1,7200
12/4/2012,76.0,77.5,75.4,76.2,4300
12/5/2012,76.0,77.4,75.6,76.7,20500
12/6/2012,76.1,77.3,75.6,76.0,26600
12/9/2012,75.3,75.3,74.8,74.9,12100
12/10/2012,73.6,74.1,73.6,73.9,3200
12/11/2012,72.3,75.5,72.3,74.6,8600
12/12/2012,74.7,75.5,74.1,74.5,11800
12/13/2012,74.4,74.9,73.6,74.2,8300
12/17/2012,74.5,75.9,74.5,75.2,14500
12/18/2012,75.0,75.5,74.5,74.5,13000
12/19/2012,75.0,76.2,75.0,75.3,13600
12/20/2012,76.3,76.3,75.2,75.2,28400
12/23/2012,75.0,75.0,74.2,74.5,7200
12/24/2012,74.6,75.0,74.4,74.6,6400
