Date,Open,High,Low,Close,Volume
9/29/2014,154.0,154.0,154.0,154.0,0
9/30/2014,154.0,154.0,154.0,154.0,0
10/1/2014,154.0,154.0,154.0,154.0,0
10/2/2014,154.0,154.0,154.0,154.0,0
1/28/2024,14.0,15.4,14.0,14.2,103688
1/29/2024,14.2,14.6,13.5,13.6,140181
1/30/2024,14.4,14.4,13.6,13.8,157717
1/31/2024,14.3,14.3,13.5,13.7,20909
2/1/2024,14.9,14.9,13.5,13.6,107010
2/4/2024,14.1,14.1,13.5,13.7,163185
2/5/2024,13.9,14.1,13.5,13.6,164313
2/6/2024,13.9,14.0,13.5,13.6,84233
2/7/2024,13.6,14.0,13.3,13.4,180465
2/8/2024,13.9,14.0,13.3,13.5,419901
2/11/2024,13.9,14.3,13.6,14.0,140154
2/12/2024,14.4,15.4,14.4,15.4,340164
2/13/2024,15.4,16.8,15.0,15.3,428296
2/14/2024,15.9,16.6,15.5,16.1,159512
2/15/2024,17.0,17.0,15.5,15.7,120117
2/18/2024,16.4,16.4,14.6,15.1,33393
2/19/2024,15.1,16.1,15.1,15.8,15675
2/20/2024,16.5,16.5,14.9,15.2,53189
