Date,Open,High,Low,Close,Volume
10/29/2020,5060.0,5120.0,5060.0,5072.5,8
11/1/2020,5080.0,5140.0,5080.0,5092.0,10
11/2/2020,5092.0,5200.0,5092.0,5158.0,256
11/3/2020,5120.0,5120.0,5100.0,5110.0,3
11/4/2020,5100.0,5100.0,5100.0,5100.0,28
11/5/2020,5100.0,5110.0,5100.0,5101.0,19
11/8/2020,5100.0,5110.0,5100.0,5110.0,10
11/9/2020,5100.0,5150.0,5100.0,5145.0,40
11/10/2020,5110.0,5200.0,5110.0,5200.0,71
11/11/2020,5145.0,5230.0,5145.0,5220.0,78
11/12/2020,5200.0,5200.0,5200.0,5200.0,71
11/15/2020,5120.0,5200.0,5120.0,5194.0,22
11/16/2020,5120.0,5200.5,5100.0,5200.0,76
11/17/2020,5200.0,5200.0,5160.0,5199.5,80
11/18/2020,5170.0,5200.0,5170.0,5200.0,61
11/19/2020,5199.5,5200.0,5130.0,5162.5,23
11/22/2020,5160.0,5160.0,5120.0,5150.0,4
11/23/2020,5150.0,5200.0,5150.0,5166.5,3
11/24/2020,5200.0,5220.0,5200.0,5213.5,76
11/25/2020,5203.0,5203.0,5203.0,5203.0,4
11/30/2020,5200.0,5200.0,5100.0,5136.5,9
12/2/2020,5100.0,5100.0,5100.0,5100.0,2
12/6/2020,5100.0,5291.0,5100.0,5277.5,79
12/7/2020,5220.5,5220.5,5220.5,5220.5,3
12/8/2020,5200.0,5295.0,5200.0,5253.0,9
12/9/2020,5200.0,5294.5,5200.0,5227.5,29
12/10/2020,5300.0,5380.0,5300.0,5326.5,11
12/13/2020,5200.0,5220.0,5200.0,5207.0,14
12/14/2020,5340.0,5350.0,5300.0,5338.5,54
12/15/2020,5300.0,5300.0,5300.0,5300.0,7
12/17/2020,5200.0,5200.0,5200.0,5200.0,5
12/20/2020,5200.0,5200.0,5200.0,5200.0,26
12/21/2020,5220.0,5220.0,5220.0,5220.0,1
12/22/2020,5210.5,5210.5,5210.0,5210.0,14
12/23/2020,5210.0,5250.0,5210.0,5228.0,9
12/24/2020,5210.0,5210.0,5210.0,5210.0,3
12/27/2020,5210.0,5210.0,5210.0,5210.0,6
12/28/2020,5211.0,5211.0,5210.0,5210.0,11
12/29/2020,5210.0,5213.0,5210.0,5213.0,44
12/30/2020,5259.5,5259.5,5210.0,5218.5,12
1/3/2021,5413.0,5413.0,5200.5,5386.0,146
