Date,Open,High,Low,Close,Volume
10/1/2012,78.0,86.9,78.0,84.1,65500
10/2/2012,85.8,85.8,83.7,84.1,64500
10/3/2012,84.0,86.3,83.5,83.9,72500
10/4/2012,83.6,84.0,82.0,83.5,30500
10/7/2012,83.5,83.8,77.2,77.8,32000
10/8/2012,78.7,79.0,76.0,76.5,34500
10/9/2012,78.9,80.8,78.0,79.4,84500
10/10/2012,80.3,80.5,76.0,76.5,45500
10/11/2012,75.3,78.0,75.3,76.5,24000
10/14/2012,75.5,83.8,75.5,81.0,60000
10/15/2012,84.5,84.6,77.6,78.4,29500
10/16/2012,81.0,81.0,77.5,77.8,138000
10/17/2012,78.0,78.5,76.2,77.0,37000
10/18/2012,78.8,79.5,76.1,76.4,24000
10/21/2012,78.3,79.5,76.0,78.4,30000
10/22/2012,78.0,79.8,76.5,77.9,14000
10/23/2012,81.0,81.0,77.2,78.3,14500
10/30/2012,76.5,80.5,76.5,79.5,15500
10/31/2012,80.1,80.1,73.5,73.8,43000
11/1/2012,77.5,77.5,73.4,73.7,29000
11/4/2012,71.9,73.9,71.6,72.6,9500
11/5/2012,74.5,74.5,71.1,71.6,13500
11/6/2012,70.8,72.7,70.5,70.9,20000
11/7/2012,70.7,70.7,69.1,70.3,6500
11/8/2012,67.3,71.0,67.3,69.3,22500
11/11/2012,67.5,69.2,67.0,67.8,11000
11/12/2012,67.9,67.9,65.9,67.2,8000
11/13/2012,67.8,71.6,66.1,68.2,23000
11/14/2012,70.0,70.0,67.0,67.8,16500
11/15/2012,68.0,69.9,67.0,67.7,17000
11/18/2012,68.1,68.1,67.7,67.8,13000
11/19/2012,67.0,67.9,65.2,65.9,28000
11/20/2012,65.5,66.0,65.5,65.7,9000
11/21/2012,67.9,67.9,63.5,65.1,15500
11/22/2012,65.8,67.3,65.5,66.5,14000
11/26/2012,65.5,67.3,65.5,66.2,17000
11/27/2012,67.0,67.0,63.8,65.7,8500
11/28/2012,64.0,66.3,64.0,64.8,3500
11/29/2012,69.0,69.0,67.0,68.9,32500
12/2/2012,69.4,69.4,66.6,67.5,11000
12/3/2012,65.0,65.0,64.3,64.8,5000
12/4/2012,64.5,68.4,64.5,66.5,17500
12/5/2012,65.0,68.3,65.0,66.5,14500
12/6/2012,64.3,66.7,64.1,64.9,10000
12/9/2012,64.5,64.5,63.3,63.5,9500
12/10/2012,63.0,63.5,60.8,61.6,7000
12/11/2012,62.8,62.9,62.0,62.3,4000
12/12/2012,62.2,62.2,61.6,62.0,8000
12/13/2012,64.9,64.9,62.1,63.2,2500
12/17/2012,64.7,65.5,64.7,65.0,7000
12/18/2012,63.8,63.9,62.8,63.2,6000
12/19/2012,64.0,64.7,62.7,63.4,14000
12/20/2012,63.1,63.1,62.1,62.7,5500
12/24/2012,64.9,65.0,62.9,64.2,12500
12/26/2012,66.0,66.0,65.0,65.3,1500
12/27/2012,66.4,66.4,63.5,64.1,6500
12/30/2012,63.9,64.1,63.9,63.9,4500
1/1/2013,63.2,63.2,63.2,63.2,1000
1/2/2013,62.7,64.3,62.6,63.0,5000
1/3/2013,62.1,64.0,62.1,62.4,14500
1/6/2013,63.1,63.1,62.9,62.9,5000
1/7/2013,62.9,62.9,62.9,62.9,1500
1/8/2013,61.2,61.6,60.7,60.7,30000
1/9/2013,63.8,63.8,61.4,62.0,2000
1/10/2013,63.3,63.3,60.8,61.3,5000
1/13/2013,62.0,62.0,61.5,61.6,4000
1/14/2013,61.0,62.0,61.0,61.1,4000
1/15/2013,62.0,62.0,61.1,61.5,6500
1/16/2013,62.0,62.3,62.0,62.0,7500
1/17/2013,63.3,63.3,63.0,63.0,14000
1/20/2013,63.8,64.6,63.7,64.2,11500
1/21/2013,64.1,64.1,62.4,62.9,8000
1/22/2013,63.5,67.5,63.5,65.7,34500
1/23/2013,66.5,70.0,66.5,69.3,91500
1/24/2013,69.5,73.5,69.5,72.5,76000
1/27/2013,72.8,75.0,72.5,74.0,60500
1/28/2013,73.0,81.0,72.9,79.9,126500
1/29/2013,81.7,81.7,78.0,80.0,93500
1/30/2013,80.0,80.0,75.2,77.6,109500
1/31/2013,82.0,82.0,76.4,80.6,102500
2/3/2013,80.0,84.3,80.0,83.6,110500
2/4/2013,83.9,86.0,78.6,79.2,63500
2/5/2013,81.6,81.6,78.0,78.9,49000
2/6/2013,77.9,80.1,77.0,77.4,87000
2/7/2013,77.4,83.9,77.4,80.4,63000
2/10/2013,81.3,82.8,78.5,79.1,75000
2/11/2013,80.0,81.3,79.1,80.3,119000
2/12/2013,80.0,80.9,78.8,78.8,113000
2/13/2013,78.2,84.8,78.0,83.1,133000
2/14/2013,85.9,89.5,85.4,88.0,203000
2/17/2013,89.6,90.0,85.2,87.8,116000
2/18/2013,88.4,88.5,83.8,84.6,90500
2/19/2013,86.0,86.0,83.0,83.4,38000
2/20/2013,83.2,87.8,83.0,85.1,113000
2/24/2013,85.0,86.8,84.3,84.9,60000
2/25/2013,85.2,86.4,80.5,82.3,50000
2/26/2013,84.0,84.2,82.4,83.6,15500
2/27/2013,85.9,85.9,79.2,80.6,67000
2/28/2013,82.0,83.7,79.5,80.6,23500
3/3/2013,78.5,79.0,74.0,75.4,28000
3/4/2013,79.9,80.2,77.9,79.0,29000
3/5/2013,81.9,82.4,77.5,77.7,39500
3/6/2013,76.3,79.5,76.3,77.0,17000
3/7/2013,76.0,78.7,76.0,78.1,16500
3/10/2013,78.2,78.3,72.0,75.0,36000
3/11/2013,72.3,73.9,68.1,71.6,52000
3/12/2013,70.8,72.0,69.2,70.1,15500
3/13/2013,71.5,72.3,68.4,69.7,55500
3/14/2013,71.8,71.9,67.0,67.7,50000
3/18/2013,67.5,71.9,67.2,69.7,23000
3/19/2013,71.9,73.0,70.8,72.2,41500
3/20/2013,70.0,71.9,69.0,69.9,38000
3/24/2013,68.0,68.0,66.1,67.2,25500
3/25/2013,68.7,68.7,66.1,67.2,27500
3/27/2013,69.9,69.9,64.0,65.4,18000
3/28/2013,69.0,69.0,66.1,66.8,15500
3/31/2013,66.5,66.5,64.7,64.9,24500
4/1/2013,63.3,64.7,62.6,63.2,34000
4/2/2013,62.0,65.3,62.0,64.4,32000
4/3/2013,65.7,65.8,63.0,63.9,10000
4/4/2013,63.0,63.0,62.4,62.6,7500
4/7/2013,62.4,63.5,62.3,63.1,18500
4/8/2013,61.0,63.3,60.2,61.4,17000
4/9/2013,63.7,67.5,63.7,67.3,69500
4/10/2013,70.0,70.9,68.4,68.8,39000
4/11/2013,69.8,72.4,65.0,70.4,66500
4/15/2013,71.1,72.5,70.2,70.8,39000
4/16/2013,70.0,70.0,67.0,67.5,35500
4/17/2013,64.2,67.1,64.2,65.7,38000
4/18/2013,67.5,67.5,65.1,66.6,21000
4/21/2013,67.5,70.3,66.0,67.1,44000
4/22/2013,68.0,73.7,68.0,71.7,112500
4/23/2013,72.9,74.0,69.6,70.6,55500
4/24/2013,69.1,70.8,68.7,69.2,25500
4/25/2013,70.0,70.0,66.7,66.9,35500
4/28/2013,66.0,66.0,64.0,64.9,38500
4/29/2013,63.9,64.5,63.0,63.5,35000
4/30/2013,67.9,67.9,63.0,64.2,24000
5/2/2013,63.3,65.9,63.3,65.1,30500
5/5/2013,65.5,66.0,64.5,65.6,22500
5/6/2013,64.5,64.8,62.4,63.1,28000
5/7/2013,64.0,66.7,63.5,65.8,61500
5/9/2013,67.6,72.1,64.1,71.8,142000
5/12/2013,74.1,74.1,69.7,70.1,48500
5/13/2013,71.0,71.0,68.5,68.9,28000
5/14/2013,70.8,74.9,68.6,71.7,105000
5/15/2013,71.3,71.4,69.2,69.4,41000
5/16/2013,69.5,73.0,69.2,70.2,47500
5/19/2013,73.0,73.8,71.2,71.8,136500
5/20/2013,68.3,72.1,68.3,70.2,73500
