Date,Open,High,Low,Close,Volume
2/19/2013,65.0,82.9,65.0,82.0,8293800
2/20/2013,80.0,86.0,80.0,82.0,2518200
2/24/2013,82.0,82.0,73.0,74.2,1440400
2/25/2013,73.8,76.9,69.2,69.9,3669000
2/26/2013,72.0,78.8,70.1,78.4,2525200
2/27/2013,78.0,79.9,73.0,75.0,2366200
2/28/2013,73.4,76.5,71.8,74.8,1609200
3/3/2013,71.1,73.0,67.8,68.3,1546600
3/4/2013,69.0,72.5,69.0,69.8,1245800
3/5/2013,70.5,71.4,63.4,64.6,1527800
3/6/2013,64.6,66.0,61.4,61.9,1443000
3/7/2013,61.0,61.8,58.1,58.9,1092800
3/10/2013,60.0,61.8,53.6,54.6,1168800
3/11/2013,54.1,55.9,50.0,54.3,1302200
3/12/2013,52.1,55.2,51.6,52.8,684400
3/13/2013,53.0,55.5,52.8,53.2,907000
3/14/2013,54.0,54.3,51.7,52.0,670800
3/18/2013,52.5,53.8,51.7,53.2,571600
3/19/2013,53.8,54.5,52.7,52.9,583000
3/20/2013,51.1,52.9,50.2,50.4,656200
3/24/2013,50.6,51.0,45.4,45.4,1196200
3/25/2013,45.4,45.4,40.9,42.3,847000
3/27/2013,43.0,45.4,40.2,40.6,787000
3/28/2013,40.0,42.8,40.0,42.2,659600
3/31/2013,42.8,44.2,40.9,42.6,681600
4/1/2013,42.0,42.0,39.0,39.5,775600
4/2/2013,39.2,41.0,39.0,40.8,719200
4/3/2013,40.7,41.4,39.6,39.7,1050400
4/4/2013,39.2,39.5,37.6,38.1,1247000
4/8/2013,31.8,32.1,30.2,31.3,1063000
4/9/2013,31.4,33.5,31.3,33.1,882000
4/10/2013,34.0,34.4,32.1,32.7,594400
4/11/2013,32.5,33.9,32.0,32.9,704000
4/15/2013,33.2,36.1,33.2,36.1,1114000
4/16/2013,37.0,37.5,34.5,34.7,1088800
4/17/2013,34.7,35.4,34.1,34.7,679600
4/18/2013,35.0,37.1,34.9,35.6,1466400
4/21/2013,36.4,37.2,35.5,35.6,944600
4/22/2013,35.6,35.9,34.9,35.0,460800
4/23/2013,35.0,35.7,34.3,34.5,585400
4/24/2013,34.7,34.9,32.9,33.1,520800
4/25/2013,34.3,34.3,32.5,32.6,380200
4/28/2013,32.1,32.1,30.9,31.3,344800
4/29/2013,31.2,33.0,30.8,32.4,560200
4/30/2013,33.0,33.3,31.5,31.7,380000
5/2/2013,31.6,32.6,31.1,32.2,430200
5/5/2013,31.9,33.1,31.6,31.9,693200
5/6/2013,31.9,32.0,31.4,31.5,355400
5/7/2013,31.3,32.3,31.2,32.0,448400
5/8/2013,32.5,33.1,31.5,31.6,769600
5/9/2013,31.7,32.6,31.5,32.3,679000
5/12/2013,32.9,34.6,32.9,34.3,1180000
5/13/2013,34.6,35.0,33.7,34.7,1511200
5/14/2013,35.2,36.2,35.1,35.8,1347400
5/15/2013,36.0,36.4,34.4,34.6,1617800
5/16/2013,34.1,36.1,34.0,35.8,2043400
5/19/2013,36.2,38.0,36.0,37.5,2345600
5/20/2013,37.9,38.0,35.9,36.2,1843000
5/21/2013,36.2,36.9,35.0,35.3,1565400
5/22/2013,35.5,36.0,34.1,34.4,988600
5/26/2013,34.4,34.8,33.0,33.2,549000
5/27/2013,33.0,34.7,32.8,34.2,347000
5/28/2013,34.8,35.1,33.8,34.0,630400
5/29/2013,34.2,34.9,34.1,34.5,652800
5/30/2013,35.0,35.9,34.9,35.1,1122200
6/2/2013,35.7,36.3,35.3,36.0,1436200
6/3/2013,36.5,36.8,35.0,35.2,1455400
6/4/2013,35.5,35.9,34.3,34.7,1509400
6/5/2013,35.0,35.4,34.3,34.4,1053400
6/6/2013,35.0,35.0,33.5,33.6,1129400
6/9/2013,33.4,33.6,31.7,31.8,782400
6/10/2013,32.6,33.7,32.0,33.3,718000
6/11/2013,33.8,34.8,33.7,34.2,1001800
6/12/2013,34.6,37.5,34.6,36.3,3591000
6/13/2013,36.9,37.0,35.8,36.0,1501600
6/16/2013,36.0,38.0,35.8,37.6,1944000
6/17/2013,37.9,38.4,35.5,35.9,1988600
6/18/2013,36.2,36.5,35.0,35.4,1349200
6/19/2013,36.0,36.6,34.8,35.1,1687800
6/20/2013,35.6,35.8,33.9,34.1,1014400
6/23/2013,34.4,34.9,32.1,32.7,801200
6/24/2013,33.2,33.3,32.4,32.8,458000
6/26/2013,34.0,34.4,32.6,32.9,739400
6/27/2013,33.1,33.4,32.1,32.3,671600
6/30/2013,30.6,31.9,30.6,31.3,1074000
7/2/2013,31.9,34.3,31.2,34.0,687400
7/3/2013,34.9,34.9,32.5,32.9,655800
7/4/2013,33.8,35.4,32.9,34.4,1645400
7/7/2013,34.5,35.9,34.5,35.3,1459400
7/8/2013,35.7,36.3,35.2,35.4,1518800
7/9/2013,35.4,36.6,34.0,34.5,1408200
7/10/2013,34.9,34.9,33.2,33.6,1123200
7/11/2013,33.8,34.0,32.6,32.7,652400
7/14/2013,33.2,33.6,32.4,32.6,683400
7/15/2013,32.6,33.2,32.6,32.7,665000
7/16/2013,33.2,35.9,33.2,35.1,3743400
7/17/2013,35.2,38.2,35.2,37.5,3606800
7/18/2013,37.4,38.8,36.5,37.7,2326200
7/21/2013,37.3,37.8,35.3,35.3,1305200
7/22/2013,35.9,36.3,35.0,35.7,724200
7/23/2013,36.0,36.0,33.1,33.4,618400
7/24/2013,34.5,36.3,33.1,35.7,887400
7/25/2013,35.8,35.9,34.1,34.1,463200
7/28/2013,34.0,34.0,33.0,33.7,275000
7/29/2013,35.0,35.0,33.6,34.0,331000
7/30/2013,34.7,34.8,33.8,34.0,301400
7/31/2013,34.6,34.9,33.6,34.0,696400
8/1/2013,34.4,36.5,34.0,35.8,1462800
8/4/2013,35.1,36.9,35.0,36.7,1364200
8/5/2013,36.7,37.5,35.8,37.1,1672400
8/12/2013,36.4,38.2,35.8,38.0,1001000
8/13/2013,38.1,40.1,37.9,39.9,2727800
8/14/2013,39.2,40.8,39.0,40.2,1949200
8/18/2013,40.6,41.0,38.3,39.1,1776000
8/19/2013,40.3,40.3,38.0,38.4,1045200
8/20/2013,38.8,39.4,38.2,38.4,1579000
8/21/2013,38.5,40.0,38.4,39.6,1537000
8/22/2013,40.0,42.0,39.6,41.7,3273200
8/25/2013,42.8,43.0,40.9,41.2,2820000
8/26/2013,41.2,41.7,40.9,41.1,1843400
8/27/2013,41.0,42.0,40.4,40.6,1295800
8/29/2013,41.4,41.4,39.6,40.3,1064800
9/1/2013,41.0,41.2,39.5,39.7,447400
9/2/2013,40.1,40.3,39.0,39.2,302200
9/3/2013,39.0,40.3,38.5,39.8,464800
9/4/2013,40.0,40.5,38.5,38.6,722800
9/5/2013,38.6,39.5,37.1,37.5,388200
9/8/2013,36.2,38.2,36.2,36.9,190600
9/9/2013,37.1,37.9,36.1,37.3,342000
9/10/2013,37.7,38.6,37.5,37.9,509200
9/11/2013,38.3,38.5,36.7,37.0,514000
9/12/2013,37.4,37.5,36.9,37.0,327400
9/15/2013,37.0,37.8,36.2,36.5,411800
9/16/2013,36.6,37.7,36.6,37.1,601200
9/17/2013,36.8,38.0,36.8,37.5,483600
9/18/2013,37.7,38.7,36.9,37.1,955000
9/19/2013,37.1,38.0,36.7,37.3,489800
9/22/2013,37.2,37.7,36.5,36.7,398000
9/23/2013,36.4,38.5,36.4,38.1,438800
9/24/2013,38.2,39.0,37.3,37.7,441200
9/25/2013,37.7,39.0,37.7,38.7,1212000
9/26/2013,39.0,40.9,38.9,40.3,2754000
9/29/2013,41.0,42.0,40.2,41.6,2178400
9/30/2013,41.9,42.5,41.2,42.1,2387400
10/1/2013,42.0,42.7,41.3,42.3,1842800
10/2/2013,42.4,45.1,42.3,44.5,2478400
10/3/2013,44.8,46.4,44.2,45.9,1550400
10/6/2013,48.1,48.2,44.6,44.9,1034600
10/7/2013,45.4,48.4,44.8,47.2,1905000
10/8/2013,48.3,51.9,47.6,51.8,2421200
10/9/2013,52.9,53.1,48.7,52.5,2174000
10/10/2013,53.0,57.7,51.4,57.0,2146000
10/20/2013,57.1,57.9,55.3,56.2,791600
10/21/2013,55.0,58.7,53.2,57.3,1140800
10/22/2013,57.7,63.0,57.6,62.3,2447600
10/23/2013,63.5,63.5,59.0,59.4,3457400
10/24/2013,59.1,62.3,58.1,61.5,1844600
10/27/2013,61.0,67.1,61.0,66.3,1821400
10/28/2013,66.7,70.0,66.0,69.5,1906400
10/29/2013,70.0,71.0,69.1,69.5,2953800
10/30/2013,70.0,71.2,68.0,69.5,2668800
10/31/2013,68.7,69.7,68.0,69.2,1412600
11/3/2013,67.0,70.0,67.0,69.3,1534600
11/4/2013,70.0,70.8,68.7,69.1,1433000
11/5/2013,69.4,69.7,65.3,66.0,1102200
11/6/2013,66.1,67.7,65.6,66.1,1364000
11/7/2013,67.0,68.5,66.2,67.3,626600
11/10/2013,68.0,68.5,67.5,68.4,676600
11/11/2013,69.5,71.6,68.5,71.0,1446800
11/12/2013,71.9,73.4,71.2,71.7,2182800
11/13/2013,71.7,71.8,69.5,69.8,1603400
11/14/2013,69.2,69.9,67.5,68.7,1241200
11/17/2013,68.0,68.7,66.5,67.1,915400
11/18/2013,67.3,68.8,67.2,68.0,676400
11/19/2013,68.5,71.9,68.5,69.8,1105800
11/20/2013,69.0,70.4,67.1,67.4,835200
11/21/2013,67.5,68.7,66.9,67.6,892600
11/24/2013,67.8,70.0,67.6,68.5,730800
11/25/2013,69.0,71.1,68.9,69.5,836400
11/26/2013,68.9,70.9,68.7,68.9,797800
11/27/2013,69.0,74.8,69.0,73.4,1605400
11/28/2013,72.0,74.8,70.0,70.5,629800
12/1/2013,69.7,71.5,69.3,69.6,441800
12/2/2013,71.3,73.5,69.5,72.3,687200
12/3/2013,71.0,74.3,71.0,73.7,1504600
12/4/2013,73.5,76.4,73.5,76.0,1866000
12/5/2013,76.5,80.9,76.5,80.6,1842400
12/8/2013,82.8,85.2,81.5,84.6,1985600
12/9/2013,85.8,85.8,83.6,84.2,1816600
12/10/2013,84.7,87.8,84.1,86.5,1856600
12/11/2013,85.2,88.0,85.1,86.7,1456600
12/12/2013,87.0,89.0,84.1,87.5,833400
12/15/2013,87.3,89.1,85.0,88.6,1040600
12/17/2013,90.0,92.5,88.8,92.2,1210600
12/18/2013,92.8,97.3,92.0,96.7,1610200
12/19/2013,97.0,100.8,97.0,99.7,1649800
12/22/2013,100.0,100.8,96.4,98.2,1566800
12/23/2013,98.0,100.5,96.2,97.4,1205000
12/24/2013,97.0,98.8,96.5,98.2,565800
12/26/2013,100.0,100.0,94.0,96.0,1289800
12/29/2013,96.0,96.3,93.8,95.0,1352200
12/30/2013,95.5,96.3,91.1,94.9,930200
1/1/2014,93.3,93.9,85.5,87.0,739800
1/2/2014,84.8,85.9,78.8,82.5,439800
1/6/2014,83.9,83.9,76.3,77.7,411000
1/7/2014,78.9,82.9,78.9,81.9,602200
1/8/2014,82.4,82.4,77.5,78.6,504200
1/9/2014,78.9,81.7,77.6,80.6,812800
1/12/2014,82.0,82.0,77.7,78.4,831400
