Date,Open,High,Low,Close,Volume
10/1/2012,39.0,41.7,38.0,40.0,211000
10/2/2012,41.6,41.7,40.5,41.1,281000
10/3/2012,41.5,43.7,41.2,41.5,792000
10/4/2012,42.3,42.8,40.1,40.7,258000
10/7/2012,40.4,41.2,39.2,39.3,190000
10/8/2012,40.4,40.5,38.0,38.1,257000
10/9/2012,39.5,40.4,38.3,38.9,171000
10/10/2012,39.1,40.0,38.5,38.9,260500
10/11/2012,38.9,38.9,38.0,38.1,88500
10/14/2012,39.5,41.0,36.9,37.1,167500
10/15/2012,38.0,38.7,37.3,37.9,49500
10/16/2012,39.9,39.9,37.0,39.1,119500
10/17/2012,39.8,40.6,38.5,39.1,239000
10/18/2012,39.8,39.8,38.5,38.9,89000
10/21/2012,38.3,38.3,37.1,37.2,121000
10/22/2012,37.5,38.7,37.3,37.7,36000
10/23/2012,38.8,38.8,37.8,38.2,73500
10/30/2012,38.0,38.0,36.8,37.0,44500
10/31/2012,39.8,40.5,38.7,40.2,354000
11/1/2012,41.0,41.4,39.9,40.2,320000
11/4/2012,40.1,40.2,39.4,39.6,117000
11/5/2012,39.5,39.9,38.8,39.5,143000
11/6/2012,39.3,39.4,38.2,39.0,86500
11/7/2012,38.9,39.2,38.0,38.5,71500
11/8/2012,38.1,38.6,37.1,37.5,45000
11/11/2012,37.3,37.6,36.9,37.4,183500
11/12/2012,37.2,37.5,36.7,37.0,120500
11/13/2012,37.1,39.1,37.1,38.4,64500
11/14/2012,38.9,39.0,38.2,38.7,147000
11/15/2012,38.1,39.5,38.0,38.9,173000
11/18/2012,38.1,39.2,38.1,38.9,90500
11/19/2012,41.1,42.7,37.5,37.9,82500
11/20/2012,37.6,38.3,36.6,36.9,35000
11/21/2012,35.0,38.0,35.0,37.1,18000
11/22/2012,35.2,37.9,35.2,37.4,50000
11/26/2012,36.1,36.8,35.7,36.1,23500
11/27/2012,35.2,37.5,35.2,35.6,23000
11/28/2012,35.7,36.4,34.3,35.2,20500
11/29/2012,36.9,37.8,36.4,37.3,37000
12/2/2012,38.8,38.8,36.5,37.1,98000
