Date,Open,High,Low,Close,Volume
10/1/2012,221.0,226.3,218.3,218.8,52950
10/2/2012,224.4,224.4,219.1,221.5,32950
10/3/2012,225.0,225.0,219.7,221.0,34350
10/4/2012,225.0,225.0,221.1,222.1,38150
10/7/2012,221.0,223.0,215.5,217.1,41300
10/8/2012,216.2,217.5,215.0,215.5,17750
10/9/2012,220.0,221.9,217.0,217.6,19000
10/10/2012,216.5,219.9,216.2,216.6,25700
10/11/2012,217.0,220.0,214.0,215.8,15350
10/14/2012,215.6,216.5,214.1,214.3,29800
10/15/2012,215.5,219.8,214.5,218.5,36400
10/16/2012,220.0,230.0,219.5,228.0,112800
10/17/2012,232.9,236.0,230.0,233.6,112450
10/18/2012,235.0,239.0,233.2,235.9,64950
10/21/2012,238.9,238.9,228.2,229.0,37350
10/22/2012,226.1,229.0,221.4,226.4,25700
10/23/2012,228.0,229.0,223.3,224.4,29150
10/30/2012,230.8,230.9,223.1,228.0,6050
10/31/2012,230.0,230.0,223.7,224.7,26650
11/1/2012,229.5,229.5,226.3,226.4,9600
11/4/2012,226.5,228.0,222.0,222.6,16350
11/5/2012,220.0,221.0,212.6,215.3,50400
11/6/2012,216.0,218.0,198.2,199.3,138100
11/7/2012,199.6,200.0,194.5,198.8,53200
11/8/2012,191.6,203.0,191.6,195.0,33450
11/11/2012,192.1,196.5,192.0,195.1,51050
11/12/2012,197.8,199.0,192.1,197.4,72000
11/13/2012,197.5,199.0,196.0,197.6,21800
11/14/2012,195.6,202.0,195.0,201.3,20400
11/15/2012,198.1,205.1,197.5,204.4,30650
11/18/2012,205.8,205.8,199.7,201.2,30300
11/19/2012,204.5,204.5,195.2,195.6,28150
11/20/2012,195.0,200.0,195.0,195.0,17900
11/21/2012,195.6,199.0,192.5,196.9,25900
11/22/2012,198.0,198.0,192.0,195.4,41700
11/27/2012,180.0,180.0,177.9,177.9,23700
11/28/2012,183.7,183.7,162.2,164.0,34900
11/29/2012,170.0,177.0,167.5,175.0,7550
12/2/2012,175.6,176.5,171.7,174.4,13600
12/3/2012,170.0,171.0,170.0,170.0,11450
12/4/2012,171.0,171.0,167.7,169.0,1850
12/5/2012,165.1,168.8,165.1,167.8,6300
12/6/2012,169.0,170.0,167.9,167.9,6450
12/9/2012,163.4,169.0,163.0,166.9,10400
12/10/2012,166.9,168.0,162.2,164.0,8450
12/11/2012,164.1,166.0,164.1,164.8,2550
12/12/2012,166.0,166.0,162.8,164.0,650
12/13/2012,165.0,165.0,164.1,164.1,7100
12/17/2012,167.9,167.9,164.5,165.5,1800
12/18/2012,164.9,165.5,162.2,163.9,4350
12/19/2012,162.2,164.0,161.2,162.7,5550
12/20/2012,163.0,163.0,157.0,158.0,17300
12/23/2012,152.5,159.0,152.0,156.6,20700
12/24/2012,155.0,163.9,154.1,155.9,8750
12/26/2012,154.1,156.1,154.1,155.2,16800
12/27/2012,156.0,160.9,154.0,158.4,18250
12/30/2012,153.0,163.0,153.0,161.7,22350
1/1/2013,159.7,160.0,159.6,159.6,1000
1/2/2013,157.1,158.0,157.1,157.2,8800
1/3/2013,157.2,157.6,157.2,157.2,5550
1/6/2013,158.0,160.0,156.0,158.7,8150
1/7/2013,159.0,159.0,155.8,156.6,7200
1/8/2013,156.0,156.8,155.2,155.4,5000
1/9/2013,158.8,158.8,155.0,155.2,1200
1/10/2013,154.5,155.0,154.0,154.2,1150
1/13/2013,162.0,164.0,155.1,155.8,2600
1/14/2013,157.0,157.0,154.1,156.1,2600
1/15/2013,154.2,155.2,154.1,154.2,4300
1/16/2013,158.9,158.9,154.0,154.3,4800
1/17/2013,153.0,156.9,153.0,154.3,4000
1/20/2013,153.0,154.2,153.0,153.9,1000
1/21/2013,153.5,156.8,153.5,155.9,8400
1/22/2013,155.0,156.0,154.1,154.6,1750
1/23/2013,155.1,156.6,154.2,155.4,7500
1/24/2013,155.0,160.0,155.0,158.6,24750
1/27/2013,159.0,159.3,155.2,156.7,2200
1/28/2013,155.8,158.3,155.2,157.4,6350
1/29/2013,155.0,160.0,154.6,157.9,12400
1/30/2013,159.9,159.9,155.2,155.3,14500
1/31/2013,158.0,158.0,155.0,155.4,12400
2/3/2013,158.0,158.0,154.9,155.0,16450
2/4/2013,156.0,158.0,155.7,156.4,8350
2/5/2013,158.7,158.7,153.9,155.1,3850
2/6/2013,156.0,156.6,154.5,155.4,22700
2/7/2013,155.0,157.3,154.4,156.1,5150
2/10/2013,155.7,157.0,155.1,156.8,7050
2/11/2013,157.0,157.1,154.8,155.5,26600
2/12/2013,155.9,155.9,154.6,154.6,17350
2/13/2013,154.8,155.5,154.1,154.4,6650
2/14/2013,154.9,155.2,154.3,154.5,12450
2/17/2013,154.5,156.0,154.4,154.5,5800
2/18/2013,154.2,157.0,154.2,155.3,4800
2/19/2013,154.6,154.9,154.1,154.2,8300
2/20/2013,154.7,154.7,153.0,153.7,8000
2/24/2013,153.0,154.9,152.8,153.5,8400
2/25/2013,153.5,154.3,152.3,153.1,10750
2/26/2013,150.6,153.9,150.6,153.2,1300
2/27/2013,153.7,153.7,148.0,148.3,21100
2/28/2013,148.0,151.0,146.1,148.2,11450
3/3/2013,148.0,148.0,142.7,143.7,5900
3/4/2013,144.0,148.0,143.5,144.5,3950
3/5/2013,143.3,147.6,143.0,143.7,750
3/6/2013,143.5,144.6,143.4,143.6,1650
3/7/2013,141.9,144.9,141.9,143.8,6600
3/10/2013,143.9,144.0,143.9,143.9,5750
3/11/2013,143.9,144.3,143.9,143.9,1950
3/12/2013,143.8,144.9,143.8,144.1,2950
3/13/2013,146.0,146.0,144.1,144.5,2250
3/14/2013,148.0,148.0,144.0,145.2,3350
3/18/2013,146.9,147.0,145.0,146.2,1650
3/19/2013,148.7,148.7,144.6,147.2,6450
3/20/2013,145.2,148.8,144.7,146.1,700
3/24/2013,147.8,147.8,145.1,145.1,9600
3/25/2013,154.1,154.1,145.0,145.4,4500
3/27/2013,145.1,147.0,140.3,141.1,4800
3/28/2013,141.2,144.4,141.2,141.8,2550
3/31/2013,150.2,150.2,141.8,141.8,4650
4/1/2013,140.0,142.8,140.0,142.1,9450
4/2/2013,141.1,143.8,140.5,142.3,8600
4/3/2013,142.4,146.0,142.4,143.1,2950
4/4/2013,143.5,143.5,143.2,143.2,6950
4/7/2013,143.4,143.4,143.3,143.3,1300
4/8/2013,142.0,144.0,142.0,143.2,500
4/9/2013,143.5,146.9,143.3,143.9,2550
4/10/2013,147.8,147.8,145.0,146.5,3450
4/11/2013,145.6,145.9,143.1,144.8,4100
4/15/2013,143.0,147.4,142.6,145.8,800
4/16/2013,144.4,146.8,144.3,144.6,1200
4/17/2013,144.9,145.8,144.0,144.3,1050
4/18/2013,145.5,146.9,145.0,146.4,2000
4/21/2013,145.0,149.0,145.0,148.4,9250
4/22/2013,145.5,149.4,145.4,149.0,3800
4/23/2013,150.0,150.9,148.2,150.1,5050
4/24/2013,150.4,150.4,148.0,149.7,7850
4/25/2013,149.5,149.5,145.0,147.0,1450
4/28/2013,144.0,147.9,144.0,145.5,2550
4/29/2013,142.6,146.0,142.6,143.6,11400
4/30/2013,143.8,145.9,143.7,145.2,5900
5/2/2013,144.0,145.8,143.2,145.1,2500
5/5/2013,157.2,157.2,145.5,146.1,3400
5/6/2013,158.0,158.0,143.8,152.7,15000
