Date,Open,High,Low,Close,Volume
10/1/2012,22.5,22.5,21.5,21.8,12450
10/2/2012,21.3,22.5,21.3,21.9,7950
10/3/2012,20.7,21.3,20.5,21.0,2250
10/4/2012,22.0,22.0,21.0,21.6,1000
10/7/2012,20.1,22.2,20.1,20.4,8600
10/8/2012,20.1,20.2,19.5,19.7,4000
10/9/2012,20.0,20.2,19.9,20.0,10850
10/10/2012,20.0,20.0,19.5,19.5,8800
10/11/2012,21.0,21.0,20.0,20.1,3750
10/14/2012,20.0,20.1,20.0,20.0,7000
10/15/2012,20.3,20.3,19.9,19.9,3100
10/16/2012,20.0,20.4,19.6,19.8,5100
10/17/2012,20.8,20.8,19.6,19.9,950
10/18/2012,20.0,20.5,19.9,20.2,4150
10/21/2012,20.2,20.7,19.5,19.9,6450
10/22/2012,19.0,20.3,19.0,19.6,2700
10/23/2012,20.0,20.0,19.8,19.9,1650
10/30/2012,19.5,19.5,19.5,19.5,500
10/31/2012,19.9,19.9,19.1,19.3,1250
11/1/2012,20.7,20.7,18.6,18.9,3800
11/4/2012,18.7,19.0,18.7,18.8,1700
11/5/2012,18.8,19.9,18.7,19.4,450
11/6/2012,18.7,18.7,18.0,18.3,4200
11/7/2012,18.6,18.6,18.0,18.2,900
11/8/2012,18.0,18.5,18.0,18.0,3100
11/11/2012,17.6,17.6,17.1,17.2,2000
11/12/2012,17.5,17.9,17.5,17.7,800
11/13/2012,18.0,18.0,18.0,18.0,750
11/14/2012,18.1,19.8,18.0,18.5,400
11/15/2012,18.2,19.0,18.0,18.1,12400
11/18/2012,19.7,19.7,18.5,19.0,8650
11/19/2012,18.3,18.3,18.0,18.1,1750
11/20/2012,18.1,18.8,18.1,18.4,200
11/22/2012,18.3,19.5,17.9,18.5,600
11/27/2012,18.6,18.6,18.5,18.5,2100
11/28/2012,18.1,18.1,18.1,18.1,1300
11/29/2012,19.4,19.4,18.1,19.0,3200
12/2/2012,18.9,19.0,18.9,18.9,1200
12/3/2012,18.3,18.7,17.6,18.0,3200
12/4/2012,18.9,18.9,18.0,18.0,1100
12/5/2012,18.5,18.5,18.1,18.2,3700
12/6/2012,17.8,18.1,17.8,18.0,2900
12/9/2012,17.7,17.7,17.1,17.1,1000
12/10/2012,18.6,18.6,18.4,18.5,100
12/11/2012,17.3,18.5,17.3,17.8,1500
12/12/2012,17.9,17.9,17.8,17.8,1650
12/17/2012,17.8,17.8,17.3,17.3,2700
12/18/2012,17.5,18.5,17.5,17.7,400
12/19/2012,17.4,17.4,17.4,17.4,2000
12/20/2012,17.5,17.5,17.3,17.3,1650
12/24/2012,18.3,18.5,17.3,17.6,2950
12/26/2012,18.2,18.2,17.5,17.6,2750
12/27/2012,18.0,18.0,17.5,17.6,2150
12/30/2012,17.7,17.7,17.5,17.5,1700
1/1/2013,18.0,18.0,17.3,17.7,2300
1/2/2013,17.3,17.3,17.3,17.3,200
1/3/2013,18.0,18.0,17.3,17.4,3250
1/6/2013,17.4,17.7,17.3,17.3,9750
1/7/2013,17.6,17.9,17.1,17.4,5100
1/8/2013,17.6,17.6,17.5,17.5,1700
1/9/2013,17.8,17.8,17.8,17.8,400
1/10/2013,18.3,18.3,17.5,17.6,5150
1/13/2013,18.0,18.0,17.5,17.6,2000
1/14/2013,17.7,17.7,17.6,17.6,600
1/15/2013,17.6,17.8,17.5,17.5,3350
1/16/2013,17.5,17.6,17.5,17.5,2700
1/17/2013,17.6,17.6,17.5,17.5,2750
1/20/2013,17.5,17.5,17.3,17.4,800
1/21/2013,17.2,17.5,17.2,17.2,900
1/22/2013,17.2,17.3,17.1,17.1,2800
1/24/2013,17.4,17.4,17.4,17.4,200
1/27/2013,17.4,17.5,17.4,17.4,1450
1/28/2013,16.6,17.6,16.6,16.9,2200
1/29/2013,17.0,17.1,17.0,17.0,350
1/30/2013,16.3,17.0,16.3,16.7,250
1/31/2013,17.2,17.7,17.2,17.3,1450
2/3/2013,17.4,17.6,17.4,17.4,400
2/4/2013,17.7,17.7,17.6,17.6,1250
2/5/2013,17.4,18.0,17.3,17.8,5450
2/6/2013,17.9,18.0,17.8,17.9,1350
2/7/2013,17.9,18.0,17.7,17.7,2000
2/10/2013,17.8,18.2,17.8,18.0,2250
2/11/2013,18.1,18.5,18.0,18.1,3350
2/12/2013,17.7,17.7,17.6,17.6,1950
2/13/2013,18.3,18.3,17.9,17.9,600
2/14/2013,17.9,18.4,17.8,18.2,7550
2/17/2013,18.5,18.5,18.0,18.0,1050
2/18/2013,18.4,18.5,18.4,18.4,2900
2/19/2013,18.0,18.1,17.9,18.0,3550
2/20/2013,17.9,17.9,17.5,17.7,2200
2/24/2013,17.5,18.0,17.4,17.5,4300
2/25/2013,17.5,18.0,17.3,17.3,3150
2/26/2013,17.7,17.8,17.4,17.5,2650
2/27/2013,17.3,17.8,16.7,16.9,7200
2/28/2013,17.0,17.0,16.4,16.5,2800
3/3/2013,16.2,16.2,16.0,16.0,1950
3/4/2013,16.0,16.2,16.0,16.0,700
3/5/2013,16.5,16.5,16.0,16.0,1500
3/6/2013,16.1,16.2,15.9,16.0,1850
3/7/2013,15.9,16.0,15.8,15.8,2050
3/12/2013,15.6,16.4,15.0,15.2,1050
3/14/2013,16.4,16.4,16.1,16.2,350
3/18/2013,17.3,17.3,17.3,17.3,50
3/19/2013,17.1,17.2,17.1,17.1,300
3/20/2013,15.5,15.6,15.5,15.5,1500
3/24/2013,15.6,15.7,15.6,15.6,600
3/25/2013,15.0,15.5,15.0,15.0,350
3/27/2013,14.5,14.5,14.5,14.5,50
3/28/2013,15.4,15.4,15.1,15.2,350
3/31/2013,15.8,15.8,15.8,15.8,50
4/1/2013,15.0,15.0,14.3,14.9,2200
