Date,Open,High,Low,Close,Volume
10/1/2012,234.0,234.0,211.0,230.1,26350
10/2/2012,234.9,250.2,234.9,248.4,38700
10/4/2012,254.1,264.9,242.1,246.5,36950
10/7/2012,246.5,251.9,226.5,232.0,28200
10/8/2012,226.0,234.0,214.0,225.8,11500
10/9/2012,235.0,244.4,228.5,242.3,18100
10/10/2012,248.0,248.0,230.0,230.8,23200
10/11/2012,230.0,239.5,229.2,230.5,12450
10/14/2012,239.9,239.9,225.0,226.7,14800
10/15/2012,228.0,235.6,226.6,227.3,17700
10/16/2012,233.5,247.1,233.5,247.1,28550
10/17/2012,256.0,263.9,252.0,255.6,37950
10/18/2012,277.9,277.9,260.1,273.0,55150
10/21/2012,275.0,290.0,270.1,286.6,37850
10/22/2012,282.0,304.0,282.0,296.7,47500
10/23/2012,300.0,300.0,289.0,290.5,22150
10/30/2012,294.4,295.0,280.0,286.2,21850
10/31/2012,281.1,311.2,281.1,311.0,54600
11/1/2012,325.0,338.2,324.0,338.2,60050
11/4/2012,350.0,365.0,336.0,338.8,52700
11/5/2012,344.0,345.0,320.0,329.3,40300
11/6/2012,332.0,332.0,304.8,310.5,61650
11/7/2012,318.9,320.0,300.1,303.2,18500
11/8/2012,308.3,318.0,300.0,306.5,29750
11/11/2012,308.0,324.0,238.9,279.6,44300
11/12/2012,279.5,288.0,271.2,276.2,20900
11/13/2012,272.0,276.5,262.0,266.8,24950
11/14/2012,267.0,274.9,265.0,271.2,16950
11/15/2012,276.4,276.5,263.3,267.3,15900
11/18/2012,270.6,275.0,257.2,262.2,26550
11/19/2012,265.0,265.0,258.1,261.0,19600
11/20/2012,260.5,262.0,247.5,251.0,7600
11/21/2012,255.3,255.8,241.5,247.0,16150
11/22/2012,235.2,267.0,235.2,261.2,31850
11/27/2012,180.1,182.1,167.3,171.4,28250
11/28/2012,177.0,188.5,176.5,184.7,36550
11/29/2012,195.0,202.1,195.0,202.1,17150
12/2/2012,214.8,219.0,202.3,204.8,49000
12/3/2012,205.0,214.5,201.5,211.0,45450
12/4/2012,209.1,228.0,209.1,225.5,78750
12/5/2012,229.0,233.0,219.1,224.7,34450
12/6/2012,213.0,226.8,213.0,223.7,45850
12/9/2012,226.0,226.0,212.2,214.5,22800
12/10/2012,221.9,221.9,206.0,209.7,26250
12/11/2012,202.0,218.0,202.0,214.0,11650
12/12/2012,215.9,219.3,208.0,210.1,13750
12/13/2012,215.0,215.0,207.0,208.9,9100
12/17/2012,216.0,216.0,206.0,207.8,17050
12/18/2012,209.0,210.2,202.0,202.6,23100
12/19/2012,206.9,207.5,201.8,202.6,17850
12/20/2012,205.0,205.0,191.0,195.8,24100
12/23/2012,199.8,199.8,190.0,190.9,7200
12/24/2012,190.0,193.8,185.0,191.6,10900
12/26/2012,186.7,202.0,186.7,191.2,6400
12/27/2012,185.0,191.7,184.8,188.8,6700
12/30/2012,193.5,193.5,188.2,189.3,3600
1/1/2013,190.0,194.6,190.0,191.0,3500
1/2/2013,189.5,190.0,186.3,187.4,5650
1/3/2013,194.7,194.7,181.3,183.5,9700
1/6/2013,189.7,189.7,181.5,182.9,7450
1/7/2013,181.0,181.7,178.8,179.4,5450
1/8/2013,177.0,178.2,175.0,175.3,7100
1/9/2013,175.7,176.5,172.1,172.6,5900
1/10/2013,172.9,186.0,170.9,182.6,16850
1/13/2013,182.6,198.0,182.6,192.5,24250
1/14/2013,192.4,192.4,188.0,188.9,9900
1/15/2013,187.0,190.8,184.2,189.8,13850
1/16/2013,189.5,191.7,187.5,187.9,6150
1/17/2013,187.2,193.4,187.2,191.5,12550
1/20/2013,190.0,190.8,187.5,187.9,5950
1/21/2013,186.9,186.9,181.7,183.3,25950
1/22/2013,184.4,184.5,181.0,182.3,21950
1/23/2013,182.6,184.0,181.1,181.6,11050
1/24/2013,182.1,186.8,181.9,182.9,20350
1/27/2013,185.0,194.8,185.0,190.3,41300
1/28/2013,195.0,195.0,190.0,193.7,24100
1/29/2013,198.0,199.9,192.4,197.1,36650
1/30/2013,198.1,198.1,190.1,191.8,33050
1/31/2013,200.0,204.9,193.0,196.6,36600
2/3/2013,193.0,199.0,193.0,194.0,18450
2/4/2013,194.0,194.0,190.0,190.5,28550
2/5/2013,190.1,191.6,188.2,190.5,16150
2/6/2013,193.6,193.6,189.9,191.6,15250
2/7/2013,190.1,190.5,185.5,186.0,25700
2/10/2013,187.3,189.9,186.5,187.2,20550
2/11/2013,190.0,190.0,186.0,187.5,19000
2/12/2013,187.5,188.0,185.2,185.7,19650
2/13/2013,187.9,187.9,185.1,185.4,12050
2/14/2013,187.0,191.9,185.9,186.3,19100
2/17/2013,188.1,188.6,187.5,187.6,12400
2/18/2013,187.0,188.5,187.0,187.2,11100
2/19/2013,187.0,187.0,182.7,183.6,14050
2/20/2013,182.6,184.0,180.4,180.7,26050
2/24/2013,178.1,181.8,173.1,176.6,9150
2/25/2013,180.0,181.0,175.1,176.2,17150
2/26/2013,175.1,182.0,175.1,180.8,6450
2/27/2013,177.1,182.0,173.0,173.4,24100
2/28/2013,174.0,177.8,173.1,175.5,5650
3/3/2013,173.6,173.6,161.0,162.2,17750
3/4/2013,166.2,170.9,163.3,166.9,8450
3/5/2013,167.0,168.0,163.0,163.3,12450
3/6/2013,169.0,169.0,163.5,163.8,11500
3/7/2013,164.0,165.6,160.0,163.4,13100
3/10/2013,166.7,166.7,162.2,162.8,12000
3/11/2013,160.2,162.5,160.0,160.4,4200
3/12/2013,160.0,170.0,160.0,168.2,17750
3/13/2013,170.0,183.0,170.0,181.3,25850
3/14/2013,181.4,181.4,176.0,177.4,7800
3/18/2013,177.0,180.0,174.1,178.4,6200
3/19/2013,181.0,188.8,180.0,186.2,24050
3/20/2013,187.0,187.4,180.1,180.8,10100
3/24/2013,178.2,178.4,176.1,176.9,6100
3/25/2013,178.8,179.0,172.8,174.1,5250
3/27/2013,171.0,172.0,165.5,168.2,8800
3/28/2013,169.2,174.8,168.2,173.0,4950
3/31/2013,174.0,179.6,170.0,171.4,10950
4/1/2013,168.1,170.0,167.5,168.8,5450
4/2/2013,173.5,175.8,169.1,174.8,5700
4/3/2013,173.0,176.5,172.6,175.1,7650
4/4/2013,175.0,176.0,173.4,174.6,7600
