Date,Open,High,Low,Close,Volume
10/1/2012,45.2,49.4,45.2,48.3,468000
10/2/2012,49.6,51.8,49.0,49.3,448500
10/3/2012,49.5,50.8,47.5,47.6,473500
10/4/2012,48.0,48.9,47.0,47.6,465500
10/7/2012,47.2,48.0,44.5,45.1,210500
10/8/2012,45.7,46.8,43.3,44.1,297000
10/9/2012,46.0,46.9,44.9,45.4,444500
10/10/2012,47.0,47.0,43.5,43.7,332000
10/11/2012,47.0,47.0,43.5,43.8,216500
10/14/2012,43.8,44.5,42.1,42.3,286500
10/15/2012,44.0,44.5,42.5,43.6,249000
10/16/2012,44.5,44.8,43.7,43.9,232500
10/17/2012,44.0,44.5,43.0,43.3,130500
10/18/2012,44.0,44.0,43.0,43.1,113000
10/21/2012,44.4,44.4,41.5,41.9,272000
10/22/2012,42.9,42.9,41.4,42.0,220000
10/23/2012,43.8,43.8,42.5,42.9,232500
10/30/2012,42.2,42.8,41.7,41.9,102000
10/31/2012,40.8,40.8,39.0,39.3,313500
11/1/2012,39.0,39.6,38.6,38.9,286500
11/4/2012,39.0,39.0,37.6,37.8,232500
11/5/2012,38.9,38.9,37.9,38.2,130000
11/6/2012,38.6,39.0,37.8,37.9,167500
11/7/2012,38.2,38.5,37.3,37.7,139000
11/8/2012,37.9,38.5,37.3,37.6,155500
11/11/2012,37.5,37.5,36.3,36.7,121500
11/12/2012,36.7,37.4,35.6,36.1,104500
11/13/2012,38.9,39.0,36.5,37.7,89500
11/14/2012,37.8,37.9,37.0,37.3,61500
11/15/2012,37.2,37.7,37.0,37.3,104000
11/18/2012,37.5,37.8,36.5,36.6,111500
11/19/2012,36.5,36.5,35.0,35.3,124000
11/20/2012,35.3,35.9,34.5,34.5,100000
11/21/2012,35.2,35.7,34.5,34.6,99000
11/22/2012,35.3,35.5,33.9,34.2,138500
11/26/2012,34.1,35.9,34.0,34.1,70500
11/27/2012,33.7,34.4,33.5,33.7,86000
11/28/2012,35.1,35.2,33.5,34.0,90000
11/29/2012,35.0,37.0,34.6,36.7,195000
12/2/2012,37.4,38.2,35.4,35.6,120000
12/3/2012,35.4,35.6,34.6,34.8,92000
12/4/2012,34.7,34.8,34.3,34.6,103000
12/5/2012,34.4,35.2,34.4,34.9,93000
12/6/2012,34.4,34.9,34.0,34.2,86500
12/9/2012,34.0,34.2,33.2,33.6,48500
12/10/2012,33.9,34.4,33.0,33.4,90000
12/11/2012,33.3,34.2,33.2,33.9,37000
12/12/2012,34.0,34.7,33.5,33.9,48500
12/13/2012,34.2,34.9,33.5,34.6,77000
12/17/2012,34.9,36.7,34.8,36.2,202000
12/18/2012,35.5,36.3,35.1,35.1,99500
12/19/2012,35.3,36.2,35.2,35.5,129500
12/20/2012,35.6,36.5,35.0,35.1,109000
12/23/2012,35.2,35.2,34.5,34.6,109500
12/24/2012,35.0,35.9,34.9,35.2,193500
12/26/2012,35.3,36.5,35.2,35.4,204000
12/27/2012,35.4,35.6,35.0,35.3,79500
12/30/2012,35.0,35.6,34.8,35.3,144500
1/1/2013,35.5,35.6,34.7,34.8,70000
1/2/2013,34.9,34.9,34.0,34.0,125500
1/3/2013,34.1,34.5,33.8,34.3,44000
1/6/2013,34.2,34.8,34.1,34.1,51500
1/7/2013,34.2,34.2,33.7,33.7,60500
1/8/2013,33.9,34.0,33.7,33.7,46000
1/9/2013,33.6,34.4,33.5,34.0,73000
1/10/2013,34.1,34.5,34.0,34.3,44500
1/13/2013,34.4,34.4,33.8,33.9,37500
1/14/2013,33.6,34.2,33.6,33.9,17500
1/15/2013,33.7,34.0,33.5,33.6,41500
1/16/2013,34.0,34.7,34.0,34.0,97000
1/17/2013,34.4,34.4,33.9,34.0,75500
1/20/2013,34.0,34.0,33.7,33.7,51000
1/21/2013,33.7,34.2,33.7,33.9,84500
1/22/2013,33.9,34.3,33.8,34.1,36500
1/23/2013,34.4,34.4,34.0,34.2,62500
1/24/2013,34.8,34.8,33.9,34.4,57500
