Date,Open,High,Low,Close,Volume
10/8/2013,40.0,48.7,35.1,47.2,5500500
10/9/2013,47.2,53.8,47.2,47.9,1312500
10/10/2013,47.5,48.0,44.5,46.1,651500
10/20/2013,43.6,45.8,41.4,41.9,1599000
10/21/2013,41.2,43.3,38.3,42.8,1058000
10/22/2013,42.0,44.8,42.0,43.2,1282500
10/23/2013,43.8,43.8,40.9,41.1,1260000
10/24/2013,39.0,40.5,37.5,38.3,1061500
10/27/2013,37.3,38.5,35.9,36.9,826000
10/28/2013,38.5,39.3,36.8,37.0,908500
10/29/2013,37.0,37.2,36.1,36.3,577500
10/30/2013,36.1,39.9,36.0,39.8,1130000
10/31/2013,40.0,41.9,39.5,40.6,1263500
11/3/2013,41.4,41.9,39.3,40.2,662500
11/4/2013,40.8,42.4,40.0,42.1,966000
11/5/2013,42.2,43.3,40.6,40.8,864000
11/6/2013,40.6,41.7,40.2,40.5,722000
11/7/2013,40.4,41.5,40.0,40.4,813500
11/10/2013,40.1,40.5,38.9,39.0,805500
11/11/2013,38.8,40.2,38.8,39.2,797000
11/13/2013,36.0,37.4,35.6,37.4,850500
11/14/2013,40.6,41.1,40.6,41.1,330000
11/17/2013,45.1,45.2,42.8,45.2,2338500
11/18/2013,47.5,49.7,45.3,49.6,2024500
11/19/2013,52.9,54.5,50.1,54.5,1268500
11/20/2013,56.3,59.9,56.0,59.7,2105000
11/21/2013,61.0,65.0,56.9,63.6,1862000
11/24/2013,64.9,69.5,62.1,67.5,1453000
11/25/2013,69.5,74.2,67.9,74.1,1714500
11/26/2013,75.7,79.7,71.6,73.1,1340000
11/27/2013,73.9,75.0,66.5,68.9,1794500
11/28/2013,68.0,70.0,64.8,66.1,1264500
12/1/2013,65.0,67.9,63.5,64.2,1011000
12/2/2013,64.9,70.6,64.8,70.6,2280500
12/3/2013,74.0,76.6,71.0,74.3,1565000
12/4/2013,76.0,76.0,70.4,70.9,1120000
12/5/2013,69.2,73.0,68.4,71.6,1347000
12/8/2013,71.0,78.7,71.0,78.6,1422000
12/9/2013,79.0,81.7,76.3,77.4,1458500
12/10/2013,78.0,79.2,73.0,74.2,1583000
12/11/2013,75.0,78.4,73.6,75.2,863500
12/12/2013,77.9,77.9,72.8,73.1,879000
12/15/2013,72.0,74.0,70.0,71.0,898000
12/17/2013,72.4,76.7,71.5,73.9,1091500
12/18/2013,74.4,75.9,71.8,72.4,646000
12/19/2013,72.0,73.3,71.5,72.1,471000
12/22/2013,73.7,74.6,69.9,70.1,758500
12/23/2013,72.0,72.0,68.2,69.3,517000
12/24/2013,69.5,74.5,67.0,71.7,1462500
12/26/2013,72.2,72.9,68.5,70.0,703500
12/29/2013,69.1,70.0,67.3,67.7,363500
12/30/2013,67.0,69.9,67.0,67.6,408000
1/1/2014,68.1,71.8,68.0,69.3,886000
1/2/2014,70.3,71.4,68.3,70.8,666000
1/6/2014,71.0,72.5,68.8,69.3,528000
1/7/2014,69.5,70.2,67.8,67.9,784500
1/8/2014,68.2,71.0,68.2,70.2,1084500
1/9/2014,71.6,75.0,71.6,73.8,1935000
1/12/2014,74.0,75.4,73.3,73.7,1384000
1/13/2014,74.0,76.9,72.9,75.7,1878000
1/15/2014,77.0,77.7,73.2,73.7,1500500
1/16/2014,74.0,74.7,72.4,72.6,1181500
1/19/2014,72.3,73.0,68.6,69.1,1738500
1/20/2014,70.0,70.0,67.5,67.9,1001500
1/21/2014,67.5,68.9,66.8,68.2,799500
1/22/2014,68.9,68.9,67.0,67.2,771500
1/23/2014,67.4,67.7,65.5,65.8,747000
1/26/2014,65.5,68.0,64.5,66.9,811000
1/27/2014,66.8,66.9,64.2,64.5,490500
1/28/2014,64.3,65.6,63.9,64.0,293000
1/29/2014,64.4,65.5,64.0,64.6,377000
1/30/2014,65.9,71.0,65.9,71.0,1758000
2/2/2014,74.8,74.9,70.0,70.7,1442500
2/3/2014,70.0,71.0,68.2,68.5,691500
2/4/2014,68.2,70.6,68.0,69.0,805500
2/5/2014,70.0,70.8,68.5,68.7,477000
2/6/2014,69.7,71.0,68.8,70.1,728500
2/9/2014,71.0,73.9,70.6,72.9,2018000
2/10/2014,73.5,73.5,70.7,71.2,978000
2/11/2014,70.6,71.5,69.6,70.0,619500
2/12/2014,71.0,71.8,68.9,69.9,777500
2/13/2014,70.9,74.7,70.2,74.2,1948500
2/16/2014,75.5,76.4,73.3,73.8,1286000
2/17/2014,74.0,74.4,71.1,72.0,774500
2/18/2014,72.3,72.9,71.4,71.6,614500
