Date,Open,High,Low,Close,Volume
10/1/2012,41.5,43.9,41.0,41.9,23600
10/2/2012,42.3,43.4,41.1,42.2,17300
10/3/2012,46.0,46.0,41.2,41.3,22550
10/4/2012,41.1,41.5,40.1,40.5,30150
10/7/2012,39.3,40.7,37.3,37.6,24800
10/8/2012,39.5,39.5,36.0,36.5,17350
10/9/2012,36.3,39.4,36.3,39.1,10800
10/10/2012,39.0,39.7,37.0,37.7,10800
10/11/2012,37.2,38.3,36.9,37.0,16000
10/14/2012,36.9,38.9,36.5,36.7,9900
10/15/2012,37.0,37.1,36.3,36.5,4500
10/16/2012,38.4,38.4,35.9,36.5,7400
10/17/2012,38.1,38.1,36.4,36.6,6150
10/18/2012,38.3,38.3,36.4,36.7,2750
10/21/2012,36.0,36.9,36.0,36.2,3600
10/22/2012,36.3,36.8,35.2,35.7,9850
10/23/2012,38.7,38.7,36.2,36.8,10350
10/30/2012,38.5,38.5,35.9,36.0,5450
10/31/2012,37.4,37.8,35.2,35.5,12050
11/1/2012,37.4,37.4,34.9,34.9,12400
11/4/2012,36.8,36.8,33.6,33.8,8550
11/5/2012,33.0,33.0,31.5,32.1,14050
11/6/2012,32.5,33.3,31.6,31.9,8200
11/7/2012,31.7,32.0,31.0,31.3,6600
11/8/2012,32.0,32.0,30.1,30.6,4100
11/11/2012,31.2,31.4,28.5,29.2,5600
11/12/2012,31.0,31.0,28.1,29.1,6450
11/13/2012,29.6,31.7,29.2,31.3,10450
11/14/2012,31.4,32.5,31.1,32.4,20100
11/15/2012,32.7,35.4,32.1,34.9,32100
11/18/2012,34.1,34.7,32.7,33.0,13250
11/19/2012,33.5,33.5,30.0,31.6,22250
11/20/2012,32.0,32.5,31.2,31.6,16800
11/22/2012,29.0,33.5,29.0,33.2,23500
11/26/2012,33.8,34.0,31.6,32.9,14800
11/27/2012,32.1,34.0,32.1,33.5,21300
11/28/2012,34.8,34.8,32.9,34.3,10000
11/29/2012,34.9,35.8,34.2,34.6,16800
12/2/2012,35.8,35.8,32.2,32.6,9900
12/3/2012,32.3,33.1,31.0,32.3,40600
12/4/2012,34.5,34.5,32.2,33.2,18400
12/5/2012,33.0,33.5,32.0,33.3,13500
12/6/2012,32.1,32.5,31.8,31.9,9650
12/9/2012,31.6,32.0,31.0,31.7,19850
12/10/2012,32.5,32.5,30.7,31.0,13050
12/11/2012,33.0,33.0,30.9,31.0,13950
12/12/2012,32.2,32.2,30.3,30.5,16900
12/13/2012,30.9,31.3,30.5,30.7,12200
12/17/2012,31.1,31.5,30.9,31.3,15250
12/18/2012,31.0,31.2,30.5,30.7,4250
12/19/2012,32.0,32.0,30.7,31.0,25300
12/20/2012,32.3,32.3,30.9,31.1,4500
12/23/2012,31.0,31.0,30.6,30.8,2750
12/24/2012,30.8,31.3,30.8,30.9,7700
12/26/2012,31.2,31.2,30.1,30.1,19050
12/27/2012,30.8,30.9,29.8,29.9,18150
12/30/2012,30.1,30.1,29.2,29.3,20900
1/1/2013,30.6,30.6,28.9,29.0,25600
1/2/2013,29.2,29.2,28.5,28.5,14400
1/3/2013,29.5,29.5,28.4,28.5,14600
1/6/2013,28.4,28.4,27.9,28.0,9800
1/7/2013,28.0,28.4,27.7,28.1,30650
1/8/2013,28.4,28.4,27.9,28.1,4100
1/9/2013,28.2,28.2,27.5,27.6,9000
1/10/2013,27.5,27.6,27.4,27.4,7600
1/13/2013,27.1,27.7,27.0,27.4,4650
1/14/2013,27.6,27.6,27.0,27.1,6850
1/15/2013,27.0,27.5,27.0,27.0,3750
1/16/2013,27.0,27.5,26.9,27.0,8200
1/17/2013,27.3,27.4,27.0,27.1,11900
1/20/2013,27.3,27.3,26.9,27.0,3500
1/21/2013,28.5,28.5,27.0,27.0,7500
1/22/2013,26.6,27.3,26.6,26.8,11200
1/23/2013,27.3,27.5,27.0,27.1,12900
1/24/2013,27.1,27.5,26.6,26.7,15700
1/27/2013,27.3,27.4,26.9,26.9,4050
1/28/2013,27.0,27.4,26.8,27.0,10800
1/29/2013,27.3,29.3,27.3,28.3,36750
1/30/2013,27.7,28.9,27.7,28.2,25400
1/31/2013,27.8,28.9,27.8,28.4,20050
2/3/2013,28.0,28.2,27.7,27.8,27050
2/4/2013,28.0,28.3,27.3,27.4,18300
2/5/2013,27.4,27.7,27.0,27.3,23900
2/6/2013,27.9,27.9,27.2,27.2,9950
2/7/2013,27.7,27.7,27.2,27.2,9050
2/10/2013,27.4,27.7,27.2,27.2,27750
2/11/2013,27.6,28.2,27.3,27.4,18500
2/12/2013,27.5,27.7,27.3,27.3,17800
2/13/2013,27.5,27.7,27.4,27.5,8450
2/14/2013,27.8,28.0,27.6,27.7,18750
2/17/2013,28.1,28.2,27.8,27.8,32800
2/18/2013,27.9,28.1,27.8,28.0,22000
2/19/2013,28.0,28.0,27.3,27.4,12000
2/20/2013,27.4,27.6,27.0,27.0,14050
2/24/2013,27.1,27.1,26.5,26.6,7400
2/25/2013,27.1,27.2,26.0,26.1,13600
2/26/2013,26.8,26.8,26.0,26.2,6350
2/27/2013,26.2,26.2,25.0,25.1,12550
2/28/2013,25.3,25.4,24.4,24.9,7800
3/3/2013,24.5,24.5,22.5,22.5,13450
3/4/2013,23.0,23.8,22.8,23.3,4950
3/5/2013,23.5,23.5,22.8,23.0,6250
3/6/2013,23.0,23.2,22.6,22.9,1700
3/7/2013,21.3,22.4,21.1,22.1,3400
3/10/2013,23.0,23.0,21.8,22.0,5800
3/11/2013,21.7,22.0,21.5,21.7,2200
3/12/2013,21.6,22.0,21.5,21.7,7550
3/13/2013,21.7,22.3,21.7,22.0,4250
3/14/2013,22.0,22.0,21.5,21.6,4750
3/18/2013,21.7,21.7,21.3,21.3,2800
3/19/2013,22.0,22.0,21.4,21.5,1050
3/20/2013,21.1,21.4,21.1,21.3,4200
3/24/2013,21.3,21.3,20.3,20.4,9400
3/25/2013,20.2,20.2,20.0,20.0,2600
3/27/2013,19.7,19.8,19.4,19.5,2350
3/28/2013,20.0,20.0,19.5,19.6,5250
3/31/2013,19.9,19.9,19.6,19.6,3300
4/1/2013,19.2,19.3,19.0,19.0,4150
4/2/2013,19.9,19.9,19.1,19.3,2350
4/3/2013,20.0,20.0,19.4,19.6,1150
4/4/2013,19.4,19.5,18.9,19.0,3400
4/7/2013,19.2,19.2,19.0,19.0,2750
4/8/2013,18.9,19.5,18.9,19.4,800
4/9/2013,19.5,20.4,19.5,20.1,10650
4/10/2013,20.2,21.1,20.0,20.5,12200
4/11/2013,20.8,22.5,20.8,22.5,47650
4/15/2013,24.4,24.7,24.0,24.7,36200
4/16/2013,24.4,25.0,23.4,23.6,19300
4/17/2013,23.9,24.0,22.4,23.5,31700
4/18/2013,24.4,25.8,23.5,25.0,45700
4/21/2013,25.7,27.5,25.7,27.3,92500
4/22/2013,26.5,29.5,26.2,27.7,69950
4/23/2013,27.2,29.3,27.2,28.1,49550
4/24/2013,28.9,29.3,27.0,27.2,47550
4/25/2013,28.5,29.0,26.7,27.0,46500
4/28/2013,26.6,26.6,25.0,25.3,16100
4/29/2013,26.0,27.2,26.0,26.8,52450
4/30/2013,26.9,27.9,24.9,25.1,30300
5/2/2013,24.3,25.9,23.2,25.0,43100
5/5/2013,25.8,25.9,24.3,24.4,34150
5/6/2013,25.2,26.6,24.5,26.5,63150
5/7/2013,27.4,28.8,27.4,27.9,82500
5/8/2013,28.0,28.3,26.5,26.6,52250
5/9/2013,26.4,26.8,26.0,26.2,33850
5/12/2013,27.0,27.2,26.3,26.8,54200
5/13/2013,27.0,27.2,26.4,26.7,40200
5/14/2013,26.5,27.6,26.5,27.1,62150
5/15/2013,27.4,27.7,26.2,26.4,27650
5/16/2013,26.6,27.1,26.4,26.9,33700
5/19/2013,26.7,27.4,26.7,26.9,42950
5/20/2013,26.7,27.2,26.5,26.5,35800
5/21/2013,26.6,26.9,26.0,26.1,22000
5/22/2013,25.5,26.0,25.3,25.3,17800
5/26/2013,25.2,25.7,24.7,24.8,5800
5/27/2013,25.8,25.8,25.0,25.1,4500
5/28/2013,25.2,26.4,25.0,26.1,26050
5/29/2013,26.4,26.6,26.1,26.5,23850
5/30/2013,27.3,27.3,26.2,26.4,12450
6/2/2013,26.2,27.5,26.2,27.3,55700
6/3/2013,27.3,27.8,26.9,27.3,49150
6/4/2013,27.4,30.0,27.4,29.8,141650
6/5/2013,29.9,29.9,28.2,28.3,42650
6/6/2013,28.2,28.4,27.6,27.7,35700
6/9/2013,27.5,27.5,26.4,26.5,24000
6/10/2013,26.9,27.5,26.7,27.2,36850
6/11/2013,27.4,28.2,26.3,26.6,45750
6/12/2013,27.0,27.6,26.5,26.6,37850
6/13/2013,26.2,27.5,26.2,26.7,19450
6/16/2013,27.1,27.7,27.1,27.2,16100
6/17/2013,27.4,27.7,26.3,26.5,32150
6/18/2013,26.6,27.0,26.5,26.5,23650
6/19/2013,27.5,27.8,26.6,26.7,18900
6/20/2013,26.6,26.9,26.2,26.3,21300
6/23/2013,26.5,26.5,25.0,25.2,16850
6/24/2013,25.0,25.5,25.0,25.2,6450
6/26/2013,25.5,25.5,25.0,25.0,17200
6/27/2013,24.9,24.9,24.0,24.1,19300
6/30/2013,24.3,24.8,23.9,24.0,14300
7/2/2013,25.0,25.4,24.6,25.1,8150
7/3/2013,25.3,27.0,25.0,26.7,31150
7/4/2013,27.0,27.0,25.8,26.3,19700
7/7/2013,27.4,27.4,26.1,26.3,23050
7/8/2013,26.3,28.3,26.3,27.6,69200
7/9/2013,27.6,28.0,26.0,26.2,41300
7/10/2013,26.6,26.6,25.5,26.0,10350
7/11/2013,26.0,26.0,25.0,25.0,12600
7/14/2013,24.6,24.7,23.2,23.9,23200
7/15/2013,24.5,24.9,23.7,23.9,19700
7/16/2013,24.1,25.1,23.7,24.0,15650
7/17/2013,24.0,24.8,24.0,24.0,4700
7/18/2013,24.8,24.8,24.0,24.1,9600
7/21/2013,23.6,23.9,23.2,23.5,17450
7/22/2013,23.2,24.2,23.2,23.4,6500
7/23/2013,23.4,23.5,22.8,22.8,9950
7/24/2013,23.5,23.8,23.0,23.1,14050
7/25/2013,22.5,23.7,22.5,22.8,3850
7/28/2013,22.7,22.7,22.0,22.1,8100
7/29/2013,22.6,22.6,22.2,22.4,6600
7/30/2013,22.4,22.5,22.0,22.1,6100
7/31/2013,21.7,21.9,21.6,21.6,2550
8/1/2013,21.6,21.9,20.8,20.9,13200
8/4/2013,21.0,21.0,20.5,20.7,4600
8/5/2013,22.1,22.1,21.2,21.3,1850
8/12/2013,21.5,22.5,21.5,22.0,7450
8/13/2013,22.2,22.5,22.0,22.2,6800
8/14/2013,21.9,23.4,21.9,22.8,10650
8/18/2013,23.0,23.2,22.5,22.9,3800
8/19/2013,22.4,23.1,22.4,22.8,5000
8/20/2013,23.0,23.6,22.5,22.8,14250
8/21/2013,22.8,23.2,22.5,22.7,4200
8/22/2013,22.6,24.9,22.6,24.9,42950
8/25/2013,26.4,26.4,25.0,25.1,22500
8/26/2013,25.7,25.7,24.7,24.9,19150
8/27/2013,25.0,25.0,24.0,24.1,17350
8/29/2013,24.5,24.6,23.5,23.8,18000
9/1/2013,24.7,25.2,24.0,24.7,26450
9/2/2013,24.4,25.0,24.1,24.2,14750
9/3/2013,24.1,26.6,24.0,26.6,94750
9/4/2013,27.7,29.0,27.6,28.2,95800
9/5/2013,28.7,28.8,26.9,27.3,41200
9/8/2013,27.0,27.7,25.9,26.3,35250
9/9/2013,27.6,28.9,27.0,28.9,114200
9/10/2013,29.9,31.7,29.8,30.8,92950
9/11/2013,29.2,33.7,29.2,32.3,105250
9/12/2013,31.3,35.5,31.2,35.5,151100
9/15/2013,36.9,39.0,36.9,39.0,83200
9/16/2013,41.5,42.9,39.0,42.9,175250
9/17/2013,44.5,47.1,44.5,47.1,95200
9/18/2013,51.4,51.8,48.0,51.4,185000
9/19/2013,51.8,51.8,46.3,46.4,150050
9/22/2013,43.2,51.0,43.2,51.0,126900
9/23/2013,53.0,56.1,52.0,56.1,96600
9/24/2013,60.0,60.0,51.0,55.2,149950
9/25/2013,54.0,54.0,49.7,49.7,59500
9/26/2013,45.1,53.9,44.8,52.5,91050
9/29/2013,54.2,54.2,47.3,47.3,83950
9/30/2013,42.9,51.9,42.9,45.3,71550
10/1/2013,46.9,46.9,42.0,42.9,46100
10/2/2013,44.8,44.8,41.3,41.9,66800
10/3/2013,43.3,46.0,43.3,45.4,70950
10/6/2013,45.2,45.2,42.5,42.8,24600
10/7/2013,44.2,44.2,41.9,42.2,21100
10/8/2013,43.9,43.9,38.1,38.4,24700
10/9/2013,39.0,40.5,34.9,37.4,38050
10/10/2013,38.4,38.4,33.7,33.8,47150
10/20/2013,32.1,32.1,30.5,30.5,23000
10/21/2013,28.4,33.5,27.8,33.5,36850
10/22/2013,34.8,36.8,34.3,36.7,46750
10/23/2013,37.9,40.3,37.5,38.7,77750
