Date,Open,High,Low,Close,Volume
10/1/2012,24.6,28.8,24.6,28.7,1153500
10/2/2012,30.3,31.5,29.0,31.2,1012000
10/3/2012,32.4,32.9,29.2,30.9,705000
10/4/2012,30.0,30.9,28.6,29.1,453000
10/7/2012,29.9,30.0,26.5,26.6,277000
10/8/2012,27.0,28.4,25.3,26.2,260500
10/9/2012,28.4,28.8,27.3,28.6,369500
10/10/2012,29.6,29.8,26.5,27.1,165500
10/11/2012,27.8,28.0,27.0,27.2,231000
10/14/2012,27.3,29.4,27.3,28.4,464000
10/15/2012,28.5,28.8,27.1,27.4,107000
10/16/2012,27.8,28.0,26.8,26.9,111000
10/17/2012,28.0,28.0,26.6,27.0,103500
10/18/2012,27.1,27.6,27.0,27.2,198000
10/21/2012,26.8,27.2,26.1,26.4,72500
10/22/2012,27.0,27.6,26.0,27.1,83000
10/23/2012,27.8,28.1,27.0,27.1,151000
10/30/2012,27.0,27.0,25.9,26.3,86000
10/31/2012,28.7,28.8,26.8,27.0,187500
11/1/2012,27.6,27.8,27.2,27.4,257500
11/4/2012,27.3,27.3,26.3,26.4,46000
11/5/2012,27.0,27.1,26.4,27.0,82000
11/6/2012,27.4,27.4,26.0,26.2,60000
11/7/2012,26.2,26.3,25.0,25.1,81000
11/8/2012,25.0,25.1,24.1,24.5,112000
11/11/2012,24.0,24.0,22.9,23.2,120000
11/12/2012,23.3,23.7,22.7,22.8,101500
11/13/2012,22.5,24.4,22.4,23.7,48500
11/14/2012,24.0,24.8,23.7,23.9,127500
11/15/2012,23.8,23.9,23.3,23.5,155000
11/18/2012,23.9,24.3,23.1,23.3,285000
11/20/2012,21.3,21.3,19.7,19.8,145500
11/21/2012,20.2,20.3,19.3,19.6,80500
11/22/2012,20.3,20.9,19.9,20.7,169500
11/26/2012,20.6,20.6,19.4,19.4,90500
11/27/2012,19.9,19.9,19.0,19.1,53500
11/28/2012,19.5,19.5,18.5,18.6,61000
11/29/2012,19.3,20.4,18.8,20.3,182500
12/2/2012,20.5,21.0,19.7,20.0,86500
12/3/2012,20.0,20.0,19.2,19.3,25500
12/4/2012,19.0,20.1,19.0,19.8,71500
12/5/2012,19.5,20.1,19.5,19.8,50500
12/6/2012,19.4,20.1,19.4,19.7,95500
12/9/2012,19.2,19.2,19.0,19.1,4500
12/10/2012,19.5,19.5,18.8,18.9,25000
12/11/2012,19.2,19.3,18.6,18.8,51500
12/12/2012,19.5,19.8,18.6,18.7,56500
12/13/2012,18.2,18.9,18.2,18.7,35000
12/17/2012,19.2,19.5,19.0,19.1,26500
12/18/2012,19.1,19.2,18.7,18.8,20500
