Date,Open,High,Low,Close,Volume
10/1/2012,132.7,144.8,132.0,135.8,13800
10/2/2012,135.8,140.0,133.0,133.7,26700
10/3/2012,134.1,134.1,131.0,131.4,7450
10/4/2012,130.8,131.0,128.9,129.3,5450
10/7/2012,133.0,133.0,129.1,129.3,7950
10/8/2012,130.0,132.5,127.1,127.5,4400
10/9/2012,131.0,131.0,127.9,128.1,3750
10/10/2012,129.0,129.0,126.1,126.9,11100
10/11/2012,126.0,127.6,125.2,125.5,3950
10/14/2012,123.8,126.9,123.7,125.4,2450
10/15/2012,126.0,127.9,125.2,126.4,1750
10/16/2012,126.1,126.1,125.3,125.7,1650
10/17/2012,125.5,125.9,125.5,125.6,2150
10/18/2012,125.0,127.0,125.0,125.0,5150
10/21/2012,123.4,133.9,123.4,131.7,12800
10/22/2012,130.0,132.8,126.9,128.3,2350
10/23/2012,130.0,130.0,129.1,129.4,2850
10/30/2012,128.0,130.9,126.0,126.7,8050
10/31/2012,125.5,126.8,125.2,125.2,2950
11/1/2012,131.5,131.5,122.1,124.2,1700
11/4/2012,124.0,126.0,123.1,124.1,1800
11/5/2012,122.2,125.4,122.2,122.8,1800
11/6/2012,125.9,126.0,124.0,125.3,2600
11/7/2012,124.0,124.0,123.0,123.3,2000
11/8/2012,121.7,123.3,121.7,122.8,1900
11/11/2012,121.0,122.0,120.1,120.4,4950
11/12/2012,120.5,123.0,120.3,122.5,5300
11/13/2012,120.0,121.0,118.0,119.3,2550
11/14/2012,120.5,121.0,120.0,120.4,7550
11/15/2012,124.0,129.8,122.5,123.2,5150
11/18/2012,124.0,125.0,123.7,123.8,3850
11/19/2012,121.0,124.6,121.0,121.2,1900
11/20/2012,119.1,122.0,119.1,119.9,2100
11/21/2012,118.5,118.9,118.4,118.6,900
11/22/2012,118.6,119.0,116.1,116.8,9850
11/26/2012,115.3,115.4,110.0,112.9,14500
11/27/2012,111.0,111.1,105.0,108.6,6450
11/28/2012,109.0,119.0,108.0,115.4,10600
11/29/2012,119.6,121.3,118.0,120.5,10500
12/2/2012,117.0,117.0,115.2,115.6,3050
12/3/2012,113.3,116.5,113.3,114.3,1050
12/4/2012,115.0,115.3,114.0,115.0,1600
12/5/2012,113.0,114.1,112.0,113.1,900
12/6/2012,113.1,113.1,111.0,111.2,1850
12/9/2012,110.0,110.0,108.9,109.2,1250
12/10/2012,109.6,109.6,109.3,109.5,1000
12/11/2012,108.0,115.0,108.0,114.0,5300
12/12/2012,114.0,115.0,110.0,111.5,2600
12/13/2012,110.1,112.9,110.0,110.6,250
12/17/2012,111.1,111.6,111.0,111.0,5350
12/18/2012,113.5,113.5,110.5,111.2,2850
12/19/2012,113.0,113.0,111.7,112.1,3650
12/23/2012,109.5,112.0,109.5,110.8,950
12/24/2012,112.8,112.8,110.0,110.6,1950
12/26/2012,111.0,111.0,110.5,110.5,450
12/27/2012,111.8,119.0,111.8,116.5,11050
12/30/2012,114.1,121.2,114.1,119.8,8500
1/1/2013,120.0,120.2,115.0,115.7,2100
1/2/2013,114.5,126.0,114.5,123.2,8450
1/3/2013,120.0,122.0,118.0,118.8,1750
1/6/2013,118.0,118.0,117.0,117.6,300
1/7/2013,117.0,117.0,116.7,116.8,350
1/8/2013,118.0,118.0,118.0,118.0,100
