Date,Open,High,Low,Close,Volume
10/1/2012,43.4,45.3,41.9,44.8,837700
10/2/2012,46.0,49.0,44.6,48.6,2031800
10/3/2012,49.0,50.8,45.0,45.8,1295000
10/4/2012,46.2,47.6,44.5,45.1,747900
10/7/2012,45.9,46.0,43.0,43.1,380500
10/8/2012,43.1,44.2,41.1,41.8,316000
10/9/2012,45.0,45.9,43.5,44.8,334800
10/10/2012,45.4,45.5,42.0,42.5,226300
10/11/2012,42.5,43.5,41.6,42.2,343800
10/14/2012,43.9,44.0,40.1,40.6,378000
10/15/2012,43.0,43.0,40.6,40.7,178600
10/16/2012,42.4,42.5,40.6,40.8,153500
10/17/2012,42.0,42.0,40.7,41.0,164100
10/18/2012,40.0,41.4,39.9,40.0,286900
10/21/2012,40.5,41.0,39.3,39.6,144100
10/22/2012,39.9,41.0,39.0,40.4,108700
10/23/2012,41.0,41.8,40.9,41.4,197900
10/30/2012,41.0,41.3,39.8,40.0,104900
10/31/2012,40.9,40.9,38.0,38.2,291900
11/1/2012,39.0,39.0,38.0,38.5,89300
11/4/2012,38.6,38.9,37.6,37.7,118400
11/5/2012,38.3,38.4,37.4,37.7,139700
11/6/2012,38.1,38.3,37.4,37.5,248300
11/7/2012,37.8,37.9,37.4,37.6,72300
11/8/2012,37.8,38.0,36.6,36.9,131500
11/11/2012,37.6,37.6,35.5,35.6,104800
11/12/2012,35.9,37.0,35.5,35.9,104000
11/13/2012,36.7,37.3,34.6,37.1,143800
11/14/2012,37.5,37.5,37.0,37.1,202200
11/15/2012,37.2,38.1,37.0,37.3,57500
11/18/2012,37.7,37.9,37.1,37.2,89500
11/19/2012,37.0,37.2,35.1,35.7,117500
11/20/2012,35.5,35.7,34.7,34.8,77800
11/21/2012,36.0,36.0,35.0,35.5,58800
11/22/2012,35.5,36.8,35.4,36.2,54300
11/26/2012,37.0,37.0,35.2,35.3,42500
11/27/2012,35.6,35.7,35.0,35.2,38200
11/28/2012,35.7,36.0,34.8,35.1,59800
11/29/2012,36.2,38.3,35.5,37.8,117700
12/2/2012,38.7,38.7,36.5,37.0,122700
12/3/2012,36.4,37.0,35.9,36.0,47000
12/4/2012,36.7,36.7,35.3,35.6,39200
12/5/2012,35.5,36.0,35.4,35.5,32000
12/6/2012,35.1,35.7,35.0,35.6,90600
12/9/2012,35.1,35.8,35.0,35.3,63000
12/10/2012,34.5,35.5,33.6,34.1,38400
12/11/2012,35.2,35.2,34.2,34.3,19000
12/12/2012,35.0,35.3,34.0,34.0,26400
12/13/2012,35.3,35.3,34.0,34.5,39200
12/17/2012,34.8,35.7,34.8,35.1,45700
12/18/2012,35.5,35.5,34.4,34.5,47200
12/19/2012,35.0,36.0,35.0,35.2,109000
12/20/2012,35.4,36.3,35.0,35.1,88300
12/23/2012,35.0,35.8,34.6,35.0,49100
12/24/2012,35.0,35.1,34.4,34.4,112300
12/26/2012,34.7,35.0,34.5,34.6,76600
12/27/2012,34.7,35.3,34.7,34.9,87700
12/30/2012,35.4,36.1,35.2,35.2,96200
1/1/2013,36.0,36.0,35.0,35.0,40800
1/2/2013,34.7,35.0,33.9,34.1,58600
1/3/2013,34.4,34.8,34.2,34.4,19400
1/6/2013,34.7,34.7,34.3,34.4,115300
1/7/2013,34.5,34.6,34.3,34.3,32300
1/8/2013,34.3,34.4,33.8,33.9,47200
1/9/2013,34.0,34.1,33.2,33.3,47000
1/10/2013,33.5,33.5,33.0,33.1,53000
1/13/2013,33.4,33.5,32.7,32.8,43700
1/14/2013,33.0,33.1,32.7,32.9,18500
1/15/2013,33.1,33.1,32.2,32.9,24200
1/16/2013,32.5,33.0,32.4,32.6,41200
1/17/2013,32.9,33.2,32.8,32.9,27600
1/20/2013,32.8,32.9,32.7,32.8,16400
1/21/2013,33.9,33.9,32.5,32.6,48700
1/22/2013,32.9,33.5,32.8,33.3,50300
1/23/2013,33.4,34.7,33.4,34.2,81000
1/24/2013,34.1,35.1,34.1,34.8,87500
1/27/2013,34.9,34.9,34.0,34.5,69700
1/28/2013,34.5,34.5,33.8,34.0,87100
1/29/2013,34.8,35.7,34.6,35.2,155600
1/30/2013,34.9,35.4,34.5,34.8,87500
1/31/2013,34.6,35.2,34.4,35.0,79300
2/3/2013,35.0,35.7,34.8,35.5,165700
2/4/2013,35.6,35.9,34.8,35.1,120000
2/5/2013,35.0,35.4,34.7,35.1,75900
2/6/2013,35.5,35.5,35.2,35.3,138300
2/7/2013,35.3,35.3,34.8,34.9,56600
2/10/2013,35.4,35.6,34.9,35.3,154600
2/11/2013,35.8,36.5,35.6,35.9,192400
2/12/2013,35.8,36.5,35.8,35.8,181900
2/13/2013,35.6,36.3,35.5,35.9,243100
2/14/2013,36.1,38.3,36.1,38.0,429900
2/17/2013,38.3,38.3,36.5,36.8,231000
2/18/2013,36.7,37.7,36.7,36.9,149400
2/19/2013,36.3,37.2,36.1,36.3,198400
2/20/2013,36.5,36.6,35.3,35.7,179900
