Date,Open,High,Low,Close,Volume
4/16/2013,59.9,60.0,52.0,55.0,5976200
4/17/2013,53.0,57.3,53.0,55.3,1839200
4/18/2013,57.0,62.5,55.4,60.9,1461000
4/21/2013,60.0,63.3,59.0,59.7,2462800
4/22/2013,58.5,59.9,57.4,57.7,1334800
4/23/2013,56.9,58.0,53.7,54.1,1281400
4/24/2013,54.5,54.7,49.9,50.2,1961600
4/25/2013,49.9,51.2,46.4,47.0,1042600
4/28/2013,46.2,46.3,42.6,42.8,973800
4/29/2013,42.4,47.0,41.6,46.9,908600
4/30/2013,48.0,48.5,44.8,47.2,852200
5/2/2013,46.6,47.0,45.0,45.4,623200
5/5/2013,45.0,45.6,42.5,42.8,876000
5/6/2013,42.0,42.8,40.3,41.1,837400
5/7/2013,41.8,43.4,41.5,42.8,610200
5/8/2013,43.1,44.6,42.3,42.4,726400
5/9/2013,42.5,43.4,41.9,42.8,563000
5/12/2013,43.7,45.8,43.3,45.5,943200
5/13/2013,46.0,46.5,44.5,44.8,709600
5/14/2013,45.0,46.8,45.0,46.0,1045600
5/15/2013,46.2,46.8,44.6,44.8,904400
5/16/2013,44.8,47.5,44.8,47.0,1041000
5/19/2013,48.0,51.6,47.9,51.4,1646400
5/20/2013,51.0,51.5,48.6,48.9,1230200
5/21/2013,49.3,49.8,47.1,47.6,917400
5/22/2013,47.0,48.4,45.4,46.1,742800
5/26/2013,46.0,46.8,44.3,44.5,304400
5/27/2013,44.0,46.3,44.0,45.9,313800
5/28/2013,46.4,47.1,45.4,46.5,576200
5/29/2013,46.8,47.5,46.5,46.8,579200
5/30/2013,47.6,48.0,46.5,46.7,667800
6/2/2013,47.4,49.0,46.8,48.6,1111200
6/3/2013,49.0,49.1,47.5,48.5,808600
6/4/2013,48.5,48.9,47.3,47.7,824600
6/5/2013,47.2,48.1,46.9,47.1,677400
6/6/2013,46.7,47.6,45.2,45.6,445800
6/9/2013,45.3,45.4,42.9,43.1,495200
6/10/2013,43.6,45.3,43.6,45.0,564200
6/11/2013,45.9,46.3,44.8,45.3,645800
6/12/2013,46.3,47.5,45.3,46.4,743400
6/13/2013,46.9,48.5,45.8,47.1,867400
6/16/2013,47.1,50.5,47.0,49.6,1135000
6/17/2013,50.7,50.8,46.9,47.1,852000
6/18/2013,47.3,48.3,46.4,47.7,491800
6/19/2013,47.3,50.3,47.2,47.7,1191400
6/20/2013,46.9,47.8,46.0,46.2,475800
6/23/2013,46.5,47.1,44.5,44.8,352200
6/24/2013,45.2,48.5,44.3,47.8,693000
6/26/2013,49.5,50.8,48.3,49.6,1832000
