Date,Open,High,Low,Close,Volume
4/21/2016,37.0,38.0,18.0,18.3,6018410
4/24/2016,17.3,18.4,16.6,17.8,1253080
4/25/2016,17.6,18.4,16.1,16.1,1760310
4/26/2016,15.9,15.9,14.5,14.6,1429780
4/27/2016,14.6,14.6,13.6,13.8,1104090
4/28/2016,14.0,14.3,12.7,12.9,903476
5/2/2016,12.8,13.4,11.9,12.9,836813
5/3/2016,13.2,13.9,13.1,13.5,435861
5/4/2016,13.6,13.6,12.5,12.6,769245
5/5/2016,12.6,12.7,12.1,12.3,765941
5/8/2016,12.5,12.5,11.6,11.8,680177
5/9/2016,11.6,12.2,11.5,11.7,509973
5/10/2016,11.6,12.0,11.6,11.9,409617
5/11/2016,12.5,12.5,11.8,11.9,637094
5/12/2016,11.8,11.9,11.6,11.6,289676
5/15/2016,11.5,11.7,11.1,11.2,331261
5/16/2016,11.3,11.9,11.3,11.5,547889
5/17/2016,11.5,12.0,11.5,11.9,476377
5/18/2016,12.0,13.0,11.9,13.0,1632720
5/19/2016,13.2,14.1,12.8,13.2,1451450
5/22/2016,13.3,13.4,12.9,13.0,902375
5/24/2016,13.1,13.4,13.0,13.1,704933
5/25/2016,13.2,13.2,12.5,12.5,446970
5/26/2016,12.6,13.2,12.5,13.0,408504
5/29/2016,13.3,13.3,12.6,12.7,712884
5/30/2016,13.0,13.2,12.6,12.9,1132070
5/31/2016,12.9,13.7,12.9,13.3,1105500
6/1/2016,13.3,14.2,13.3,14.1,1503670
6/2/2016,14.1,14.3,13.6,13.7,1284660
6/5/2016,13.8,13.8,13.3,13.4,614428
6/6/2016,13.6,13.9,13.1,13.4,882907
6/7/2016,13.3,13.3,12.7,12.9,1126750
6/8/2016,12.8,13.7,12.8,13.5,786847
6/9/2016,13.6,13.9,13.0,13.2,997904
6/12/2016,13.3,13.6,13.2,13.3,620561
6/13/2016,13.5,13.7,13.3,13.4,686595
6/14/2016,13.4,13.4,13.1,13.2,731314
6/15/2016,13.2,13.3,13.1,13.3,489456
6/16/2016,13.2,13.3,12.9,13.0,501339
6/19/2016,12.9,13.2,12.8,12.9,247305
6/20/2016,12.9,13.1,12.8,12.9,265252
6/21/2016,12.8,13.4,12.8,13.3,376020
6/22/2016,13.5,13.5,13.1,13.3,560117
6/23/2016,13.4,13.4,13.1,13.2,172765
6/26/2016,13.2,13.2,12.9,12.9,290836
6/27/2016,12.9,13.3,12.9,13.1,217204
6/28/2016,13.2,13.3,13.1,13.2,221263
6/29/2016,13.1,13.2,13.0,13.1,234599
6/30/2016,13.2,13.3,13.1,13.2,195114
7/10/2016,12.9,13.1,12.8,12.9,117770
7/11/2016,13.0,13.0,12.8,12.9,242640
7/12/2016,12.9,13.1,12.8,12.9,225198
7/13/2016,13.1,13.1,12.8,12.9,158978
7/14/2016,12.9,13.0,12.7,12.8,409769
7/16/2016,12.7,12.9,12.7,12.7,212084
7/17/2016,12.8,13.2,12.7,13.1,704112
7/18/2016,13.2,14.2,13.2,14.0,2642480
7/19/2016,13.8,14.0,13.5,13.7,866584
7/20/2016,13.6,14.7,13.4,14.4,1877160
7/21/2016,14.4,14.8,13.8,14.0,1529890
7/24/2016,14.2,14.5,13.9,14.0,1541250
7/25/2016,14.0,14.0,13.0,13.4,1100180
7/26/2016,13.4,13.4,12.9,13.0,683627
7/27/2016,12.9,13.4,12.9,13.1,298787
7/28/2016,13.2,13.4,13.0,13.1,284350
7/31/2016,13.0,13.1,12.7,12.8,784341
8/1/2016,12.8,12.9,12.5,12.6,388705
8/2/2016,12.6,13.0,12.6,12.8,357620
8/3/2016,13.0,13.2,12.9,13.0,454812
8/4/2016,13.0,13.0,12.7,12.8,348390
8/7/2016,12.7,13.0,12.5,12.5,453101
8/8/2016,12.6,12.7,12.5,12.6,245373
8/9/2016,12.6,12.8,12.5,12.7,260734
8/10/2016,12.5,12.7,12.5,12.6,263339
8/11/2016,12.5,12.9,12.5,12.8,504820
8/14/2016,12.7,12.9,12.7,12.8,206450
8/16/2016,12.8,12.9,12.7,12.8,312383
8/17/2016,12.7,12.8,12.6,12.6,134720
8/18/2016,12.6,12.8,12.5,12.6,216480
8/21/2016,12.6,12.6,12.5,12.5,194950
8/22/2016,12.5,12.7,12.5,12.5,157205
8/23/2016,12.5,12.7,12.4,12.4,269168
8/24/2016,12.5,12.5,12.3,12.4,172149
8/28/2016,12.4,12.7,12.3,12.6,279021
8/29/2016,12.6,13.7,12.6,13.4,1643790
8/30/2016,13.3,13.3,12.7,12.7,384750
8/31/2016,12.7,13.3,12.5,13.2,703376
9/1/2016,13.3,13.4,12.9,13.1,348602
9/4/2016,13.2,13.8,13.2,13.3,825394
9/5/2016,13.5,13.5,12.8,13.1,554908
9/6/2016,13.3,13.4,12.9,13.0,414499
9/7/2016,13.0,13.2,12.9,12.9,359455
9/8/2016,12.9,13.1,12.8,12.9,359081
9/18/2016,13.1,13.1,12.7,12.9,169777
9/19/2016,13.1,13.2,12.8,12.9,363340
9/20/2016,12.9,13.0,12.8,12.9,162909
9/21/2016,12.8,13.1,12.8,13.0,546431
9/22/2016,13.0,13.0,12.8,12.9,373800
9/24/2016,12.9,13.2,12.8,13.1,440483
9/25/2016,13.2,13.4,13.1,13.4,867759
9/26/2016,13.5,14.6,13.4,14.4,2785990
9/27/2016,14.5,14.7,13.9,14.2,918254
9/28/2016,14.2,14.3,13.8,14.2,1184900
9/29/2016,14.5,15.3,14.2,14.9,2283430
10/2/2016,15.1,15.8,14.9,15.5,1976850
10/3/2016,15.6,15.8,14.8,15.0,1276400
10/4/2016,15.3,15.8,14.9,15.0,1732170
10/5/2016,15.3,15.5,14.9,15.0,842089
10/6/2016,15.0,15.4,15.0,15.1,851850
10/9/2016,15.3,16.5,15.3,16.3,2933060
10/10/2016,16.3,17.3,16.0,16.4,1908090
10/13/2016,16.5,17.3,15.9,17.1,1514940
10/16/2016,17.4,17.4,16.2,16.5,1677710
10/17/2016,16.5,17.4,16.5,17.2,2369740
10/18/2016,17.4,18.6,17.2,18.0,2664110
10/19/2016,17.9,18.3,17.4,17.6,1334610
10/20/2016,17.7,18.4,17.2,18.1,1304750
10/23/2016,18.3,19.0,17.5,17.7,1397340
10/24/2016,17.6,18.1,17.0,17.2,1030730
10/25/2016,17.3,18.1,16.8,17.6,2241720
10/26/2016,17.9,18.9,17.7,18.2,2077430
10/27/2016,18.0,18.3,16.5,16.9,1207450
10/30/2016,17.0,18.0,16.8,17.7,1136580
10/31/2016,17.3,17.6,16.5,17.2,1475930
11/1/2016,17.3,17.8,17.1,17.6,743886
11/2/2016,17.8,18.4,17.8,18.3,1673100
11/3/2016,18.6,18.7,17.9,18.3,1386570
11/6/2016,18.1,19.3,18.0,18.9,1835320
11/7/2016,19.2,19.7,19.0,19.5,1812090
11/8/2016,19.6,19.6,18.8,19.0,1391540
11/9/2016,19.0,19.4,18.6,19.3,1363960
11/10/2016,19.3,19.6,18.9,19.5,1456640
11/13/2016,19.6,20.3,19.3,20.0,1883070
11/14/2016,20.1,20.2,19.3,19.4,1255830
11/15/2016,19.2,19.8,19.2,19.7,970188
11/16/2016,19.8,20.0,19.4,19.5,913739
11/17/2016,19.6,19.6,18.5,18.7,1263680
11/20/2016,18.8,19.0,18.0,18.3,926653
11/21/2016,18.3,19.0,18.1,18.8,902111
11/22/2016,19.0,19.0,18.2,18.4,731720
11/23/2016,18.6,19.0,18.4,18.8,873835
11/24/2016,19.0,19.1,18.5,18.7,977786
11/27/2016,18.7,18.7,18.1,18.2,829137
11/28/2016,18.5,18.8,18.3,18.5,688147
11/29/2016,18.7,19.4,18.5,18.7,1284750
11/30/2016,18.8,19.0,18.0,18.3,735920
12/1/2016,18.5,18.8,18.2,18.4,970098
12/4/2016,18.5,18.6,18.3,18.3,632948
12/5/2016,18.3,18.6,18.1,18.4,613239
12/6/2016,18.2,18.4,18.1,18.2,489029
12/7/2016,18.4,18.5,18.0,18.1,381993
12/8/2016,18.3,18.4,17.9,18.0,704131
12/11/2016,18.1,18.1,16.9,17.4,889833
12/12/2016,17.5,17.6,16.9,17.0,664191
12/14/2016,17.2,17.5,17.0,17.2,323155
12/15/2016,17.2,17.5,17.2,17.4,422571
12/18/2016,17.5,18.1,17.5,17.9,358859
12/19/2016,18.1,18.5,18.1,18.3,786272
12/20/2016,18.5,18.6,17.7,17.8,477840
12/21/2016,18.0,18.0,17.5,17.6,266687
12/22/2016,17.9,18.1,17.7,18.0,403311
12/26/2016,18.2,18.2,17.8,18.1,453140
12/27/2016,18.3,19.0,18.0,18.8,1034675
12/28/2016,18.9,19.4,18.7,18.9,1268193
12/29/2016,19.1,19.3,18.5,18.7,1186600
1/1/2017,18.9,19.1,18.8,19.0,835095
1/2/2017,19.2,19.6,19.0,19.5,1055088
1/3/2017,19.6,19.6,18.8,18.9,642886
1/4/2017,19.0,19.1,18.7,18.8,725139
1/5/2017,18.8,19.0,18.7,18.8,599201
1/8/2017,18.9,18.9,18.3,18.4,342594
1/9/2017,18.5,18.7,18.2,18.3,478233
1/10/2017,18.2,19.4,18.1,19.0,1082107
1/11/2017,19.2,19.6,19.1,19.4,1004006
1/12/2017,19.6,19.9,19.4,19.5,1161357
1/15/2017,19.5,21.2,19.5,20.6,2090303
1/16/2017,20.8,21.0,20.2,20.4,1085126
1/17/2017,20.9,22.0,20.4,21.5,2102201
1/18/2017,21.9,22.9,20.2,21.6,2370054
1/19/2017,21.3,21.8,20.7,21.2,868136
1/22/2017,21.5,22.0,21.0,21.5,657597
1/23/2017,21.8,22.6,21.8,22.4,1676968
1/24/2017,22.6,23.4,22.1,23.2,2163465
1/25/2017,23.6,24.8,23.2,23.6,1837402
1/26/2017,23.5,23.8,22.8,22.9,938588
1/29/2017,23.0,23.0,20.7,21.2,617917
1/30/2017,21.2,21.3,19.5,20.1,1546658
1/31/2017,20.5,22.1,20.1,21.9,593736
2/1/2017,22.4,22.4,21.0,21.4,1062485
2/2/2017,21.8,21.8,20.6,20.7,580378
2/5/2017,20.9,21.2,20.1,20.7,435650
2/6/2017,21.0,21.7,20.8,20.9,345269
2/7/2017,21.0,21.3,20.5,20.7,573728
2/8/2017,21.1,21.6,20.7,21.4,499607
2/9/2017,21.8,21.8,20.8,21.3,557998
2/12/2017,21.5,21.8,20.9,21.5,723495
2/13/2017,21.5,22.0,21.3,21.5,796439
2/14/2017,21.5,21.8,21.2,21.5,672537
2/15/2017,21.7,21.8,21.2,21.2,725142
2/16/2017,21.5,21.5,21.1,21.3,545033
2/19/2017,21.6,22.0,21.6,21.8,915770
2/20/2017,22.0,23.0,22.0,22.4,1720093
2/22/2017,22.5,22.6,21.6,21.8,712077
2/23/2017,21.5,22.2,21.5,21.6,589593
2/26/2017,21.7,21.8,21.2,21.3,722972
2/27/2017,21.7,21.7,21.2,21.5,345738
2/28/2017,21.6,21.7,21.4,21.6,330206
3/1/2017,21.7,21.8,21.3,21.4,340792
3/2/2017,21.5,21.5,21.2,21.3,285006
3/5/2017,21.3,21.3,21.0,21.0,300134
3/6/2017,21.1,21.3,21.1,21.2,227734
3/7/2017,21.4,21.7,21.2,21.3,405621
3/8/2017,21.4,21.6,21.0,21.1,311750
3/9/2017,21.3,21.4,21.1,21.2,373579
3/12/2017,21.3,22.7,21.3,22.5,1170041
3/13/2017,22.6,22.8,21.7,21.9,891851
3/14/2017,21.8,22.0,21.6,21.7,220069
3/15/2017,21.6,21.9,21.4,21.5,237757
