Date,Open,High,Low,Close,Volume
7/2/2018,141.2,155.0,129.4,130.8,6308834
7/3/2018,129.6,160.0,126.3,158.1,3439060
7/4/2018,159.0,173.9,156.0,173.9,3527280
7/5/2018,184.0,190.5,176.0,181.6,3216025
7/8/2018,178.0,183.8,163.9,165.7,3811394
7/9/2018,166.0,175.0,162.1,166.9,2396144
7/10/2018,169.0,174.9,156.0,158.5,2770189
7/11/2018,158.5,163.0,145.0,146.7,2617460
7/12/2018,148.2,158.7,148.2,153.2,1394960
7/15/2018,156.0,156.0,139.0,141.1,1696763
7/16/2018,144.4,147.1,140.5,141.2,1179761
7/17/2018,143.7,145.0,134.5,135.1,1375468
7/18/2018,137.0,145.5,131.2,142.9,1762568
7/19/2018,144.0,147.8,137.5,139.1,1147734
7/22/2018,139.0,142.7,132.1,133.0,1354249
7/23/2018,133.6,144.9,133.3,140.9,1362303
7/24/2018,142.0,143.2,135.9,136.5,1071081
7/25/2018,138.0,138.8,133.1,133.6,1095260
7/26/2018,135.9,138.9,134.0,137.0,1066252
7/29/2018,138.4,139.8,133.0,133.7,699988
7/30/2018,134.0,135.4,129.8,131.5,683339
7/31/2018,133.0,133.2,129.4,129.6,936741
8/1/2018,131.0,134.2,128.0,128.5,622454
8/2/2018,130.0,130.0,124.9,125.2,770621
8/5/2018,125.2,126.0,120.1,120.5,598521
8/6/2018,121.0,125.0,118.1,121.8,692571
8/7/2018,123.7,126.9,123.5,123.9,564729
8/8/2018,124.9,125.6,119.6,120.0,546249
8/9/2018,120.4,121.4,117.0,117.2,553063
8/12/2018,118.4,119.9,114.1,114.9,514128
8/13/2018,114.9,117.0,109.9,110.3,392014
8/14/2018,110.4,121.3,110.3,120.1,968885
8/16/2018,123.5,129.0,123.0,125.9,1207388
8/19/2018,125.9,126.0,117.0,117.9,499653
8/20/2018,117.9,123.4,115.4,121.3,411554
8/26/2018,122.5,124.4,121.0,121.4,312496
8/27/2018,122.6,123.9,120.5,123.0,300690
8/28/2018,123.5,124.9,122.0,122.8,423199
8/29/2018,123.0,124.2,120.4,120.8,297696
8/30/2018,120.3,122.0,118.0,118.9,332923
9/3/2018,119.8,121.3,118.0,118.6,238620
9/4/2018,119.1,125.0,118.8,123.8,763214
9/5/2018,124.7,135.9,124.1,132.2,1172998
9/6/2018,133.0,134.5,126.0,126.6,636731
9/9/2018,126.6,127.8,121.0,122.5,472958
9/10/2018,123.9,127.2,122.7,123.7,466274
9/11/2018,125.0,126.6,123.8,124.2,281505
9/12/2018,125.8,126.6,123.5,124.2,463538
9/13/2018,125.8,129.5,124.6,125.3,636314
9/16/2018,126.0,127.4,123.0,123.5,323077
9/17/2018,125.6,126.3,119.5,120.5,373362
9/18/2018,121.0,122.8,118.0,118.9,328518
9/19/2018,119.0,121.2,119.0,119.3,360186
9/20/2018,119.3,122.5,119.0,119.2,318322
9/23/2018,120.2,121.0,116.8,117.1,231073
9/24/2018,117.1,117.2,112.0,112.4,298977
9/25/2018,112.7,114.9,110.4,114.0,246263
9/26/2018,114.5,118.0,114.2,115.0,214087
9/27/2018,115.1,116.1,111.5,112.4,224138
9/30/2018,113.0,115.9,112.6,113.5,231300
10/1/2018,113.6,117.7,110.8,112.1,1107030
10/2/2018,112.3,114.7,111.5,111.9,576268
10/3/2018,112.5,113.4,111.3,111.6,379858
10/4/2018,112.0,119.0,111.1,118.0,1135448
10/7/2018,119.0,122.0,116.9,121.2,1022394
10/8/2018,121.2,122.5,115.5,116.2,653499
10/9/2018,116.2,117.4,113.7,114.3,509233
10/10/2018,114.3,116.7,112.8,113.0,342353
10/11/2018,114.9,114.9,112.2,112.6,324079
10/14/2018,112.6,113.9,111.4,111.7,382766
10/15/2018,112.9,114.4,111.5,111.9,339357
10/16/2018,112.9,113.9,111.7,112.0,218488
10/17/2018,112.9,112.9,109.6,109.9,346100
10/18/2018,109.9,110.3,105.3,106.1,471238
10/21/2018,105.8,107.8,101.0,102.1,235094
10/22/2018,103.6,103.6,97.0,99.0,237956
10/23/2018,99.4,101.0,96.3,97.5,284339
10/24/2018,99.0,102.3,97.5,98.0,474289
10/25/2018,99.0,99.7,96.1,97.2,248830
10/28/2018,97.9,98.0,91.3,92.0,337873
10/29/2018,92.0,97.4,89.9,95.9,458907
10/30/2018,97.0,99.7,96.0,96.8,375371
10/31/2018,96.8,97.4,94.5,95.2,399434
11/1/2018,95.0,98.4,94.6,95.0,254845
