Date,Open,High,Low,Close,Volume
10/1/2012,31.8,35.0,31.8,34.5,352500
10/2/2012,34.5,37.3,34.5,35.9,652000
10/3/2012,36.4,37.0,35.0,35.1,543500
10/4/2012,35.0,35.9,35.0,35.5,339000
10/7/2012,36.0,36.5,34.2,34.6,357500
10/8/2012,34.1,35.6,34.0,34.4,431500
10/9/2012,36.5,36.9,34.8,35.5,565000
10/10/2012,36.0,36.3,34.7,35.1,560500
10/11/2012,35.5,35.5,34.2,34.5,332500
10/14/2012,34.0,34.3,33.8,34.0,191000
10/15/2012,33.8,34.2,33.7,33.9,251500
10/16/2012,34.3,34.9,33.9,34.1,132500
10/17/2012,34.1,34.2,33.4,33.6,61500
10/18/2012,33.5,34.2,33.5,34.0,178000
10/21/2012,34.0,34.9,33.7,33.9,138000
10/22/2012,34.1,34.6,34.0,34.2,93500
10/23/2012,34.9,34.9,34.3,34.5,186000
10/30/2012,34.8,34.9,33.6,33.9,97000
10/31/2012,34.0,34.2,33.8,33.8,206500
11/1/2012,33.9,34.6,33.9,34.2,212000
11/4/2012,34.7,34.7,33.8,33.8,90500
11/5/2012,33.7,33.9,33.3,33.5,88000
11/6/2012,34.0,34.1,33.4,33.9,211000
11/7/2012,33.2,33.7,33.1,33.1,100000
11/8/2012,33.1,33.6,33.1,33.3,115000
11/11/2012,33.1,33.7,33.1,33.5,214500
11/12/2012,33.2,33.9,33.2,33.5,260500
11/13/2012,33.4,34.0,33.4,33.7,156000
11/14/2012,34.0,34.4,33.3,33.5,119500
11/15/2012,33.8,34.4,33.5,34.0,192500
11/18/2012,34.0,34.3,33.6,33.7,44500
11/19/2012,32.7,33.8,32.7,33.0,119000
11/20/2012,32.9,33.6,32.9,33.4,185000
11/21/2012,33.0,33.7,31.9,32.1,113000
11/22/2012,32.7,32.7,32.3,32.3,28500
11/26/2012,31.0,33.0,31.0,32.0,43000
11/27/2012,31.8,32.2,31.7,31.8,86000
11/28/2012,32.2,32.6,31.2,31.3,72500
11/29/2012,32.3,34.4,32.3,33.8,144500
12/2/2012,33.8,34.1,33.6,33.7,196500
12/3/2012,33.8,35.0,33.6,33.8,179500
12/4/2012,33.5,33.7,33.2,33.3,67500
12/5/2012,33.3,33.4,33.0,33.1,52500
12/6/2012,33.1,33.1,32.4,32.8,21000
12/9/2012,32.1,32.9,31.7,32.2,33000
12/10/2012,31.9,33.7,31.7,32.9,67000
12/11/2012,32.2,34.0,32.2,33.5,103000
12/12/2012,34.0,34.2,33.5,33.5,254000
12/13/2012,33.9,34.2,33.9,34.0,103000
12/17/2012,34.1,34.9,34.1,34.4,193000
12/18/2012,34.4,34.5,34.0,34.0,218500
12/19/2012,34.1,34.6,34.1,34.4,204500
12/20/2012,34.4,34.7,34.0,34.3,203500
12/23/2012,34.3,34.4,33.9,34.2,229500
12/24/2012,34.2,35.0,34.1,34.1,198500
12/26/2012,34.4,34.6,34.1,34.1,69500
12/27/2012,34.2,34.6,34.1,34.5,116000
12/30/2012,34.5,35.0,34.1,34.8,343500
1/1/2013,35.5,35.5,34.7,34.8,138000
1/2/2013,34.4,34.5,34.0,34.0,154000
1/3/2013,34.0,35.0,33.8,34.8,191500
1/6/2013,34.5,35.0,34.2,34.9,74000
1/7/2013,35.2,35.2,34.0,34.1,192000
1/8/2013,34.0,34.8,34.0,34.4,60000
1/9/2013,34.3,35.9,34.0,34.9,222500
1/10/2013,34.9,35.0,34.5,34.7,98000
1/13/2013,34.8,35.5,34.8,35.0,245500
1/14/2013,34.6,35.2,34.5,35.0,136000
1/15/2013,34.8,35.7,34.8,35.6,466000
1/16/2013,35.6,36.2,35.6,36.0,503500
1/17/2013,36.2,36.5,36.2,36.2,366500
1/20/2013,36.0,36.2,35.0,35.2,170500
1/21/2013,35.2,35.7,35.0,35.2,181000
1/22/2013,35.7,36.2,35.7,36.0,308500
1/23/2013,35.9,36.1,35.1,35.3,176500
1/24/2013,35.5,35.7,35.2,35.5,112000
1/27/2013,35.7,36.3,35.7,35.8,420500
1/28/2013,35.5,36.2,35.5,36.0,113500
1/29/2013,36.0,36.3,35.5,35.9,255000
1/30/2013,36.2,36.3,35.5,35.6,350000
1/31/2013,35.5,35.7,35.4,35.6,152500
2/3/2013,35.6,36.1,35.5,35.6,259500
2/4/2013,35.3,35.9,35.3,35.8,202500
2/5/2013,35.5,36.0,35.5,35.9,63000
2/6/2013,35.7,36.0,35.6,35.9,176000
2/7/2013,35.5,35.8,35.5,35.5,126500
2/10/2013,35.3,36.0,35.2,35.8,113000
2/11/2013,35.9,36.2,35.8,35.9,266500
2/12/2013,36.0,36.3,35.8,36.0,359500
2/13/2013,35.7,36.0,35.7,35.9,89500
2/14/2013,36.0,37.9,35.9,36.7,340500
2/17/2013,36.3,36.7,36.2,36.4,89000
2/18/2013,36.4,36.5,35.7,35.9,190500
2/19/2013,35.6,36.1,35.6,35.8,285000
2/20/2013,35.4,35.8,35.3,35.5,148500
2/24/2013,35.2,35.7,35.0,35.5,248500
2/25/2013,35.4,35.7,35.1,35.3,289500
2/26/2013,35.3,35.3,34.9,35.1,117000
2/27/2013,33.9,35.8,33.9,34.1,137500
2/28/2013,34.1,34.5,34.0,34.3,43500
3/3/2013,33.9,33.9,32.4,33.3,231500
3/4/2013,33.0,34.4,33.0,34.1,84500
3/5/2013,35.8,35.8,34.2,34.5,143500
3/6/2013,34.5,35.3,34.2,34.6,203500
3/7/2013,34.3,35.0,34.2,34.7,75500
3/10/2013,34.7,35.5,34.7,35.0,614000
3/11/2013,34.4,35.3,34.4,35.1,204000
3/12/2013,34.9,36.1,34.9,35.9,540000
3/13/2013,35.5,36.5,35.5,35.9,350500
3/14/2013,36.2,36.2,35.9,36.0,359500
3/18/2013,36.0,36.3,35.8,36.1,176500
3/19/2013,36.0,36.2,35.3,35.4,186500
3/20/2013,35.4,35.5,35.0,35.4,195500
3/24/2013,35.2,35.5,34.9,34.9,307000
3/25/2013,34.9,35.1,34.0,34.4,353500
3/27/2013,32.5,32.5,30.2,31.7,186000
3/28/2013,32.2,33.3,31.9,33.1,121000
3/31/2013,32.1,33.0,31.6,31.9,302000
4/1/2013,31.5,31.5,29.8,30.9,195000
4/2/2013,31.0,31.9,30.0,31.5,86000
4/3/2013,30.4,33.1,30.4,32.9,101000
4/4/2013,32.4,33.2,32.4,33.0,545500
4/8/2013,28.7,28.7,27.0,27.7,327000
4/9/2013,27.8,28.5,27.8,28.2,60000
4/10/2013,28.0,28.7,28.0,28.4,84500
4/11/2013,28.3,28.8,28.0,28.4,129000
4/15/2013,28.9,28.9,27.7,28.0,50500
4/16/2013,28.0,28.1,27.5,27.5,43500
4/17/2013,27.3,27.9,27.1,27.8,58000
4/18/2013,27.5,27.9,27.4,27.6,116000
4/21/2013,27.2,27.4,26.3,26.6,42500
4/22/2013,26.7,26.7,26.2,26.2,134500
4/23/2013,26.0,26.6,26.0,26.1,48000
4/24/2013,26.2,26.2,25.8,25.9,26500
4/25/2013,26.0,26.3,26.0,26.2,59000
4/28/2013,25.5,26.5,25.0,26.3,70500
4/29/2013,25.5,26.0,25.1,25.8,52000
4/30/2013,25.7,25.7,25.2,25.2,53500
5/2/2013,25.4,25.6,25.1,25.6,274000
5/5/2013,25.8,25.8,25.4,25.4,45500
5/6/2013,25.6,25.9,25.2,25.6,57500
5/7/2013,25.4,25.9,25.4,25.7,66000
5/8/2013,25.9,25.9,25.6,25.6,50000
5/9/2013,25.5,25.6,25.2,25.4,350500
5/12/2013,25.4,25.4,24.9,25.0,572000
5/13/2013,25.6,25.6,24.9,25.3,439500
5/14/2013,25.6,27.8,25.6,27.8,1650000
5/15/2013,28.5,30.2,28.1,29.4,709000
5/16/2013,29.0,30.8,29.0,29.9,803000
5/19/2013,29.9,31.0,29.4,30.4,1009000
5/20/2013,31.0,31.3,30.2,30.4,911000
5/21/2013,30.6,30.7,29.7,29.9,728000
5/22/2013,29.7,30.1,28.2,28.4,517500
5/26/2013,28.5,29.2,28.2,28.6,316500
5/27/2013,28.3,29.8,28.3,28.9,448000
5/28/2013,29.4,29.4,28.0,28.5,387500
5/29/2013,29.5,29.9,28.6,29.4,461500
5/30/2013,30.1,31.7,29.6,29.8,783500
6/2/2013,30.1,30.7,29.8,30.5,244500
6/3/2013,31.0,31.0,30.3,30.5,396000
6/4/2013,31.1,31.2,30.1,30.2,274000
6/5/2013,30.6,31.2,30.3,30.4,420000
6/6/2013,30.5,30.8,30.5,30.6,488500
6/9/2013,30.8,30.8,29.4,29.5,362500
6/10/2013,29.7,30.5,29.7,30.0,154000
6/11/2013,30.1,30.7,29.5,30.4,478000
6/12/2013,31.0,33.0,30.8,32.2,934000
6/13/2013,32.9,32.9,31.6,31.9,414500
6/16/2013,32.3,32.3,31.4,32.0,373000
6/17/2013,33.1,33.1,32.1,32.2,1110000
6/18/2013,32.5,32.5,31.2,31.6,192000
6/19/2013,32.1,33.1,31.3,32.4,975000
6/20/2013,32.5,33.3,31.6,32.2,1284000
6/23/2013,32.1,32.5,30.6,31.0,501500
6/24/2013,30.6,31.4,30.6,30.7,540500
6/26/2013,31.0,31.5,30.6,30.8,609500
6/27/2013,30.3,30.5,30.1,30.1,423500
6/30/2013,29.8,30.4,29.8,29.9,287000
7/2/2013,30.0,30.8,30.0,30.2,264500
7/3/2013,30.2,30.4,29.6,29.7,372500
7/4/2013,29.6,31.4,29.6,30.5,665000
7/7/2013,30.1,30.7,29.4,29.5,802000
7/8/2013,30.5,30.5,29.0,29.1,543500
7/9/2013,29.7,31.0,28.9,30.0,536000
7/10/2013,30.9,32.5,30.2,31.4,1318000
7/11/2013,30.3,31.7,30.3,30.6,273000
7/14/2013,31.7,31.7,30.0,30.3,491000
7/15/2013,30.3,30.3,30.0,30.1,438000
7/16/2013,30.1,30.4,30.0,30.0,611500
7/17/2013,29.9,30.5,29.2,30.1,546500
7/18/2013,30.2,31.3,29.9,30.0,472500
7/21/2013,31.0,31.2,29.9,29.9,498500
7/22/2013,29.6,30.2,29.2,29.6,597500
7/23/2013,29.1,29.6,28.5,28.6,298500
7/24/2013,29.2,29.8,28.9,29.6,161500
7/25/2013,29.0,29.5,28.7,29.3,194000
7/28/2013,29.7,29.7,28.9,29.1,187500
7/29/2013,28.1,29.4,28.1,28.3,70500
7/30/2013,29.0,30.4,28.7,29.9,570500
7/31/2013,30.4,30.5,29.4,29.9,223000
8/1/2013,29.6,30.1,29.3,29.7,165000
8/4/2013,29.4,29.4,28.2,28.7,69500
8/5/2013,28.6,29.9,28.6,29.4,148500
8/12/2013,29.4,29.4,28.7,28.8,106000
8/13/2013,29.0,29.5,28.8,28.9,200000
8/14/2013,28.7,29.4,28.7,29.1,50500
8/18/2013,28.8,29.2,28.5,28.9,68500
8/19/2013,28.9,29.2,28.9,29.1,227500
8/20/2013,29.5,29.5,28.9,29.0,346000
8/21/2013,29.0,29.1,28.8,28.8,115000
8/22/2013,28.7,29.0,28.5,28.7,259500
8/25/2013,29.4,29.4,28.0,28.6,172500
8/26/2013,28.6,28.9,28.5,28.5,214500
8/27/2013,28.4,28.9,28.4,28.6,106500
8/29/2013,28.4,28.4,27.3,28.0,81000
9/1/2013,28.1,28.3,28.0,28.1,205000
9/2/2013,28.1,28.1,27.5,27.6,225500
9/3/2013,27.7,28.0,27.3,27.6,168500
9/4/2013,27.5,27.7,27.3,27.3,224500
9/5/2013,27.4,27.8,27.2,27.3,150000
9/8/2013,27.2,27.5,27.1,27.3,78000
9/9/2013,27.3,27.6,27.3,27.4,209000
9/10/2013,27.2,27.4,26.8,26.8,281500
9/11/2013,26.7,27.1,26.3,26.6,216500
9/12/2013,26.3,26.4,26.0,26.2,262000
9/15/2013,27.0,27.0,26.2,26.7,161000
9/16/2013,26.9,27.8,26.5,27.4,291000
9/17/2013,27.4,27.9,27.2,27.5,144500
9/18/2013,27.1,28.1,27.1,27.4,96500
9/19/2013,27.5,28.9,27.4,27.8,125000
9/22/2013,27.5,27.9,27.2,27.3,170500
9/23/2013,27.1,27.7,27.1,27.2,170000
9/24/2013,27.8,27.9,27.3,27.6,114000
9/25/2013,27.5,28.3,27.5,28.0,243500
9/26/2013,28.0,29.2,28.0,28.3,420500
9/29/2013,28.1,28.3,27.8,27.9,80000
9/30/2013,27.5,28.0,27.5,27.7,157500
10/1/2013,27.9,28.0,27.6,27.7,198500
10/2/2013,27.6,27.9,27.4,27.7,413000
10/3/2013,27.9,28.0,27.7,27.8,312000
10/6/2013,27.7,27.9,27.4,27.5,452500
10/7/2013,27.5,27.5,27.3,27.3,217500
10/8/2013,27.2,27.4,26.8,26.8,357000
10/9/2013,26.8,27.2,26.8,27.0,157500
10/10/2013,27.1,27.4,27.1,27.2,204000
10/20/2013,27.4,27.5,27.2,27.3,83500
10/21/2013,27.0,27.8,26.9,27.4,83500
10/22/2013,27.6,28.5,27.6,28.1,143500
10/23/2013,28.1,30.0,28.0,29.8,309500
10/24/2013,29.2,29.8,28.6,28.7,135000
10/27/2013,29.0,30.0,29.0,29.7,211500
10/28/2013,30.0,30.8,29.7,30.1,336500
10/29/2013,29.5,31.2,29.5,30.6,282000
10/30/2013,30.0,30.4,29.1,29.7,301500
10/31/2013,29.7,30.5,29.7,29.9,259500
11/3/2013,29.9,29.9,29.1,29.3,376500
11/4/2013,29.7,30.8,29.6,30.6,428500
11/5/2013,30.4,31.7,30.4,30.9,423500
11/6/2013,30.9,32.5,30.7,31.8,662000
11/7/2013,32.4,32.9,31.5,32.6,1149500
11/10/2013,32.9,34.2,32.0,33.9,1972500
11/11/2013,34.3,34.5,32.4,32.6,1042500
11/12/2013,31.4,33.4,31.4,32.8,712500
11/13/2013,33.2,33.3,32.3,32.5,537000
11/14/2013,32.5,33.1,32.5,32.9,513500
11/17/2013,33.1,33.3,32.4,32.6,447000
11/18/2013,32.3,32.6,31.9,32.0,652000
11/19/2013,32.4,33.6,32.0,33.0,1603000
11/20/2013,33.6,33.9,32.8,33.5,914500
11/21/2013,33.2,33.5,32.1,32.3,521500
11/24/2013,32.4,32.8,31.5,31.7,639500
11/25/2013,32.4,32.5,31.4,31.6,442000
11/26/2013,31.6,32.0,31.4,31.4,368000
11/27/2013,31.8,31.9,31.1,31.1,291500
11/28/2013,31.5,31.5,30.7,30.7,278000
12/1/2013,30.3,30.9,30.3,30.6,235500
12/2/2013,30.6,30.9,30.3,30.7,318500
12/3/2013,31.0,32.1,31.0,31.6,416500
12/4/2013,32.4,32.4,31.5,31.6,143500
12/5/2013,30.7,31.9,30.7,31.7,141500
12/8/2013,31.9,32.3,31.7,32.0,339000
12/9/2013,31.6,32.5,31.2,31.6,483000
12/10/2013,32.0,32.3,31.1,32.0,634000
12/11/2013,32.5,32.5,31.6,31.9,332000
12/12/2013,31.4,31.8,31.0,31.3,189000
12/15/2013,31.5,31.5,31.0,31.2,169000
12/17/2013,31.0,31.5,31.0,31.0,257500
12/18/2013,31.1,31.3,30.9,31.0,142000
12/19/2013,30.9,31.8,30.9,31.2,260500
12/22/2013,30.9,31.7,30.9,31.5,141500
12/23/2013,31.7,32.0,31.1,31.8,129500
12/24/2013,32.3,33.0,32.3,32.5,849500
12/26/2013,33.2,33.3,32.2,32.5,291000
12/29/2013,32.1,32.7,32.1,32.5,133500
12/30/2013,31.5,32.8,31.5,32.6,277000
1/1/2014,32.7,32.9,32.1,32.1,316500
1/2/2014,31.9,33.0,31.8,32.5,396500
1/6/2014,32.5,32.6,32.2,32.4,273500
1/7/2014,32.2,32.7,32.2,32.4,645000
1/8/2014,32.4,33.0,32.2,32.4,296500
1/9/2014,32.8,33.4,32.6,33.2,781000
1/12/2014,33.2,33.9,33.2,33.7,1110500
1/13/2014,33.6,34.2,33.4,33.9,622500
1/15/2014,34.0,34.5,34.0,34.3,849500
1/16/2014,34.9,35.0,34.0,34.7,2611000
1/19/2014,34.8,35.1,34.4,34.5,1229000
1/20/2014,34.5,34.8,34.5,34.7,1009500
1/21/2014,34.5,34.8,34.5,34.7,1596000
1/22/2014,34.6,35.0,34.5,34.7,1622000
1/23/2014,34.7,35.0,34.7,34.9,1269000
1/26/2014,35.0,35.4,34.6,34.7,1504000
1/27/2014,34.7,35.5,34.7,35.1,2524500
1/28/2014,35.4,35.4,34.7,34.8,1328000
1/29/2014,34.7,35.0,34.7,34.7,380500
1/30/2014,34.8,34.9,34.7,34.7,1355000
2/2/2014,35.0,35.0,34.4,34.5,976000
2/3/2014,34.5,34.9,34.4,34.5,1394000
2/4/2014,34.7,35.0,33.6,33.9,2909500
2/5/2014,33.7,33.9,33.0,33.2,1882000
2/6/2014,33.5,34.4,32.9,34.0,2889500
2/9/2014,34.5,34.5,33.6,33.9,2382500
2/11/2014,29.6,32.0,29.5,31.5,2198000
2/12/2014,30.8,31.7,30.6,31.1,1514000
2/13/2014,31.3,31.4,30.7,31.0,1101500
2/16/2014,30.9,31.0,30.1,30.2,1003000
2/17/2014,30.5,30.9,30.4,30.5,572500
2/18/2014,31.0,31.1,30.4,30.5,202000
2/19/2014,30.7,31.0,30.5,30.6,415500
2/20/2014,30.9,31.0,30.6,30.8,393500
2/23/2014,30.8,30.9,30.6,30.7,270000
2/24/2014,30.7,30.9,30.5,30.7,807000
2/25/2014,30.8,31.2,30.7,30.8,458000
2/26/2014,31.0,31.2,30.9,30.9,982500
2/27/2014,31.1,31.2,30.8,30.8,377500
3/2/2014,31.1,31.1,30.0,30.0,309500
3/3/2014,30.0,30.2,29.6,29.6,304000
3/4/2014,29.7,29.7,29.1,29.2,397500
3/5/2014,29.2,29.5,29.1,29.2,273500
3/6/2014,28.9,29.2,28.7,29.0,141000
3/9/2014,28.4,29.0,28.4,28.6,222500
3/10/2014,28.1,29.0,28.1,28.7,228500
3/12/2014,24.9,24.9,24.0,24.4,594500
3/13/2014,24.4,24.8,24.2,24.3,241500
3/16/2014,24.3,24.5,24.2,24.4,89500
3/18/2014,24.1,24.9,24.1,24.1,316500
3/19/2014,24.1,24.4,24.1,24.3,79000
3/20/2014,24.1,24.8,24.0,24.6,116500
3/23/2014,24.2,24.4,24.1,24.1,185500
3/24/2014,24.2,24.2,24.0,24.0,116000
3/25/2014,24.0,24.3,24.0,24.1,110500
3/27/2014,24.3,24.3,24.1,24.2,182500
3/30/2014,24.0,24.2,24.0,24.1,125000
3/31/2014,24.0,24.4,24.0,24.3,2316000
4/1/2014,24.2,24.5,24.2,24.2,679000
4/2/2014,24.1,24.3,24.1,24.2,222000
4/3/2014,24.3,25.2,24.1,24.7,191000
4/6/2014,24.8,24.9,24.5,24.5,442000
4/7/2014,24.5,24.8,24.5,24.7,261000
4/8/2014,24.8,24.8,24.6,24.7,284000
4/9/2014,24.8,25.4,24.6,25.1,338500
4/10/2014,25.1,26.3,25.0,25.8,198000
