Date,Open,High,Low,Close,Volume
10/1/2012,292.0,300.0,285.0,296.5,12675
10/2/2012,300.25,308.0,300.0,301.0,13385
10/3/2012,300.0,305.0,296.0,297.25,16110
10/4/2012,293.5,304.5,292.0,295.25,14145
10/7/2012,286.0,302.0,286.0,288.25,10130
10/8/2012,285.0,294.75,280.0,282.0,12750
10/9/2012,297.0,297.0,285.25,292.5,10055
10/10/2012,300.0,300.0,285.0,286.5,8225
10/11/2012,282.25,289.0,282.0,283.25,7195
10/14/2012,281.0,286.0,276.0,277.25,11910
10/15/2012,285.0,285.0,277.25,278.0,7560
10/16/2012,282.0,282.0,276.0,278.25,5825
10/17/2012,285.0,285.0,273.5,274.75,7365
10/18/2012,272.5,278.0,272.5,275.75,4050
10/21/2012,276.25,278.0,270.0,271.25,5470
10/22/2012,271.5,273.0,270.0,271.0,6205
10/23/2012,271.0,278.0,271.0,273.5,6430
10/30/2012,260.25,279.75,260.25,271.25,3670
10/31/2012,270.25,272.0,268.0,268.5,4450
11/1/2012,262.5,275.0,262.5,267.5,3595
11/4/2012,267.5,272.0,263.25,264.0,5985
11/5/2012,262.5,268.0,262.0,262.75,5340
11/6/2012,263.5,264.0,260.0,261.0,5925
11/7/2012,261.0,262.0,255.25,256.0,8040
11/8/2012,255.0,278.25,255.0,278.25,13130
11/11/2012,299.0,302.5,282.0,292.75,47445
11/12/2012,292.5,297.0,278.0,282.5,12540
11/13/2012,276.75,288.0,276.75,284.0,7505
11/14/2012,290.0,290.0,278.75,280.75,6120
11/15/2012,280.25,285.75,280.25,284.25,7630
11/18/2012,284.0,286.25,279.75,280.25,6430
11/19/2012,278.0,279.0,271.5,272.0,6865
11/20/2012,268.75,274.5,265.75,266.25,5975
11/21/2012,274.0,274.0,263.75,265.5,4370
11/22/2012,270.0,270.0,262.0,262.75,8185
11/26/2012,262.75,268.5,259.25,260.25,4300
11/27/2012,259.25,262.0,257.0,259.0,4540
11/28/2012,263.0,263.0,255.25,257.75,4855
11/29/2012,260.0,272.5,260.0,271.0,6345
12/2/2012,280.0,285.0,265.0,268.5,7240
12/3/2012,270.0,270.0,264.0,265.0,4000
12/4/2012,266.5,282.0,264.0,274.5,11475
12/5/2012,276.0,280.0,272.0,273.75,8155
12/6/2012,268.0,273.0,268.0,269.5,3645
12/9/2012,270.0,270.0,264.25,265.25,4375
12/10/2012,259.0,263.75,259.0,262.75,4545
12/11/2012,269.75,270.0,260.0,262.75,6165
12/12/2012,261.0,271.0,261.0,267.75,8195
12/13/2012,265.0,270.0,264.25,265.75,8585
12/17/2012,269.0,269.75,264.0,267.5,8830
12/18/2012,264.0,268.0,263.0,263.5,6575
12/19/2012,264.0,267.0,264.0,265.25,8595
12/20/2012,265.0,269.0,265.0,267.5,4695
12/23/2012,266.0,269.5,263.25,264.75,4900
12/24/2012,265.0,267.0,263.5,265.0,5555
12/26/2012,267.5,283.25,265.25,278.75,26530
12/27/2012,280.0,286.0,275.25,276.25,12615
12/30/2012,275.5,275.75,273.0,273.5,7120
1/1/2013,273.25,278.5,273.25,274.25,7700
1/2/2013,274.0,274.0,269.75,271.5,4170
1/3/2013,272.0,273.5,270.0,272.25,5015
1/6/2013,272.0,274.25,271.25,272.0,4995
1/7/2013,273.75,273.75,269.0,270.0,4825
1/8/2013,270.25,273.0,270.25,271.75,4770
1/9/2013,273.75,277.0,271.75,272.25,8750
1/10/2013,272.5,283.0,272.5,278.0,20565
1/13/2013,280.0,282.0,275.75,276.75,6315
1/14/2013,280.0,280.0,274.25,275.5,4800
1/15/2013,274.25,277.75,274.0,274.75,4585
1/16/2013,272.75,275.0,272.75,273.0,6500
1/17/2013,272.75,276.75,272.75,274.5,4325
1/20/2013,275.25,275.25,272.25,272.75,4650
1/21/2013,272.0,272.25,270.0,270.25,5905
1/22/2013,275.0,275.0,270.0,272.0,4300
1/23/2013,271.0,273.25,271.0,272.0,3845
1/24/2013,271.0,276.25,270.75,274.25,9070
1/27/2013,273.5,276.0,271.75,271.75,12765
1/28/2013,272.25,274.0,270.75,271.25,5695
1/29/2013,272.75,275.5,271.75,272.25,11555
1/30/2013,272.5,275.0,271.5,272.0,7585
1/31/2013,270.25,272.5,270.25,271.25,7240
2/3/2013,272.0,274.5,270.0,270.5,13050
2/4/2013,270.0,273.0,270.0,270.0,9535
2/5/2013,275.0,275.0,268.25,269.25,12340
2/6/2013,270.0,272.0,265.75,269.25,7695
2/7/2013,271.0,272.0,268.25,269.25,7995
2/10/2013,275.0,292.75,275.0,292.75,56485
2/11/2013,305.0,314.75,298.25,300.25,47265
2/12/2013,304.0,304.0,280.0,287.25,33230
2/13/2013,281.0,303.5,281.0,291.5,26730
2/14/2013,310.0,349.0,307.0,316.25,86380
2/17/2013,319.0,319.0,306.0,307.75,27330
2/18/2013,305.5,308.0,300.0,301.25,21665
2/19/2013,300.25,301.75,294.0,294.75,16135
2/20/2013,315.0,315.0,301.25,310.0,70435
2/24/2013,306.25,311.0,301.25,302.25,48555
2/25/2013,298.25,304.25,281.0,284.5,52060
2/26/2013,286.75,287.0,275.0,284.0,34040
2/27/2013,282.0,282.0,271.25,272.0,31985
2/28/2013,270.25,274.75,265.0,270.5,29415
3/3/2013,270.0,270.0,252.0,255.75,29670
3/4/2013,250.25,265.0,250.25,260.75,23490
3/5/2013,262.5,264.5,255.25,258.25,29100
3/7/2013,253.0,253.0,242.0,246.75,12975
3/10/2013,245.0,249.25,241.0,242.0,8670
3/11/2013,244.75,244.75,233.25,238.0,9360
3/12/2013,233.0,238.0,232.25,236.75,6265
3/13/2013,240.0,242.0,237.0,238.75,7470
3/14/2013,237.0,242.0,237.0,239.25,5550
3/18/2013,237.0,239.5,235.75,238.25,3070
3/19/2013,237.25,241.5,237.25,240.25,6785
3/20/2013,238.5,240.0,238.0,238.5,8700
3/24/2013,237.25,239.0,228.75,229.5,11035
3/25/2013,225.0,231.75,225.0,227.25,5325
3/27/2013,227.0,227.0,207.5,207.75,27225
3/28/2013,192.0,209.0,192.0,207.25,14040
3/31/2013,205.25,205.25,198.0,200.5,6620
4/1/2013,196.0,200.0,190.5,191.25,9260
4/2/2013,186.0,204.75,186.0,195.5,4855
4/3/2013,191.0,203.5,191.0,200.0,4315
4/4/2013,208.0,208.0,195.5,197.0,4385
4/7/2013,198.0,200.0,193.5,194.75,4385
4/8/2013,191.75,200.0,191.75,199.25,3895
4/9/2013,198.0,206.0,198.0,205.0,10010
4/10/2013,205.0,209.75,203.5,204.25,9045
4/11/2013,202.25,205.0,201.75,203.75,6770
4/15/2013,205.0,216.0,205.0,210.75,7915
4/16/2013,206.75,215.0,206.75,207.25,6210
4/17/2013,203.0,214.5,203.0,213.0,10815
4/18/2013,214.0,231.5,213.0,231.25,40155
4/21/2013,232.25,251.0,232.25,240.5,28230
4/22/2013,240.5,241.0,230.75,234.0,10445
4/23/2013,233.0,238.0,232.0,233.75,7285
4/24/2013,238.0,238.0,228.0,229.75,8375
4/25/2013,230.25,233.5,224.25,226.0,6340
4/28/2013,222.0,225.0,217.25,222.75,8745
4/29/2013,219.5,241.0,219.5,238.25,15705
4/30/2013,239.5,239.75,233.25,236.5,10565
5/2/2013,240.0,240.0,233.25,238.0,10755
5/5/2013,235.5,239.0,234.0,235.75,9975
5/6/2013,233.75,237.0,231.0,233.5,6330
5/7/2013,232.25,243.0,232.25,238.75,20265
5/8/2013,239.0,244.0,236.25,237.0,13935
5/9/2013,240.0,241.0,237.5,238.25,13135
5/12/2013,250.0,259.0,246.75,259.0,37550
5/13/2013,270.0,281.5,270.0,281.5,16470
5/14/2013,306.0,306.0,306.0,306.0,13085
5/15/2013,332.75,332.75,298.0,305.25,139385
5/16/2013,310.0,331.25,310.0,323.0,53165
5/19/2013,326.75,332.75,318.25,320.75,34275
5/20/2013,322.0,323.75,308.25,310.5,40110
5/21/2013,309.0,310.0,296.5,299.25,39345
5/22/2013,298.0,303.0,288.0,289.5,32590
5/26/2013,290.0,292.5,276.0,277.0,26980
5/27/2013,277.0,301.0,277.0,301.0,61080
5/28/2013,327.0,327.25,308.75,325.5,113910
5/29/2013,328.0,329.75,320.0,324.25,40915
5/30/2013,328.0,331.25,320.0,321.25,44215
6/2/2013,323.0,332.0,323.0,329.75,64930
6/3/2013,331.0,334.25,325.5,332.5,47435
6/4/2013,331.0,335.25,327.75,328.5,41140
6/5/2013,340.0,356.75,325.75,353.25,82665
6/6/2013,368.0,370.0,354.0,361.0,89160
6/9/2013,356.0,356.0,335.25,339.25,71560
6/10/2013,335.0,364.0,335.0,360.0,43720
6/11/2013,360.25,383.0,360.25,377.5,39760
6/12/2013,382.0,410.5,382.0,410.5,105505
6/13/2013,440.0,446.25,425.25,430.0,267950
6/16/2013,430.0,459.0,430.0,452.25,125430
6/17/2013,460.0,470.75,451.25,455.25,115570
6/18/2013,450.25,459.0,444.0,446.75,131680
6/19/2013,446.25,457.0,430.0,433.5,153825
6/20/2013,431.25,439.0,420.0,421.75,121330
6/23/2013,422.0,425.0,388.0,396.25,124405
6/24/2013,393.0,419.75,377.0,413.25,133660
6/26/2013,419.0,449.25,419.0,449.0,173195
6/27/2013,469.0,471.0,445.0,448.5,149580
6/30/2013,432.0,453.5,432.0,447.25,139435
7/2/2013,457.5,484.5,451.0,484.25,280520
7/3/2013,494.0,521.5,494.0,520.25,373385
7/4/2013,530.0,559.0,526.0,553.0,281215
7/7/2013,566.0,584.5,560.0,581.0,229200
7/8/2013,589.0,624.5,587.0,624.5,208795
7/9/2013,650.0,671.25,650.0,671.25,238675
7/10/2013,695.0,721.5,681.25,698.5,375185
7/11/2013,709.0,710.0,646.25,646.5,302715
7/14/2013,635.0,655.0,611.5,637.25,258400
