Date,Open,High,Low,Close,Volume
10/1/2012,147.0,159.1,141.6,158.9,1682300
10/2/2012,161.8,161.8,149.2,149.9,2383700
10/3/2012,153.0,154.0,143.3,144.2,1290200
10/4/2012,149.0,149.7,135.0,137.9,977200
10/7/2012,142.0,149.0,138.1,142.1,1159700
10/8/2012,145.5,156.0,144.2,154.8,1595600
10/9/2012,158.0,170.0,158.0,168.9,2354200
10/10/2012,172.9,174.0,162.9,165.1,1973900
10/11/2012,167.0,173.9,163.5,172.0,2058200
10/14/2012,176.0,176.0,164.3,165.6,2195300
10/15/2012,166.0,167.7,158.2,160.4,1561400
10/16/2012,162.0,163.9,156.5,157.7,1058000
10/17/2012,159.8,159.9,155.3,155.9,730300
10/18/2012,159.0,159.4,154.3,155.0,520500
10/21/2012,158.0,158.0,147.5,150.2,721900
10/22/2012,151.9,159.8,147.5,158.5,630700
10/23/2012,161.0,161.9,155.0,156.5,687800
10/30/2012,155.1,156.5,152.5,152.9,321700
10/31/2012,152.0,154.5,151.3,151.8,459200
11/1/2012,152.0,155.0,152.0,152.2,369000
11/4/2012,151.2,154.5,145.1,146.1,490200
11/5/2012,147.8,152.9,144.4,151.5,721900
11/6/2012,152.5,156.0,149.6,150.8,577700
11/7/2012,152.9,152.9,146.1,146.9,384400
11/8/2012,147.0,148.5,144.5,144.8,596400
11/11/2012,146.7,146.8,136.6,137.7,628900
11/12/2012,139.0,142.0,136.0,138.8,375700
11/13/2012,139.1,144.7,136.6,143.3,429200
11/14/2012,145.0,145.7,141.0,142.2,490500
11/15/2012,141.5,145.4,141.4,144.1,412400
11/18/2012,144.6,146.0,138.0,140.2,338700
11/19/2012,138.3,140.0,134.0,134.7,419400
11/20/2012,135.0,135.7,126.1,128.7,430100
11/21/2012,130.0,132.3,125.0,125.6,609100
11/22/2012,128.0,128.9,124.2,124.7,460400
11/26/2012,124.9,128.0,121.6,124.4,963500
11/27/2012,125.0,126.5,122.9,123.3,419100
11/28/2012,123.5,127.0,123.5,124.1,484500
11/29/2012,128.0,136.5,128.0,136.5,1110300
12/2/2012,141.9,146.7,138.4,139.7,1001900
12/3/2012,139.5,141.4,133.0,134.6,495400
12/4/2012,132.3,139.0,132.2,137.8,499100
12/5/2012,139.0,141.9,135.0,140.5,799700
12/6/2012,140.4,147.4,137.0,144.9,1517200
12/9/2012,143.0,143.0,137.3,138.7,480600
12/10/2012,137.8,141.3,136.3,138.8,492500
12/11/2012,138.0,139.9,136.6,138.1,383500
12/12/2012,139.0,142.4,135.1,136.7,391800
12/13/2012,136.5,138.4,135.5,136.4,321900
12/17/2012,138.6,139.5,135.5,136.7,341700
12/18/2012,135.2,137.9,132.8,133.3,453300
12/19/2012,134.8,135.3,130.6,131.0,478600
12/20/2012,132.6,133.4,129.8,130.1,281400
12/23/2012,129.3,131.0,127.5,127.8,255700
12/24/2012,130.8,132.8,127.1,131.8,412400
12/26/2012,133.4,136.2,132.2,135.0,498000
12/27/2012,135.9,135.9,132.9,134.8,535900
12/30/2012,134.0,134.7,132.3,132.9,407900
1/1/2013,133.9,134.8,130.6,131.2,266900
1/2/2013,131.5,132.0,129.8,129.9,265500
1/3/2013,130.1,131.7,129.0,129.8,265300
1/6/2013,130.5,131.0,129.2,129.3,171900
1/7/2013,129.5,129.5,127.5,127.7,166500
1/8/2013,127.3,129.0,127.2,127.4,174100
1/9/2013,129.9,130.0,125.6,126.0,265200
1/10/2013,127.3,129.0,126.0,127.2,161700
1/13/2013,128.5,128.5,125.5,126.2,137400
1/14/2013,127.7,127.7,125.3,125.8,134900
1/15/2013,126.8,126.8,125.2,125.7,154900
1/16/2013,125.7,126.3,124.3,124.5,245400
1/17/2013,127.0,128.0,125.9,126.7,344900
1/20/2013,127.4,127.4,126.1,126.1,158500
1/21/2013,126.0,126.3,125.0,125.1,138300
1/22/2013,125.2,126.1,125.0,125.9,130700
1/23/2013,127.7,129.6,126.5,128.3,391000
1/24/2013,129.0,133.3,129.0,132.4,669300
1/27/2013,133.2,134.0,130.0,130.1,349700
1/28/2013,131.0,132.0,129.7,130.4,369300
1/29/2013,131.5,132.9,130.0,130.4,470000
1/30/2013,131.1,133.4,130.0,130.4,533200
1/31/2013,130.0,132.1,128.9,129.7,425800
2/3/2013,128.5,131.7,128.5,129.4,333300
2/4/2013,128.8,130.5,128.3,129.3,471800
2/5/2013,128.9,130.8,128.3,129.9,395700
2/6/2013,131.0,131.8,130.0,130.2,289400
2/7/2013,130.2,130.4,127.8,128.1,364400
2/10/2013,129.5,132.1,128.6,131.5,518200
2/11/2013,132.2,135.0,131.9,133.7,710800
2/12/2013,134.9,135.4,130.9,131.2,546000
2/13/2013,132.9,133.6,130.5,130.8,474800
2/14/2013,132.0,133.6,131.0,132.6,646700
2/17/2013,133.6,140.5,133.2,139.4,1502600
2/18/2013,140.0,144.5,137.4,138.8,1043500
2/19/2013,139.0,140.8,135.7,136.2,530500
2/20/2013,136.5,138.0,132.6,133.1,537300
2/24/2013,131.0,133.5,128.2,129.9,576900
2/25/2013,132.4,132.4,126.1,127.4,489000
2/26/2013,129.1,132.8,126.3,130.3,643700
2/27/2013,131.2,131.4,123.1,124.6,474200
2/28/2013,125.0,127.5,124.5,126.8,201800
3/3/2013,124.0,124.5,118.1,119.7,368500
3/4/2013,122.0,123.2,121.0,121.6,249200
3/5/2013,123.0,123.0,118.0,118.8,239700
3/6/2013,120.3,120.9,114.1,114.6,425300
3/7/2013,114.5,114.5,111.4,112.7,196900
3/10/2013,115.0,116.6,113.7,114.3,183500
3/11/2013,114.5,115.3,111.6,114.6,242700
3/12/2013,112.3,117.9,112.2,117.3,356700
3/13/2013,118.5,126.7,117.9,124.1,533700
3/14/2013,124.2,125.8,122.3,123.5,268100
3/18/2013,124.0,124.0,121.2,123.3,144600
3/19/2013,124.7,129.4,124.0,126.6,495800
3/20/2013,126.0,128.4,123.7,124.3,218100
3/24/2013,125.0,125.0,119.6,120.5,310200
3/25/2013,119.5,122.0,118.1,119.7,262700
3/27/2013,117.3,119.4,115.6,116.5,209200
3/28/2013,118.7,119.4,116.5,118.3,143700
3/31/2013,116.8,120.6,116.8,118.9,363400
4/1/2013,119.5,119.5,116.0,116.1,239600
4/2/2013,117.9,118.0,114.9,116.8,132500
4/3/2013,117.9,119.0,116.1,117.8,214700
4/4/2013,117.0,118.5,116.2,118.0,247800
4/7/2013,117.6,119.6,117.3,118.8,454300
4/8/2013,116.0,119.2,116.0,119.0,88300
4/9/2013,119.0,121.8,119.0,120.2,236100
4/10/2013,121.9,124.0,121.1,121.6,195700
4/11/2013,120.1,122.0,119.6,120.1,122600
4/15/2013,122.7,123.6,120.4,121.3,327100
4/16/2013,122.0,122.5,118.6,119.0,151900
4/17/2013,119.5,119.8,118.4,118.9,180600
4/18/2013,118.6,119.8,117.9,118.4,177500
4/21/2013,118.8,119.9,117.1,117.4,164600
4/22/2013,118.3,118.3,116.5,116.7,63500
4/23/2013,117.1,118.0,116.4,116.8,62400
4/24/2013,116.9,116.9,115.6,115.7,67300
4/25/2013,117.0,118.4,116.9,117.9,158000
4/28/2013,116.5,118.3,115.6,117.6,132200
