Date,Open,High,Low,Close,Volume
4/27/2015,60.0,83.0,60.0,78.0,5805010
4/29/2015,80.0,80.0,65.3,66.6,1383630
4/30/2015,65.2,66.0,56.5,59.9,2408690
5/4/2015,62.0,62.0,45.8,47.1,1608340
5/5/2015,48.0,50.1,47.3,48.5,878245
5/6/2015,47.9,53.3,47.9,53.3,1283320
5/7/2015,54.9,57.5,53.7,54.4,1344190
5/10/2015,53.3,55.8,53.2,54.7,1459640
5/11/2015,54.8,54.9,51.5,51.7,1198250
5/12/2015,51.7,52.0,49.8,50.5,1054600
5/14/2015,51.5,55.5,51.2,55.5,1583510
5/17/2015,57.8,61.0,56.3,57.9,2339620
5/18/2015,57.2,57.7,55.2,56.1,1683290
5/19/2015,57.5,61.2,57.3,59.6,1454620
5/20/2015,59.8,61.0,57.6,58.0,1035930
5/21/2015,58.5,58.5,56.8,57.0,878661
5/24/2015,58.5,59.5,57.1,58.4,504395
5/25/2015,63.0,64.2,63.0,64.2,555893
5/26/2015,67.7,70.4,65.5,68.0,2617220
5/27/2015,69.0,74.8,67.1,74.8,2035270
5/28/2015,74.1,80.0,74.1,75.4,1919720
5/31/2015,76.8,82.9,74.5,82.7,2102370
6/1/2015,84.8,84.8,74.5,76.4,1461210
6/2/2015,75.6,80.0,72.3,73.1,1628310
6/4/2015,74.4,77.5,72.6,75.5,1026970
6/7/2015,78.0,80.0,72.8,73.1,1444050
6/8/2015,74.5,75.0,68.0,68.9,1137070
6/9/2015,70.7,71.5,66.7,69.5,998902
6/10/2015,70.8,72.4,69.2,69.6,647844
6/11/2015,70.2,70.8,66.0,66.2,801436
6/14/2015,67.0,67.5,62.3,63.6,492181
6/15/2015,65.4,69.9,63.4,68.4,624723
6/16/2015,68.8,70.8,68.0,68.5,655965
6/17/2015,68.4,73.5,68.4,72.8,1116170
6/18/2015,73.5,76.9,73.2,74.8,1515770
6/21/2015,75.2,76.8,73.5,73.8,868222
6/22/2015,74.0,75.6,69.7,70.4,1030920
6/23/2015,71.4,71.8,68.5,68.9,596876
6/24/2015,68.9,72.2,68.4,70.6,720891
6/25/2015,70.8,71.9,69.5,70.8,550849
6/28/2015,71.6,73.5,71.6,72.7,840797
6/29/2015,72.7,74.5,72.7,73.7,920163
6/30/2015,74.9,76.9,74.4,75.3,1509970
7/2/2015,76.0,77.0,74.5,74.7,921379
7/5/2015,74.3,75.0,70.9,71.3,1061610
7/6/2015,71.5,71.9,70.1,70.5,677123
7/7/2015,71.2,73.5,71.2,71.7,541003
7/8/2015,72.3,73.2,70.5,70.9,510666
7/9/2015,72.2,72.2,70.9,71.5,701395
7/12/2015,71.9,72.5,70.7,71.0,496625
7/13/2015,71.0,71.2,69.4,69.8,583723
7/14/2015,70.0,76.7,70.0,76.7,2548910
7/21/2015,78.5,84.3,78.0,84.3,1106970
7/22/2015,86.4,87.0,82.5,84.6,4297590
