Date,Open,High,Low,Close,Volume
10/1/2012,83.2,87.8,83.1,86.7,667500
10/2/2012,87.0,89.5,87.0,87.5,634500
10/3/2012,88.5,88.5,85.0,85.2,575500
10/4/2012,86.0,88.0,84.4,84.6,372000
10/7/2012,85.9,85.9,81.4,82.1,335500
10/8/2012,80.2,83.5,80.0,80.8,306000
10/9/2012,83.4,85.0,81.6,82.8,606500
10/10/2012,83.5,83.9,80.4,81.0,372500
10/11/2012,81.2,82.2,79.3,79.7,360000
10/14/2012,81.8,85.5,80.5,83.3,597000
10/15/2012,84.0,85.1,82.4,82.7,320000
10/16/2012,82.9,83.0,81.2,82.4,461000
10/17/2012,82.1,83.0,80.3,80.5,366000
10/18/2012,81.0,81.0,79.8,80.2,235500
10/21/2012,81.6,81.6,78.5,79.7,201000
10/22/2012,80.0,80.8,78.9,80.0,184500
10/23/2012,81.9,81.9,80.0,80.6,275500
10/30/2012,79.0,79.0,75.7,76.1,446000
10/31/2012,75.2,75.5,74.2,74.3,356000
11/1/2012,75.0,75.8,74.4,74.6,151500
11/4/2012,75.0,75.0,72.5,72.9,165500
11/5/2012,73.2,74.0,72.1,72.7,143500
11/6/2012,74.4,74.4,72.0,72.3,137500
11/7/2012,72.4,72.6,71.2,71.4,57500
11/8/2012,72.0,72.1,70.1,70.7,199000
11/11/2012,70.7,70.8,67.6,67.9,111000
11/12/2012,68.9,69.0,66.3,66.6,111000
11/13/2012,66.5,69.9,65.7,68.1,155000
11/14/2012,67.7,70.3,67.7,68.9,163500
11/15/2012,69.8,70.7,68.3,69.3,195000
11/18/2012,69.3,69.6,66.0,66.9,192500
11/19/2012,65.5,66.9,65.5,65.9,176000
11/20/2012,65.4,66.7,64.0,64.5,190500
11/21/2012,66.7,66.7,64.0,64.3,130000
11/22/2012,66.0,66.0,64.9,65.5,100500
11/26/2012,66.0,66.0,63.0,63.3,94500
11/27/2012,62.2,63.1,61.5,62.3,86000
11/28/2012,62.5,64.1,61.5,62.2,157500
11/29/2012,63.8,68.3,63.6,67.9,338500
12/2/2012,70.9,71.5,66.9,67.1,284000
12/3/2012,66.5,67.4,65.3,66.5,100500
12/4/2012,65.3,66.9,64.8,65.9,157500
12/5/2012,66.4,67.5,65.5,66.3,171000
12/6/2012,64.9,66.9,62.4,63.6,252000
12/9/2012,64.1,64.2,61.5,62.0,103000
12/10/2012,61.7,62.8,61.0,61.7,283000
12/11/2012,61.2,63.0,61.0,62.3,141500
12/12/2012,62.9,63.3,61.5,61.6,123000
12/13/2012,62.2,63.1,62.0,62.7,71000
12/17/2012,63.8,64.9,63.4,64.2,134500
12/18/2012,63.9,63.9,62.7,62.9,77500
12/19/2012,63.7,64.4,62.7,63.8,111000
12/20/2012,65.0,65.5,63.7,64.1,309000
12/23/2012,64.2,64.7,63.7,64.1,157000
12/24/2012,64.0,65.0,64.0,64.4,95500
12/26/2012,64.9,65.0,64.1,64.5,150500
12/27/2012,65.0,66.1,64.6,65.8,180500
12/30/2012,66.5,69.7,66.5,67.9,414500
1/1/2013,69.0,69.0,66.2,66.4,111500
1/2/2013,66.2,66.2,64.6,64.8,119500
1/3/2013,65.0,65.5,64.6,65.1,176500
1/6/2013,65.2,65.9,65.0,65.3,90500
1/7/2013,65.2,65.5,64.2,64.2,86500
1/8/2013,64.5,65.2,64.0,64.4,76500
1/9/2013,67.5,67.7,64.8,65.6,133000
1/10/2013,65.6,66.2,64.9,65.9,104000
1/13/2013,65.7,66.0,65.4,65.6,43000
1/14/2013,65.5,65.7,64.9,65.1,52000
1/15/2013,65.3,65.6,64.9,65.4,97000
1/16/2013,65.8,66.2,65.5,66.0,120000
1/17/2013,66.4,67.9,66.0,67.2,234000
1/20/2013,67.5,69.3,67.4,67.7,436000
1/21/2013,67.2,67.8,66.6,66.8,99000
1/22/2013,67.0,68.2,66.7,68.0,179000
1/23/2013,68.0,68.8,67.1,67.6,178500
1/24/2013,67.7,68.0,67.0,67.3,269500
1/27/2013,69.5,69.5,67.2,67.4,165500
1/28/2013,68.9,69.5,67.9,69.0,424500
1/29/2013,70.7,70.7,69.1,69.7,348500
1/30/2013,69.8,70.0,67.6,67.9,280500
1/31/2013,67.6,69.4,67.5,68.3,366000
2/3/2013,68.5,68.8,67.7,67.9,275500
2/4/2013,70.0,70.3,68.7,69.8,562000
2/5/2013,69.1,70.2,68.7,69.4,288000
2/6/2013,69.4,70.8,69.1,70.2,376000
2/7/2013,71.4,71.7,70.0,70.4,288000
2/10/2013,71.5,71.7,70.9,71.2,347000
2/11/2013,71.4,73.5,71.4,71.9,362000
2/12/2013,72.4,72.4,70.3,70.5,254000
2/13/2013,70.8,71.0,69.5,69.8,383500
2/14/2013,70.0,70.9,69.9,70.6,489000
2/17/2013,71.9,71.9,70.5,70.9,328500
2/18/2013,71.9,71.9,69.5,70.1,268000
2/19/2013,71.1,71.1,67.2,67.7,259500
2/20/2013,69.0,69.0,66.5,67.0,214000
2/24/2013,66.3,67.2,65.1,65.3,171500
2/25/2013,66.0,67.0,64.8,64.9,162500
2/26/2013,66.9,66.9,64.1,65.5,145000
2/27/2013,65.1,65.5,61.4,61.7,351000
2/28/2013,62.5,62.7,61.0,61.6,127000
3/3/2013,58.2,58.2,55.7,55.9,189000
3/4/2013,56.2,58.0,56.2,57.5,161500
3/5/2013,58.0,58.5,56.1,56.1,108500
3/6/2013,57.0,57.0,54.9,55.3,204000
3/7/2013,54.5,55.0,53.7,54.2,157000
3/10/2013,55.6,55.6,53.2,53.8,209500
3/11/2013,52.9,54.4,51.9,53.4,210000
3/13/2013,51.5,52.1,50.2,51.4,182500
3/14/2013,51.0,52.1,51.0,51.8,124500
3/18/2013,51.0,52.0,51.0,51.8,62000
3/19/2013,52.0,52.7,51.5,51.9,144500
3/20/2013,51.3,52.0,51.0,51.4,103000
3/24/2013,50.9,51.0,50.0,50.1,78000
3/25/2013,50.1,50.2,47.5,47.7,135000
3/27/2013,47.4,47.4,46.0,46.2,113000
3/28/2013,46.9,47.7,46.2,47.2,83500
3/31/2013,46.6,48.0,46.6,46.8,90000
4/1/2013,46.4,46.4,43.8,44.2,70000
4/2/2013,45.3,45.8,43.7,45.3,106500
4/3/2013,46.0,46.9,45.5,45.6,93000
4/4/2013,45.4,46.2,45.1,45.7,147500
4/7/2013,46.3,46.3,45.8,46.0,103000
4/8/2013,45.8,46.6,45.8,46.2,140000
4/9/2013,46.9,47.8,46.8,47.7,124500
4/10/2013,48.1,49.0,47.2,47.5,80500
4/11/2013,47.0,47.4,46.6,46.9,69500
4/15/2013,47.7,48.1,47.5,47.9,152000
4/16/2013,48.1,48.5,46.7,46.9,213500
4/17/2013,46.8,47.0,46.5,46.8,63000
4/18/2013,46.6,47.3,45.8,46.0,53000
4/21/2013,46.0,46.6,45.5,45.7,87000
4/22/2013,45.8,45.9,45.2,45.4,61000
4/23/2013,45.5,45.8,45.2,45.4,48000
4/24/2013,45.3,45.9,45.2,45.5,66500
4/25/2013,45.6,45.6,45.0,45.4,61500
4/28/2013,43.9,45.8,43.9,44.7,61000
4/29/2013,45.3,45.3,44.3,44.5,58500
4/30/2013,44.5,44.9,44.0,44.2,87000
5/2/2013,44.2,45.4,44.2,45.1,60500
5/5/2013,45.5,48.6,44.7,48.1,676000
5/6/2013,48.4,48.4,46.7,47.0,231500
5/7/2013,47.1,49.6,47.1,49.0,318000
5/8/2013,49.1,51.3,48.8,49.4,565000
5/9/2013,50.0,51.3,48.9,50.7,467500
5/12/2013,51.8,55.7,51.7,55.5,934500
5/13/2013,55.8,57.1,53.7,56.7,743000
5/14/2013,57.0,57.8,55.8,56.7,629000
5/15/2013,56.3,56.6,54.2,54.4,737000
5/16/2013,54.9,56.3,54.8,55.8,564000
5/19/2013,55.9,57.6,55.9,57.4,580500
5/20/2013,58.0,60.0,56.9,58.8,912000
5/21/2013,58.6,59.4,56.5,57.0,590000
5/22/2013,55.7,57.3,55.6,55.8,462000
