Date,Open,High,Low,Close,Volume
10/1/2012,32.0,34.2,30.8,32.8,1044800
10/2/2012,34.4,35.0,32.7,32.9,1294400
10/3/2012,32.7,34.9,32.7,32.9,1248600
10/4/2012,33.7,33.9,31.6,31.9,837400
10/7/2012,32.3,32.7,29.5,29.9,914600
10/8/2012,30.9,31.6,29.0,30.1,669600
10/9/2012,31.0,32.6,30.9,32.4,710800
10/10/2012,32.5,32.8,30.5,30.7,656200
10/11/2012,31.0,31.2,30.0,30.2,654000
10/14/2012,32.0,32.0,29.0,29.3,650000
10/15/2012,29.3,31.2,29.3,30.6,567200
10/16/2012,31.4,31.6,29.6,29.9,608600
10/17/2012,30.4,30.8,29.1,29.3,533400
10/18/2012,30.2,30.2,29.1,29.2,408400
10/21/2012,30.0,30.0,27.9,28.3,391400
10/22/2012,28.4,29.1,27.9,28.7,344800
10/23/2012,29.5,29.9,28.7,28.9,416200
10/30/2012,29.5,29.5,28.1,28.3,269800
10/31/2012,28.5,28.8,27.8,27.9,239400
11/1/2012,26.0,26.7,25.7,26.1,1129400
11/4/2012,26.4,26.5,25.5,25.6,449400
11/5/2012,25.5,25.9,25.0,25.3,389000
11/6/2012,25.3,26.0,25.1,25.2,288800
11/7/2012,25.5,25.7,25.1,25.2,295200
11/8/2012,25.1,25.6,24.5,24.7,269000
11/11/2012,24.6,24.7,23.2,23.5,301600
11/12/2012,23.5,24.4,23.1,23.3,206000
11/13/2012,23.6,24.8,23.3,24.5,448600
11/14/2012,24.4,24.8,23.7,24.0,233000
11/15/2012,24.2,24.4,23.7,24.2,235800
11/18/2012,24.3,25.4,24.0,24.3,462600
11/19/2012,24.1,24.3,23.1,23.2,458400
11/20/2012,23.5,23.6,22.7,22.9,315200
11/21/2012,23.2,23.6,22.7,23.0,246600
11/22/2012,23.2,24.1,23.2,23.6,312000
11/26/2012,23.5,23.5,22.6,22.6,221600
11/27/2012,22.6,22.9,22.1,22.2,261800
11/28/2012,22.6,22.8,21.8,22.0,320400
11/29/2012,23.2,24.2,22.6,24.1,468600
12/2/2012,24.5,24.8,23.1,23.3,524000
12/3/2012,23.5,23.5,22.4,22.5,395400
12/4/2012,22.4,22.9,22.3,22.6,236200
12/5/2012,22.8,23.0,22.4,22.8,317200
12/6/2012,22.5,22.9,22.1,22.2,411400
12/9/2012,22.2,22.4,21.5,21.7,247600
12/10/2012,21.8,21.9,20.4,20.7,426600
12/11/2012,20.5,21.3,20.5,21.1,241000
12/12/2012,21.5,21.7,20.8,20.9,258800
12/13/2012,21.0,21.4,20.7,21.2,281200
12/17/2012,21.6,22.1,21.4,22.0,295800
12/18/2012,22.0,22.6,22.0,22.4,716000
12/19/2012,22.4,24.6,22.4,24.5,1774800
12/20/2012,25.2,25.8,24.3,25.1,846000
