Date,Open,High,Low,Close,Volume
10/1/2012,38.0,40.4,38.0,39.9,108000
10/2/2012,41.0,43.8,40.8,42.8,379200
10/3/2012,42.5,44.7,42.0,42.4,423600
10/4/2012,43.0,43.7,41.7,42.0,183400
10/7/2012,42.0,42.0,40.0,40.3,121200
10/8/2012,40.0,41.3,39.0,40.9,190800
10/9/2012,41.2,41.9,40.2,40.8,95200
10/10/2012,41.0,42.8,39.7,39.9,69000
10/11/2012,41.1,41.2,39.0,39.8,183200
10/14/2012,40.0,41.5,38.0,38.1,150800
10/15/2012,38.4,39.6,38.2,38.6,41200
10/16/2012,40.0,41.2,39.7,40.2,65400
10/17/2012,41.4,41.8,39.5,39.9,70600
10/18/2012,39.8,40.0,38.2,39.4,55200
10/21/2012,38.8,40.0,38.0,38.1,29200
10/22/2012,37.1,39.4,37.1,38.5,41200
10/23/2012,39.0,39.5,38.0,38.8,34600
10/30/2012,38.7,39.0,38.0,38.4,13000
10/31/2012,39.3,39.3,38.0,38.2,61000
11/1/2012,39.0,39.5,38.0,38.1,26600
11/4/2012,38.5,38.7,37.0,37.1,39000
11/5/2012,37.1,37.3,36.9,37.1,35400
11/6/2012,37.0,38.6,36.8,36.9,17800
11/7/2012,37.6,37.9,35.1,35.7,76800
11/8/2012,36.9,36.9,35.2,35.3,43600
11/11/2012,35.0,35.8,34.1,35.3,88000
11/12/2012,35.2,35.7,34.6,35.0,43200
11/13/2012,34.3,36.0,34.3,35.5,40200
11/14/2012,35.8,36.1,35.5,35.6,109200
11/15/2012,36.2,36.4,35.8,35.9,28800
11/18/2012,36.4,36.6,35.6,36.2,45400
11/19/2012,35.3,36.2,35.3,35.7,34000
11/20/2012,34.3,35.5,34.1,34.7,14200
11/21/2012,35.0,35.0,34.2,34.5,8200
11/22/2012,34.8,35.6,34.8,35.0,24000
11/26/2012,33.2,34.2,33.2,33.7,21400
11/27/2012,33.9,34.3,33.1,33.8,15200
11/28/2012,33.3,33.4,33.0,33.2,3400
11/29/2012,33.2,35.7,33.2,35.2,70800
12/2/2012,34.5,35.4,34.1,35.1,55800
12/3/2012,34.2,34.3,33.8,34.1,11200
12/4/2012,33.6,35.0,33.6,34.2,5400
12/5/2012,34.0,34.1,33.0,33.3,7200
12/6/2012,32.9,34.0,32.9,33.6,9800
