Date,Open,High,Low,Close,Volume
10/1/2012,28.8,29.8,27.8,29.4,1505050
10/2/2012,30.1,32.2,30.1,31.7,1562650
10/3/2012,32.0,32.4,30.1,30.6,1531500
10/4/2012,30.8,31.0,29.8,30.4,973850
10/7/2012,30.5,31.3,28.9,29.0,1015150
10/8/2012,29.1,29.8,28.0,28.2,917300
10/9/2012,30.8,30.8,28.5,28.8,837900
10/10/2012,29.3,29.8,28.3,28.5,742350
10/11/2012,29.0,29.0,28.4,28.5,792650
10/14/2012,28.8,29.4,27.7,27.8,806450
10/15/2012,28.5,28.5,27.7,28.1,452550
10/16/2012,28.4,29.1,28.3,28.4,640100
10/17/2012,28.0,28.6,28.0,28.2,316050
10/18/2012,28.4,28.5,28.0,28.2,522700
10/21/2012,28.5,29.1,28.2,28.8,686200
10/22/2012,28.6,29.5,28.6,29.2,604250
10/23/2012,30.0,30.0,29.4,29.5,705400
10/30/2012,29.0,29.7,28.4,28.7,327700
10/31/2012,29.1,29.1,27.2,27.4,816900
11/1/2012,27.5,28.0,27.1,27.3,348600
11/4/2012,27.5,27.6,26.8,26.9,541650
11/5/2012,26.4,27.2,26.2,26.6,369150
11/6/2012,26.6,26.9,25.6,26.0,767600
11/7/2012,26.0,26.5,25.8,26.0,288350
11/8/2012,25.8,26.1,25.2,25.6,312850
11/11/2012,26.0,26.0,24.8,24.9,384700
11/12/2012,23.2,24.9,23.2,24.0,646850
11/13/2012,24.0,24.5,23.8,24.1,412150
11/14/2012,24.6,25.2,24.0,24.7,491950
11/15/2012,24.3,24.9,24.3,24.5,254900
11/18/2012,24.5,24.7,24.2,24.2,174050
11/19/2012,24.6,24.6,23.6,23.7,506100
11/20/2012,23.9,24.2,23.2,23.2,455650
11/21/2012,23.6,23.8,22.8,22.9,449350
11/22/2012,23.1,23.5,22.7,23.0,339250
11/26/2012,23.1,23.3,22.8,22.9,268200
11/27/2012,23.0,23.2,22.6,22.9,245400
11/28/2012,23.1,23.5,22.6,23.1,288650
11/29/2012,24.9,25.4,23.5,25.1,586400
12/2/2012,25.9,26.5,24.6,24.7,645850
12/3/2012,24.7,24.8,24.1,24.4,248050
12/4/2012,24.0,24.5,23.9,24.3,348200
12/5/2012,24.6,24.7,24.0,24.5,415100
12/6/2012,24.6,24.6,23.8,23.9,257450
12/9/2012,23.7,23.8,23.5,23.5,185650
12/10/2012,23.4,24.5,23.4,24.2,772900
12/11/2012,23.7,25.6,23.5,25.2,1209750
12/12/2012,25.4,27.3,25.4,26.7,2034550
12/13/2012,26.5,27.4,26.2,27.0,1127400
12/17/2012,27.3,28.5,27.3,27.9,898450
12/18/2012,27.7,28.2,27.1,27.7,869100
12/19/2012,27.0,28.6,27.0,28.3,1084400
12/20/2012,28.4,28.5,27.5,27.6,636700
12/23/2012,27.9,27.9,27.0,27.2,395000
12/24/2012,27.0,27.4,26.9,27.1,304950
12/26/2012,27.0,27.6,27.0,27.1,279600
12/27/2012,27.5,27.5,27.0,27.1,273250
