Date,Open,High,Low,Close,Volume
10/1/2012,38.0,39.8,37.1,39.0,175500
10/2/2012,40.2,41.0,40.0,40.3,279500
10/3/2012,41.0,43.3,40.5,41.0,713500
10/4/2012,41.9,42.5,40.0,40.5,207500
10/7/2012,39.9,41.5,37.6,38.1,361000
10/8/2012,37.6,39.9,36.5,37.0,229500
10/9/2012,39.3,39.7,37.4,37.9,283500
10/10/2012,37.8,39.4,36.8,38.4,316000
10/11/2012,39.4,39.4,38.0,38.5,182000
10/14/2012,38.5,40.3,37.3,37.8,367500
10/15/2012,36.8,39.2,36.8,38.3,146500
10/16/2012,39.4,40.6,39.0,39.3,304500
10/17/2012,39.4,40.5,38.5,38.8,309500
10/18/2012,39.5,39.6,38.4,38.7,291500
10/21/2012,38.0,38.9,37.5,37.7,78000
10/22/2012,37.9,38.0,37.4,37.6,66500
10/23/2012,38.1,38.1,37.1,37.6,104500
10/30/2012,37.5,38.0,36.6,37.7,136000
10/31/2012,38.0,38.5,37.0,37.4,104000
11/1/2012,38.0,38.5,37.0,37.3,102500
11/4/2012,37.3,37.4,36.4,36.4,49000
11/5/2012,36.3,36.8,36.0,36.4,59500
11/6/2012,36.5,37.3,36.1,36.8,48500
11/7/2012,36.8,37.0,35.2,35.8,150000
11/8/2012,37.0,37.0,34.4,34.9,47500
11/11/2012,34.2,35.4,34.0,34.9,142500
11/12/2012,35.5,36.2,33.8,34.7,76500
11/13/2012,34.6,35.4,34.6,35.1,119500
11/14/2012,35.2,36.4,34.2,35.2,289000
11/15/2012,35.7,36.0,35.3,35.5,98000
11/18/2012,35.8,35.8,34.6,35.3,116000
11/19/2012,34.7,35.0,33.4,33.5,58000
11/20/2012,33.2,34.0,32.5,32.7,25500
11/21/2012,32.6,33.1,32.0,32.4,15500
11/22/2012,33.0,33.3,32.2,32.5,64500
11/26/2012,33.4,33.4,31.1,31.3,18000
11/27/2012,31.9,32.8,31.1,31.3,20000
11/28/2012,31.4,31.4,30.4,30.7,43000
11/29/2012,32.9,33.2,31.0,32.9,48500
12/2/2012,33.8,33.9,31.7,32.3,89500
12/3/2012,32.0,32.2,31.7,31.9,16500
12/4/2012,31.0,31.6,30.6,31.3,33000
12/5/2012,32.2,32.4,31.5,31.9,36000
12/6/2012,31.3,32.0,31.2,31.9,107000
12/9/2012,31.1,32.0,30.8,31.7,78500
12/10/2012,31.6,31.8,31.1,31.6,37000
12/11/2012,31.2,31.9,31.1,31.7,67500
12/12/2012,32.4,32.5,31.7,31.8,23500
12/13/2012,31.9,32.0,31.9,31.9,58000
12/17/2012,32.7,33.6,32.7,33.3,27000
12/18/2012,32.2,33.2,32.2,32.6,17500
12/19/2012,32.9,33.5,32.6,33.0,36000
12/20/2012,33.1,33.5,32.4,32.5,50000
12/23/2012,32.3,32.4,31.5,31.7,18500
12/24/2012,32.0,32.0,32.0,32.0,1000
12/26/2012,32.1,32.1,31.9,32.0,11500
12/27/2012,32.0,32.7,32.0,32.4,18000
12/30/2012,32.1,32.8,32.1,32.6,57000
1/1/2013,32.6,33.0,32.6,32.9,45000
1/2/2013,32.0,32.0,32.0,32.0,1500
1/3/2013,32.0,32.8,31.1,31.8,9000
1/6/2013,31.9,32.7,31.6,31.7,34500
1/7/2013,31.7,31.9,31.7,31.8,17000
1/8/2013,31.7,31.8,31.7,31.7,10500
1/9/2013,31.8,32.0,31.0,31.3,30500
1/10/2013,30.7,31.1,30.7,30.9,12500
1/13/2013,30.9,31.7,30.9,31.1,9500
1/14/2013,31.0,31.4,31.0,31.1,15500
1/15/2013,31.6,31.6,31.2,31.3,6000
1/16/2013,31.2,31.5,31.2,31.3,7500
1/17/2013,31.6,32.2,31.2,32.0,27000
1/20/2013,31.9,32.5,31.9,32.1,29500
1/21/2013,32.0,32.2,31.7,32.1,33000
1/22/2013,32.4,32.8,32.2,32.6,25000
1/23/2013,32.9,33.6,32.6,32.9,56000
1/24/2013,33.0,33.5,33.0,33.3,28000
1/27/2013,33.3,33.5,32.0,32.2,60500
1/28/2013,32.5,33.5,32.3,32.9,38000
1/29/2013,33.7,34.4,33.7,33.8,75500
1/30/2013,33.5,34.9,33.1,34.4,78500
1/31/2013,33.7,35.1,33.7,35.0,127000
2/3/2013,35.9,36.8,35.3,36.3,148500
2/4/2013,36.7,36.8,35.0,35.8,67000
2/5/2013,35.8,36.1,35.2,35.9,54000
2/6/2013,35.6,35.9,35.5,35.6,35500
2/7/2013,35.5,35.6,34.8,34.9,32000
2/10/2013,34.7,35.9,34.7,34.9,101500
2/11/2013,36.0,36.7,35.1,36.2,107500
2/12/2013,36.9,37.2,35.9,35.9,147000
2/13/2013,36.1,36.4,35.7,35.9,44500
2/14/2013,36.1,37.3,36.1,36.8,187500
2/17/2013,36.9,37.2,36.2,36.4,79500
2/18/2013,36.0,36.7,35.8,36.1,33500
2/19/2013,35.2,36.7,34.7,35.1,29000
2/20/2013,35.0,35.4,34.0,34.4,39500
2/24/2013,33.9,33.9,33.2,33.3,23500
2/25/2013,33.6,33.9,33.0,33.3,65000
2/26/2013,33.4,34.0,33.3,33.5,14500
2/27/2013,33.7,33.9,32.0,32.9,7500
2/28/2013,32.0,33.0,31.7,32.0,42500
3/3/2013,30.5,30.5,29.5,29.8,41000
3/4/2013,31.0,31.0,30.0,30.1,31500
3/5/2013,30.3,31.0,29.3,30.0,41000
3/6/2013,30.1,30.5,30.0,30.0,24500
3/7/2013,31.3,31.3,30.3,30.3,17500
3/10/2013,30.3,30.5,29.5,29.9,66500
3/11/2013,30.0,30.4,30.0,30.1,6500
3/12/2013,30.1,30.2,30.0,30.0,98000
3/13/2013,30.1,30.5,29.7,30.0,43500
3/14/2013,30.0,30.4,30.0,30.0,87000
3/18/2013,29.7,30.5,29.7,30.3,7000
3/19/2013,30.3,30.8,30.3,30.5,17500
