Date,Open,High,Low,Close,Volume
12/21/2020,15.0,15.0,15.0,15.0,500
12/22/2020,22.5,22.5,22.5,22.5,600
12/23/2020,24.7,24.7,24.7,24.7,1579
12/24/2020,27.1,27.1,27.1,27.1,1400
12/27/2020,29.8,29.8,29.8,29.8,2129
12/28/2020,32.7,32.7,32.7,32.7,3346
12/29/2020,35.9,35.9,35.9,35.9,15283
12/30/2020,39.4,39.4,39.4,39.4,109248
1/3/2021,43.3,43.3,43.3,43.3,27806
1/4/2021,47.6,47.6,47.6,47.6,93679
1/5/2021,52.3,52.3,52.3,52.3,627043
1/6/2021,57.5,57.5,48.5,51.7,4816580
1/7/2021,51.1,55.0,49.0,53.8,1925054
1/10/2021,55.0,57.0,51.6,52.6,2383783
1/11/2021,52.6,52.8,48.8,50.7,2175691
1/12/2021,52.0,52.8,48.3,48.9,1676477
1/13/2021,49.9,50.0,45.4,46.0,1356513
1/14/2021,47.0,47.5,44.3,45.1,1530914
1/17/2021,45.4,48.2,45.4,46.1,1156871
1/18/2021,47.3,47.4,43.3,43.9,748827
1/19/2021,46.0,48.2,45.8,48.2,1721444
1/20/2021,49.9,49.9,45.3,45.5,1227332
1/21/2021,45.5,46.4,42.9,43.1,1175176
1/24/2021,43.3,45.0,42.3,44.0,757899
1/25/2021,44.4,48.1,44.4,46.7,1832159
1/26/2021,46.8,47.1,43.7,43.9,634234
1/27/2021,45.1,45.5,42.9,43.0,620629
1/28/2021,44.1,44.7,42.7,43.0,478516
1/31/2021,44.4,44.4,42.1,42.3,362806
2/1/2021,42.0,44.3,42.0,44.1,489826
2/2/2021,44.3,44.9,41.9,42.1,604488
2/3/2021,42.1,42.1,38.1,39.1,813421
2/4/2021,39.5,40.0,37.8,38.7,381206
2/7/2021,39.5,41.1,39.0,39.3,586771
2/8/2021,39.4,39.9,36.4,36.9,397767
2/9/2021,37.4,39.5,37.0,39.2,497781
2/10/2021,39.3,40.0,38.0,38.2,480505
2/11/2021,38.2,38.4,35.6,35.8,669942
2/14/2021,36.0,36.4,33.0,33.3,599852
2/15/2021,33.1,34.4,33.1,33.6,309645
2/16/2021,33.6,34.1,32.2,32.4,509522
2/17/2021,32.3,35.6,32.2,35.6,973676
2/18/2021,35.9,37.4,34.3,34.5,609029
2/22/2021,34.3,34.4,32.9,33.2,338563
2/23/2021,33.4,34.1,33.0,33.2,248786
2/24/2021,33.5,35.3,33.5,34.9,329126
2/25/2021,35.3,38.0,35.2,36.2,892728
2/28/2021,36.7,37.8,36.0,36.2,450879
3/1/2021,36.5,36.7,34.8,35.3,519325
3/2/2021,35.8,36.8,35.4,36.4,428905
3/3/2021,37.2,38.0,36.1,37.4,671088
3/4/2021,38.0,40.3,38.0,39.2,1406232
3/7/2021,39.8,41.5,39.0,39.7,843888
3/8/2021,39.7,40.4,38.4,38.5,621106
3/9/2021,39.1,39.5,37.0,37.2,927773
3/10/2021,37.2,38.2,36.7,37.5,381246
3/11/2021,37.9,37.9,36.6,36.9,515407
3/14/2021,37.4,37.4,35.2,35.4,367349
3/15/2021,35.4,36.9,35.4,36.0,324854
3/16/2021,36.3,36.7,35.5,35.7,167692
3/18/2021,35.7,35.7,34.0,34.1,285258
3/21/2021,34.2,34.7,33.1,34.4,363235
3/22/2021,34.8,35.0,34.1,34.6,309205
3/23/2021,34.7,37.4,34.6,36.9,683966
3/24/2021,37.5,37.5,34.6,34.7,488753
3/25/2021,35.4,36.2,34.1,34.7,359252
3/28/2021,34.7,36.9,34.2,36.4,510055
3/29/2021,36.8,37.3,35.8,35.9,445803
3/31/2021,35.3,35.7,34.1,34.2,353493
4/1/2021,34.3,35.4,33.5,34.9,324244
4/4/2021,32.1,34.2,32.1,32.4,329054
4/5/2021,33.3,34.4,33.0,33.9,115721
4/6/2021,34.6,37.2,34.0,37.1,658579
4/7/2021,37.8,39.2,36.5,37.9,875841
4/8/2021,37.6,39.7,36.1,38.0,992941
4/11/2021,37.0,38.8,36.1,36.4,589002
4/12/2021,37.4,38.8,36.3,38.5,773388
4/13/2021,37.3,42.3,37.3,42.3,1983478
4/15/2021,44.0,46.5,43.7,44.9,2077448
4/18/2021,44.5,49.3,43.9,47.9,2810855
4/19/2021,49.8,49.9,47.8,49.2,1905349
4/20/2021,47.0,50.3,45.7,46.8,2111941
4/21/2021,45.3,51.4,45.3,50.8,2039592
4/22/2021,52.1,54.0,51.4,52.3,2139669
4/25/2021,52.6,52.6,49.5,50.9,1872207
4/26/2021,50.9,50.9,47.5,48.0,810024
4/27/2021,48.9,54.5,47.8,53.3,3334663
4/28/2021,55.0,57.5,54.0,55.4,1977660
4/29/2021,54.9,57.3,53.5,54.5,2479344
5/2/2021,55.0,57.2,51.0,52.9,2106102
5/3/2021,53.9,55.3,52.7,54.5,1580448
5/4/2021,55.9,59.4,55.0,56.4,2078081
5/5/2021,56.5,56.7,51.6,53.1,1467080
5/6/2021,53.0,54.5,50.9,51.4,1166449
5/9/2021,51.6,52.7,48.7,50.1,1130469
5/11/2021,51.8,54.8,50.6,52.7,922412
5/12/2021,53.7,57.9,52.4,57.9,2078295
5/16/2021,63.5,63.5,58.9,61.7,3404456
5/18/2021,67.8,67.8,65.0,67.8,5500556
5/19/2021,69.9,70.8,62.8,63.9,2255001
5/20/2021,63.8,64.8,60.0,60.8,2008495
5/23/2021,62.4,64.5,61.0,61.5,1328505
5/24/2021,62.8,65.4,61.6,63.2,1846784
5/25/2021,64.9,66.4,60.7,63.0,1512779
5/27/2021,63.5,64.6,58.6,59.2,1643019
5/30/2021,60.3,61.5,55.0,56.2,1175811
5/31/2021,58.5,61.5,57.7,58.9,1132545
6/1/2021,60.0,63.5,59.9,62.4,993046
6/2/2021,63.5,66.2,60.0,60.5,2168850
6/3/2021,60.5,66.5,60.1,66.5,2466759
6/6/2021,69.2,72.7,63.1,64.0,2824307
6/7/2021,64.1,67.4,60.9,64.1,1880162
6/8/2021,66.0,69.3,64.7,66.8,2183789
6/9/2021,67.0,67.5,63.0,63.5,1796871
6/10/2021,63.7,64.1,60.0,60.5,1194998
6/13/2021,60.3,65.5,60.2,63.2,1355655
6/14/2021,64.2,66.0,62.5,64.2,1100376
