Date,Open,High,Low,Close,Volume
10/1/2012,233.0,239.9,225.0,236.1,47700
10/2/2012,241.0,255.0,241.0,243.0,36100
10/3/2012,245.6,246.5,234.1,236.5,39800
10/4/2012,236.0,236.9,230.2,233.1,15100
10/7/2012,236.2,237.5,219.1,225.0,23100
10/8/2012,232.0,232.0,211.1,213.2,50800
10/9/2012,216.5,231.7,216.5,228.3,47400
10/10/2012,235.0,235.0,220.2,222.2,31300
10/11/2012,224.5,237.0,221.6,230.8,40000
10/14/2012,239.9,243.0,226.3,229.2,46000
10/15/2012,238.0,238.0,222.9,227.9,22300
10/16/2012,232.6,232.6,227.1,228.1,9400
10/17/2012,229.0,231.5,227.5,228.1,14000
10/18/2012,235.0,235.5,225.1,228.2,22800
10/21/2012,228.0,232.9,221.0,222.8,12900
10/22/2012,155.0,227.0,155.0,217.2,37900
10/23/2012,219.9,219.9,215.0,217.6,32700
10/30/2012,217.0,219.1,212.1,214.4,8800
10/31/2012,211.9,213.3,210.5,211.1,16000
11/1/2012,212.4,212.4,208.0,208.1,16400
11/4/2012,207.0,208.1,205.0,205.4,21800
11/5/2012,206.5,213.5,206.5,211.3,18300
11/6/2012,210.5,214.0,208.0,209.2,14100
11/7/2012,208.1,208.7,206.5,206.5,17500
11/8/2012,200.0,205.0,200.0,203.6,17100
11/11/2012,199.6,203.9,197.0,198.4,9200
11/12/2012,203.0,203.0,197.0,198.2,6400
11/13/2012,197.0,213.0,197.0,211.5,12800
11/14/2012,213.0,220.5,212.0,216.5,42700
11/15/2012,215.7,223.0,215.7,218.5,31400
11/18/2012,219.9,221.5,215.0,216.0,23800
11/19/2012,215.1,215.1,205.0,206.6,29700
11/20/2012,205.3,212.0,205.2,207.1,33200
11/22/2012,180.0,184.9,180.0,181.4,24100
11/26/2012,192.0,192.0,175.0,176.8,9400
11/27/2012,173.2,178.0,173.0,175.6,1100
11/28/2012,192.0,192.0,173.0,174.0,3700
11/29/2012,182.0,184.5,178.1,182.1,12800
12/2/2012,183.1,187.0,176.1,176.2,8900
12/3/2012,178.0,178.0,170.0,171.1,8000
12/4/2012,170.0,173.0,168.7,170.5,4700
12/5/2012,170.6,170.9,168.2,168.6,10900
12/6/2012,169.8,173.5,169.3,171.2,5000
12/9/2012,167.0,168.5,167.0,168.1,3700
12/10/2012,169.0,169.7,167.2,167.8,10000
12/11/2012,168.9,170.7,168.4,169.4,2700
12/12/2012,170.1,171.4,168.7,169.6,3100
12/13/2012,172.5,172.5,169.3,170.8,1400
12/17/2012,172.0,173.0,169.5,169.9,7400
12/18/2012,172.0,180.0,170.5,179.0,15200
12/19/2012,184.9,184.9,175.6,182.4,10700
12/20/2012,180.0,181.2,176.0,178.2,6400
12/23/2012,178.0,178.0,173.1,174.0,6500
12/24/2012,178.9,178.9,173.0,174.9,5500
12/26/2012,175.5,176.0,173.0,173.7,4500
12/27/2012,173.3,173.6,170.8,171.2,5500
12/30/2012,171.2,172.0,170.2,170.8,4300
1/1/2013,171.5,171.5,170.4,170.7,2500
1/2/2013,170.0,170.1,169.0,169.0,6600
1/3/2013,168.0,169.5,167.7,168.1,4800
1/6/2013,168.1,168.1,167.4,167.8,6200
1/7/2013,166.3,166.3,165.5,165.6,4200
1/8/2013,166.3,166.5,165.2,165.8,1900
1/9/2013,165.0,166.8,164.1,164.3,4300
1/10/2013,166.0,166.5,166.0,166.1,2800
1/13/2013,167.2,169.6,166.3,168.2,2800
1/14/2013,168.3,169.0,163.0,165.1,9600
1/15/2013,165.1,167.0,165.1,166.0,2100
1/16/2013,165.1,167.0,165.0,165.5,2000
1/17/2013,166.0,167.0,165.5,166.1,3900
1/20/2013,166.3,167.0,164.0,165.5,4300
1/21/2013,164.2,164.2,161.9,162.9,3700
1/22/2013,160.8,162.0,160.8,161.5,4900
1/23/2013,164.0,164.0,160.0,160.2,8600
1/24/2013,162.0,162.9,160.0,160.3,14800
1/27/2013,160.5,162.0,160.0,160.2,12800
1/28/2013,160.2,160.2,147.1,149.5,32900
1/29/2013,149.1,156.5,145.5,152.9,14300
1/30/2013,155.0,155.0,150.0,153.3,7600
1/31/2013,153.0,153.0,150.6,150.7,7100
2/3/2013,149.4,151.1,149.4,150.0,9700
2/4/2013,152.0,152.0,150.5,150.9,2700
2/5/2013,149.8,151.2,149.8,150.1,9000
2/6/2013,152.0,152.0,149.2,149.5,9200
2/7/2013,149.5,150.0,149.0,149.3,7000
2/10/2013,148.6,150.4,148.5,149.3,6700
2/11/2013,151.7,152.0,150.0,150.3,11300
2/12/2013,152.0,152.0,148.7,148.8,15800
2/13/2013,149.0,150.5,148.8,148.9,3800
2/14/2013,148.9,151.0,148.9,150.4,12400
2/17/2013,151.9,153.0,150.1,150.4,11100
2/18/2013,151.0,151.0,149.2,149.3,8800
2/19/2013,148.9,150.8,148.4,148.4,10700
2/20/2013,148.3,148.4,145.0,145.3,9800
2/24/2013,147.0,147.2,141.0,143.4,8800
2/25/2013,144.1,144.1,135.0,137.8,10400
2/26/2013,138.1,139.4,134.6,137.9,7600
2/27/2013,138.1,146.5,132.2,134.8,24800
2/28/2013,133.2,135.8,132.6,134.0,9300
3/3/2013,135.5,135.5,125.0,125.6,4400
3/4/2013,129.8,133.9,128.2,132.5,8600
3/5/2013,133.1,133.1,127.1,128.7,7700
3/6/2013,130.0,130.0,125.0,126.1,5300
3/7/2013,120.3,121.6,120.0,120.7,3800
3/10/2013,120.8,121.1,118.6,119.6,6400
3/11/2013,117.5,117.5,108.2,110.5,8800
3/12/2013,111.0,115.0,111.0,113.9,7300
3/13/2013,114.0,119.5,113.8,115.2,9000
3/14/2013,114.8,114.8,109.9,111.3,21500
3/18/2013,110.4,112.8,110.4,111.8,3400
3/19/2013,112.3,114.7,112.2,113.3,4300
3/20/2013,112.2,112.5,110.8,111.1,6300
3/24/2013,110.1,111.0,108.4,109.6,2800
3/25/2013,110.0,110.0,105.0,105.3,5100
3/27/2013,104.6,105.0,100.0,100.7,5400
3/28/2013,100.0,100.0,98.0,99.1,7300
3/31/2013,98.2,100.0,97.6,98.7,3600
4/1/2013,97.0,97.0,89.1,89.6,10400
4/2/2013,91.3,98.0,89.0,95.3,6200
4/3/2013,98.9,100.0,96.5,98.8,5600
4/4/2013,92.9,98.6,92.9,96.0,5800
4/7/2013,95.5,97.0,94.5,95.2,1800
4/8/2013,96.0,103.0,96.0,101.3,6600
4/9/2013,102.7,111.4,102.7,111.4,26000
4/10/2013,120.0,122.5,118.1,121.3,36800
4/11/2013,123.0,133.4,122.1,133.4,52600
4/15/2013,137.9,146.7,137.0,146.7,33600
4/16/2013,155.1,160.0,135.6,138.6,52900
4/17/2013,141.9,152.4,135.1,152.4,43800
4/18/2013,165.0,167.6,160.0,167.6,94900
4/21/2013,173.0,181.0,171.0,172.1,95500
4/22/2013,156.0,171.8,156.0,159.4,47700
4/23/2013,148.0,172.0,148.0,168.6,45100
4/24/2013,170.0,180.0,170.0,178.9,66600
4/25/2013,166.0,194.0,166.0,182.9,157900
4/28/2013,185.0,198.9,178.0,189.0,107000
4/29/2013,194.6,206.5,194.6,206.5,158800
4/30/2013,210.0,215.0,197.0,203.4,121900
5/2/2013,205.0,221.0,201.3,220.7,117600
5/5/2013,221.0,240.0,221.0,239.9,178400
5/6/2013,243.0,256.9,235.2,251.8,116800
5/7/2013,253.0,267.8,253.0,258.9,99600
5/8/2013,257.0,262.5,236.3,236.5,156800
5/9/2013,239.0,243.0,223.2,236.4,119700
5/12/2013,240.0,251.9,238.5,239.9,83300
5/13/2013,242.0,242.0,224.0,227.7,94900
5/14/2013,225.0,231.5,209.0,220.9,122100
5/15/2013,224.0,240.2,224.0,240.1,122500
5/16/2013,249.9,254.0,229.0,233.0,111700
5/19/2013,231.5,248.5,231.5,240.0,142000
5/20/2013,247.9,248.0,234.3,236.1,108100
5/21/2013,241.0,241.0,222.1,224.9,113000
5/22/2013,225.1,239.0,223.8,227.8,73200
5/26/2013,238.0,247.0,232.2,245.9,136400
5/27/2013,240.0,257.9,240.0,254.9,160500
5/28/2013,257.9,277.2,255.2,277.2,235600
5/29/2013,287.0,289.0,272.2,281.5,216500
5/30/2013,285.0,294.9,276.0,286.8,135400
6/2/2013,290.0,297.8,282.5,292.2,136700
6/3/2013,302.0,317.7,296.2,313.0,198600
6/4/2013,330.0,330.0,316.0,318.6,118800
6/5/2013,323.5,323.5,300.1,305.3,184000
6/6/2013,302.0,322.0,302.0,310.4,166400
6/9/2013,315.0,329.0,312.0,326.0,155200
6/10/2013,332.9,342.0,323.0,340.7,157000
6/11/2013,347.9,356.8,340.0,348.9,118300
6/12/2013,350.0,359.6,333.0,340.6,167000
6/13/2013,335.0,346.0,325.0,327.8,120800
6/16/2013,330.0,339.6,318.0,321.3,212700
6/17/2013,322.0,349.4,321.0,349.4,208500
6/18/2013,360.0,375.0,351.5,372.5,141400
6/19/2013,383.0,384.0,356.2,372.0,208100
6/20/2013,377.0,377.0,360.2,370.0,106500
6/23/2013,377.0,382.8,352.0,363.2,124500
6/24/2013,368.8,368.8,351.2,357.1,66700
6/26/2013,369.0,369.8,351.0,354.8,71600
6/27/2013,358.1,372.0,350.0,360.3,131700
6/30/2013,363.0,368.5,346.0,347.5,63500
7/2/2013,353.0,364.4,350.6,362.0,69900
7/3/2013,369.5,370.0,353.0,356.9,51200
7/4/2013,350.5,368.7,350.5,361.2,64500
7/7/2013,365.0,392.8,365.0,392.4,166500
7/8/2013,399.0,426.5,399.0,421.0,97900
7/9/2013,431.9,438.0,410.2,415.3,87100
7/10/2013,409.0,424.0,406.0,410.9,116600
7/11/2013,416.0,446.8,416.0,436.0,129500
7/14/2013,445.9,460.0,436.1,441.0,63300
7/15/2013,445.0,477.0,445.0,470.9,66300
7/16/2013,487.9,508.3,485.5,499.3,115900
7/17/2013,508.0,508.0,483.0,491.4,70700
7/18/2013,485.0,502.8,477.5,485.2,88800
7/21/2013,485.1,490.0,447.7,451.7,115000
7/22/2013,451.7,454.9,416.0,432.6,70700
7/23/2013,425.0,425.0,395.1,395.1,65000
7/24/2013,383.0,429.6,364.1,429.6,68300
7/25/2013,421.0,444.0,400.0,407.9,42200
7/28/2013,407.9,414.0,385.2,393.2,26000
7/29/2013,392.0,427.6,392.0,427.5,74700
7/30/2013,440.0,444.9,416.6,419.8,52100
7/31/2013,428.0,433.8,420.1,428.6,30500
8/1/2013,428.5,434.9,417.2,427.1,23400
8/4/2013,417.1,422.0,410.5,415.9,19500
8/5/2013,422.7,427.3,416.1,426.3,21900
8/12/2013,428.5,463.6,428.5,463.5,71600
8/13/2013,482.0,495.0,475.1,481.9,59500
8/14/2013,491.5,508.9,490.0,494.3,141100
8/18/2013,499.0,501.0,480.0,495.0,77400
8/19/2013,501.1,532.5,500.0,531.3,111200
8/20/2013,550.0,550.2,527.0,532.5,73200
8/21/2013,541.0,572.4,538.6,566.7,78900
8/22/2013,590.0,603.0,572.5,597.8,158300
8/25/2013,609.0,614.0,575.0,579.3,115200
8/26/2013,580.0,600.0,580.0,592.6,100900
8/27/2013,606.5,637.0,601.0,634.7,124800
8/29/2013,600.0,620.0,587.9,597.5,92100
9/1/2013,600.0,611.0,585.3,590.5,53700
9/2/2013,595.0,608.0,569.0,574.6,75600
9/3/2013,586.8,589.5,572.5,582.0,51000
9/4/2013,593.0,624.0,593.0,609.2,54800
9/5/2013,620.0,634.0,615.5,620.0,109000
9/8/2013,635.0,666.5,635.0,666.5,111800
9/9/2013,698.0,716.0,683.0,710.1,119900
9/10/2013,710.0,743.0,697.0,717.3,201800
9/11/2013,721.0,768.9,702.0,753.7,101600
9/12/2013,749.9,785.0,749.0,779.9,102800
9/15/2013,797.9,820.0,795.2,815.5,152800
9/16/2013,800.0,855.0,795.0,850.0,117300
9/17/2013,849.8,887.9,843.0,872.6,54700
9/18/2013,880.0,884.0,812.4,823.0,90600
9/19/2013,823.0,826.0,785.0,800.4,60200
9/22/2013,800.0,823.9,797.0,816.5,55200
9/23/2013,840.0,877.7,839.7,876.6,72100
12/15/2013,801.0,887.9,710.0,881.3,153900
12/17/2013,943.0,943.7,922.0,943.6,196500
12/18/2013,881.2,881.2,881.2,881.2,10700
12/19/2013,818.8,818.8,818.8,818.8,24500
12/22/2013,757.4,757.4,757.4,757.4,16200
12/23/2013,700.6,773.0,700.6,704.5,94500
12/24/2013,715.0,715.0,654.0,665.2,12100
12/26/2013,655.0,658.0,615.4,615.8,20800
12/29/2013,600.0,610.0,569.7,574.1,31400
12/30/2013,590.0,617.1,582.1,614.5,3100
1/1/2014,655.0,660.5,655.0,660.2,3600
1/2/2014,709.7,709.7,680.2,709.6,23900
1/6/2014,760.0,760.0,691.5,747.6,15300
1/7/2014,747.6,754.7,737.0,748.1,8700
1/8/2014,775.0,777.0,730.0,732.8,8900
1/9/2014,728.0,730.0,700.0,717.1,6900
1/12/2014,720.0,739.0,710.0,712.1,12300
1/13/2014,710.0,714.9,696.0,700.2,15100
1/15/2014,712.0,712.0,690.2,695.8,14300
1/16/2014,694.9,710.0,692.0,702.4,9500
1/19/2014,702.0,702.5,675.0,677.6,9600
1/20/2014,670.2,679.0,655.0,659.9,11300
1/21/2014,660.0,670.0,650.0,654.8,9100
1/22/2014,657.0,657.0,631.1,642.9,9600
1/23/2014,640.0,691.0,639.0,688.1,9300
1/26/2014,729.0,729.0,696.2,701.7,9800
1/27/2014,650.1,717.0,650.0,713.5,12000
1/28/2014,719.0,767.0,718.0,766.7,47800
1/29/2014,780.0,787.0,755.0,769.7,14400
1/30/2014,795.0,795.0,766.3,773.0,16200
2/2/2014,776.1,794.5,776.1,779.7,32400
2/3/2014,777.0,784.0,777.0,779.6,20800
2/4/2014,780.1,784.0,770.0,770.6,21300
2/5/2014,770.0,779.5,763.0,769.7,29100
2/6/2014,774.0,774.0,750.1,761.4,13500
2/9/2014,770.0,780.0,766.0,771.3,22100
2/10/2014,769.1,771.5,766.0,770.2,15700
2/11/2014,771.1,773.1,768.6,769.5,6800
2/12/2014,770.1,770.1,735.0,745.5,14600
2/13/2014,749.0,785.0,749.0,781.2,18700
2/16/2014,794.0,839.0,794.0,823.6,38400
2/17/2014,826.0,827.7,806.1,811.2,25700
2/18/2014,814.2,824.3,795.0,800.8,10900
2/19/2014,806.0,860.0,806.0,858.9,34700
2/20/2014,900.0,907.0,896.1,903.0,33100
2/23/2014,920.0,925.0,890.0,909.4,12900
2/24/2014,910.0,924.0,906.4,911.8,19200
2/25/2014,918.0,921.0,885.0,889.6,16300
2/26/2014,896.0,919.9,880.1,885.9,11400
2/27/2014,883.0,890.0,860.0,868.5,15300
3/2/2014,860.1,869.0,818.2,822.0,12800
3/3/2014,796.1,805.0,770.0,773.1,13000
3/4/2014,778.2,778.2,740.0,761.6,8000
3/5/2014,795.0,818.7,790.0,818.6,17000
3/6/2014,879.9,879.9,822.0,848.0,9900
3/9/2014,890.0,900.0,868.0,874.1,16300
3/10/2014,870.0,870.0,833.9,842.3,8000
3/11/2014,855.0,884.0,851.0,880.6,20900
3/12/2014,890.0,907.0,867.9,872.0,11800
3/13/2014,872.0,876.5,866.0,873.6,6900
3/16/2014,873.0,899.0,868.0,892.5,10400
3/18/2014,945.0,945.0,860.0,865.6,20800
3/19/2014,864.0,865.0,820.0,854.9,9000
3/20/2014,869.0,872.0,851.0,853.1,4700
3/23/2014,856.9,879.9,824.0,830.0,12700
3/24/2014,832.0,847.0,820.0,841.1,8300
3/25/2014,862.0,868.0,820.0,825.6,13200
3/27/2014,825.0,825.0,803.0,823.1,24900
3/30/2014,820.0,822.4,785.1,797.4,8600
3/31/2014,818.9,818.9,791.0,799.2,8000
4/1/2014,806.0,844.0,800.0,835.9,5400
4/2/2014,838.2,854.9,820.0,834.5,8200
4/3/2014,830.0,830.0,791.2,799.3,7900
4/6/2014,791.0,793.0,753.6,766.7,10000
4/7/2014,782.0,785.0,760.5,763.8,6000
4/8/2014,772.0,772.0,730.2,748.3,8800
4/9/2014,780.0,780.0,761.0,775.2,10800
4/10/2014,780.0,797.0,760.0,790.8,11800
4/13/2014,786.1,790.5,780.0,784.9,1700
4/15/2014,771.0,775.0,751.0,760.9,5500
4/16/2014,754.1,766.0,725.0,735.9,9000
4/17/2014,717.0,738.0,701.0,705.4,13500
4/20/2014,722.9,758.0,700.0,757.9,15000
4/21/2014,760.0,805.0,760.0,800.6,16100
4/22/2014,801.0,830.0,793.1,802.2,9400
4/23/2014,791.0,800.0,780.1,789.3,3800
4/24/2014,790.0,812.0,790.0,797.6,14900
4/27/2014,803.0,803.0,781.1,790.7,4300
4/28/2014,784.6,790.0,765.1,780.1,3100
4/29/2014,780.1,780.1,732.1,739.0,7100
4/30/2014,739.9,793.1,732.5,762.8,17000
5/4/2014,740.0,755.0,730.0,732.9,3500
5/5/2014,740.0,744.0,730.1,738.8,4400
5/6/2014,755.0,755.0,732.2,745.4,2600
5/7/2014,755.0,769.0,750.0,761.0,4200
5/8/2014,777.0,777.0,765.0,770.1,5000
5/11/2014,827.0,827.8,785.0,827.8,26000
5/12/2014,889.8,889.8,862.1,884.9,102800
5/14/2014,868.0,900.0,850.2,862.7,52200
5/15/2014,841.0,870.0,838.0,843.6,34400
5/18/2014,860.0,860.0,813.0,824.8,21800
5/19/2014,825.0,837.9,791.5,796.3,30900
5/20/2014,805.0,820.0,795.0,801.8,30000
5/21/2014,815.0,817.0,800.0,802.8,21500
5/22/2014,799.0,804.0,775.1,782.1,31200
5/25/2014,780.0,793.0,771.3,782.2,17300
5/26/2014,782.2,791.9,774.2,783.3,12700
5/27/2014,783.2,815.0,783.2,805.9,27700
5/28/2014,815.0,829.9,810.1,816.7,28200
5/29/2014,820.0,820.0,793.1,795.5,25400
6/1/2014,799.0,799.0,783.1,785.5,21700
6/2/2014,787.0,791.2,775.1,777.5,23000
6/3/2014,780.0,799.5,772.4,773.0,16600
6/4/2014,773.1,777.1,750.2,753.2,29500
6/5/2014,755.0,764.8,741.0,743.1,16200
6/8/2014,740.0,768.0,734.0,763.1,21100
6/9/2014,770.0,775.0,741.7,749.8,17800
