Date,Open,High,Low,Close,Volume
2/5/2023,5100.0,5100.0,5100.0,5100.0,7
4/12/2023,5100.0,5100.0,5100.0,5100.0,2
5/8/2023,5100.0,5100.0,5100.0,5100.0,1
6/25/2023,5291.0,5291.0,5291.0,5291.0,2
6/26/2023,5489.0,5489.0,5489.0,5489.0,1
7/4/2023,5300.0,5300.0,5300.0,5300.0,2
7/6/2023,5300.0,5300.0,5200.0,5250.0,2
8/8/2023,5250.0,5250.0,5250.0,5250.0,1
1/28/2024,5250.0,5250.0,5250.0,5250.0,1
2/5/2024,5250.0,5250.0,5250.0,5250.0,1
2/13/2024,5250.0,5250.0,5250.0,5250.0,1
2/15/2024,5250.0,5250.0,5250.0,5250.0,1
2/19/2024,5250.0,5250.0,5250.0,5250.0,1
