Date,Open,High,Low,Close,Volume
10/1/2012,172.73,174.91,170.91,172.53,13200
10/2/2012,172.73,175.01,172.73,173.84,36300
10/3/2012,172.77,176.36,171.14,173.25,4400
10/7/2012,168.68,172.73,168.64,170.01,3300
10/8/2012,169.36,169.36,168.86,168.96,11000
10/9/2012,168.18,177.27,168.18,175.96,28600
10/10/2012,170.68,172.73,170.55,171.14,8800
10/14/2012,165.27,165.27,165.27,165.27,1100
10/16/2012,172.73,172.73,172.73,172.73,17600
10/30/2012,172.73,172.73,172.73,172.73,3300
10/31/2012,170.91,170.91,170.45,170.57,4400
11/1/2012,174.55,175.0,174.55,174.89,4400
11/5/2012,170.45,170.45,168.5,169.64,12100
11/6/2012,168.18,170.45,168.18,169.32,2200
11/7/2012,172.27,173.64,172.27,172.72,42900
11/11/2012,170.45,170.73,170.45,170.55,8800
11/12/2012,169.09,169.09,169.09,169.09,1100
11/13/2012,168.18,168.18,166.36,167.05,7700
11/19/2012,166.36,167.05,164.55,165.6,18700
11/20/2012,165.68,165.91,165.68,165.8,4400
11/21/2012,164.32,164.32,163.91,164.02,16500
11/22/2012,164.02,164.02,162.27,163.35,6600
11/26/2012,163.23,163.27,160.68,162.92,28600
11/27/2012,162.27,162.27,162.27,162.27,1100
11/28/2012,163.41,163.41,162.73,163.06,5500
11/29/2012,164.09,167.27,164.05,165.7,15400
12/2/2012,165.91,165.91,165.09,165.62,9900
12/3/2012,167.73,167.73,167.27,167.5,2200
12/4/2012,163.64,163.64,163.64,163.64,4400
12/5/2012,164.09,164.09,163.86,163.94,3300
12/6/2012,163.27,163.27,163.23,163.24,11000
12/9/2012,162.77,162.91,162.27,162.66,22000
12/11/2012,161.82,161.82,161.82,161.82,6600
12/12/2012,162.27,162.27,161.45,161.6,31900
12/13/2012,162.73,169.32,161.36,167.22,33000
12/17/2012,164.09,170.23,164.09,168.08,9900
12/18/2012,165.53,167.05,165.52,166.88,37400
12/19/2012,165.0,170.91,165.0,169.09,5500
12/20/2012,170.45,176.14,170.45,175.68,35200
12/23/2012,177.27,184.09,175.32,184.01,48400
12/24/2012,188.64,192.52,186.36,192.11,49500
12/26/2012,195.45,200.45,188.68,199.93,78100
12/27/2012,206.36,208.36,202.28,207.87,80300
12/30/2012,212.73,212.73,200.0,207.82,56100
1/1/2013,200.05,200.05,199.55,199.8,4400
1/3/2013,191.28,191.28,191.28,191.28,1100
1/6/2013,183.18,183.23,182.75,183.0,12100
1/7/2013,181.82,181.82,181.82,181.82,7700
1/8/2013,179.18,179.18,178.36,178.54,29700
1/9/2013,179.55,179.55,179.55,179.55,4400
1/10/2013,181.59,181.59,179.1,180.07,17600
1/13/2013,185.91,185.91,179.77,180.47,29700
1/14/2013,179.32,180.45,179.32,179.41,24200
1/15/2013,181.81,181.81,179.82,180.56,8800
1/16/2013,180.18,181.27,180.18,180.62,19800
1/17/2013,182.5,182.5,181.81,181.95,5500
1/20/2013,181.64,181.64,180.59,180.79,30800
1/21/2013,180.91,180.91,180.68,180.8,2200
1/23/2013,178.41,183.18,178.41,182.14,5500
1/24/2013,183.55,183.55,183.55,183.55,2200
1/27/2013,190.0,192.06,190.0,191.89,83600
1/29/2013,192.05,192.05,192.05,192.05,2200
1/30/2013,186.86,186.86,186.36,186.5,4400
1/31/2013,182.19,182.19,182.19,182.19,1100
2/3/2013,190.68,190.71,190.68,190.7,8800
2/5/2013,194.55,195.45,193.18,194.36,20900
2/6/2013,195.45,197.27,195.45,195.81,5500
2/7/2013,195.45,196.95,194.55,195.41,26400
2/10/2013,195.45,196.5,195.45,195.45,41800
2/11/2013,195.91,200.0,195.91,199.54,48400
2/12/2013,198.18,198.18,192.82,195.64,15400
2/13/2013,188.41,194.09,188.27,190.25,3300
2/14/2013,190.91,190.91,190.91,190.91,22000
2/17/2013,189.5,189.5,189.5,189.5,2200
2/18/2013,190.91,190.91,188.64,189.55,3300
2/19/2013,187.59,187.59,186.82,187.31,5500
2/20/2013,185.23,186.36,184.09,185.19,7700
2/25/2013,181.86,181.86,181.82,181.84,2200
2/26/2013,181.91,181.91,180.0,180.66,14300
