Date,Open,High,Low,Close,Volume
10/1/2012,63.9,65.9,61.4,65.0,305000
10/2/2012,66.0,67.8,65.2,66.0,195500
10/3/2012,67.7,69.5,64.2,64.6,293000
10/4/2012,67.4,67.4,63.8,64.1,181000
10/7/2012,63.2,65.3,60.9,61.5,110500
10/8/2012,62.3,63.4,59.6,60.7,154500
10/9/2012,63.5,64.5,62.0,62.6,143000
10/10/2012,63.0,63.1,59.6,60.3,160500
10/11/2012,61.9,62.0,60.3,60.7,136000
10/14/2012,61.8,62.0,59.6,60.0,125000
10/15/2012,61.0,61.4,58.9,60.5,73500
10/16/2012,61.2,62.4,61.0,61.8,129000
10/17/2012,62.0,64.0,61.8,62.3,139000
10/18/2012,62.7,62.8,61.3,61.6,68500
10/21/2012,62.8,62.8,60.2,60.4,46000
10/22/2012,61.0,61.5,60.2,61.0,29000
10/23/2012,59.7,59.9,57.2,57.7,286500
10/30/2012,58.1,58.7,57.8,58.2,25500
10/31/2012,58.7,58.7,57.0,57.6,27000
11/1/2012,55.0,58.0,55.0,56.9,47500
11/4/2012,57.4,57.4,53.9,55.1,59500
11/5/2012,54.3,55.9,53.6,55.2,54500
11/6/2012,55.4,55.9,54.1,54.5,40500
11/7/2012,54.4,54.9,53.0,53.3,29000
11/8/2012,53.7,54.0,53.3,53.6,59000
11/11/2012,53.2,53.2,52.0,52.2,61000
11/12/2012,51.5,53.5,51.5,52.1,51500
11/13/2012,52.1,54.3,51.9,54.0,40000
11/14/2012,54.0,54.5,52.5,52.5,66000
11/15/2012,52.3,53.9,52.0,53.3,65000
11/18/2012,53.6,54.0,53.0,53.4,80500
11/19/2012,52.7,53.0,52.0,52.0,38000
11/20/2012,51.8,52.3,51.7,51.8,96000
11/21/2012,53.0,53.0,51.6,51.7,51000
11/22/2012,51.1,52.9,51.1,52.0,6000
11/26/2012,52.9,52.9,51.7,51.7,31000
11/27/2012,51.2,52.4,50.3,50.9,21500
11/28/2012,51.0,51.8,50.8,51.3,49000
11/29/2012,52.7,54.5,52.5,53.9,40500
12/2/2012,54.5,54.8,51.1,52.5,36500
12/3/2012,52.8,52.9,51.1,51.3,25000
