Date,Open,High,Low,Close,Volume
12/2/2020,15.0,15.0,15.0,15.0,573
12/3/2020,22.5,22.5,22.5,22.5,9674
12/6/2020,24.7,24.7,24.7,24.7,45156
12/7/2020,27.1,27.1,27.1,27.1,41155
12/8/2020,29.8,29.8,29.8,29.8,173455
12/9/2020,32.7,32.7,32.7,32.7,102581
12/10/2020,35.9,35.9,35.9,35.9,169231
12/13/2020,39.4,39.4,39.4,39.4,918221
12/14/2020,43.3,43.3,40.9,43.3,11053752
12/17/2020,43.3,43.3,41.1,42.6,5127346
12/20/2020,43.0,43.1,38.4,38.4,2948803
12/21/2020,37.0,39.7,34.9,37.8,4266222
12/22/2020,38.2,39.3,36.0,36.4,2394946
12/23/2020,36.3,36.6,33.5,34.1,3471565
12/24/2020,34.3,36.0,34.1,34.6,1641813
12/27/2020,35.0,35.9,33.1,33.7,2060514
12/28/2020,34.0,34.5,32.9,33.3,1887465
12/29/2020,35.0,36.6,34.9,36.6,3639616
12/30/2020,37.0,37.3,34.0,34.5,2707998
1/3/2021,34.7,34.9,33.1,33.4,2967800
1/4/2021,34.1,34.4,33.0,33.1,1766461
1/5/2021,33.5,33.5,30.0,30.6,2177005
1/6/2021,31.5,32.0,30.6,31.1,1201631
1/7/2021,32.8,33.9,32.3,32.6,2080531
1/10/2021,33.2,33.5,31.6,31.7,1004837
1/11/2021,31.8,32.0,30.8,31.0,1307363
1/12/2021,31.2,34.1,31.0,34.1,2783212
1/13/2021,34.9,34.9,32.2,32.4,1778437
1/14/2021,33.0,33.8,31.5,31.8,2114323
1/17/2021,32.5,32.7,30.0,30.5,1256821
1/18/2021,30.5,31.0,28.8,29.3,1024686
1/19/2021,29.6,30.7,29.2,29.7,904590
1/20/2021,30.5,31.1,29.9,30.3,850755
1/21/2021,30.6,30.8,29.6,29.8,890327
1/24/2021,29.7,29.7,28.5,28.8,1097495
1/25/2021,28.8,30.9,28.1,30.4,1570467
1/26/2021,31.0,31.0,28.0,28.2,1484339
1/27/2021,28.6,28.7,26.6,27.0,1492179
1/28/2021,27.5,27.9,26.6,27.0,718364
1/31/2021,26.9,27.4,26.0,26.2,647399
2/1/2021,26.3,26.7,25.6,25.7,712910
2/2/2021,26.1,26.2,24.8,24.9,1049679
2/3/2021,24.9,25.2,23.3,23.5,751869
2/4/2021,23.8,24.4,22.9,24.1,1053407
2/7/2021,24.2,24.5,23.0,23.1,905095
2/8/2021,23.2,23.4,21.7,22.0,991193
2/9/2021,22.2,24.2,21.6,24.2,1176275
2/10/2021,24.5,25.2,23.6,23.8,1202892
2/11/2021,23.8,23.8,22.8,23.2,1097058
2/14/2021,23.5,23.5,22.0,22.2,651183
2/15/2021,22.1,23.4,22.1,22.8,539008
2/16/2021,22.8,23.3,22.5,22.9,746396
2/17/2021,22.9,23.6,22.4,23.4,1021796
2/18/2021,23.7,23.7,22.5,22.7,717665
2/22/2021,22.9,22.9,22.0,22.1,378153
2/23/2021,22.1,22.6,21.8,21.9,603394
2/24/2021,22.3,23.4,22.3,22.8,814952
2/25/2021,23.0,23.4,22.4,22.8,1116594
2/28/2021,23.0,24.8,22.8,23.9,1381625
3/1/2021,23.5,24.3,23.4,24.0,852916
3/2/2021,24.1,24.8,23.9,24.1,1260098
3/3/2021,24.1,24.4,23.6,23.8,1012237
3/4/2021,23.8,24.9,23.8,24.5,1628183
3/7/2021,24.7,24.8,24.1,24.3,884037
3/8/2021,24.5,24.7,24.2,24.4,732401
3/9/2021,24.5,25.0,24.3,24.6,1090731
3/10/2021,24.7,24.9,22.5,23.8,948944
3/11/2021,23.8,24.8,23.6,24.4,1442607
3/14/2021,24.4,24.5,23.4,23.6,823757
3/15/2021,23.5,23.9,23.3,23.5,496673
3/16/2021,23.8,23.9,22.8,23.0,400474
3/18/2021,23.1,23.3,22.5,22.6,650266
3/21/2021,22.7,22.7,21.7,21.9,546495
3/22/2021,21.9,22.4,21.2,22.2,429111
3/23/2021,22.3,22.5,21.3,21.5,507350
3/24/2021,21.3,21.3,20.0,20.3,593530
3/25/2021,20.3,20.8,20.0,20.3,260799
3/28/2021,20.7,20.8,20.2,20.7,156522
3/29/2021,20.8,21.6,20.6,21.3,379406
3/31/2021,21.3,21.3,20.1,20.2,449174
4/1/2021,20.1,20.1,19.5,20.0,331237
4/4/2021,18.0,18.5,18.0,18.0,397029
4/5/2021,17.8,18.6,17.8,18.0,470588
4/6/2021,18.3,19.6,18.2,19.1,571891
4/7/2021,19.6,19.8,19.3,19.5,430051
4/8/2021,19.6,19.6,17.8,18.5,334011
4/11/2021,17.5,18.1,17.3,17.5,386618
4/12/2021,17.3,18.3,17.3,17.6,198022
4/13/2021,17.6,19.3,17.4,19.2,897635
4/15/2021,19.5,19.9,19.2,19.5,388067
4/18/2021,20.6,20.6,19.0,19.4,400112
4/19/2021,19.6,19.8,19.3,19.5,374516
4/20/2021,19.6,19.7,19.1,19.6,572091
4/21/2021,19.5,20.3,19.5,20.1,536930
4/22/2021,20.3,20.6,19.9,20.4,562728
4/25/2021,20.4,22.4,20.4,22.4,1703316
4/26/2021,22.8,23.5,22.7,23.1,1772987
4/27/2021,23.1,23.2,21.4,21.8,1276101
4/28/2021,21.7,23.7,21.6,23.2,1477507
4/29/2021,23.5,23.6,22.7,22.8,904438
5/2/2021,22.8,23.1,22.2,22.7,710608
5/3/2021,22.5,23.0,21.6,21.8,803194
5/4/2021,22.2,22.2,20.9,21.1,665750
5/5/2021,21.4,22.3,21.2,22.0,743204
5/6/2021,22.0,24.0,21.8,23.1,1979620
5/9/2021,23.2,24.6,23.1,23.5,1754549
5/11/2021,23.5,23.5,22.9,23.4,666210
5/12/2021,23.5,24.5,23.5,24.0,1875533
5/16/2021,24.2,26.0,24.2,25.3,2386254
5/17/2021,25.1,25.1,24.0,24.1,1461589
5/18/2021,24.1,24.4,23.3,23.5,1194189
5/19/2021,23.5,25.5,23.1,24.3,2059492
5/20/2021,24.6,24.7,23.4,23.6,783391
5/23/2021,23.4,24.0,23.2,23.4,920221
5/24/2021,23.7,24.4,23.6,23.9,1014928
5/25/2021,23.3,23.5,23.0,23.1,1565022
5/27/2021,23.3,23.4,22.6,22.7,802906
5/30/2021,22.9,23.7,22.6,23.4,1151556
5/31/2021,23.5,23.5,22.9,23.0,480626
6/1/2021,23.1,23.3,22.7,22.8,564134
6/2/2021,22.9,23.6,22.8,22.9,1007665
6/3/2021,23.2,23.8,22.9,23.6,1177080
6/6/2021,23.8,25.9,23.7,25.4,4236398
6/7/2021,25.7,25.8,24.6,25.0,1914825
6/8/2021,24.9,27.3,24.4,26.9,3709947
6/9/2021,27.2,28.0,26.5,27.4,4149633
6/10/2021,27.7,28.5,27.0,27.2,2672073
6/13/2021,27.0,27.6,26.2,26.5,1465446
6/14/2021,26.5,26.9,25.5,25.9,1346894
6/15/2021,25.9,28.4,25.9,28.4,3552789
6/16/2021,30.0,30.8,27.8,28.2,4577315
6/17/2021,28.2,28.5,26.9,27.1,2352867
6/20/2021,26.6,29.0,26.4,28.4,1827165
