Date,Open,High,Low,Close,Volume
10/1/2012,105.0,115.0,105.0,109.7,45500
10/2/2012,110.0,117.9,109.9,117.1,103500
10/3/2012,115.0,121.5,114.5,115.6,189500
10/4/2012,115.1,119.7,114.1,117.3,77500
10/7/2012,119.8,120.0,114.0,116.0,72500
10/8/2012,116.4,116.4,113.0,115.3,58500
10/9/2012,115.0,117.9,114.5,117.4,32000
10/10/2012,118.5,118.5,111.0,112.4,112500
10/11/2012,112.9,114.8,112.3,113.1,25000
10/14/2012,110.1,113.7,107.5,108.1,55500
10/15/2012,108.0,112.0,107.3,109.2,12500
10/16/2012,111.0,112.8,109.3,110.9,7500
10/17/2012,114.5,114.6,110.5,111.2,29500
10/18/2012,113.4,113.6,110.3,112.6,15500
10/21/2012,112.5,114.3,112.5,113.4,29000
10/22/2012,113.9,120.0,113.9,118.6,179500
10/23/2012,117.3,117.9,116.5,117.5,30000
10/30/2012,115.2,117.1,115.0,115.6,16500
10/31/2012,116.0,116.0,112.5,114.6,99500
11/1/2012,114.0,114.8,113.0,113.2,24000
11/4/2012,116.9,116.9,111.4,113.0,54500
11/5/2012,111.6,115.3,111.6,114.1,22000
11/6/2012,114.9,115.0,113.6,113.8,18000
11/7/2012,113.0,113.1,109.1,110.4,57500
11/8/2012,109.2,111.4,109.0,110.1,30000
11/11/2012,109.5,112.0,108.5,110.2,50000
11/12/2012,109.0,111.5,109.0,109.2,18000
11/13/2012,110.0,112.9,109.3,111.7,13500
11/14/2012,114.7,114.7,111.8,112.1,22000
11/15/2012,113.8,113.8,111.0,111.7,20000
11/18/2012,113.0,113.0,111.1,111.7,16500
11/19/2012,110.1,110.1,109.6,109.8,19500
11/20/2012,107.0,108.2,107.0,107.0,25000
11/21/2012,111.0,111.0,107.0,107.7,12000
11/22/2012,110.0,110.0,107.5,108.0,9500
11/26/2012,109.0,109.0,101.0,102.0,101500
11/27/2012,101.1,102.9,100.0,101.7,68000
11/28/2012,102.0,104.9,101.4,102.7,16500
11/29/2012,107.0,109.0,105.0,108.2,25500
12/2/2012,108.2,110.0,104.0,106.9,53000
12/3/2012,104.2,106.0,104.1,105.2,20000
12/4/2012,102.0,105.6,102.0,105.0,11500
12/5/2012,104.0,106.5,103.8,105.2,6500
12/6/2012,104.0,106.3,104.0,105.3,14000
12/9/2012,105.0,106.0,104.1,104.8,17500
12/10/2012,104.5,107.0,104.5,106.4,109000
12/11/2012,106.5,111.9,106.5,109.6,242000
12/12/2012,111.0,115.5,110.0,112.9,119000
12/13/2012,112.0,114.9,111.2,113.2,215000
12/17/2012,114.9,120.0,114.9,117.6,124500
12/18/2012,115.5,117.0,114.5,116.1,116500
12/19/2012,117.0,119.1,116.0,117.3,116000
12/20/2012,129.0,129.0,117.4,117.9,112000
12/23/2012,116.1,116.9,115.5,116.2,109500
12/24/2012,115.1,117.7,115.1,116.9,108500
12/26/2012,115.0,118.8,115.0,118.2,98500
12/27/2012,118.0,120.0,117.6,119.8,114500
12/30/2012,119.7,119.7,116.0,117.0,32500
1/1/2013,118.9,118.9,115.2,116.2,22500
1/2/2013,115.2,117.0,115.2,116.3,16500
1/3/2013,116.0,116.0,113.5,114.4,16500
1/6/2013,114.0,114.9,113.7,114.2,11500
1/7/2013,114.2,114.6,113.7,114.1,4500
1/8/2013,115.1,115.1,113.0,113.0,23000
1/9/2013,113.5,113.5,111.3,112.2,17500
1/10/2013,112.3,114.0,112.3,113.3,6500
1/13/2013,113.4,113.5,111.5,112.5,14500
1/14/2013,112.6,112.7,112.5,112.5,10500
1/15/2013,112.5,112.6,111.7,112.2,9000
1/16/2013,112.5,116.0,111.1,114.7,39500
1/17/2013,115.0,116.0,114.0,115.5,36000
1/20/2013,115.5,116.2,114.2,115.7,33500
1/21/2013,115.5,115.7,114.0,115.3,22500
1/22/2013,115.2,115.7,115.2,115.5,18000
1/23/2013,116.5,118.0,116.2,117.8,76000
1/24/2013,118.5,119.5,117.0,118.4,54000
1/27/2013,119.1,123.5,119.1,121.7,90500
1/28/2013,122.1,122.5,119.6,120.3,66500
1/29/2013,121.8,121.8,120.0,121.3,105000
1/30/2013,122.0,123.0,119.5,120.1,82000
1/31/2013,120.5,120.5,118.3,118.7,61500
2/3/2013,119.0,123.8,118.7,119.9,73000
2/4/2013,120.0,120.5,118.0,118.8,57000
2/5/2013,118.0,120.9,118.0,120.2,52000
2/6/2013,120.0,122.1,120.0,121.2,79000
2/7/2013,121.0,121.0,119.5,120.1,27000
2/10/2013,118.5,120.7,118.5,120.3,58500
2/11/2013,120.1,123.3,120.1,122.7,64500
2/12/2013,123.3,123.5,121.0,121.4,65500
2/13/2013,121.0,123.0,120.0,120.8,28000
2/14/2013,122.0,122.0,120.6,121.0,23500
2/17/2013,122.3,122.3,120.2,120.3,81000
2/18/2013,123.0,123.0,119.5,119.7,47500
