Date,Open,High,Low,Close,Volume
10/1/2012,275.1,299.0,275.1,285.1,700
10/2/2012,290.0,290.0,290.0,290.0,100
10/3/2012,285.1,300.0,285.1,293.8,4650
10/4/2012,305.1,305.1,298.3,303.7,550
10/7/2012,298.0,306.0,294.1,298.9,850
10/8/2012,285.0,285.0,281.5,282.8,350
10/9/2012,281.6,288.0,281.6,282.6,500
10/10/2012,287.0,287.0,286.0,286.6,150
10/11/2012,288.0,288.0,282.0,282.7,450
10/14/2012,280.3,289.9,280.2,284.1,300
10/15/2012,286.0,286.0,286.0,286.0,250
10/16/2012,283.0,283.0,282.8,282.8,150
10/17/2012,281.6,281.6,281.6,281.6,100
10/18/2012,275.5,281.9,275.1,277.4,500
10/21/2012,277.0,277.0,277.0,277.0,50
10/22/2012,279.0,279.0,279.0,279.0,150
10/23/2012,275.0,276.0,275.0,275.2,250
10/31/2012,282.0,282.0,276.0,281.0,600
11/1/2012,279.3,279.3,279.3,279.3,400
11/4/2012,280.0,281.1,280.0,280.5,200
11/5/2012,290.0,302.0,288.0,291.0,550
11/6/2012,296.0,315.0,296.0,314.5,5200
11/7/2012,315.0,315.0,300.0,311.4,600
11/8/2012,300.0,312.0,300.0,305.0,250
11/11/2012,292.1,294.0,286.0,288.6,1850
11/12/2012,278.1,279.0,276.0,276.9,2800
11/13/2012,289.0,296.0,289.0,293.3,900
11/14/2012,292.0,295.0,290.9,293.2,1400
11/15/2012,291.0,292.0,291.0,291.3,2200
11/18/2012,296.1,296.1,292.1,292.6,800
11/19/2012,290.0,290.0,290.0,290.0,100
11/20/2012,280.2,280.2,280.2,280.2,250
11/22/2012,280.2,280.2,280.2,280.2,1050
11/26/2012,275.0,275.0,275.0,275.0,300
11/27/2012,273.0,274.0,273.0,273.2,900
11/29/2012,266.0,279.5,265.0,274.7,700
12/3/2012,279.1,279.1,265.0,270.6,250
12/26/2012,254.0,254.0,254.0,254.0,300
12/27/2012,240.0,240.0,232.0,234.5,250
12/30/2012,226.0,240.0,226.0,233.2,250
1/6/2013,235.0,238.0,235.0,237.0,300
1/10/2013,237.0,237.0,237.0,237.0,100
1/13/2013,249.0,249.0,235.0,241.3,600
1/16/2013,240.0,240.0,240.0,240.0,50
1/17/2013,235.0,235.0,235.0,235.0,100
1/20/2013,230.0,230.2,230.0,230.1,250
1/22/2013,234.9,235.0,234.9,234.9,100
1/28/2013,250.0,254.0,250.0,252.0,100
2/5/2013,250.9,250.9,240.0,247.2,300
2/6/2013,240.0,240.0,240.0,240.0,150
2/11/2013,241.0,241.0,241.0,241.0,100
2/12/2013,240.0,240.0,240.0,240.0,100
2/14/2013,240.0,240.0,240.0,240.0,200
2/17/2013,257.0,257.0,257.0,257.0,100
2/24/2013,235.0,235.0,235.0,235.0,100
2/25/2013,235.0,235.0,230.0,231.4,250
2/27/2013,250.6,250.6,250.6,250.6,50
3/7/2013,245.0,245.0,245.0,245.0,50
3/12/2013,250.0,250.0,250.0,250.0,600
3/14/2013,238.0,238.0,236.0,237.0,100
3/18/2013,238.0,238.0,238.0,238.0,50
3/24/2013,225.1,225.1,225.0,225.0,150
3/25/2013,210.0,210.0,210.0,210.0,150
4/1/2013,196.0,196.0,195.0,195.6,150
4/2/2013,198.0,198.0,198.0,198.0,200
4/10/2013,210.0,210.0,210.0,210.0,50
4/18/2013,205.0,205.0,205.0,205.0,100
4/24/2013,221.0,221.0,221.0,221.0,300
4/28/2013,220.0,220.0,220.0,220.0,150
4/29/2013,219.0,220.0,218.0,218.5,350
5/2/2013,225.0,225.0,225.0,225.0,50
5/8/2013,218.0,218.0,213.1,216.2,650
5/12/2013,216.5,216.5,216.5,216.5,50
5/14/2013,216.0,234.0,216.0,223.8,300
5/19/2013,217.1,235.0,217.1,223.0,300
5/21/2013,216.0,216.0,215.0,215.5,100
5/28/2013,215.0,220.0,215.0,217.5,100
5/30/2013,220.0,220.0,215.4,217.9,350
6/2/2013,221.0,221.2,221.0,221.0,400
6/3/2013,230.0,235.0,230.0,233.4,600
6/4/2013,245.0,250.1,240.0,246.2,400
6/5/2013,255.0,267.7,255.0,262.1,850
6/6/2013,283.5,285.0,283.5,284.9,3650
6/9/2013,268.1,270.0,268.1,268.3,350
6/10/2013,270.0,289.5,270.0,279.8,150
6/11/2013,281.0,281.2,281.0,281.1,250
6/12/2013,285.0,285.1,285.0,285.0,1100
6/13/2013,267.1,267.1,265.2,265.7,350
6/16/2013,288.0,288.0,275.0,281.5,100
6/17/2013,276.5,276.5,276.5,276.5,50
6/19/2013,290.0,300.0,290.0,296.0,1700
6/20/2013,301.0,301.1,301.0,301.0,1150
6/23/2013,300.0,308.0,300.0,301.6,300
6/24/2013,280.0,281.1,280.0,280.3,150
6/26/2013,300.0,304.0,281.5,301.3,3300
6/27/2013,299.0,300.0,292.2,295.0,700
6/30/2013,300.9,306.0,300.0,301.3,1050
7/2/2013,314.0,315.0,310.0,312.3,1550
