Date,Open,High,Low,Close,Volume
10/1/2012,32.6,35.5,32.5,34.1,405000
10/2/2012,35.7,37.0,35.0,36.5,693000
10/3/2012,37.0,37.0,35.1,35.9,364600
10/4/2012,35.1,35.8,35.1,35.4,170800
10/7/2012,35.4,36.3,33.4,33.6,287200
10/8/2012,35.0,35.0,33.0,33.4,178800
10/9/2012,34.0,35.0,33.6,34.0,128200
10/10/2012,34.9,34.9,33.2,33.2,94200
10/11/2012,34.0,34.0,32.5,32.9,217000
10/14/2012,33.0,33.6,32.5,33.0,193600
10/15/2012,32.8,33.3,32.6,32.7,89600
10/16/2012,33.7,34.0,33.0,33.5,116800
10/17/2012,34.0,34.0,33.0,33.2,99400
10/18/2012,33.8,33.9,33.0,33.3,57400
10/21/2012,32.8,34.0,32.8,33.4,65200
10/22/2012,33.6,34.3,33.4,33.9,114400
10/23/2012,34.3,34.5,34.1,34.3,90400
10/30/2012,34.9,35.0,33.5,33.9,33400
10/31/2012,33.1,33.5,32.8,32.8,88800
11/1/2012,33.2,33.4,32.9,32.9,66200
11/4/2012,33.0,33.0,31.6,31.8,311600
11/5/2012,32.1,32.1,30.9,31.0,222000
11/6/2012,31.4,32.7,30.8,32.5,491000
11/7/2012,31.7,32.0,31.1,31.4,105600
11/8/2012,30.9,31.8,30.9,31.3,278200
11/11/2012,31.0,31.7,30.4,30.5,166200
11/12/2012,30.7,31.3,30.5,30.8,300000
11/13/2012,30.5,31.3,30.5,31.0,172800
11/14/2012,31.0,31.7,31.0,31.6,148400
11/15/2012,31.3,31.7,31.3,31.5,32600
11/18/2012,31.6,31.6,31.3,31.3,124000
11/19/2012,31.6,31.6,30.7,30.9,198000
11/20/2012,30.7,31.0,30.1,30.9,237200
11/21/2012,30.8,31.2,30.5,30.8,89400
11/22/2012,30.7,31.1,30.6,31.0,140200
11/26/2012,30.9,31.0,30.4,30.8,119600
11/27/2012,30.5,30.9,30.5,30.7,141000
11/28/2012,30.7,31.3,30.1,30.8,103600
11/29/2012,31.7,32.4,30.8,32.2,121600
12/2/2012,32.6,32.7,31.7,31.9,123600
12/3/2012,31.5,31.6,30.8,31.0,79000
12/4/2012,31.0,31.0,30.5,30.7,23600
12/5/2012,30.8,30.9,30.4,30.5,36400
12/6/2012,30.5,30.7,30.2,30.5,108000
12/9/2012,29.5,30.2,29.5,29.9,52600
12/10/2012,30.0,30.7,29.8,30.0,65200
12/11/2012,29.6,31.0,29.6,30.9,45600
12/12/2012,31.0,31.8,31.0,31.1,105200
12/13/2012,31.0,31.9,31.0,31.7,102200
12/17/2012,32.6,33.4,32.2,32.7,192600
12/18/2012,32.7,32.7,31.9,32.4,105200
12/19/2012,32.6,33.2,32.4,32.8,230200
12/20/2012,33.4,33.4,31.9,32.1,277600
12/23/2012,32.0,32.1,31.7,31.8,285000
12/24/2012,31.8,31.9,31.4,31.6,113200
12/26/2012,31.5,31.7,31.2,31.2,219800
12/27/2012,32.2,32.2,31.3,31.5,185000
12/30/2012,32.0,32.0,31.6,31.7,139800
1/1/2013,32.4,32.5,31.9,31.9,119200
1/2/2013,31.8,32.9,31.5,32.1,203600
1/3/2013,31.6,32.5,31.6,32.2,102400
1/6/2013,32.0,32.2,32.0,32.1,60200
1/7/2013,32.0,32.0,31.6,31.7,38000
1/8/2013,31.6,32.0,31.6,31.6,37800
1/9/2013,31.7,32.8,31.2,32.2,258200
1/10/2013,31.8,32.2,31.5,31.7,231600
1/13/2013,31.8,31.9,31.3,31.4,193600
1/14/2013,31.8,31.8,31.1,31.3,222600
1/15/2013,31.5,31.6,31.2,31.4,338000
1/16/2013,31.5,31.6,31.3,31.5,54200
1/17/2013,31.8,31.8,31.3,31.4,41200
1/20/2013,31.4,31.5,31.3,31.3,55400
1/21/2013,31.5,31.5,30.9,31.0,149000
1/22/2013,31.0,31.2,30.9,31.0,80800
1/23/2013,31.4,31.4,30.8,30.9,74200
1/24/2013,31.2,31.5,31.0,31.3,76400
1/27/2013,31.5,31.8,31.4,31.7,148200
1/28/2013,31.6,32.2,31.6,32.0,268600
1/29/2013,32.0,33.0,32.0,32.6,143800
1/30/2013,33.0,33.0,32.2,32.3,50200
