Date,Open,High,Low,Close,Volume
10/1/2012,11.6,12.4,10.8,12.3,2912500
10/2/2012,12.9,13.5,12.8,13.5,2202000
10/3/2012,14.8,14.8,12.6,13.2,5880000
10/4/2012,13.0,13.6,11.9,13.0,4448000
10/7/2012,13.3,13.4,11.7,11.7,1595000
10/8/2012,11.8,11.8,10.6,11.1,2933500
10/9/2012,11.8,12.1,11.2,11.8,2167500
10/10/2012,11.8,12.5,10.7,10.8,1121500
10/11/2012,10.8,11.1,10.2,10.4,1589500
10/14/2012,10.8,11.0,9.9,10.0,1340000
10/15/2012,10.1,11.0,9.8,10.9,1615000
10/16/2012,11.0,11.7,10.4,10.7,1831500
10/17/2012,10.6,10.9,10.3,10.6,944000
10/18/2012,10.4,11.2,10.4,10.8,926000
10/21/2012,11.2,11.2,10.2,10.3,900500
10/22/2012,10.3,10.6,10.1,10.5,628500
10/23/2012,10.4,11.1,10.3,10.3,1087000
10/30/2012,10.4,10.4,10.0,10.2,953500
10/31/2012,10.2,10.9,10.2,10.5,963500
11/1/2012,10.8,10.9,10.3,10.4,1199000
11/4/2012,10.5,10.5,10.2,10.2,1293500
11/5/2012,10.3,10.5,10.2,10.2,650500
11/6/2012,10.4,10.9,10.4,10.7,1512000
11/7/2012,10.9,11.0,10.5,10.6,2476500
11/8/2012,10.5,10.7,10.3,10.3,896000
11/11/2012,10.3,10.4,9.7,9.8,1384500
11/12/2012,9.8,10.2,9.4,9.5,751500
11/13/2012,9.9,9.9,9.5,9.6,644500
11/14/2012,9.6,9.8,9.4,9.4,681000
11/15/2012,9.4,10.3,9.4,10.2,1563500
11/18/2012,10.5,10.6,9.9,10.1,1557500
11/19/2012,10.0,10.1,9.7,9.7,842000
11/20/2012,9.3,10.0,9.2,9.5,502500
11/21/2012,9.9,9.9,9.6,9.7,359000
11/22/2012,9.9,10.0,9.6,9.6,871500
11/26/2012,9.7,9.8,9.5,9.5,328000
11/27/2012,9.5,9.6,9.2,9.3,350000
11/28/2012,9.7,9.7,9.0,9.2,430000
11/29/2012,9.5,9.8,9.3,9.6,629000
12/2/2012,9.8,9.9,9.2,9.3,613500
12/3/2012,9.3,9.4,9.0,9.1,330000
12/4/2012,9.2,9.2,8.9,9.0,606500
12/5/2012,9.1,9.1,8.9,9.0,402500
12/6/2012,9.0,9.0,8.8,8.8,571500
12/9/2012,8.8,8.8,8.6,8.7,329500
12/10/2012,8.6,8.7,8.5,8.5,397500
12/11/2012,8.4,9.2,8.4,9.0,532000
12/12/2012,9.1,9.3,8.9,8.9,727000
12/13/2012,9.0,9.0,8.9,8.9,336500
12/17/2012,9.0,9.2,9.0,9.0,281000
12/18/2012,9.0,9.1,8.8,8.8,191500
12/19/2012,8.9,9.0,8.8,8.9,349000
12/20/2012,9.0,9.0,8.8,8.8,205500
12/23/2012,8.6,8.9,8.6,8.6,602000
12/24/2012,8.5,9.0,8.5,8.8,241500
12/26/2012,8.8,9.0,8.8,8.8,280500
12/27/2012,9.0,9.1,8.8,8.9,303000
12/30/2012,9.1,9.1,8.9,8.9,420000
1/1/2013,8.9,9.0,8.8,8.8,184500
1/2/2013,8.8,8.9,8.7,8.7,169500
1/3/2013,9.5,9.5,9.1,9.3,1305500
1/6/2013,9.5,9.6,9.1,9.2,574000
1/7/2013,9.2,9.2,9.0,9.1,186000
1/8/2013,9.2,9.3,9.0,9.0,403000
1/9/2013,9.8,9.9,9.1,9.2,967500
1/10/2013,9.1,9.2,9.0,9.0,318000
1/13/2013,9.0,9.0,8.8,8.8,357500
1/14/2013,8.8,8.8,8.7,8.7,326000
1/15/2013,8.8,8.9,8.7,8.7,169000
1/16/2013,8.7,8.9,8.7,8.7,118000
1/17/2013,8.8,8.8,8.6,8.6,413500
1/20/2013,8.8,8.8,8.7,8.7,208500
1/21/2013,8.6,8.8,8.6,8.7,141000
1/22/2013,8.6,8.7,8.5,8.5,576000
1/23/2013,8.5,8.5,8.3,8.3,494500
1/24/2013,8.4,8.4,8.2,8.3,500500
1/27/2013,8.4,8.4,8.1,8.2,567000
1/28/2013,8.3,8.3,8.1,8.1,453500
1/29/2013,8.1,8.4,8.1,8.2,473500
1/30/2013,8.2,8.3,8.2,8.2,230000
1/31/2013,8.2,8.2,8.1,8.1,275500
2/3/2013,8.2,8.3,8.1,8.1,239000
2/4/2013,8.2,8.2,8.1,8.1,398000
2/5/2013,8.1,8.3,8.1,8.2,307000
2/6/2013,8.3,8.5,8.2,8.3,517000
2/7/2013,8.4,8.5,8.3,8.3,269500
2/10/2013,8.4,8.6,8.4,8.5,563500
2/11/2013,8.6,8.8,8.4,8.5,995000
2/12/2013,8.5,8.5,8.4,8.4,262000
2/13/2013,8.5,8.5,8.4,8.4,399500
2/14/2013,8.3,8.6,8.2,8.3,932000
2/17/2013,8.4,8.4,8.1,8.2,726000
2/18/2013,8.3,8.3,8.1,8.1,606000
2/19/2013,8.1,8.2,8.0,8.0,553000
2/20/2013,8.0,8.2,8.0,8.0,348500
2/24/2013,8.0,8.0,7.7,7.8,355000
2/25/2013,8.0,8.0,7.7,7.7,278000
2/26/2013,7.9,7.9,7.8,7.8,131000
2/27/2013,7.8,8.0,7.6,7.6,260000
2/28/2013,7.8,7.8,7.6,7.7,166500
3/3/2013,7.5,7.6,7.1,7.1,349000
3/4/2013,7.4,7.5,7.2,7.3,270500
3/5/2013,7.4,7.4,7.2,7.2,196500
3/6/2013,7.2,7.3,7.1,7.1,386500
3/7/2013,7.1,7.2,7.1,7.1,210000
3/10/2013,7.3,7.3,7.1,7.1,176000
3/11/2013,7.1,7.2,6.9,7.0,300500
3/12/2013,7.0,7.1,6.8,6.9,242500
3/13/2013,7.0,7.1,6.9,7.0,170500
3/14/2013,7.1,7.1,6.9,7.0,126500
3/18/2013,7.0,7.1,6.9,6.9,100000
3/19/2013,6.9,7.1,6.9,7.0,84500
3/20/2013,7.1,7.1,6.9,6.9,161500
3/24/2013,6.9,6.9,6.7,6.7,337500
