Date,Open,High,Low,Close,Volume
10/1/2012,71.5,73.2,70.0,72.0,587200
10/2/2012,74.0,74.8,70.8,71.1,755800
10/3/2012,71.3,72.3,69.2,69.4,498000
10/4/2012,70.8,71.0,68.1,68.5,323200
10/7/2012,69.5,69.5,65.1,65.7,260600
10/8/2012,67.5,68.2,63.9,64.6,226800
10/9/2012,68.0,68.5,66.2,67.6,232400
10/10/2012,69.8,69.8,65.1,65.7,248000
10/11/2012,66.9,67.4,64.6,65.0,240000
10/14/2012,64.5,65.4,63.5,64.0,246400
10/15/2012,64.7,65.4,62.7,63.3,271800
10/16/2012,64.7,66.4,63.8,65.1,283800
10/17/2012,65.4,65.8,63.6,64.1,136000
10/18/2012,64.4,64.4,63.0,63.3,106000
10/21/2012,63.6,64.1,62.0,62.1,119000
10/22/2012,62.5,63.2,62.0,62.8,114800
10/23/2012,64.3,64.3,62.8,63.0,169800
10/30/2012,63.7,63.7,61.8,62.0,92200
10/31/2012,62.3,62.6,61.0,61.1,141800
11/1/2012,62.0,63.2,61.5,62.1,145000
11/4/2012,62.3,63.9,61.1,61.4,149000
11/5/2012,61.6,61.7,58.2,58.9,245600
11/6/2012,59.9,59.9,54.7,55.1,343600
11/7/2012,59.9,62.2,57.4,60.8,697600
11/8/2012,62.4,62.4,58.8,59.1,185600
11/11/2012,59.0,59.2,57.0,57.8,258000
11/12/2012,58.0,58.5,55.4,56.1,118600
11/13/2012,56.1,58.4,55.6,57.9,229600
11/14/2012,57.5,59.3,57.1,58.2,324600
11/18/2012,54.0,54.0,51.5,51.8,302000
11/19/2012,51.9,52.0,49.4,49.5,115000
11/20/2012,49.5,49.8,47.8,48.0,125200
11/21/2012,48.9,49.0,47.1,47.4,100600
11/22/2012,47.8,48.5,47.4,47.9,97400
11/26/2012,49.6,49.6,46.5,46.6,65600
11/27/2012,46.1,46.8,44.6,45.1,93800
11/28/2012,45.6,46.2,44.1,44.4,69800
11/29/2012,45.5,48.0,45.1,47.6,139600
12/2/2012,47.9,49.0,46.4,46.9,228400
12/3/2012,46.8,46.9,45.1,45.1,90200
12/4/2012,45.1,45.8,44.2,45.1,85400
12/5/2012,46.2,46.2,44.8,45.3,85000
12/6/2012,44.4,45.6,44.4,45.3,134400
12/9/2012,44.6,45.4,44.0,45.2,150600
12/10/2012,44.3,45.3,44.1,44.1,113000
12/11/2012,43.6,44.9,43.6,44.4,35400
12/12/2012,45.1,45.5,44.1,44.3,52000
12/13/2012,44.6,44.7,44.4,44.4,96400
12/17/2012,43.0,43.9,42.6,42.9,239200
12/18/2012,43.5,43.7,42.7,42.8,82600
12/19/2012,43.1,43.3,42.8,42.9,132600
12/20/2012,43.1,43.9,42.9,42.9,96400
12/23/2012,43.5,43.5,42.7,42.9,87800
12/24/2012,43.0,43.0,42.5,42.7,101000
12/26/2012,43.0,43.2,42.8,42.8,55400
12/27/2012,43.0,43.5,42.8,43.2,141000
12/30/2012,43.0,44.7,43.0,44.0,156800
1/1/2013,44.1,44.9,43.8,43.9,70000
1/2/2013,43.9,43.9,42.8,42.8,70400
1/3/2013,43.1,43.4,42.9,43.0,54400
1/6/2013,43.2,43.2,42.9,43.0,71200
1/7/2013,42.9,43.3,42.8,42.8,68000
1/8/2013,43.0,43.2,42.5,42.5,56600
1/9/2013,43.0,43.0,42.0,42.1,73600
1/10/2013,42.2,42.6,42.1,42.1,42400
1/13/2013,42.6,42.6,41.7,41.8,64800
1/14/2013,41.8,41.9,41.3,41.4,56200
1/15/2013,41.7,41.7,41.1,41.4,59600
1/16/2013,41.5,41.5,41.1,41.2,59800
1/17/2013,41.8,41.8,41.1,41.3,88000
1/20/2013,41.4,41.5,41.0,41.1,49200
1/21/2013,40.9,41.2,40.8,40.8,57200
1/22/2013,41.0,41.3,40.9,41.1,60200
1/23/2013,41.6,42.1,41.4,41.5,91000
1/24/2013,41.8,42.6,41.6,41.9,112800
1/27/2013,42.0,42.2,41.6,41.6,75200
1/28/2013,41.6,42.2,41.5,41.9,80200
1/29/2013,42.6,43.6,42.4,43.2,235200
1/30/2013,43.0,43.6,42.3,42.5,162400
1/31/2013,42.2,43.0,42.2,42.5,104400
2/3/2013,42.5,44.6,42.5,43.7,258000
2/4/2013,44.5,44.5,42.6,42.9,94800
2/5/2013,43.0,43.4,42.6,43.0,80800
2/6/2013,43.4,43.6,43.0,43.0,116000
2/7/2013,43.8,43.8,42.9,43.1,130400
2/10/2013,43.5,44.1,43.3,43.7,173200
2/11/2013,44.4,44.7,43.8,44.2,166800
2/12/2013,44.5,44.6,43.7,43.8,172400
2/13/2013,43.8,44.5,43.4,44.1,170000
2/14/2013,44.2,45.7,44.2,45.4,290200
2/17/2013,45.4,46.2,45.0,45.1,162800
2/18/2013,45.2,45.9,44.6,44.7,250000
2/19/2013,44.3,44.8,43.5,44.1,235800
2/20/2013,43.5,44.6,43.5,43.8,222200
2/24/2013,43.9,43.9,42.5,42.6,143000
2/25/2013,42.5,43.7,41.8,42.1,119000
2/26/2013,42.5,43.0,42.1,42.6,53200
2/27/2013,42.8,42.9,41.0,41.3,104600
2/28/2013,41.9,45.0,40.7,44.1,367200
3/3/2013,42.2,42.3,40.2,40.3,125000
3/4/2013,41.1,43.3,41.1,42.6,80400
3/5/2013,43.0,43.0,41.5,41.8,141600
3/6/2013,42.8,42.8,41.6,41.7,81200
3/7/2013,41.8,42.1,41.1,41.8,74600
3/10/2013,41.9,42.1,40.9,41.4,100400
3/11/2013,41.0,41.8,40.1,41.5,148800
3/12/2013,41.0,42.3,41.0,41.8,109200
3/13/2013,42.2,42.9,42.2,42.3,90200
3/14/2013,42.3,42.6,42.2,42.4,97400
3/18/2013,42.0,42.6,42.0,42.3,34200
3/19/2013,42.4,42.6,42.0,42.3,47600
3/20/2013,42.0,42.4,40.8,41.6,120800
3/24/2013,41.2,41.2,40.6,40.7,48600
3/25/2013,41.0,41.4,39.5,39.6,82000
3/27/2013,39.2,39.4,38.8,38.9,70400
3/28/2013,38.9,39.2,37.9,38.8,71400
3/31/2013,38.0,39.0,38.0,38.8,50600
4/1/2013,38.0,38.1,36.2,36.7,64000
4/2/2013,38.0,38.0,36.7,37.1,31800
4/3/2013,38.0,38.1,37.2,37.2,69600
4/4/2013,36.8,37.7,36.2,37.4,33800
4/7/2013,37.5,38.3,37.5,37.6,30000
4/8/2013,34.0,37.7,34.0,37.6,45400
4/9/2013,37.8,39.0,37.3,38.6,79400
4/10/2013,39.6,39.7,38.7,38.9,54000
4/11/2013,38.0,38.7,38.0,38.1,26200
4/15/2013,38.4,40.4,38.4,39.7,160400
4/16/2013,39.0,39.0,37.6,38.2,63200
4/17/2013,38.7,38.7,37.9,38.1,75400
4/18/2013,38.3,38.8,37.8,37.9,66200
4/21/2013,38.4,39.4,37.6,37.7,106800
4/22/2013,37.6,38.2,37.4,37.5,56200
4/23/2013,38.0,38.0,37.0,37.1,73600
4/24/2013,37.4,37.5,37.2,37.2,32600
4/25/2013,37.5,37.7,37.0,37.1,44400
4/28/2013,37.0,37.3,35.5,36.7,97200
4/29/2013,35.7,36.9,35.7,36.4,45800
4/30/2013,37.2,37.2,36.2,36.5,47200
5/2/2013,36.4,37.1,36.4,36.8,50400
5/5/2013,37.0,37.2,36.6,37.1,50000
5/6/2013,37.2,37.4,36.1,36.3,38600
5/7/2013,36.9,38.2,36.9,37.8,122000
5/8/2013,38.8,41.5,38.8,41.5,611000
5/9/2013,42.9,45.5,42.5,45.3,717400
5/12/2013,46.0,46.7,45.1,45.8,266400
5/13/2013,46.0,46.0,43.5,44.9,354200
5/14/2013,44.9,46.0,44.5,45.5,458000
5/15/2013,45.0,46.3,43.5,43.8,270200
5/16/2013,44.0,44.9,43.8,44.4,375000
5/19/2013,45.0,46.3,45.0,46.1,503800
5/20/2013,47.0,47.0,45.1,45.6,405800
5/21/2013,45.5,46.3,44.4,44.5,183600
5/22/2013,45.0,45.0,42.6,43.0,220200
5/26/2013,44.7,44.7,41.0,41.4,139000
5/27/2013,42.0,43.0,41.7,42.0,120400
5/28/2013,43.2,43.3,41.8,42.1,138400
5/29/2013,43.0,43.4,42.9,43.0,144800
5/30/2013,44.7,45.8,44.0,44.6,391400
6/2/2013,45.8,49.0,45.5,48.7,889400
6/3/2013,49.0,51.9,48.4,50.9,793800
6/4/2013,51.4,52.4,50.0,50.3,546200
6/5/2013,50.0,50.6,49.0,49.7,531600
6/6/2013,50.4,51.2,48.9,49.3,489800
6/9/2013,51.9,54.2,50.5,53.6,1621200
6/10/2013,54.7,58.7,53.9,58.1,1093000
6/11/2013,59.3,59.6,56.5,56.9,759000
6/12/2013,57.0,62.5,56.9,62.2,1768000
6/13/2013,64.0,64.0,59.0,59.5,908200
6/16/2013,60.0,64.2,60.0,63.2,944000
6/17/2013,63.5,64.1,59.8,60.2,857800
6/18/2013,63.4,63.4,59.5,60.6,534600
6/19/2013,62.7,63.3,59.5,60.1,903800
6/20/2013,60.6,60.6,56.7,57.3,734600
6/23/2013,60.3,60.8,56.5,57.1,354400
6/24/2013,60.1,60.5,55.7,57.8,389600
6/26/2013,59.5,62.9,57.6,62.4,946600
6/27/2013,63.0,65.0,62.0,63.2,1005600
6/30/2013,57.0,59.9,56.9,56.9,896000
7/2/2013,56.9,57.9,54.8,55.6,937200
7/3/2013,56.3,61.0,56.3,58.4,541600
7/4/2013,59.1,59.8,56.4,57.0,829200
7/7/2013,58.4,59.0,56.4,56.7,627800
7/8/2013,56.7,58.5,56.7,57.2,903800
7/9/2013,57.5,60.9,57.5,58.8,966600
7/10/2013,59.7,59.7,55.9,56.3,473800
7/11/2013,56.4,57.0,53.3,53.9,334000
7/14/2013,55.0,55.7,51.0,51.6,323000
7/15/2013,53.0,53.8,50.7,51.5,417000
7/16/2013,52.8,54.9,51.7,51.8,360400
7/17/2013,52.0,52.8,50.0,50.4,479200
7/18/2013,50.8,53.0,50.1,50.8,228400
7/21/2013,52.4,52.4,48.0,48.6,142200
7/22/2013,51.7,51.7,46.2,47.5,148400
7/23/2013,47.7,48.0,44.9,45.1,96000
7/24/2013,45.2,48.6,44.8,48.1,133800
7/25/2013,49.7,49.9,45.6,46.1,143600
7/28/2013,45.6,45.6,44.5,44.8,40200
7/29/2013,45.7,47.0,45.1,45.8,45200
7/30/2013,46.2,46.3,45.0,45.1,80000
7/31/2013,45.2,45.2,43.6,43.9,127600
8/1/2013,43.8,45.9,43.7,45.3,115800
8/4/2013,46.8,46.8,44.6,45.2,91800
8/5/2013,45.0,45.9,45.0,45.6,59800
8/12/2013,45.8,46.7,45.2,46.2,93400
8/13/2013,46.8,50.8,46.2,50.8,262800
8/14/2013,52.8,52.8,50.0,51.5,271400
8/18/2013,51.8,53.0,51.1,52.3,195400
8/19/2013,52.5,52.5,51.2,51.8,254000
8/20/2013,52.1,54.2,52.1,52.7,355400
8/21/2013,53.0,54.5,52.5,53.1,213200
8/22/2013,53.3,55.0,53.3,54.5,373400
8/25/2013,56.0,57.3,55.5,56.3,733000
8/26/2013,56.6,58.5,55.8,57.7,829400
8/27/2013,57.3,59.5,57.0,58.6,749400
8/29/2013,58.7,58.7,55.1,55.9,379400
9/1/2013,56.8,57.0,55.2,55.4,261400
9/2/2013,57.0,57.5,55.2,55.4,317400
9/3/2013,56.7,56.7,55.0,55.4,381200
9/4/2013,56.3,57.5,55.3,55.6,289800
9/5/2013,57.2,57.2,54.5,54.9,239000
9/8/2013,55.2,55.2,51.9,52.1,346200
9/9/2013,54.4,54.5,51.1,53.5,273600
9/10/2013,54.2,56.7,53.9,55.8,372600
9/11/2013,55.0,56.3,53.0,53.9,261200
9/12/2013,54.2,59.2,54.2,58.6,932400
9/15/2013,60.0,64.3,60.0,62.5,1789600
9/16/2013,63.8,63.9,59.6,61.5,613600
9/17/2013,61.0,64.5,60.1,63.3,1391600
9/18/2013,63.5,66.3,63.4,63.9,1512800
9/19/2013,64.3,65.5,62.6,63.2,755600
9/22/2013,64.1,64.7,59.4,59.6,732400
9/23/2013,60.0,61.8,58.0,59.2,600600
9/24/2013,59.2,62.8,57.5,58.1,361200
9/25/2013,58.0,59.5,56.0,56.4,433000
9/26/2013,57.3,58.6,57.0,57.4,247400
9/29/2013,58.0,58.3,55.2,55.6,266200
9/30/2013,55.1,55.9,54.0,54.4,250800
10/1/2013,54.2,55.4,53.7,53.9,155000
10/2/2013,54.6,56.3,54.0,55.5,263400
10/3/2013,56.4,58.3,55.2,56.1,256000
10/6/2013,56.0,56.2,54.0,54.1,138600
10/7/2013,53.7,54.7,53.7,54.1,95400
10/8/2013,54.0,54.0,51.0,51.9,106600
10/9/2013,52.0,54.5,52.0,53.4,201200
10/10/2013,53.0,54.0,53.0,53.7,124000
10/20/2013,52.0,53.9,51.3,51.9,103200
10/21/2013,51.4,52.8,48.0,52.2,197200
10/22/2013,52.1,53.5,52.1,52.8,113800
10/23/2013,53.7,53.9,51.5,51.6,180200
10/24/2013,51.1,51.9,50.9,50.9,158000
10/27/2013,51.7,52.0,50.8,51.3,111800
10/28/2013,51.9,52.6,49.9,50.1,247600
10/29/2013,51.1,52.1,50.0,50.3,138000
10/30/2013,50.1,51.7,49.5,49.8,271000
10/31/2013,50.8,50.8,49.6,49.8,85800
11/3/2013,49.5,51.0,49.5,50.5,96600
11/4/2013,51.0,51.5,49.8,51.0,288000
11/5/2013,54.0,55.5,53.5,54.3,809600
11/6/2013,54.5,54.5,52.8,53.0,274000
11/7/2013,53.0,53.8,52.5,53.1,214400
11/10/2013,53.0,53.3,51.8,52.0,222200
11/11/2013,51.1,52.8,51.1,51.5,190000
11/12/2013,51.6,52.0,51.3,51.4,156600
11/13/2013,51.1,53.6,51.1,53.3,354800
11/14/2013,53.9,54.9,53.5,54.6,708800
11/17/2013,55.6,57.8,54.2,57.1,1170200
11/19/2013,54.0,54.8,51.5,52.1,889000
11/20/2013,52.2,54.0,51.9,52.4,848600
11/21/2013,52.2,53.4,51.7,53.0,534800
11/24/2013,53.0,53.9,52.0,52.4,580800
11/25/2013,52.9,57.5,52.4,55.7,1299200
11/26/2013,56.9,57.1,53.6,54.1,766000
11/27/2013,55.0,55.0,52.4,52.7,414800
11/28/2013,52.5,53.5,51.8,52.5,274400
12/1/2013,52.2,52.7,50.5,51.1,238400
12/2/2013,50.7,52.6,50.6,51.2,263600
12/3/2013,51.9,53.1,51.8,52.7,270000
12/4/2013,53.2,54.5,53.0,53.3,514000
12/5/2013,53.2,58.0,53.2,57.3,1702400
12/8/2013,57.3,57.3,53.0,54.6,1285200
12/9/2013,54.8,55.2,53.5,53.7,564200
12/10/2013,53.9,54.2,52.9,53.2,1230400
12/11/2013,54.0,54.4,53.1,53.3,594000
12/12/2013,53.4,53.9,52.5,52.6,468600
12/15/2013,53.0,53.0,51.7,51.9,446200
12/17/2013,52.4,52.9,51.6,51.7,353400
12/18/2013,52.1,52.3,51.2,51.4,229600
12/19/2013,52.4,52.4,51.1,51.4,232400
12/22/2013,51.5,52.0,51.4,51.7,415000
12/23/2013,51.6,51.9,50.7,50.9,351800
12/24/2013,50.3,50.8,48.7,48.9,337800
12/26/2013,49.6,50.0,48.0,48.2,182800
12/29/2013,48.5,49.3,47.3,48.4,111600
12/30/2013,48.5,49.5,48.4,48.8,135800
1/1/2014,49.5,50.0,48.8,48.9,158400
1/2/2014,49.0,49.5,48.5,49.0,153600
1/6/2014,48.6,49.3,48.6,48.8,130600
1/7/2014,46.1,51.5,46.1,50.6,332600
1/8/2014,52.0,52.0,50.7,51.3,260200
1/9/2014,51.7,52.3,51.3,51.7,390600
1/12/2014,52.1,52.1,51.1,51.3,272600
1/13/2014,51.7,51.9,50.9,51.0,248800
1/15/2014,51.1,51.6,51.0,51.2,381200
1/16/2014,51.5,51.6,51.0,51.2,233600
1/19/2014,51.2,51.5,51.0,51.0,193000
1/20/2014,51.3,51.3,50.5,50.6,187600
1/21/2014,49.4,51.8,49.4,51.1,302000
1/22/2014,52.0,52.5,51.8,52.2,331400
1/23/2014,52.3,52.6,51.4,51.5,282800
1/26/2014,51.9,52.0,51.2,51.3,301400
1/27/2014,51.5,51.9,50.8,50.9,219600
1/28/2014,50.8,51.5,50.4,50.6,176000
1/29/2014,51.0,51.6,50.5,50.7,190600
1/30/2014,51.6,51.8,51.0,51.3,306200
2/2/2014,51.9,52.8,51.6,51.8,377400
2/3/2014,52.2,52.8,51.8,52.0,313200
2/4/2014,52.5,52.7,52.0,52.2,546600
2/5/2014,52.2,54.8,52.2,54.5,1638200
2/6/2014,54.8,55.4,53.5,53.6,767600
2/9/2014,54.3,54.7,52.9,53.1,565800
2/10/2014,53.0,54.3,52.7,52.9,517800
2/11/2014,53.9,53.9,52.1,52.3,268400
2/12/2014,52.6,53.3,51.2,51.5,268800
2/13/2014,51.5,52.2,51.1,51.7,323800
2/16/2014,52.1,52.4,50.5,50.8,183800
2/17/2014,51.0,51.3,50.7,50.8,127600
2/18/2014,50.9,51.1,49.9,50.6,182400
2/19/2014,50.9,51.0,50.6,50.7,180600
2/20/2014,51.5,52.0,50.8,51.3,173200
2/23/2014,52.0,53.2,51.6,52.7,482600
2/24/2014,52.6,53.4,51.9,52.2,253800
2/25/2014,52.2,52.5,51.4,51.6,291000
2/26/2014,51.7,51.7,50.6,50.8,355000
2/27/2014,52.0,52.3,50.1,50.4,338000
3/2/2014,50.3,50.3,48.0,48.1,426200
3/3/2014,48.1,48.2,46.5,46.6,336000
3/4/2014,46.5,47.5,45.5,46.8,156400
3/5/2014,47.0,47.5,47.0,47.3,118400
3/6/2014,47.6,47.7,46.6,46.7,153400
3/9/2014,46.5,47.4,45.7,46.0,160400
3/10/2014,45.5,46.9,45.5,46.5,161400
3/11/2014,47.0,48.7,46.8,48.4,254200
3/12/2014,48.4,48.7,47.9,48.0,126800
3/13/2014,48.1,48.1,47.5,47.6,59000
3/16/2014,47.9,48.0,46.8,47.2,184800
3/18/2014,47.3,48.3,47.2,47.5,187400
3/19/2014,47.3,47.5,46.9,47.0,152000
3/20/2014,47.3,47.9,46.8,47.0,72800
3/23/2014,47.0,47.5,46.8,47.0,68600
3/24/2014,47.1,47.5,46.8,47.0,119200
3/25/2014,50.0,50.0,47.7,48.5,349800
3/27/2014,49.0,52.9,49.0,52.1,1206800
3/30/2014,53.0,56.2,53.0,55.9,2648000
3/31/2014,56.3,56.9,53.2,53.8,970000
4/1/2014,53.8,57.5,53.6,56.8,1424800
4/2/2014,57.5,60.2,57.0,59.0,1968000
4/3/2014,59.5,60.7,56.6,57.2,970200
4/6/2014,57.0,59.2,57.0,58.0,913800
4/7/2014,57.6,58.9,56.0,56.3,1246600
4/8/2014,56.3,56.9,53.5,53.8,1014400
4/9/2014,55.3,55.8,52.2,53.2,689000
4/10/2014,54.0,58.3,52.7,57.3,776400
4/13/2014,58.0,59.6,56.9,58.8,613200
4/15/2014,59.8,60.0,56.7,57.1,685600
4/16/2014,56.9,57.2,55.0,55.9,481800
4/17/2014,57.9,57.9,55.0,55.9,415200
4/20/2014,56.5,56.6,54.7,55.2,373400
4/21/2014,55.2,56.8,55.2,55.6,389800
4/22/2014,55.1,56.0,55.1,55.2,348600
4/23/2014,55.0,58.8,55.0,58.0,982000
4/24/2014,57.5,59.0,56.1,56.4,833200
4/27/2014,57.2,57.3,56.1,56.3,345000
4/28/2014,56.3,57.6,54.7,55.0,454000
4/29/2014,57.4,58.8,54.9,56.7,1083600
4/30/2014,57.2,58.8,57.1,58.6,970000
5/4/2014,59.0,62.5,58.8,60.7,1417400
5/5/2014,61.5,62.5,59.9,62.2,1199800
5/6/2014,62.6,64.0,61.6,61.8,1041200
5/7/2014,61.2,62.5,59.7,60.0,962200
5/8/2014,60.9,63.0,60.1,62.6,1057200
5/11/2014,63.6,65.0,62.9,64.3,1451200
5/12/2014,64.6,64.7,62.0,62.5,1104800
5/14/2014,62.7,64.0,61.9,63.7,813800
5/15/2014,64.7,64.7,63.0,63.4,1117000
5/18/2014,63.8,64.4,63.2,63.5,749600
5/19/2014,63.7,63.8,61.5,61.7,720400
5/20/2014,62.3,62.3,59.9,60.8,920400
5/21/2014,61.6,61.7,60.0,60.2,975000
5/22/2014,61.0,61.4,58.6,59.1,712000
5/25/2014,59.7,59.8,58.2,58.7,488800
5/26/2014,59.7,59.7,56.9,57.4,538800
5/27/2014,57.8,62.7,57.4,62.1,1043800
5/28/2014,63.5,64.0,59.0,59.9,2109800
5/29/2014,60.0,62.5,59.8,62.0,873000
6/1/2014,62.2,62.4,60.5,60.7,858800
6/2/2014,60.7,61.1,58.3,58.7,766200
6/3/2014,59.8,59.8,57.5,57.9,681600
