Date,Open,High,Low,Close,Volume
4/9/2019,47.3,59.0,45.3,45.9,6783865
4/10/2019,46.0,47.0,42.8,43.3,1415081
4/11/2019,43.3,45.5,41.7,42.9,2103266
4/15/2019,42.9,45.2,42.9,43.6,1519810
4/16/2019,43.8,43.8,41.8,42.3,1570482
4/17/2019,42.7,43.5,41.2,42.0,1232198
4/18/2019,42.0,42.5,41.0,41.4,1424899
4/21/2019,42.0,43.8,42.0,43.3,1351580
4/23/2019,43.5,43.5,41.8,42.1,1210031
4/24/2019,42.1,42.3,40.6,41.0,1133312
4/25/2019,41.0,42.3,40.2,41.5,1185003
4/28/2019,41.5,45.5,41.2,44.2,2052767
4/29/2019,43.5,44.0,42.7,42.9,1222446
4/30/2019,43.2,45.0,42.9,43.2,1964855
5/2/2019,43.5,46.2,43.2,45.8,1572733
5/5/2019,46.6,46.8,45.0,45.2,2164940
5/6/2019,45.2,49.6,44.6,49.0,3667347
5/7/2019,49.4,50.6,47.4,48.0,2485518
5/8/2019,47.8,50.0,46.9,49.4,2854897
5/9/2019,50.4,52.4,49.9,51.1,2654782
5/12/2019,51.4,51.4,48.9,49.2,2050782
5/13/2019,49.3,49.9,46.8,47.0,1635161
5/14/2019,47.5,48.5,46.5,47.5,976422
5/15/2019,48.2,48.3,46.3,46.6,726444
5/16/2019,47.6,47.6,46.0,46.4,782356
5/19/2019,47.0,47.3,46.2,46.4,942066
5/20/2019,46.8,48.1,46.8,47.2,1001953
5/21/2019,47.2,47.5,45.5,45.8,1327043
5/22/2019,45.9,46.2,45.1,45.2,872343
5/23/2019,45.3,45.8,45.2,45.5,500184
5/26/2019,45.6,45.6,43.7,44.0,1027055
5/27/2019,43.9,44.7,43.3,43.6,721756
5/28/2019,43.9,45.2,43.9,44.5,529009
5/29/2019,44.8,46.2,44.8,45.4,807580
5/30/2019,45.6,46.1,44.8,45.0,674032
6/9/2019,45.6,45.6,44.1,44.3,578748
6/10/2019,44.4,45.6,44.4,45.0,650930
6/11/2019,45.2,46.9,45.1,46.3,1246992
6/12/2019,46.4,46.4,45.0,45.2,881233
6/13/2019,45.3,46.6,44.9,45.7,1133188
6/16/2019,46.4,47.0,45.1,45.3,1233509
6/17/2019,45.6,45.6,44.1,44.5,686170
6/18/2019,44.7,45.6,44.6,44.9,800592
6/19/2019,45.0,45.2,44.2,44.4,439511
6/20/2019,44.4,44.8,43.6,43.7,673868
6/23/2019,43.8,44.0,42.3,42.6,483903
6/24/2019,42.6,43.2,42.4,42.8,527791
6/25/2019,43.5,44.6,43.3,43.8,926956
6/26/2019,44.2,44.6,43.8,44.2,819202
6/27/2019,44.3,44.7,43.7,44.2,622643
6/30/2019,44.5,45.3,44.3,44.7,621251
7/2/2019,44.9,47.4,44.5,46.9,2229485
7/3/2019,47.3,47.8,45.6,46.0,1614944
7/4/2019,46.1,46.3,45.4,45.6,1332901
7/7/2019,45.4,45.7,44.7,44.9,651693
7/8/2019,44.9,45.2,44.6,44.8,570196
7/9/2019,44.8,44.8,43.0,43.2,620757
7/10/2019,43.2,43.6,42.6,42.8,407623
7/11/2019,42.9,43.7,42.6,42.8,276610
7/14/2019,42.9,43.0,41.5,41.7,259765
7/15/2019,42.0,42.0,40.7,40.8,287068
7/16/2019,41.2,42.0,40.5,41.5,340104
7/17/2019,41.7,42.7,41.4,42.3,218045
7/18/2019,42.4,42.9,41.8,42.2,460779
7/21/2019,41.6,42.1,40.4,40.6,420675
7/22/2019,40.9,41.0,39.2,40.2,568879
7/23/2019,40.4,41.8,40.4,41.3,178199
7/24/2019,41.2,41.9,40.6,41.5,453342
7/25/2019,41.5,42.0,41.5,41.7,231661
7/28/2019,41.8,42.2,40.5,40.7,348539
7/29/2019,41.0,42.3,40.4,42.0,532122
7/30/2019,42.0,42.7,41.2,41.3,313160
7/31/2019,41.6,41.6,40.5,40.8,425951
8/1/2019,41.1,41.9,40.8,41.7,296444
8/4/2019,41.6,42.4,41.6,42.0,364271
8/5/2019,41.7,42.0,41.3,41.4,453356
8/6/2019,41.5,42.5,41.5,41.8,395727
8/7/2019,41.7,41.9,41.2,41.3,395490
8/8/2019,41.2,41.7,41.1,41.3,181962
8/18/2019,41.6,41.6,40.8,41.0,204596
8/19/2019,41.0,41.5,40.5,40.7,754172
8/20/2019,40.7,41.6,40.6,40.8,389328
8/21/2019,40.9,41.5,40.3,40.5,422620
8/22/2019,40.9,41.3,40.3,40.5,300868
8/25/2019,40.6,40.9,40.2,40.3,221084
8/26/2019,40.4,40.4,39.6,39.7,367312
8/27/2019,39.6,39.9,39.1,39.4,357595
8/28/2019,39.5,39.6,38.5,38.7,218604
8/29/2019,38.8,38.8,37.6,37.6,285766
9/1/2019,37.9,38.0,37.0,37.1,211997
9/2/2019,36.9,37.2,35.2,35.5,356785
9/3/2019,35.5,37.0,34.5,36.0,331671
9/4/2019,36.4,37.6,36.4,36.8,363130
9/5/2019,36.9,37.6,36.7,36.8,167371
9/8/2019,37.0,37.3,35.1,35.3,220087
9/9/2019,35.3,35.4,34.5,34.6,260279
9/11/2019,34.8,34.9,33.0,33.2,265204
9/12/2019,33.5,34.6,33.0,34.2,212416
9/15/2019,34.8,34.8,33.4,33.9,141116
9/16/2019,33.9,34.5,33.4,33.6,196448
9/17/2019,33.6,34.4,33.1,33.3,208318
9/18/2019,33.1,33.8,32.7,32.8,164174
9/19/2019,33.0,33.4,31.2,31.4,268257
9/22/2019,31.9,31.9,30.9,31.6,104100
