Date,Open,High,Low,Close,Volume
10/1/2012,119.0,120.9,117.2,118.2,121650
10/2/2012,122.5,125.7,119.0,120.1,177600
10/3/2012,122.6,126.0,120.3,121.1,238100
10/4/2012,123.0,124.0,120.0,121.1,69500
10/7/2012,120.3,123.0,118.1,118.7,109200
10/8/2012,118.4,120.2,117.0,117.5,66250
10/9/2012,118.0,120.7,118.0,118.5,44400
10/10/2012,118.5,119.8,116.0,116.5,89750
10/11/2012,117.5,117.5,114.1,114.6,64250
10/14/2012,116.5,116.9,112.5,113.3,40700
10/15/2012,113.7,116.1,113.2,113.8,35150
10/16/2012,114.8,115.9,113.4,113.9,44000
10/17/2012,114.0,114.8,113.0,113.4,79600
10/18/2012,114.0,115.0,112.1,113.2,25450
10/21/2012,113.5,114.6,112.2,112.3,22000
10/22/2012,114.3,115.8,111.5,114.7,17550
10/23/2012,112.5,116.5,112.5,114.6,18250
10/30/2012,117.9,117.9,113.1,114.2,26750
10/31/2012,114.0,115.0,113.5,114.3,58750
11/1/2012,115.0,115.0,112.5,112.9,52250
11/4/2012,114.0,114.0,110.0,110.6,29550
11/5/2012,109.5,112.0,109.1,110.5,25700
11/6/2012,111.0,111.4,107.3,108.9,36350
11/7/2012,108.8,109.0,107.0,107.3,33300
11/8/2012,106.8,108.5,106.0,106.4,26250
11/11/2012,105.2,105.2,102.0,102.8,57800
11/12/2012,104.4,105.8,102.9,103.5,39750
11/13/2012,104.4,111.9,104.0,111.3,45200
11/14/2012,110.0,111.6,106.1,111.3,136250
11/15/2012,109.8,112.5,109.0,111.5,21150
11/18/2012,114.2,114.2,109.6,110.7,41300
11/19/2012,108.8,109.9,106.1,106.3,19250
11/20/2012,105.5,108.0,105.0,105.5,17150
11/21/2012,108.3,108.4,105.4,105.8,15300
11/22/2012,106.0,107.2,105.2,105.9,12050
11/26/2012,105.0,105.0,103.1,103.5,19350
11/27/2012,103.6,105.0,100.0,101.5,16700
11/28/2012,105.3,105.4,100.3,101.4,15000
11/29/2012,104.9,107.1,102.1,106.9,35050
12/2/2012,107.9,108.8,105.0,106.0,53200
12/3/2012,104.4,104.5,103.4,103.6,25900
12/4/2012,102.6,104.0,102.0,103.6,18350
12/5/2012,105.0,105.0,103.5,104.1,11650
12/6/2012,105.0,105.0,102.5,104.2,18600
12/9/2012,104.9,104.9,101.1,103.3,38550
12/10/2012,101.6,104.5,101.5,103.4,22950
12/11/2012,102.6,107.9,102.6,106.5,23400
12/12/2012,106.0,106.9,104.8,105.9,12450
12/13/2012,106.1,106.8,106.0,106.1,43150
12/17/2012,105.0,107.3,105.0,106.3,32150
12/18/2012,105.0,106.5,104.8,104.9,47900
12/19/2012,105.3,107.0,104.2,104.8,30350
12/20/2012,105.7,107.7,103.8,104.1,62150
12/23/2012,103.9,105.0,101.8,103.2,68050
12/24/2012,103.5,104.5,103.3,104.3,24000
12/26/2012,104.0,106.0,103.6,104.6,22750
12/27/2012,105.9,106.5,105.1,105.7,21500
12/30/2012,107.8,107.8,105.8,106.2,27150
1/1/2013,107.9,107.9,104.6,105.0,15200
1/2/2013,105.0,105.6,103.0,103.5,21300
1/3/2013,103.8,104.7,103.3,104.0,2900
1/6/2013,104.2,105.0,103.5,103.8,14450
1/7/2013,106.7,106.7,103.0,103.5,9000
1/8/2013,103.9,105.0,102.5,102.9,12100
1/9/2013,103.0,104.2,102.8,103.2,43050
1/10/2013,103.1,103.4,102.8,103.0,10800
1/13/2013,103.1,103.1,102.2,102.3,23800
1/14/2013,102.3,103.5,101.0,101.9,27250
1/15/2013,102.0,102.6,101.5,101.8,12250
1/16/2013,102.0,102.7,101.3,101.5,25100
1/17/2013,101.9,102.6,101.9,102.4,53700
1/20/2013,102.0,103.6,101.6,102.7,16650
1/21/2013,105.0,105.0,102.0,102.6,11400
1/22/2013,103.0,104.6,102.0,103.9,48100
1/23/2013,107.0,109.0,105.0,107.8,89150
1/24/2013,109.1,110.0,107.0,108.4,92600
1/27/2013,109.5,109.5,106.3,106.9,42350
