Date,Open,High,Low,Close,Volume
8/28/2014,39.0,48.5,39.0,45.4,8654200
8/31/2014,44.0,45.0,41.1,41.4,2141000
9/1/2014,41.0,43.0,39.2,40.9,2651800
9/2/2014,41.0,42.3,37.5,38.2,2552400
9/3/2014,38.1,40.7,37.5,39.7,1873400
9/4/2014,40.5,42.0,40.1,40.9,2057000
9/7/2014,41.0,41.5,38.7,39.0,1458000
9/8/2014,38.7,39.6,37.7,38.0,1424600
9/9/2014,38.7,41.8,38.6,40.9,2675600
9/10/2014,40.5,41.3,39.2,39.7,1444000
9/11/2014,40.0,40.0,38.5,38.8,1635400
9/14/2014,38.2,39.0,37.4,37.5,1280400
9/15/2014,38.9,38.9,37.3,37.4,702000
9/16/2014,38.0,38.3,36.0,36.3,1021000
9/17/2014,36.0,37.1,34.9,35.2,1269000
9/18/2014,35.6,36.5,34.7,35.0,1003800
9/21/2014,35.5,36.1,35.0,35.3,678000
9/22/2014,34.8,35.6,33.7,34.1,963400
9/23/2014,34.1,34.4,32.2,32.4,1034000
9/24/2014,32.1,34.6,31.7,32.9,658800
9/25/2014,33.8,33.8,32.0,32.2,572000
9/28/2014,31.7,33.3,31.7,32.2,680600
9/29/2014,32.2,32.9,31.6,32.1,401600
9/30/2014,32.1,32.6,30.1,31.1,569000
10/1/2014,31.0,31.9,30.4,30.6,483600
10/2/2014,31.8,33.6,30.7,33.4,1184600
10/12/2014,33.6,34.6,33.2,33.7,390600
10/13/2014,33.8,33.9,32.8,33.1,843000
10/14/2014,34.0,34.7,32.8,32.9,444800
10/15/2014,33.0,35.1,32.9,34.7,1265200
10/16/2014,35.0,35.2,33.3,33.8,479600
10/19/2014,33.7,33.7,32.9,33.2,417600
10/20/2014,33.7,34.3,33.2,33.6,484800
10/21/2014,33.6,34.1,33.4,33.6,483600
10/22/2014,33.3,34.9,33.3,34.1,721800
10/23/2014,34.1,34.5,33.6,34.1,392800
10/26/2014,35.0,35.0,33.1,33.4,577800
10/27/2014,33.1,34.0,32.7,33.6,415000
10/28/2014,33.8,33.9,32.5,32.7,317000
10/29/2014,32.5,34.3,32.3,33.0,597400
10/30/2014,33.0,34.7,33.0,33.7,764000
11/2/2014,34.0,34.5,33.5,33.9,863200
11/3/2014,32.8,34.2,32.0,32.9,444000
11/5/2014,32.5,33.5,32.0,32.8,672200
11/9/2014,28.5,29.7,28.5,29.5,843200
11/10/2014,30.5,30.5,29.0,29.1,555800
11/11/2014,29.1,29.4,27.9,28.3,378000
11/12/2014,28.5,30.0,28.5,29.6,771400
11/13/2014,29.2,29.7,28.9,29.0,514000
11/16/2014,30.8,30.8,29.0,29.0,475600
11/17/2014,29.5,29.5,28.3,28.7,500800
11/18/2014,28.5,29.0,28.4,28.6,216200
11/19/2014,28.5,29.2,28.4,28.5,282600
11/20/2014,28.6,28.6,28.1,28.1,393200
11/23/2014,28.2,28.6,27.5,27.7,123400
11/24/2014,27.8,27.9,26.9,27.0,94200
11/25/2014,27.2,28.3,27.2,27.3,194000
11/26/2014,27.3,28.1,27.2,27.5,114800
11/27/2014,27.3,27.7,27.1,27.4,104400
11/30/2014,27.6,27.7,27.3,27.4,122600
12/1/2014,27.4,27.9,27.4,27.5,99800
12/2/2014,27.6,28.4,27.6,28.1,320200
12/3/2014,27.9,28.2,27.7,27.7,283000
12/4/2014,27.6,27.9,27.0,27.0,264000
12/7/2014,26.9,27.6,26.8,26.9,164800
12/8/2014,28.2,28.2,27.0,27.2,202600
12/9/2014,27.5,27.5,26.8,26.9,226600
12/10/2014,27.3,27.6,26.7,26.8,129000
12/11/2014,26.7,27.5,26.6,27.1,78905
12/14/2014,27.2,27.6,27.1,27.4,128435
12/15/2014,27.5,28.7,27.5,28.5,705062
12/17/2014,28.7,29.4,28.7,29.2,720683
12/18/2014,29.4,29.6,28.0,28.1,290541
12/21/2014,27.8,27.9,27.1,27.3,178826
12/22/2014,27.2,28.1,26.6,26.8,304196
12/23/2014,26.8,27.3,26.4,26.7,104856
12/24/2014,26.7,26.7,25.3,25.6,310005
12/28/2014,26.6,26.6,24.6,25.0,316337
12/29/2014,25.2,26.3,25.0,25.8,195855
12/30/2014,25.6,27.4,25.6,27.2,403765
1/1/2015,27.5,28.2,26.6,28.0,293294
1/5/2015,27.3,27.8,27.2,27.4,107167
1/6/2015,27.2,27.5,26.6,27.0,263091
1/7/2015,27.0,27.5,26.5,26.6,311324
1/8/2015,26.4,26.8,26.1,26.3,227218
1/11/2015,26.3,26.9,26.2,26.5,195170
1/12/2015,26.9,27.4,26.3,27.2,283294
1/13/2015,27.4,27.7,26.6,26.7,304374
1/14/2015,26.2,27.0,25.9,26.0,410865
1/15/2015,26.4,26.5,25.5,25.9,384032
1/18/2015,25.6,26.2,25.3,25.5,216570
1/19/2015,25.3,25.7,24.8,25.0,221939
1/20/2015,24.9,25.4,24.7,25.0,86137
1/21/2015,24.7,24.8,23.7,24.0,188006
