Date,Open,High,Low,Close,Volume
10/1/2012,27.1,28.0,25.1,27.8,65500
10/2/2012,28.9,29.9,27.0,27.5,152000
10/3/2012,27.5,28.8,25.6,26.5,165000
10/4/2012,26.8,27.2,26.0,26.1,56000
10/7/2012,26.5,26.8,25.1,25.3,38500
10/8/2012,25.1,25.1,23.8,24.2,98000
10/9/2012,25.7,26.6,25.1,25.9,52500
10/10/2012,26.0,26.0,24.4,24.7,77500
10/11/2012,25.5,25.9,24.6,24.9,19000
10/14/2012,25.3,25.3,23.4,23.5,62000
10/15/2012,23.9,24.0,23.1,23.6,26000
10/16/2012,23.8,24.6,23.4,23.5,40000
10/17/2012,23.6,23.9,23.0,23.1,30000
10/18/2012,23.3,23.6,22.5,22.6,58000
10/21/2012,23.0,24.0,22.6,23.7,59000
10/22/2012,24.0,25.8,24.0,25.4,112000
10/23/2012,24.8,25.8,24.8,24.9,38000
10/30/2012,26.0,26.3,25.1,25.5,70000
10/31/2012,25.0,25.3,24.4,24.5,45000
11/1/2012,25.0,25.5,24.7,25.2,151000
11/4/2012,25.4,25.4,24.4,24.7,63500
11/5/2012,24.5,24.6,23.8,24.2,33500
11/6/2012,24.3,24.5,24.0,24.1,31000
11/7/2012,24.0,24.5,23.7,24.0,83000
11/11/2012,20.5,21.1,19.7,19.7,69500
11/12/2012,18.5,19.7,18.3,18.5,31500
11/13/2012,18.9,19.9,18.9,19.7,47500
11/14/2012,20.4,20.4,19.3,19.6,17000
11/15/2012,19.5,19.6,19.0,19.1,53000
11/18/2012,19.5,19.7,19.0,19.1,33000
11/19/2012,18.7,19.5,18.4,18.6,32500
11/20/2012,18.4,19.0,18.2,18.3,41500
11/21/2012,18.4,18.8,17.9,18.4,47000
11/22/2012,18.7,18.9,18.4,18.5,23500
11/26/2012,18.4,18.4,17.5,17.6,34500
11/27/2012,18.0,18.0,17.0,17.1,76000
11/28/2012,17.9,17.9,17.3,17.5,25500
11/29/2012,18.8,19.2,18.0,19.1,91500
12/2/2012,20.1,20.2,18.5,18.9,73500
12/3/2012,18.6,18.6,18.3,18.3,24000
12/4/2012,18.0,18.6,17.8,18.2,11000
12/5/2012,19.3,19.3,18.0,18.7,38000
