Date,Open,High,Low,Close,Volume
10/1/2012,41.8,43.0,40.1,42.7,1578400
10/2/2012,43.5,44.9,42.5,43.0,1880400
10/3/2012,44.0,44.0,40.5,40.9,1026200
10/4/2012,41.7,41.7,39.3,39.6,694900
10/7/2012,41.8,41.8,36.2,36.6,825100
10/8/2012,36.7,38.3,36.6,37.5,588800
10/9/2012,39.7,39.9,37.5,38.3,721200
10/10/2012,38.9,39.4,36.1,36.6,742500
10/11/2012,37.5,37.7,36.1,36.4,449900
10/14/2012,36.7,37.8,35.9,36.0,672500
10/15/2012,36.7,37.0,35.5,35.7,502800
10/16/2012,36.8,37.4,36.5,36.8,449200
10/17/2012,37.0,38.7,36.9,38.4,978000
10/18/2012,39.0,39.0,37.5,37.6,520700
10/21/2012,37.7,37.7,35.1,35.9,323200
10/22/2012,36.0,36.9,35.2,36.4,321700
10/23/2012,36.8,37.4,36.3,36.5,293600
10/30/2012,36.0,36.9,35.1,35.6,301800
10/31/2012,35.9,36.0,35.1,35.4,249700
11/1/2012,36.4,36.4,35.3,35.5,228300
11/4/2012,35.5,35.6,34.1,34.2,282100
11/5/2012,35.2,35.2,33.9,34.0,294900
11/6/2012,34.7,34.7,33.2,33.3,412500
11/7/2012,33.5,34.0,33.0,33.0,189500
11/8/2012,35.0,35.0,32.2,32.3,242900
11/11/2012,32.2,32.4,30.2,30.5,338300
11/12/2012,31.0,31.8,30.5,31.5,397100
11/13/2012,31.5,34.6,31.4,34.4,765400
11/14/2012,34.9,34.9,32.9,33.3,414500
11/15/2012,32.9,32.9,30.0,31.8,699800
11/18/2012,31.8,32.4,31.1,31.9,690300
11/20/2012,28.4,28.4,26.0,26.3,585000
11/21/2012,27.0,27.2,26.3,26.7,257400
11/22/2012,26.7,27.2,26.6,26.9,289000
11/26/2012,26.5,26.9,25.7,25.9,212500
11/27/2012,25.6,26.2,25.6,25.9,199300
11/28/2012,26.1,26.7,25.8,26.2,156700
11/29/2012,27.5,28.8,26.7,28.5,455400
12/2/2012,28.0,28.8,27.1,27.4,291700
12/3/2012,27.3,27.5,26.9,26.9,142100
12/4/2012,27.0,27.1,26.5,26.9,113600
12/5/2012,27.5,27.5,26.5,26.6,87300
12/6/2012,26.8,26.8,26.0,26.6,289100
12/9/2012,26.0,26.7,25.6,25.8,164200
12/10/2012,26.7,26.7,25.2,25.3,125800
12/11/2012,25.3,25.9,25.1,25.4,169700
12/12/2012,25.3,26.1,25.1,25.1,73200
12/13/2012,25.2,25.5,25.1,25.3,89400
12/17/2012,25.6,25.9,25.5,25.6,96000
12/18/2012,25.6,25.9,25.3,25.4,135200
12/19/2012,25.4,26.4,25.4,25.7,153100
12/20/2012,26.1,26.5,25.8,25.9,129900
12/23/2012,25.6,26.0,25.3,25.6,229200
12/24/2012,25.7,25.8,25.4,25.5,94300
12/26/2012,25.4,25.8,25.4,25.5,100700
12/27/2012,25.6,26.1,25.5,25.9,219100
12/30/2012,25.9,26.2,25.8,26.0,305300
1/1/2013,25.8,26.1,25.6,25.6,88600
1/2/2013,25.5,25.7,25.4,25.5,118600
1/3/2013,25.5,25.8,25.4,25.6,108800
1/6/2013,25.6,26.0,25.5,25.6,87700
1/7/2013,25.5,25.6,25.1,25.2,185800
1/8/2013,25.2,25.5,24.8,24.9,124900
1/9/2013,25.0,25.1,24.5,24.5,131300
1/10/2013,25.3,25.3,24.3,25.0,126900
1/13/2013,25.1,25.1,24.5,24.6,78500
1/14/2013,25.0,25.2,24.6,24.6,37000
1/15/2013,24.8,24.8,24.2,24.3,105000
