Date,Open,High,Low,Close,Volume
2/6/2019,44.9,59.0,44.0,56.5,8150026
2/7/2019,57.0,61.7,54.5,55.4,1294762
2/10/2019,54.3,55.6,49.9,50.3,3640514
2/11/2019,48.1,54.8,46.0,53.3,2277058
2/12/2019,53.3,55.6,50.0,51.8,2468724
2/13/2019,51.7,54.7,50.2,52.5,2069790
2/14/2019,54.5,54.9,48.7,49.2,2235543
2/17/2019,49.5,51.2,47.1,49.1,1390231
2/18/2019,49.9,50.6,47.0,47.3,1073338
2/19/2019,47.1,48.4,45.5,46.2,1153217
2/20/2019,46.7,47.2,44.8,45.1,1095888
2/24/2019,45.8,45.9,43.4,43.7,712048
2/25/2019,43.7,46.9,43.7,45.7,1108607
2/26/2019,48.5,48.5,43.6,44.0,804693
2/27/2019,44.4,44.5,42.1,42.7,1045356
3/3/2019,43.8,44.8,43.1,43.3,522736
3/4/2019,44.6,46.5,43.3,45.3,1407736
3/5/2019,45.6,45.6,43.2,43.4,559041
3/6/2019,43.9,45.3,43.5,45.0,899194
3/7/2019,45.4,47.3,44.9,45.7,1362208
3/10/2019,46.0,46.7,45.3,45.6,687724
3/11/2019,46.0,47.0,45.7,46.6,805740
3/12/2019,47.0,49.4,47.0,47.5,1423257
3/13/2019,48.3,48.3,45.5,45.7,861779
3/14/2019,46.3,46.3,41.6,42.2,1745416
3/18/2019,42.5,43.3,41.8,42.9,441015
3/19/2019,43.0,44.3,43.0,43.6,436408
3/20/2019,44.4,44.6,42.7,43.0,471585
3/21/2019,42.3,43.4,41.8,42.5,404930
3/24/2019,42.8,43.1,41.9,42.1,217147
3/25/2019,42.3,43.4,42.3,42.6,385893
3/27/2019,42.5,44.2,42.5,43.5,440997
3/28/2019,43.5,44.4,42.8,43.0,316947
3/31/2019,43.0,43.7,41.7,41.8,325877
4/1/2019,42.0,42.4,41.4,41.8,374811
4/2/2019,42.3,42.6,41.6,41.8,347996
4/3/2019,41.8,42.0,39.6,39.8,737438
4/4/2019,40.2,41.2,38.7,40.6,530827
4/7/2019,40.8,40.8,37.8,38.3,632637
4/8/2019,38.3,38.7,36.7,36.8,516760
4/9/2019,36.8,37.9,36.0,36.5,255089
4/10/2019,36.7,37.5,35.0,35.6,229393
4/11/2019,36.1,36.5,35.3,35.7,298475
4/15/2019,35.8,36.6,35.0,35.2,184035
4/16/2019,35.2,35.4,34.0,34.7,230845
4/17/2019,35.2,35.2,32.4,33.5,331864
4/18/2019,31.8,35.7,31.8,35.3,528608
4/21/2019,35.6,36.9,35.5,36.0,342998
4/23/2019,36.0,36.0,33.2,33.7,727761
4/24/2019,33.0,36.3,32.4,35.6,627429
4/25/2019,35.8,39.1,35.8,39.1,1448835
4/28/2019,39.8,43.0,39.3,43.0,1618825
4/29/2019,44.0,44.0,41.4,42.0,2278688
4/30/2019,43.3,46.2,42.5,43.7,3049534
5/2/2019,44.4,48.0,43.3,48.0,1646648
5/5/2019,48.0,49.5,46.0,46.5,2160074
5/6/2019,46.9,51.0,45.7,49.9,1928753
5/7/2019,49.5,50.4,47.6,48.0,1059581
5/8/2019,48.5,49.8,47.2,49.0,1451979
5/9/2019,50.0,50.8,47.2,47.9,1800941
5/12/2019,48.0,48.0,46.0,46.2,1196757
5/13/2019,46.0,47.3,45.3,45.5,630614
5/14/2019,46.0,47.6,44.6,47.0,829912
5/15/2019,47.1,47.6,45.5,45.8,501555
5/16/2019,46.0,47.4,46.0,46.6,316424
5/19/2019,47.2,47.9,46.1,46.5,505606
5/20/2019,46.7,47.4,45.9,46.0,303460
5/21/2019,46.0,46.2,43.9,44.1,621595
5/22/2019,44.4,45.7,44.3,44.9,213906
5/23/2019,44.5,45.8,44.0,44.6,376245
5/26/2019,44.5,44.5,42.4,42.7,344449
5/27/2019,42.1,43.5,42.1,42.4,306909
5/28/2019,43.2,44.0,42.9,43.4,234282
5/29/2019,43.6,44.7,43.6,44.4,384503
5/30/2019,44.5,46.5,44.5,45.7,522145
6/9/2019,46.0,48.4,46.0,47.7,959293
6/10/2019,47.6,48.4,47.0,48.0,802843
6/11/2019,47.7,50.5,47.7,49.5,1425759
6/12/2019,49.1,49.8,48.3,48.6,582396
6/13/2019,48.4,53.0,48.4,51.8,2089975
6/16/2019,52.2,52.6,49.7,51.0,1089856
6/17/2019,51.1,51.8,49.9,50.2,1065346
6/18/2019,50.0,51.4,49.2,49.5,922347
6/19/2019,49.6,50.0,48.5,49.5,821449
