Date,Open,High,Low,Close,Volume
11/16/2022,9.8,9.8,9.0,9.0,23533661
11/17/2022,9.0,9.3,9.0,9.0,21028380
11/20/2022,9.1,9.1,9.0,9.0,4309372
11/21/2022,9.0,9.0,9.0,9.0,3218150
11/22/2022,9.0,9.0,9.0,9.0,248535
11/23/2022,9.0,9.0,9.0,9.0,81910
11/24/2022,9.0,9.0,9.0,9.0,43105
11/27/2022,9.0,9.0,9.0,9.0,125189
11/28/2022,9.0,9.0,9.0,9.0,171603
11/29/2022,9.0,9.0,9.0,9.0,28155
11/30/2022,9.0,9.0,9.0,9.0,12148
12/1/2022,9.0,9.0,9.0,9.0,4542
12/4/2022,9.0,9.0,9.0,9.0,25021
12/5/2022,9.0,9.0,9.0,9.0,21746
12/6/2022,9.0,9.0,9.0,9.0,2077
12/7/2022,9.0,9.0,9.0,9.0,5950
12/8/2022,9.0,9.0,9.0,9.0,3439
12/11/2022,9.0,9.0,9.0,9.0,1867
12/12/2022,9.0,9.0,9.0,9.0,1499
12/13/2022,9.0,9.0,9.0,9.0,13674
12/14/2022,9.0,9.0,9.0,9.0,18285
12/15/2022,9.0,9.0,9.0,9.0,1507
12/18/2022,9.0,9.0,9.0,9.0,37276
12/19/2022,9.0,9.0,9.0,9.0,2530
12/20/2022,9.0,9.0,9.0,9.0,2878
12/21/2022,9.0,9.0,9.0,9.0,953
12/22/2022,9.0,9.0,9.0,9.0,3308
12/26/2022,9.0,9.0,9.0,9.0,6789
12/27/2022,9.0,9.0,9.0,9.0,1001
12/28/2022,9.0,9.0,9.0,9.0,150
12/29/2022,9.0,9.0,9.0,9.0,1542
1/1/2023,9.0,9.0,9.0,9.0,7417
1/2/2023,9.0,9.0,9.0,9.0,9939
1/3/2023,9.0,9.0,9.0,9.0,3417
1/4/2023,9.0,9.0,9.0,9.0,1526
1/5/2023,9.0,9.0,9.0,9.0,181
1/8/2023,9.0,9.0,9.0,9.0,1371
1/9/2023,9.0,9.0,9.0,9.0,583
1/10/2023,9.0,9.0,9.0,9.0,1275
1/11/2023,9.0,9.0,9.0,9.0,4544
1/12/2023,9.0,9.0,9.0,9.0,21708
1/15/2023,9.0,9.0,9.0,9.0,20299
1/16/2023,9.0,9.0,9.0,9.0,12377
1/17/2023,9.0,9.0,9.0,9.0,7820
1/18/2023,9.0,9.0,9.0,9.0,16145
1/19/2023,9.0,9.0,9.0,9.0,2972
1/22/2023,9.0,9.0,9.0,9.0,7274
1/23/2023,9.0,9.0,9.0,9.0,7300
1/24/2023,9.0,9.0,9.0,9.0,2299
1/25/2023,9.0,9.0,9.0,9.0,15576
1/26/2023,9.0,9.0,9.0,9.0,19499
1/29/2023,9.0,9.0,9.0,9.0,10951
1/30/2023,9.0,9.0,9.0,9.0,4074
1/31/2023,9.0,9.0,9.0,9.0,6917
2/1/2023,9.0,9.0,9.0,9.0,3217
2/2/2023,9.0,9.0,9.0,9.0,1061
2/5/2023,9.0,9.0,9.0,9.0,18148
2/6/2023,9.0,9.0,9.0,9.0,133
2/7/2023,9.0,9.0,9.0,9.0,3193
2/8/2023,9.0,9.0,9.0,9.0,1346
2/9/2023,9.0,9.0,9.0,9.0,4805
2/12/2023,9.0,9.0,9.0,9.0,3725
2/13/2023,9.0,9.0,9.0,9.0,1203
2/14/2023,9.0,9.0,9.0,9.0,3209
2/15/2023,9.0,9.0,9.0,9.0,5017
2/16/2023,9.0,9.0,9.0,9.0,253
2/19/2023,9.0,9.0,9.0,9.0,41
2/20/2023,9.0,9.0,9.0,9.0,40
2/22/2023,9.0,9.0,9.0,9.0,16
2/23/2023,9.0,9.0,9.0,9.0,8048
2/26/2023,9.0,9.0,9.0,9.0,809
2/27/2023,9.0,9.0,9.0,9.0,2073
2/28/2023,9.0,9.0,9.0,9.0,33
3/1/2023,9.0,9.0,9.0,9.0,27
3/2/2023,9.0,9.0,9.0,9.0,1653
3/5/2023,9.0,9.0,9.0,9.0,4203
3/6/2023,9.0,9.0,9.0,9.0,12477
3/7/2023,9.0,9.0,9.0,9.0,1245
3/9/2023,9.0,9.0,9.0,9.0,117
3/12/2023,9.0,9.0,9.0,9.0,8067
3/13/2023,9.0,9.0,9.0,9.0,424
3/14/2023,9.0,9.0,9.0,9.0,54
3/15/2023,9.0,9.0,9.0,9.0,1868
3/16/2023,9.0,9.0,9.0,9.0,1124
3/19/2023,9.0,9.0,9.0,9.0,14259
3/20/2023,9.0,9.0,9.0,9.0,5696
3/21/2023,9.0,9.0,9.0,9.0,9984
3/22/2023,9.0,9.0,9.0,9.0,6218
3/23/2023,9.0,9.0,9.0,9.0,168
3/27/2023,9.0,9.0,9.0,9.0,10
3/28/2023,9.0,9.0,9.0,9.0,18
3/29/2023,9.0,9.0,9.0,9.0,718
3/30/2023,9.0,9.0,9.0,9.0,240
4/2/2023,9.0,9.0,9.0,9.0,220
4/3/2023,9.0,9.0,9.0,9.0,120
4/4/2023,9.0,9.0,9.0,9.0,4176
4/5/2023,9.0,9.0,9.0,9.0,2035
4/6/2023,9.0,9.0,9.0,9.0,804
4/9/2023,9.0,9.0,9.0,9.0,3041
4/10/2023,9.0,9.0,9.0,9.0,9556
4/11/2023,9.0,9.0,9.0,9.0,2655
4/12/2023,9.0,9.0,9.0,9.0,1378
4/13/2023,9.0,9.0,9.0,9.0,10137
4/16/2023,9.0,9.0,9.0,9.0,3390
4/17/2023,9.0,9.0,9.0,9.0,10078
4/18/2023,9.0,9.0,9.0,9.0,1059
4/24/2023,9.0,9.0,9.0,9.0,1688
4/25/2023,9.0,9.0,9.0,9.0,8701
4/26/2023,9.0,9.0,9.0,9.0,5656
4/27/2023,9.0,9.0,9.0,9.0,10932
4/30/2023,9.0,9.0,9.0,9.0,880723
5/2/2023,9.0,9.0,9.0,9.0,73012
5/3/2023,9.0,9.0,9.0,9.0,223785
5/7/2023,9.0,9.0,9.0,9.0,205940
5/8/2023,9.0,9.0,9.0,9.0,52978
5/9/2023,9.0,9.0,9.0,9.0,72501
5/10/2023,9.0,9.0,9.0,9.0,97582
5/11/2023,9.0,9.0,9.0,9.0,129385
5/14/2023,9.0,9.0,9.0,9.0,94268
5/15/2023,9.0,9.0,9.0,9.0,186855
5/16/2023,9.0,9.0,9.0,9.0,154366
5/17/2023,9.0,9.0,9.0,9.0,84777
5/18/2023,9.0,9.0,9.0,9.0,122434
5/21/2023,9.0,9.0,9.0,9.0,188820
5/22/2023,9.0,9.0,9.0,9.0,85191
5/23/2023,9.0,9.0,9.0,9.0,86829
5/24/2023,9.0,9.0,9.0,9.0,449387
5/25/2023,9.0,9.6,9.0,9.2,24019901
5/28/2023,9.2,9.2,9.0,9.0,14894717
5/29/2023,9.0,9.0,9.0,9.0,1373826
5/31/2023,8.6,8.6,8.6,8.6,259039
6/1/2023,8.6,8.6,8.6,8.6,20637
6/4/2023,8.6,8.6,8.6,8.6,32222
6/5/2023,8.6,8.6,8.6,8.6,10066
6/6/2023,8.6,8.6,8.6,8.6,6909
6/7/2023,8.6,8.6,8.6,8.6,4004
6/8/2023,8.6,8.6,8.6,8.6,10289
6/11/2023,8.6,8.6,8.6,8.6,14379
6/12/2023,8.6,8.6,8.6,8.6,19484
6/13/2023,8.6,8.6,8.6,8.6,15780
6/14/2023,8.6,8.6,8.6,8.6,5426
6/15/2023,8.6,8.6,8.6,8.6,15842
6/18/2023,8.6,8.6,8.6,8.6,70510
6/19/2023,8.6,8.6,8.6,8.6,17725
6/20/2023,8.6,8.6,8.6,8.6,11009
6/21/2023,8.6,8.6,8.6,8.6,5660
6/22/2023,8.6,8.6,8.6,8.6,15413
6/25/2023,8.6,8.6,8.6,8.6,4960
6/26/2023,8.6,8.6,8.6,8.6,26776
7/2/2023,8.6,8.6,8.6,8.6,12746
7/3/2023,8.6,8.6,8.6,8.6,202178
7/4/2023,8.6,8.6,8.6,8.6,10197
7/5/2023,8.6,8.6,8.6,8.6,37761
7/6/2023,8.6,8.6,8.6,8.6,18134
7/9/2023,8.6,8.6,8.6,8.6,22787
7/10/2023,8.6,8.6,8.6,8.6,27070
7/11/2023,8.6,8.6,8.6,8.6,41807
7/12/2023,8.6,8.6,8.6,8.6,33392
7/13/2023,8.6,8.6,8.6,8.6,31628
7/16/2023,8.6,8.6,8.6,8.6,128990
7/17/2023,8.6,8.6,8.6,8.6,49030
7/18/2023,8.6,8.6,8.6,8.6,17363
7/19/2023,8.6,8.6,8.6,8.6,21394
7/20/2023,8.6,8.6,8.6,8.6,17674
