Date,Open,High,Low,Close,Volume
10/1/2012,63.0,67.5,61.7,66.5,490500
10/2/2012,67.9,68.5,64.3,64.8,330000
10/3/2012,63.3,65.0,63.2,63.4,494000
10/4/2012,64.7,65.0,63.5,63.6,195000
10/7/2012,64.4,64.4,61.2,61.5,216000
10/8/2012,61.5,63.0,58.9,59.8,258000
10/9/2012,61.8,65.7,61.1,64.9,478000
10/10/2012,65.6,66.3,63.4,63.8,339500
10/11/2012,63.2,64.5,62.9,63.1,136500
10/14/2012,64.0,64.2,62.1,63.3,382500
10/15/2012,63.5,63.8,62.1,62.6,158500
10/16/2012,62.8,63.8,61.5,62.1,173000
10/17/2012,62.8,62.8,61.1,61.8,154000
10/18/2012,59.0,61.9,59.0,61.2,106000
10/21/2012,61.0,61.3,58.2,59.8,97500
10/22/2012,58.2,60.9,58.2,60.2,90500
10/23/2012,61.9,61.9,60.1,60.6,173500
10/30/2012,58.2,63.4,58.2,60.0,60000
10/31/2012,60.5,60.6,58.5,59.0,166000
11/1/2012,60.1,60.3,58.8,59.3,84500
11/4/2012,59.9,60.1,58.4,58.5,183500
11/5/2012,58.1,59.2,57.3,58.0,121000
11/6/2012,58.8,59.0,56.3,57.4,106000
11/7/2012,57.2,58.5,56.0,56.5,134500
11/8/2012,57.0,57.0,56.0,56.0,117500
11/11/2012,55.6,56.5,55.3,56.2,181000
11/12/2012,57.0,57.9,56.0,56.2,131500
11/13/2012,56.1,57.9,53.2,57.3,113000
11/14/2012,58.7,58.7,56.0,57.6,118000
11/15/2012,57.8,59.0,56.9,57.9,73000
11/18/2012,58.3,58.9,57.0,57.7,139500
11/19/2012,55.4,57.0,55.1,55.6,77500
11/20/2012,54.5,55.8,54.4,54.5,126000
11/21/2012,55.8,55.8,54.5,54.7,45500
11/22/2012,55.0,55.0,53.0,54.1,349000
11/26/2012,52.1,52.6,51.0,51.2,149000
11/27/2012,52.2,52.2,50.3,50.7,146000
11/28/2012,51.2,52.2,50.0,50.5,211000
11/29/2012,53.3,54.8,51.5,54.7,255500
12/2/2012,55.0,55.8,50.2,51.0,448000
12/3/2012,51.0,51.4,49.6,50.1,149000
12/4/2012,50.0,50.7,49.1,50.0,69500
12/5/2012,49.4,50.1,49.3,49.6,151500
12/6/2012,49.0,49.8,48.0,49.6,324500
12/9/2012,48.2,49.8,48.0,49.4,96000
12/10/2012,48.6,49.6,48.2,48.7,104500
12/11/2012,48.1,49.4,48.0,48.8,119500
12/12/2012,49.1,49.3,48.2,48.2,51500
12/13/2012,48.4,48.8,48.3,48.3,63500
12/17/2012,49.4,49.6,49.0,49.2,78500
12/18/2012,48.4,49.8,48.3,48.5,59000
12/19/2012,48.7,49.6,48.4,48.6,92000
12/20/2012,49.7,49.9,48.7,48.8,98000
12/23/2012,49.2,49.2,47.9,48.4,84000
12/24/2012,48.2,48.6,47.9,48.1,130500
12/26/2012,47.6,48.4,47.6,48.1,114500
12/27/2012,48.3,49.4,48.1,49.0,132000
12/30/2012,50.0,51.3,49.3,50.1,324000
1/1/2013,49.7,50.3,49.1,49.1,67500
1/2/2013,48.8,49.2,47.7,47.7,115500
1/3/2013,47.8,48.6,47.5,47.8,103000
1/6/2013,48.0,48.4,47.8,47.8,83500
1/7/2013,47.6,47.8,47.0,47.1,46000
1/8/2013,47.4,47.5,46.9,46.9,71000
1/9/2013,47.8,47.8,46.9,47.0,39000
1/10/2013,46.8,47.2,46.4,46.5,67500
1/13/2013,46.5,46.8,46.1,46.3,20000
1/14/2013,45.7,47.0,45.7,46.4,50000
1/15/2013,46.3,46.5,45.8,46.2,70000
1/16/2013,46.5,46.5,46.0,46.2,43000
