Date,Open,High,Low,Close,Volume
10/1/2012,8.1,8.9,7.6,8.7,3236500
10/2/2012,9.2,9.5,9.1,9.4,8679000
10/3/2012,10.3,10.3,8.9,9.0,7134500
10/4/2012,8.6,9.5,8.2,9.1,3199000
10/7/2012,9.1,9.2,8.2,8.2,1939500
10/8/2012,7.6,8.6,7.4,7.7,1198000
10/9/2012,8.2,8.4,7.9,8.4,1103500
10/10/2012,8.9,9.0,7.9,7.9,920000
10/11/2012,7.7,8.2,7.6,7.6,655000
10/14/2012,7.9,8.0,7.3,7.4,975000
10/15/2012,7.4,8.1,7.3,8.1,1286500
10/16/2012,8.8,8.8,7.8,8.0,1825500
10/17/2012,7.9,8.4,7.9,8.2,874500
10/18/2012,8.2,8.5,8.1,8.3,1012500
10/21/2012,8.4,8.5,8.0,8.0,673500
10/22/2012,8.0,8.2,8.0,8.0,652500
10/23/2012,8.1,8.4,8.1,8.2,858500
10/30/2012,8.3,8.3,8.1,8.2,560000
10/31/2012,8.1,8.6,8.1,8.1,739500
11/1/2012,8.2,8.4,8.0,8.1,439000
11/4/2012,8.1,8.2,7.7,7.8,534500
11/5/2012,7.8,8.0,7.8,7.8,291500
11/6/2012,7.9,8.1,7.7,8.0,950000
11/7/2012,8.2,8.3,7.9,7.9,1006500
11/8/2012,7.8,8.0,7.8,7.8,684000
11/11/2012,7.6,7.9,7.5,7.6,1246500
11/12/2012,7.7,7.8,7.6,7.6,536000
11/13/2012,7.6,7.7,7.5,7.5,1897500
11/14/2012,7.6,7.6,7.3,7.4,1982000
11/15/2012,7.5,8.0,7.4,7.8,1016500
11/18/2012,8.4,8.4,7.7,7.7,736000
11/19/2012,7.5,7.8,7.5,7.5,333500
11/20/2012,7.5,7.6,7.4,7.4,282000
11/21/2012,7.4,7.5,7.4,7.4,454500
11/22/2012,7.5,7.6,7.4,7.4,523500
11/26/2012,7.2,7.4,7.2,7.2,334000
11/27/2012,7.2,7.4,7.2,7.2,333000
11/28/2012,7.2,7.3,7.1,7.1,261000
11/29/2012,7.4,7.7,7.2,7.5,357500
12/2/2012,7.7,7.7,7.3,7.3,502500
12/3/2012,7.3,7.3,7.1,7.1,401500
12/4/2012,7.1,7.2,7.0,7.1,108500
12/5/2012,7.2,7.3,7.0,7.0,327000
12/6/2012,7.1,7.1,6.9,6.9,171500
12/9/2012,6.9,6.9,6.6,6.6,249000
12/10/2012,6.9,6.9,6.4,6.4,145500
12/11/2012,6.4,7.0,6.3,7.0,506000
12/12/2012,7.0,7.4,6.7,6.8,584500
12/13/2012,6.9,7.1,6.8,6.8,252500
12/17/2012,7.0,7.1,6.9,7.0,163000
12/18/2012,7.0,7.0,6.8,6.8,177000
12/19/2012,6.8,7.2,6.8,7.0,354000
12/20/2012,7.0,7.1,6.9,6.9,126000
12/23/2012,6.9,7.1,6.8,6.8,101000
12/24/2012,6.9,7.1,6.8,7.0,173500
12/26/2012,7.0,7.0,6.8,6.8,559000
12/27/2012,6.8,6.9,6.8,6.8,349000
12/30/2012,6.8,7.0,6.8,6.9,193000
1/1/2013,6.9,6.9,6.7,6.7,296500
1/2/2013,6.7,6.9,6.6,6.6,376500
1/3/2013,7.2,7.2,6.9,7.2,1676500
1/6/2013,7.3,7.5,7.1,7.2,810000
1/7/2013,7.1,7.2,7.0,7.0,266500
1/8/2013,7.1,7.3,7.0,7.0,397000
1/9/2013,7.7,7.7,7.2,7.2,1493500
1/10/2013,7.1,7.1,7.0,7.0,317000
1/13/2013,6.9,7.0,6.8,6.8,298500
1/14/2013,6.9,6.9,6.7,6.7,482000
1/15/2013,6.8,6.9,6.7,6.8,103000
1/16/2013,6.8,6.8,6.7,6.7,310500
1/17/2013,6.8,6.8,6.7,6.7,152000
1/20/2013,6.8,6.8,6.6,6.7,373000
1/21/2013,6.7,6.7,6.6,6.7,98000
1/22/2013,6.6,6.7,6.5,6.5,512000
1/23/2013,6.5,6.6,6.4,6.4,511000
1/24/2013,6.5,6.6,6.4,6.5,532500
1/27/2013,6.4,6.5,6.4,6.4,346500
1/28/2013,6.4,6.5,6.4,6.4,104500
1/29/2013,6.4,6.6,6.4,6.4,444000
1/30/2013,6.4,6.6,6.4,6.4,205500
1/31/2013,6.5,6.5,6.4,6.4,158500
2/3/2013,6.4,6.5,6.3,6.3,283000
2/4/2013,6.4,6.4,6.2,6.2,331000
2/5/2013,6.2,6.4,6.2,6.3,240500
2/6/2013,6.3,6.5,6.3,6.4,437500
2/7/2013,6.5,6.5,6.4,6.4,321500
2/10/2013,6.5,6.6,6.4,6.4,663500
2/11/2013,6.5,6.6,6.5,6.5,246500
2/12/2013,6.6,6.6,6.4,6.4,291000
