Date,Open,High,Low,Close,Volume
10/1/2012,23.0,25.1,23.0,24.9,13500
10/2/2012,25.0,25.0,23.7,24.2,6500
10/3/2012,25.0,25.0,24.5,24.7,27000
10/4/2012,24.1,24.9,24.1,24.7,4000
10/7/2012,23.7,23.7,23.7,23.7,500
10/8/2012,23.5,23.9,23.2,23.4,4500
10/9/2012,23.6,24.2,23.6,23.8,3000
10/10/2012,23.5,23.5,23.1,23.3,8000
10/11/2012,23.1,23.2,23.1,23.1,3500
10/14/2012,22.1,22.5,21.3,21.8,7500
10/15/2012,21.7,21.9,21.6,21.7,2500
10/16/2012,21.3,22.4,21.3,21.6,4000
10/17/2012,21.3,21.3,20.7,21.0,5000
10/18/2012,21.2,22.0,21.1,21.4,4000
10/21/2012,21.0,22.5,21.0,21.9,8500
10/22/2012,21.5,21.8,20.5,21.0,18000
10/23/2012,21.1,21.9,21.0,21.2,5000
10/30/2012,21.2,21.2,21.1,21.1,2000
10/31/2012,21.2,21.2,20.5,20.6,13500
11/1/2012,20.7,20.7,20.6,20.6,3000
11/4/2012,20.7,20.7,20.3,20.6,3000
11/5/2012,20.2,20.8,20.2,20.6,3000
11/6/2012,20.4,20.4,20.1,20.2,9000
11/7/2012,20.4,20.4,19.9,20.2,10000
11/8/2012,19.8,19.8,19.7,19.7,3500
11/11/2012,19.2,19.3,18.9,19.1,10500
11/12/2012,18.7,19.7,18.7,18.9,4000
11/14/2012,19.1,19.1,19.1,19.1,1000
11/15/2012,19.0,19.5,19.0,19.2,2000
11/18/2012,19.9,19.9,19.3,19.4,16500
11/19/2012,19.4,20.0,19.4,19.7,14000
11/20/2012,19.4,19.4,19.0,19.1,4000
11/21/2012,18.9,19.7,18.9,19.2,2500
11/22/2012,19.1,19.7,19.1,19.3,10500
11/26/2012,19.4,19.9,19.4,19.6,4500
11/28/2012,18.5,19.0,18.5,18.7,1000
11/29/2012,19.9,20.5,19.9,20.2,14500
12/2/2012,19.9,20.0,19.5,19.9,3000
12/3/2012,19.0,19.9,18.9,19.2,3500
12/5/2012,19.0,19.0,19.0,19.0,1000
12/12/2012,19.0,19.0,19.0,19.0,1000
12/17/2012,19.9,20.0,19.5,19.6,6000
12/19/2012,19.6,19.6,19.1,19.4,2000
12/20/2012,19.3,19.3,19.3,19.3,500
12/23/2012,19.3,19.3,19.0,19.2,1500
12/24/2012,19.0,19.0,19.0,19.0,2000
12/30/2012,19.1,19.1,19.1,19.1,2500
1/1/2013,19.1,19.1,18.1,18.5,5000
1/2/2013,18.7,18.7,18.7,18.7,500
1/3/2013,18.6,18.6,18.6,18.6,1000
1/8/2013,18.3,18.3,18.3,18.3,500
1/9/2013,18.4,18.4,18.4,18.4,500
1/14/2013,18.0,18.0,17.9,17.9,3000
1/16/2013,18.0,18.0,18.0,18.0,500
1/17/2013,18.0,18.0,17.6,17.8,1000
1/20/2013,17.8,17.8,17.1,17.4,3500
1/21/2013,17.8,17.8,17.8,17.8,500
1/22/2013,18.0,18.0,18.0,18.0,500
1/24/2013,18.3,18.3,17.7,18.0,3000
1/27/2013,19.8,19.8,19.8,19.8,500
1/28/2013,19.9,19.9,18.8,19.2,2500
1/29/2013,19.3,19.3,19.0,19.1,4500
2/3/2013,20.0,20.9,19.0,19.9,1500
2/4/2013,19.0,19.0,19.0,19.0,1000
2/5/2013,20.7,20.7,19.0,19.6,2000
2/6/2013,18.8,19.2,18.7,18.8,4500
2/7/2013,18.5,18.8,18.5,18.6,1000
2/10/2013,19.9,19.9,18.9,19.4,1000
2/11/2013,19.0,19.5,19.0,19.3,5500
2/12/2013,20.6,20.6,19.2,19.8,11000
2/13/2013,20.8,20.8,19.7,20.1,1500
2/14/2013,19.3,20.0,19.3,19.7,1500
2/17/2013,19.7,19.7,19.7,19.7,500
2/18/2013,19.2,19.2,19.2,19.2,500
2/19/2013,20.0,20.0,20.0,20.0,1000
2/20/2013,20.1,20.1,20.0,20.0,1000
2/24/2013,19.1,19.1,19.0,19.0,3500
2/25/2013,18.1,18.1,18.1,18.1,1000
2/26/2013,19.3,19.3,18.3,18.7,3000
2/27/2013,19.9,19.9,19.9,19.9,500
2/28/2013,19.0,19.0,18.5,18.9,2500
3/3/2013,17.3,19.0,17.1,17.5,2500
3/4/2013,19.2,19.2,17.7,18.0,3000
3/7/2013,19.7,19.7,19.7,19.7,500
3/10/2013,17.9,17.9,17.8,17.8,2000
3/11/2013,18.9,18.9,18.9,18.9,1000
3/12/2013,17.5,18.6,17.5,18.0,1000
3/13/2013,19.4,19.4,17.9,18.2,4500
3/18/2013,18.6,18.6,18.6,18.6,500
3/19/2013,17.3,18.2,17.3,17.7,2000
3/20/2013,18.6,18.6,18.6,18.6,500
3/24/2013,17.1,18.1,17.1,17.6,1000
3/25/2013,17.3,17.7,16.7,17.1,3500
3/27/2013,17.8,17.8,16.1,17.0,1500
3/28/2013,17.3,17.3,17.3,17.3,500
3/31/2013,17.0,17.0,16.6,16.8,3000
4/1/2013,16.4,16.4,16.0,16.2,4000
4/3/2013,16.2,16.2,16.2,16.2,500
4/4/2013,16.1,16.1,16.0,16.0,2000
4/9/2013,17.0,17.1,16.9,17.0,2000
4/10/2013,16.9,16.9,16.9,16.9,6500
4/11/2013,16.7,17.5,16.7,17.1,2000
4/15/2013,17.3,17.3,17.3,17.3,500
4/18/2013,16.6,16.6,16.6,16.6,500
4/22/2013,16.1,16.1,16.1,16.1,500
4/23/2013,16.3,17.2,16.3,17.0,4500
4/24/2013,17.6,17.6,16.6,17.1,4000
4/25/2013,17.4,17.4,17.0,17.1,3000
4/28/2013,16.9,16.9,16.9,16.9,500
4/30/2013,17.0,17.5,17.0,17.3,5500
5/5/2013,17.4,17.6,17.3,17.4,11500
5/6/2013,16.8,17.5,16.8,17.2,5500
5/7/2013,17.1,18.5,17.1,17.8,15000
5/8/2013,17.6,18.0,17.3,17.5,6000
5/9/2013,17.5,17.9,17.5,17.8,3000
5/12/2013,17.7,18.3,17.7,18.1,14500
5/13/2013,18.4,18.4,17.7,17.9,5000
5/14/2013,18.7,18.7,18.1,18.2,16500
5/15/2013,18.1,18.3,18.0,18.1,14000
5/16/2013,18.6,18.7,18.3,18.5,5000
5/19/2013,18.5,18.8,18.2,18.4,13000
5/20/2013,18.7,19.7,18.7,19.3,23000
5/21/2013,19.2,19.8,18.7,19.1,7500
5/22/2013,19.4,19.4,18.5,18.6,8000
5/26/2013,18.6,18.6,17.7,18.1,2000
5/27/2013,17.8,18.1,17.8,17.9,1000
5/28/2013,18.1,18.1,17.7,17.9,3000
5/29/2013,18.1,18.5,18.1,18.3,2000
5/30/2013,18.5,19.6,18.5,18.9,19000
6/2/2013,18.9,18.9,18.6,18.7,3500
6/3/2013,19.9,19.9,18.3,18.8,6500
6/4/2013,19.3,19.3,17.5,18.6,3000
6/5/2013,18.6,18.7,18.5,18.6,3500
6/6/2013,18.7,18.7,18.1,18.3,6000
6/9/2013,18.7,18.7,17.5,18.1,4000
6/10/2013,18.4,18.4,17.9,18.3,2500
6/11/2013,18.5,18.7,18.1,18.3,12500
6/12/2013,20.0,20.0,18.5,18.6,8000
6/13/2013,19.1,19.1,18.3,18.5,4000
6/16/2013,19.0,19.7,18.9,19.3,22000
6/17/2013,20.0,20.8,19.1,20.0,14500
6/18/2013,19.4,19.9,19.4,19.4,7500
6/19/2013,20.1,20.3,19.5,19.6,26000
6/20/2013,20.0,20.0,19.0,19.4,9000
6/23/2013,18.6,19.6,17.8,18.1,9000
6/24/2013,18.5,18.5,18.5,18.5,500
6/26/2013,18.0,19.0,17.7,18.1,13500
6/27/2013,18.0,18.6,17.8,18.0,3000
6/30/2013,17.5,17.5,17.0,17.3,15000
7/2/2013,17.4,18.3,17.4,17.9,1500
7/3/2013,17.9,18.8,17.7,18.1,7500
7/4/2013,19.3,19.6,19.0,19.3,14500
7/7/2013,19.0,19.4,19.0,19.1,22500
7/8/2013,19.5,19.7,19.0,19.3,7500
7/9/2013,18.4,18.8,18.0,18.2,19500
7/10/2013,18.1,18.1,17.0,17.8,16500
7/11/2013,17.4,18.4,17.3,17.6,14500
7/14/2013,17.5,17.5,17.4,17.4,1500
7/15/2013,18.3,18.3,18.3,18.3,1500
7/16/2013,17.5,17.5,17.4,17.4,4000
7/17/2013,17.0,17.5,17.0,17.0,5500
7/18/2013,17.4,17.4,17.2,17.2,5000
7/21/2013,17.7,17.7,17.7,17.7,1500
7/22/2013,17.0,17.0,17.0,17.0,2000
7/23/2013,16.9,16.9,16.9,16.9,2000
7/28/2013,16.0,16.1,16.0,16.0,2000
7/30/2013,16.0,16.0,16.0,16.0,1000
7/31/2013,16.0,16.0,16.0,16.0,500
8/12/2013,15.6,15.6,15.6,15.6,500
8/13/2013,16.4,16.5,16.4,16.4,1500
8/14/2013,17.0,17.0,16.4,16.6,2000
8/18/2013,17.2,17.2,17.1,17.1,3500
8/19/2013,17.0,17.0,17.0,17.0,3000
8/20/2013,16.7,16.7,16.3,16.4,4500
8/21/2013,17.0,17.5,16.4,16.7,3500
8/22/2013,17.0,17.2,17.0,17.0,3500
8/25/2013,17.3,18.0,17.3,17.6,10000
8/26/2013,17.4,17.7,17.4,17.4,9000
8/27/2013,17.5,17.9,17.5,17.7,7000
8/29/2013,17.6,17.7,17.6,17.6,9000
9/1/2013,18.0,19.3,18.0,19.2,48500
9/2/2013,20.0,21.1,20.0,21.0,82500
9/3/2013,23.0,23.1,23.0,23.1,46500
9/4/2013,25.4,25.4,25.4,25.4,64500
9/5/2013,27.9,27.9,24.0,25.1,180500
9/8/2013,24.1,27.6,24.0,27.0,91000
9/9/2013,28.9,29.7,28.9,29.7,112500
9/10/2013,32.5,32.6,31.1,32.5,144000
9/11/2013,33.0,35.0,30.6,34.3,101000
9/12/2013,34.5,36.4,33.3,35.1,89500
9/15/2013,36.9,37.0,32.0,33.2,73000
9/16/2013,34.0,36.0,31.1,35.0,124500
9/17/2013,34.5,35.0,31.5,32.0,53500
9/18/2013,31.7,32.9,29.0,29.6,37000
9/19/2013,27.1,32.5,26.7,32.2,68500
9/22/2013,32.0,35.4,32.0,35.3,124000
9/23/2013,38.0,38.8,38.0,38.8,49000
9/24/2013,42.3,42.6,38.8,42.5,165500
9/25/2013,40.1,40.1,38.3,38.3,36000
9/26/2013,34.5,41.9,34.5,40.8,81000
9/29/2013,42.0,42.0,36.8,36.9,50500
9/30/2013,34.2,38.0,34.2,35.1,35000
10/1/2013,36.0,36.0,32.1,32.7,21000
10/2/2013,32.9,33.4,31.0,32.8,23000
10/3/2013,32.5,35.7,32.5,33.9,29500
10/6/2013,31.5,33.2,31.5,32.1,20000
10/7/2013,32.9,32.9,31.3,31.7,7500
10/8/2013,31.5,31.5,28.6,29.4,25000
10/9/2013,28.1,28.9,27.3,27.6,7000
10/10/2013,25.8,25.9,25.0,25.2,22500
10/20/2013,23.5,24.0,23.2,23.7,8500
10/21/2013,22.1,26.0,21.6,25.3,19500
10/22/2013,27.3,27.8,27.3,27.5,7500
10/23/2013,28.3,30.2,28.3,30.0,53500
10/24/2013,27.2,32.0,27.2,27.9,27000
10/27/2013,30.4,30.6,29.4,29.5,29000
10/28/2013,30.0,30.0,27.4,27.5,18500
10/29/2013,27.0,27.0,25.7,26.4,14000
10/30/2013,25.1,26.0,24.5,25.2,19000
10/31/2013,24.5,25.5,24.5,25.0,2000
11/3/2013,25.0,29.8,24.1,28.0,31500
11/4/2013,27.2,28.5,27.0,27.5,25500
11/5/2013,27.3,27.4,27.0,27.1,12000
11/6/2013,26.2,26.2,25.8,26.0,11500
11/7/2013,25.4,26.5,25.0,25.2,16500
11/10/2013,24.4,25.0,24.4,24.6,14500
11/11/2013,26.8,26.8,24.0,24.8,27000
11/12/2013,25.5,25.5,24.2,24.5,22000
11/14/2013,26.9,26.9,26.9,26.9,49500
11/17/2013,26.6,28.8,25.9,27.7,33500
11/18/2013,29.1,30.4,28.0,29.4,75500
11/19/2013,29.5,29.5,27.2,27.9,30500
11/20/2013,29.2,29.8,28.5,28.6,41000
11/21/2013,28.9,28.9,27.5,27.7,17000
11/24/2013,27.9,28.7,27.6,28.0,21000
11/25/2013,27.3,28.5,27.2,27.7,31000
11/26/2013,27.1,28.0,26.8,27.5,28000
11/27/2013,27.4,27.4,27.0,27.2,19000
11/28/2013,28.3,28.8,27.2,27.6,30000
12/1/2013,27.5,30.1,27.0,29.0,38500
12/2/2013,29.9,30.4,27.7,29.0,41500
12/3/2013,28.3,28.5,28.0,28.2,17000
12/4/2013,28.3,30.4,28.2,29.8,80500
12/5/2013,31.5,32.7,31.2,32.6,96000
12/8/2013,34.0,35.8,33.3,35.7,59000
12/9/2013,37.6,39.2,37.0,39.1,84500
12/10/2013,42.0,43.0,38.8,39.6,187500
12/11/2013,38.3,43.5,38.3,43.4,153500
12/12/2013,43.5,43.5,39.2,39.8,54500
12/15/2013,42.7,42.7,38.9,39.7,44000
12/17/2013,41.9,43.2,38.9,39.5,47000
12/18/2013,41.8,41.8,36.5,37.1,26000
12/19/2013,37.0,39.7,36.5,39.1,19500
12/22/2013,39.3,39.7,36.1,36.6,34500
12/23/2013,36.9,37.1,35.6,35.9,27000
12/24/2013,35.3,35.5,34.6,34.8,12500
12/26/2013,35.0,35.3,33.5,33.9,21500
12/29/2013,33.9,35.0,33.9,34.5,16000
12/30/2013,36.4,37.0,35.1,36.3,21500
1/1/2014,36.1,36.8,36.1,36.2,22000
1/2/2014,35.5,35.5,34.6,34.9,6000
1/6/2014,33.4,34.9,33.2,33.7,4000
1/7/2014,35.9,35.9,34.2,34.7,24500
1/8/2014,34.8,35.3,33.8,34.5,15000
1/9/2014,34.2,34.4,34.0,34.2,11500
1/12/2014,35.6,35.6,33.8,33.9,28500
1/13/2014,34.1,35.3,33.6,33.9,37000
1/15/2014,34.2,35.9,34.2,35.6,18500
1/16/2014,36.4,36.6,34.7,35.6,46500
1/19/2014,35.2,35.2,33.6,33.8,29000
1/20/2014,33.6,34.8,33.6,34.0,14500
1/21/2014,33.5,35.7,33.5,33.8,32500
1/22/2014,34.9,34.9,33.2,33.5,47500
1/23/2014,34.5,34.5,33.0,33.3,30000
1/26/2014,34.0,34.0,31.2,31.8,62500
1/27/2014,33.9,34.0,32.5,32.9,38000
1/28/2014,33.8,35.0,33.5,34.3,55500
1/29/2014,34.0,34.5,33.0,33.4,38500
1/30/2014,33.7,33.9,32.5,32.8,53500
2/2/2014,30.0,33.0,30.0,32.2,39500
2/3/2014,33.2,33.2,31.0,31.1,62000
2/4/2014,32.1,32.5,31.8,32.1,24000
2/5/2014,32.3,32.7,31.7,32.3,15500
2/6/2014,32.9,33.2,31.7,31.9,31000
2/9/2014,31.7,32.0,30.6,30.9,35500
2/10/2014,30.6,31.9,30.5,30.8,26000
2/11/2014,30.1,31.2,30.0,30.3,14500
2/12/2014,30.0,30.0,29.5,29.6,12500
2/13/2014,29.5,30.0,29.1,29.5,11500
2/16/2014,29.7,29.7,29.1,29.4,7000
2/17/2014,30.0,30.0,29.5,29.8,6500
2/18/2014,29.7,29.7,29.7,29.7,4000
2/19/2014,30.0,30.2,29.7,29.8,12500
2/20/2014,31.5,32.4,30.7,31.9,48000
2/23/2014,32.9,33.4,30.9,31.6,29500
2/24/2014,32.0,32.5,31.7,32.0,24000
2/25/2014,31.7,31.7,31.0,31.1,18500
2/26/2014,30.6,31.2,30.1,30.5,19500
2/27/2014,31.6,32.4,31.1,31.7,35500
3/2/2014,31.2,32.5,30.8,31.9,67000
3/3/2014,31.1,32.2,31.1,31.4,25000
3/4/2014,31.4,32.0,31.0,31.2,21500
3/5/2014,31.1,31.5,30.5,31.1,7000
3/6/2014,31.0,31.0,30.5,30.6,11500
3/9/2014,30.5,31.7,30.1,30.8,25500
3/10/2014,30.5,30.6,30.2,30.4,8000
3/11/2014,30.3,30.3,30.0,30.2,12000
3/12/2014,31.0,33.2,31.0,33.1,83500
3/13/2014,33.1,35.9,33.0,34.7,113000
3/16/2014,35.0,35.3,34.0,34.5,51000
3/18/2014,34.3,34.3,32.6,33.0,36500
3/19/2014,31.5,32.1,31.0,31.4,23500
3/20/2014,31.9,32.2,30.8,31.0,24500
3/23/2014,32.0,32.8,31.9,32.4,21500
3/24/2014,33.0,34.3,32.6,32.9,49500
3/25/2014,33.0,35.0,32.5,33.5,53000
3/27/2014,33.7,34.5,33.7,33.9,55000
3/30/2014,37.2,37.2,36.0,37.2,170000
3/31/2014,40.0,40.8,35.7,37.0,152000
4/1/2014,37.3,37.9,35.3,37.0,81500
4/2/2014,35.4,36.0,34.0,34.1,52500
4/3/2014,34.0,34.9,32.8,33.0,55000
4/6/2014,33.1,34.7,33.1,34.0,32000
4/7/2014,33.5,33.6,32.0,32.1,44500
4/8/2014,32.9,32.9,30.9,31.2,62000
4/9/2014,31.2,32.7,31.2,31.8,18000
4/10/2014,31.7,31.9,31.0,31.3,21500
4/13/2014,31.5,31.5,30.3,30.9,13500
4/15/2014,31.7,32.0,30.8,31.3,29500
4/16/2014,31.1,31.8,30.7,30.7,50500
4/17/2014,31.4,32.8,31.4,31.9,46500
4/20/2014,32.8,32.8,31.2,31.5,25000
4/21/2014,31.5,31.5,30.4,30.5,37500
4/22/2014,31.0,31.3,30.5,30.6,40500
4/23/2014,31.6,31.6,30.6,30.7,18500
4/24/2014,31.2,31.2,30.1,30.1,48500
4/27/2014,30.1,30.8,29.9,30.4,30500
4/28/2014,30.1,30.4,29.7,29.8,21000
4/29/2014,30.5,32.5,28.3,28.8,28000
4/30/2014,27.6,27.6,26.0,26.0,30000
5/4/2014,26.5,28.6,26.5,28.0,26000
5/5/2014,28.0,29.0,27.2,27.5,21500
5/6/2014,28.4,28.5,28.1,28.3,9500
5/7/2014,28.9,29.3,27.9,28.5,17000
5/8/2014,28.0,28.0,27.7,27.8,9000
5/11/2014,27.8,27.8,26.5,26.8,40500
5/12/2014,27.8,27.8,27.2,27.4,6000
5/14/2014,27.5,27.7,27.2,27.3,12500
5/15/2014,27.9,29.0,27.7,28.1,24500
5/18/2014,28.9,29.3,28.2,28.9,30500
5/19/2014,29.1,29.1,27.8,28.1,27500
5/20/2014,27.7,28.0,27.1,27.5,4500
5/21/2014,28.4,29.0,28.0,28.2,30500
5/22/2014,29.0,29.0,27.9,28.0,10500
5/25/2014,29.0,29.0,27.7,28.1,10500
5/26/2014,29.0,29.0,28.0,28.1,3500
5/27/2014,28.1,28.6,27.3,27.8,9000
5/28/2014,27.5,27.6,27.1,27.2,20500
5/29/2014,28.0,28.0,27.2,27.7,27000
6/1/2014,27.3,27.5,27.3,27.4,7500
6/2/2014,27.2,27.4,27.2,27.2,13500
6/3/2014,27.3,27.8,27.2,27.3,8500
6/4/2014,27.2,28.0,27.0,27.6,19500
6/5/2014,27.7,28.0,26.7,27.2,21000
6/8/2014,26.2,26.7,25.5,25.9,16000
6/9/2014,26.6,26.6,26.0,26.1,7000
6/10/2014,25.5,26.0,25.5,25.8,11000
6/11/2014,26.3,26.3,25.8,25.9,18000
6/12/2014,25.9,26.5,25.5,25.9,19500
6/15/2014,25.5,25.8,25.3,25.6,6500
6/16/2014,25.4,25.4,25.0,25.1,9500
6/17/2014,25.2,25.2,25.0,25.0,5000
6/18/2014,25.2,25.2,25.1,25.1,2000
6/19/2014,24.6,25.7,24.6,25.1,2500
6/22/2014,25.0,25.9,25.0,25.1,4500
6/23/2014,25.2,25.8,25.0,25.1,10500
6/25/2014,24.8,25.2,24.8,25.0,6000
6/26/2014,25.0,25.4,24.9,25.0,21500
6/29/2014,25.4,26.0,25.3,25.7,16500
6/30/2014,26.4,27.9,26.4,26.8,38500
7/2/2014,26.3,26.3,25.5,25.7,13500
7/3/2014,25.8,26.0,25.6,25.7,11000
7/6/2014,25.0,25.4,25.0,25.2,5500
7/7/2014,25.2,25.4,25.2,25.2,5500
7/8/2014,25.6,25.6,25.4,25.5,3000
7/9/2014,26.9,26.9,25.2,25.7,5500
7/10/2014,25.3,25.6,25.2,25.4,2500
7/13/2014,25.1,25.1,25.1,25.1,500
7/14/2014,25.3,25.3,24.9,25.0,8000
7/15/2014,24.5,24.9,24.5,24.7,4000
7/16/2014,24.5,25.0,24.4,24.6,10500
7/17/2014,24.9,25.3,24.9,25.0,12000
7/20/2014,24.4,24.4,24.4,24.4,3000
7/21/2014,24.7,24.7,24.7,24.7,10000
7/22/2014,25.0,25.0,25.0,25.0,2000
7/23/2014,24.8,25.1,24.6,24.8,13000
7/24/2014,24.3,24.3,24.0,24.1,8000
8/3/2014,24.9,24.9,24.2,24.4,7000
