Date,Open,High,Low,Close,Volume
10/1/2012,34.1,37.0,34.0,36.3,278000
10/2/2012,37.5,38.1,35.7,35.9,197000
10/3/2012,37.0,37.0,34.5,34.7,249000
10/4/2012,35.1,35.3,33.5,34.0,138000
10/7/2012,33.5,34.1,31.6,31.9,99000
10/8/2012,30.5,32.9,30.0,31.0,171000
10/9/2012,31.9,34.1,31.9,34.0,166500
10/10/2012,34.5,35.1,32.6,32.9,225000
10/11/2012,33.4,33.8,32.3,32.9,129500
10/14/2012,33.9,34.9,32.1,32.6,200500
10/15/2012,33.2,33.4,32.5,32.7,119500
10/16/2012,32.9,33.4,32.1,32.3,81000
10/17/2012,32.3,32.6,31.7,32.0,89500
10/18/2012,32.0,32.6,31.5,31.7,52500
10/21/2012,32.0,32.0,30.9,31.1,57000
10/22/2012,31.0,33.0,30.5,32.1,33000
10/23/2012,32.1,33.0,31.6,31.9,88500
10/30/2012,31.8,31.8,31.3,31.3,38500
10/31/2012,31.3,32.2,31.2,31.7,39500
11/1/2012,32.2,33.0,31.8,32.1,74000
11/4/2012,32.5,32.5,31.2,31.5,50500
11/5/2012,31.2,31.9,31.2,31.6,34000
11/6/2012,32.0,32.0,30.6,30.9,40500
11/7/2012,30.7,30.9,29.8,30.1,58500
11/8/2012,29.9,30.8,29.0,29.8,46000
11/11/2012,28.5,29.6,27.8,28.2,114500
11/12/2012,28.9,30.6,28.2,28.8,102000
11/13/2012,28.7,31.6,28.7,31.5,162500
11/14/2012,32.4,32.5,31.4,31.8,225000
11/15/2012,31.5,34.8,31.5,34.5,314500
11/18/2012,34.9,35.4,33.7,34.1,267500
11/19/2012,35.0,35.0,31.7,32.3,185000
11/20/2012,32.8,33.5,31.3,32.0,151000
11/21/2012,33.5,33.9,32.1,33.3,176500
11/22/2012,33.5,35.4,33.5,34.6,329500
11/26/2012,34.4,34.6,32.8,33.1,159500
11/27/2012,32.8,33.6,32.6,33.1,130500
11/28/2012,33.5,34.0,32.6,32.9,107500
11/29/2012,34.0,34.9,33.1,34.0,193000
12/2/2012,34.5,34.9,32.7,33.0,187000
12/3/2012,33.5,33.5,32.0,32.4,51500
12/4/2012,32.0,33.3,32.0,32.3,111000
12/5/2012,33.5,34.7,32.4,34.2,301500
12/6/2012,34.0,36.5,33.5,36.0,583500
12/9/2012,36.0,36.4,33.8,34.2,126500
12/10/2012,34.3,36.2,33.8,34.6,458000
12/11/2012,35.2,35.5,33.9,34.2,150500
12/12/2012,33.8,35.5,33.5,33.6,97000
12/13/2012,33.7,34.5,33.1,33.7,143000
12/17/2012,34.3,34.6,33.3,33.5,176500
12/18/2012,33.4,34.5,33.3,33.4,124000
12/19/2012,33.9,34.5,33.0,33.5,278500
12/20/2012,33.8,34.5,33.2,33.4,90000
12/23/2012,33.3,33.3,32.8,32.9,57500
12/24/2012,33.0,33.5,32.3,32.6,134000
12/26/2012,33.1,33.4,32.2,32.4,130500
12/27/2012,32.5,32.5,31.9,31.9,116500
12/30/2012,32.9,32.9,32.0,32.3,79500
1/1/2013,32.8,33.0,32.4,32.5,76000
1/2/2013,32.7,32.7,32.2,32.3,52500
1/3/2013,32.6,32.6,32.0,32.3,69500
1/6/2013,32.4,32.8,32.3,32.3,48000
1/7/2013,32.2,32.2,31.8,31.8,68500
1/8/2013,31.6,32.5,31.6,31.8,45500
1/9/2013,32.1,32.4,31.8,32.1,68500
1/10/2013,32.0,32.3,31.9,31.9,57500
1/13/2013,32.0,32.7,32.0,32.1,34000
1/14/2013,32.0,32.5,31.9,32.1,54000
1/15/2013,32.1,32.3,31.8,31.8,69000
1/16/2013,32.3,32.3,31.8,31.9,79000
1/17/2013,32.1,32.3,31.8,32.0,79000
1/20/2013,32.5,32.5,31.9,32.0,38500
1/21/2013,32.0,32.0,31.6,31.7,55000
1/22/2013,32.0,32.0,31.5,31.6,63000
1/23/2013,31.0,32.1,30.7,30.7,413000
1/24/2013,30.2,31.4,30.2,30.7,273000
1/27/2013,30.9,31.5,30.7,30.7,81000
1/28/2013,30.7,30.9,30.3,30.4,149000
1/29/2013,30.6,31.9,30.6,31.7,269000
1/30/2013,31.7,32.6,31.7,32.4,269000
1/31/2013,32.0,33.3,31.9,32.5,173000
2/3/2013,32.5,33.3,32.4,32.7,207000
2/4/2013,33.0,33.0,31.5,31.7,192500
2/5/2013,31.6,32.4,31.5,32.1,163000
2/6/2013,32.7,32.9,32.0,32.0,150000
2/7/2013,32.0,32.7,31.8,32.5,280000
2/10/2013,32.8,33.8,32.6,33.6,362000
2/11/2013,34.1,34.1,33.5,33.6,257500
2/12/2013,33.9,34.0,33.2,33.3,279000
2/13/2013,33.3,35.5,33.2,34.9,577000
2/17/2013,34.8,34.8,32.3,32.4,626000
2/18/2013,33.0,33.2,31.5,31.6,344500
2/19/2013,31.6,32.0,30.7,30.8,222500
2/20/2013,31.2,31.2,29.2,29.3,219000
2/24/2013,30.2,30.2,28.2,28.3,90500
2/25/2013,28.8,28.8,27.0,27.2,164500
2/26/2013,28.7,28.7,27.3,28.1,92000
2/27/2013,28.2,28.2,26.8,27.0,106500
2/28/2013,27.0,27.4,26.4,26.6,75000
3/3/2013,27.6,27.6,24.0,24.0,162000
3/4/2013,24.9,25.1,24.1,24.6,86500
3/5/2013,24.8,24.8,23.6,23.8,78500
3/6/2013,24.5,24.5,23.7,23.8,34500
3/7/2013,23.5,24.1,23.5,23.6,50000
3/10/2013,24.0,24.0,22.8,22.9,37500
3/11/2013,24.0,24.0,22.1,22.6,62500
3/12/2013,22.3,23.0,22.3,22.6,63500
3/13/2013,23.5,24.3,23.3,24.1,69000
3/14/2013,24.3,24.5,23.4,23.4,55000
3/18/2013,23.4,23.9,23.3,23.4,42500
3/19/2013,23.9,24.4,23.8,23.9,16500
3/20/2013,23.7,23.7,23.2,23.3,20000
3/24/2013,23.1,23.1,21.8,21.9,59500
3/25/2013,22.0,22.2,21.7,21.7,29500
3/27/2013,20.2,21.3,20.2,20.6,46500
3/28/2013,21.4,21.4,20.7,20.9,34500
3/31/2013,20.7,21.2,20.3,20.4,45500
4/1/2013,20.1,20.1,18.9,19.0,61500
4/2/2013,20.2,20.2,19.3,19.5,33500
4/3/2013,20.0,20.3,19.4,19.5,58500
4/4/2013,19.2,20.0,19.1,19.6,32500
4/7/2013,20.0,20.0,19.0,19.1,53500
4/8/2013,19.0,20.1,18.8,19.7,117500
4/9/2013,19.4,21.6,19.4,21.5,210500
4/10/2013,22.7,23.3,21.7,22.0,186500
4/11/2013,21.4,22.3,21.4,22.0,106500
4/15/2013,22.0,23.6,22.0,23.4,135500
4/16/2013,22.7,23.4,21.9,22.1,94000
4/17/2013,22.2,22.7,21.9,22.4,56000
4/18/2013,22.7,23.1,22.3,22.5,93500
4/21/2013,22.2,23.0,22.0,22.0,69500
4/22/2013,21.9,22.4,21.8,22.2,67500
4/23/2013,22.3,23.8,22.3,23.6,328000
4/24/2013,23.9,25.9,23.9,25.4,402500
4/25/2013,25.2,27.0,25.2,26.2,253000
4/28/2013,24.8,25.8,24.5,25.2,214000
4/29/2013,25.5,25.5,24.7,25.1,225500
4/30/2013,24.5,25.4,24.2,25.0,171500
5/2/2013,24.3,25.5,24.1,25.3,137500
5/5/2013,25.1,25.2,24.0,24.2,96500
5/6/2013,24.0,24.5,23.7,24.0,44000
5/7/2013,25.0,25.9,25.0,25.5,140000
5/8/2013,25.9,26.0,24.2,24.4,104500
5/9/2013,24.7,25.5,24.3,25.0,85000
5/12/2013,25.5,26.2,25.2,25.8,95500
5/13/2013,25.7,25.7,24.8,25.2,109500
5/14/2013,25.5,26.4,25.4,25.8,148500
5/15/2013,26.2,27.4,25.2,25.4,157000
5/16/2013,25.6,26.9,25.6,26.6,171500
5/19/2013,26.8,27.0,26.3,26.8,352000
5/20/2013,27.3,27.3,26.1,26.3,168500
5/21/2013,26.5,26.5,25.3,25.4,86000
5/22/2013,25.5,25.7,24.8,24.8,91000
5/26/2013,24.5,24.5,23.9,24.0,79500
5/27/2013,24.0,25.0,24.0,24.8,40000
5/28/2013,25.9,25.9,24.6,24.7,62000
5/29/2013,25.4,25.5,25.0,25.3,67500
5/30/2013,25.9,26.8,25.5,26.1,203000
6/2/2013,26.8,27.6,26.4,27.4,204000
6/3/2013,27.5,27.5,26.5,27.0,151000
6/4/2013,27.4,27.4,26.2,26.5,231000
6/5/2013,25.3,27.3,25.3,26.6,129500
6/6/2013,26.6,26.8,25.6,25.6,81000
6/9/2013,25.5,25.9,24.4,24.5,80000
6/10/2013,25.3,25.9,24.9,25.7,71000
6/11/2013,26.0,26.2,25.5,25.8,145000
6/12/2013,25.8,27.2,25.8,26.0,196500
6/13/2013,26.0,26.7,26.0,26.1,129000
6/16/2013,26.2,27.4,26.2,27.1,257000
6/17/2013,27.3,27.6,26.5,26.6,183500
6/18/2013,26.8,26.8,26.0,26.1,220000
6/19/2013,26.0,26.7,25.5,25.8,204000
6/20/2013,25.6,26.1,25.2,25.3,97500
6/23/2013,25.6,25.6,25.2,25.2,82500
6/24/2013,25.4,25.4,24.9,25.0,35500
6/26/2013,24.9,25.4,24.9,24.9,67500
6/27/2013,25.1,25.4,24.3,24.6,87000
6/30/2013,23.2,24.2,22.6,23.4,66000
7/2/2013,25.3,25.7,25.3,25.7,54000
7/3/2013,27.5,27.9,25.1,25.2,35000
7/4/2013,25.0,26.5,25.0,26.4,212500
7/7/2013,27.0,27.1,26.5,26.7,256500
7/8/2013,26.4,27.1,26.0,26.6,141000
7/9/2013,26.3,27.4,26.3,26.5,260000
7/10/2013,26.3,26.3,25.8,25.9,87500
7/11/2013,25.8,27.0,25.7,25.9,93000
7/14/2013,26.1,26.4,25.8,25.8,56000
7/15/2013,26.7,26.7,25.6,25.7,30500
7/16/2013,25.7,26.7,25.7,25.9,112500
7/17/2013,25.7,26.7,25.4,25.8,72500
7/18/2013,25.6,26.6,25.6,26.2,74500
7/21/2013,26.8,26.8,25.5,25.7,70000
7/22/2013,25.7,25.7,24.6,25.0,46500
7/23/2013,25.1,25.6,24.5,24.8,40500
7/24/2013,25.5,26.0,25.5,25.8,19500
7/25/2013,26.5,27.0,25.3,25.7,63500
7/28/2013,25.6,25.6,25.2,25.4,22000
7/29/2013,26.0,27.0,25.4,26.3,131000
7/30/2013,26.0,26.0,25.6,25.8,25000
7/31/2013,26.0,26.0,25.4,25.4,34500
8/1/2013,25.5,25.5,25.0,25.1,26000
8/4/2013,24.8,25.5,24.5,24.8,22000
8/5/2013,25.1,25.5,24.9,25.2,13000
8/12/2013,25.4,25.4,25.0,25.3,27000
8/13/2013,26.0,26.3,25.7,26.0,78500
8/14/2013,26.2,27.8,26.0,27.4,200000
8/18/2013,27.5,28.9,27.1,28.6,280500
8/19/2013,27.8,29.5,27.8,28.8,261500
8/20/2013,29.4,29.4,28.5,28.8,298000
8/21/2013,28.8,31.6,28.6,31.1,589500
8/22/2013,31.4,33.3,31.4,32.6,484000
8/25/2013,33.0,34.4,31.9,33.9,317500
8/26/2013,33.9,35.8,33.0,35.0,786000
8/27/2013,35.9,38.0,34.9,37.2,478500
8/29/2013,36.0,36.9,34.9,35.4,303000
9/1/2013,36.0,37.0,35.6,35.7,188500
9/2/2013,35.5,36.0,34.3,34.8,166500
9/3/2013,35.0,35.6,34.5,34.8,222500
9/4/2013,34.7,35.8,33.5,33.9,154000
9/5/2013,34.8,34.8,32.6,33.2,150000
9/8/2013,33.0,33.0,32.0,32.5,52500
9/9/2013,33.0,35.7,33.0,35.7,294000
9/10/2013,37.0,38.9,36.2,37.6,590500
9/11/2013,37.2,39.5,36.1,36.8,277000
9/12/2013,36.0,38.0,35.3,37.6,417000
9/15/2013,38.1,39.2,36.0,36.5,405000
9/16/2013,36.5,36.7,35.0,36.2,175000
9/17/2013,36.4,39.2,36.4,37.8,542500
9/18/2013,38.4,40.9,37.3,38.5,651000
9/19/2013,38.3,39.9,37.0,38.4,239500
9/22/2013,38.7,41.5,38.1,40.8,714500
9/23/2013,41.9,44.8,41.9,44.8,862500
9/24/2013,45.0,49.0,45.0,47.8,626500
9/25/2013,47.5,47.5,43.2,45.0,564000
9/26/2013,44.0,47.1,43.5,46.6,509500
9/29/2013,47.9,47.9,42.5,42.6,414000
9/30/2013,41.6,43.9,39.3,41.2,246000
10/1/2013,42.1,42.5,38.4,39.6,239500
10/2/2013,39.7,43.4,39.1,43.2,274000
10/3/2013,43.6,44.7,40.7,41.4,196000
10/6/2013,40.5,40.5,38.0,38.3,141500
10/7/2013,39.9,40.6,38.2,39.5,151000
10/8/2013,40.4,41.5,37.0,37.8,366000
10/9/2013,39.8,39.8,36.2,36.7,244000
10/10/2013,36.9,36.9,34.8,35.1,212000
10/20/2013,34.1,34.1,32.0,32.3,55000
