Date,Open,High,Low,Close,Volume
5/14/2014,40.0,45.8,35.0,44.1,6993000
5/15/2014,44.1,45.5,43.0,43.5,2174500
5/18/2014,43.0,44.7,42.7,43.2,2862000
5/19/2014,43.2,43.6,39.9,41.1,2259000
5/20/2014,42.4,43.8,41.3,43.2,2102000
5/21/2014,43.7,44.7,43.2,43.6,2192000
5/22/2014,43.6,43.9,42.1,42.3,1373500
5/25/2014,42.0,43.0,41.7,42.6,1142500
5/26/2014,42.8,43.1,42.1,42.2,847500
5/27/2014,42.5,42.7,41.8,42.0,634000
5/28/2014,42.0,42.5,41.0,41.3,925000
5/29/2014,41.5,41.9,40.9,41.0,1111000
6/1/2014,41.0,41.8,40.6,40.9,646000
6/2/2014,41.3,41.3,39.8,40.8,768000
6/3/2014,41.0,43.2,40.8,42.2,1088500
6/4/2014,42.4,42.8,41.0,41.1,728500
6/5/2014,41.5,43.4,41.2,41.7,1247500
6/8/2014,41.8,43.1,41.0,42.4,896000
6/9/2014,42.8,43.7,42.5,42.7,1288500
6/10/2014,43.0,43.0,41.8,42.4,787500
6/11/2014,42.7,43.2,41.5,41.8,895000
6/12/2014,41.6,42.5,40.8,40.9,566000
6/15/2014,40.5,41.4,38.7,39.0,731000
6/16/2014,40.3,40.3,38.1,38.5,368000
6/17/2014,38.8,39.2,38.0,38.0,329500
6/18/2014,38.4,39.3,38.4,38.7,327500
6/19/2014,38.8,39.8,38.7,38.8,442000
6/22/2014,38.1,39.3,38.1,38.7,161500
6/23/2014,38.8,38.9,38.0,38.2,297000
6/24/2014,38.3,38.9,38.1,38.4,355500
6/25/2014,38.4,40.3,38.4,39.9,429500
6/26/2014,39.7,39.8,39.1,39.5,211000
6/29/2014,40.0,40.3,39.2,39.3,417000
6/30/2014,39.1,39.6,38.0,38.1,317500
7/2/2014,38.4,38.6,38.1,38.2,141000
7/3/2014,38.4,39.2,38.2,38.6,239000
7/6/2014,38.0,39.3,38.0,38.8,324500
7/7/2014,39.4,39.4,38.4,38.7,115500
7/8/2014,38.1,38.5,37.9,38.1,282000
7/9/2014,38.0,38.6,37.8,37.9,185000
7/10/2014,37.6,38.4,37.6,37.7,140500
7/13/2014,37.5,37.6,36.9,37.0,102500
7/14/2014,37.1,37.8,37.0,37.2,152000
7/15/2014,37.2,37.2,36.9,37.0,206000
